d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-2.82,4.66,14.7,-4.11,10.59,3.13,1.16,0.38,0.43,239.57,106.6,-51.05,10
-7.6,2.15,8.62,-4.15,8.27,2.94,1.2,0.32,0.33,180.82,85.05,-25.7,10
-7.57,2.66,4.27,-5.09,6.27,1.29,0.85,0.29,0.27,148.45,51.36,-6.64,10
-9.1,5.25,-1.41,-4.78,1.72,0.54,0.6,0.06,0.08,136.21,45.36,-6.98,10
-10.98,5.09,-3.02,-3.56,0.98,1.09,0.34,0.02,0.05,121.46,47.29,0.71,10
-9.92,3.56,-4.23,-4.27,1.29,1.29,0.1,0.13,0.16,113.03,28.71,9.57,10
-10.31,0.82,-7.76,-5.96,5.37,2.35,0.17,0.61,0.32,94.78,4.08,42.23,10
-10.43,-4.15,-12.98,-7.06,7.6,3.17,1.37,0.13,0.72,97.1,-46.89,96.76,10
-10.27,-7.84,-16.86,-6.47,12.23,5.64,1.99,0.67,0.26,180.71,44.92,-11.1,10
-5.33,-12.12,-20.08,-6.74,15.37,6.9,1.06,0.85,0.0,188.97,53.24,-7.33,10
8.11,-13.57,-20.08,-7.88,12.08,4.51,0.83,0.63,0.18,90.78,20.76,-4.15,10
14.23,-8.27,-16.74,-6.39,9.8,5.68,0.75,0.38,0.03,69.49,9.13,-10.27,10
20.04,-1.01,-14.43,-3.96,9.25,6.11,0.77,0.41,0.33,28.64,16.31,-13.97,10
20.04,0.74,-2.74,-1.8,7.76,5.02,0.8,0.43,0.61,37.36,21.7,-21.09,10
20.04,1.52,8.9,-1.72,10.23,3.33,1.18,0.31,0.39,164.65,58.53,0.94,10
20.04,3.13,15.49,-2.23,13.06,3.17,1.32,0.46,0.01,252.42,112.4,4.15,10
12.9,2.51,18.0,-3.21,12.86,4.39,1.25,0.63,0.41,227.47,111.25,-35.64,10
4.58,1.6,14.82,-2.82,11.33,5.06,1.21,0.33,0.54,184.88,73.34,-32.31,10
-1.96,1.01,10.59,-2.7,8.98,4.04,1.06,0.24,0.49,95.21,29.08,-8.1,10
-4.39,0.31,6.35,-2.94,6.98,3.64,0.94,0.17,0.19,83.68,8.67,0.32,10
-4.94,0.11,3.33,-3.13,5.84,3.17,0.73,0.09,0.03,88.27,26.09,-21.68,10
-6.74,2.19,0.23,-3.25,3.8,2.23,0.55,0.15,0.11,111.65,38.69,-36.32,10
-9.84,2.58,-2.47,-3.64,1.84,1.8,0.58,0.05,0.1,132.03,55.07,-37.13,10
-8.9,1.84,-3.68,-3.76,1.72,1.76,0.54,0.17,0.07,133.65,57.61,-11.21,10
-9.61,0.11,-5.6,-4.86,3.25,2.23,0.47,0.49,0.04,85.95,4.37,38.53,10
-11.65,-5.49,-12.43,-6.7,6.23,2.94,1.1,0.55,0.46,47.96,-46.82,82.85,10
-11.06,-10.43,-16.55,-7.37,12.51,4.66,1.99,0.42,0.43,76.91,-21.49,50.66,10
-6.98,-17.37,-18.9,-7.13,16.08,7.25,1.2,0.75,0.26,131.39,23.05,3.27,10
3.37,-20.08,-19.41,-5.88,14.63,7.13,0.96,0.56,0.03,120.88,55.34,-20.91,10
