d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.9,8.86,2.78,-1.49,9.17,4.86,0.97,0.3,0,-2.53,-2.26,0.44,0
2.9,8.9,2.94,-1.68,9.21,4.86,0.97,0.31,0.03,-1.78,-1.44,0.05,0
2.98,8.7,2.86,-1.6,9.25,4.9,0.97,0.31,0.01,-1.97,-1.22,0.81,0
2.82,8.86,2.86,-1.52,9.13,4.86,0.98,0.31,0.01,-1.79,-1,0.68,0
2.86,8.82,2.74,-1.64,9.25,4.66,0.97,0.31,0.02,0.58,0.89,0.04,0
2.78,8.62,3.37,-1.76,9.02,4.82,0.97,0.31,0.03,0.97,-1.52,0.08,0
2.9,8.78,2.78,-1.68,9.37,4.78,0.97,0.31,0.01,-1.49,-1.17,0.01,0
2.98,8.78,2.82,-1.64,9.21,4.78,0.97,0.3,0.01,-1.64,0.65,0.22,0
2.94,8.78,2.98,-1.64,9.25,4.74,0.98,0.31,0.01,0.38,0.15,0.26,0
2.94,8.98,2.82,-1.56,9.21,4.7,0.98,0.31,0.02,0.59,0.25,0.28,0
2.94,8.9,2.86,-1.64,9.13,4.74,0.98,0.31,0.03,0.26,0.23,0.25,0
3.13,9.06,2.47,-1.72,9.17,4.74,0.98,0.31,0.02,0.29,0.19,0.06,0
2.94,8.82,2.7,-1.6,9.21,4.86,0.98,0.31,0.03,-1.41,0.21,0.01,0
2.94,8.86,2.82,-1.52,9.21,4.82,0.98,0.31,0.02,-3.24,0.59,0.07,0
3.09,8.74,3.21,-1.49,9.21,4.94,0.97,0.31,0.02,-3.26,0.83,0.13,0
2.94,8.78,2.82,-1.52,9.25,4.98,0.98,0.3,0.01,-2.86,0.33,0.7,0
2.94,8.86,2.78,-1.52,9.17,4.74,0.97,0.31,0.02,-2.24,0.32,-1.3,0
3.05,9.06,2.82,-1.52,9.13,5.09,0.97,0.31,0.02,-1.52,0.6,-1.69,0
2.66,8.78,3.17,-1.64,9.21,5.02,0.97,0.31,0.02,0.42,0.95,-1.47,0
2.78,9.02,2.94,-1.68,9.25,4.82,0.97,0.32,0.02,-1.08,0.66,-1.97,0
2.7,8.74,3.29,-1.72,9.29,4.98,0.98,0.31,0.03,-2.18,0.98,-1.88,0
2.98,8.78,2.98,-1.8,9.25,4.94,0.97,0.31,0.01,-2.37,1.6,-1.85,0
