d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
6.82,5.09,0.5,2.86,-4.35,2.39,0.99,0.42,0.04,-115.57,-9.41,7.01,7
7.29,6.04,0.35,3.45,-4.98,2.62,0.94,0.43,0.06,-106.43,-6.22,2.31,7
7.68,6.51,0.07,4.31,-5.64,2.43,0.93,0.41,0.05,-97.59,-8.1,7.78,7
7.53,6.86,0.31,4.94,-6.0,2.35,0.98,0.38,0.02,-89.75,-3.65,12.82,7
7.21,6.78,0.54,5.37,-6.08,3.37,0.97,0.37,0.02,-87.21,-1.06,16.13,7
7.13,6.66,0.58,5.57,-6.19,2.78,0.98,0.36,0.08,-90.85,-4.01,21.82,7
7.53,6.94,0.7,6.51,-6.51,1.33,0.95,0.33,0.1,-92.43,-10.65,27.02,7
7.53,7.06,0.74,7.21,-6.27,0.47,0.93,0.3,0.11,-94.02,-13.39,25.82,7
6.98,7.21,0.5,7.13,-6.35,-1.13,0.93,0.29,0.11,-100.28,-20.6,23.49,7
6.19,7.41,0.23,6.0,-6.51,-2.39,0.99,0.26,0.11,-101.88,-24.68,29.05,7
5.64,7.45,0.31,4.82,-6.15,-2.19,0.96,0.28,0.15,-103.66,-33.52,36.62,7
5.53,7.6,-1.05,4.74,-5.25,-3.33,1.02,0.26,0.12,-111.0,-43.33,48.43,7
5.21,7.68,-1.68,4.35,-4.51,-4.86,1.1,0.19,0.08,-112.56,-43.52,59.27,7
5.84,7.76,-2.47,0.39,-2.19,-6.82,1.04,0.27,0.15,-127.66,-52.46,75.01,7
5.96,8.08,-2.51,-9.1,0.11,-7.76,1.03,0.16,0.07,-125.52,-64.41,86.89,7
6.15,8.39,-2.54,-8.82,1.21,-4.39,0.99,0.12,0.03,-135.37,-69.83,92.21,7
6.31,0.39,-4.0,-8.23,3.33,-3.56,0.97,0.02,0.07,-132.43,-69.36,91.42,7
8.59,6.15,-2.15,-15.14,7.29,-2.11,0.84,0.1,0.21,-131.36,-79.43,90.1,7
6.66,10.0,-1.76,-15.25,6.86,3.41,0.94,0.15,0.35,-110.92,-81.3,79.36,7
6.86,8.43,-1.21,-13.1,8.47,6.04,0.76,0.23,0.47,-79.33,-71.35,69.89,7
7.37,9.88,0.62,-17.61,14.39,9.17,0.85,0.35,0.56,-53.91,-56.17,63.05,7
7.21,8.62,0.86,-8.51,17.53,11.65,0.85,0.39,0.62,-29.53,-49.62,45.92,7
7.53,9.1,-1.25,-6.31,20.04,10.43,0.93,0.46,0.61,-10.36,-33.46,38.23,7
7.64,9.49,0.39,-8.0,19.96,11.37,0.86,0.49,0.66,6.59,-18.81,29.32,7
5.6,10.23,0.07,-4.19,16.74,8.55,0.86,0.51,0.62,23.84,-5.7,16.63,7
8.47,11.21,-1.05,-1.72,15.49,6.86,0.82,0.52,0.57,39.88,6.66,2.2,7
5.13,8.74,0.94,-3.13,14.08,5.84,0.79,0.56,0.56,48.11,9.79,-16.39,7
3.88,10.43,1.49,-3.8,13.29,5.02,0.84,0.54,0.53,59.13,12.07,-33.99,7
6.15,9.8,1.68,-3.6,13.53,3.92,0.88,0.55,0.5,75.72,15.23,-48.11,7
