d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.8,9.88,-1.88,0.35,9.64,5.68,1.01,0.06,0.24,49.3,8.68,-20.06,4
3.68,10.23,-1.64,-1.88,9.41,5.49,1.06,0.07,0.27,40.49,7.24,-18.05,4
2.58,10.7,0.66,-2.0,9.21,5.57,1.11,0.1,0.25,33.13,6.11,-9.84,4
2.23,10.43,0.11,-1.96,9.84,5.84,1.14,0.17,0.22,22.4,2.17,-2.4,4
2.86,11.21,1.21,-1.6,10.51,5.72,1.28,0.32,0.08,1.49,-4.99,3.34,4
3.68,11.14,1.76,-2.51,10.08,4.47,1.17,0.34,0.11,-3.79,-7.54,4.72,4
4.11,9.41,2.27,-3.45,9.64,4.82,1.11,0.37,0.4,2.61,-6.44,-1.73,4
4.07,8.27,3.13,-4.82,9.64,4.11,1.04,0.43,0.51,19.2,0.8,-2.9,4
3.88,8.08,4.0,-5.09,8.78,2.58,1.11,0.32,0.43,49.68,6.29,6.66,4
3.6,8.94,4.7,-5.29,8.62,2.47,1.06,0.38,0.28,57.4,13.58,3.34,4
2.27,9.53,4.9,-5.37,8.86,3.25,0.88,0.36,0.2,38.96,2.71,0.89,4
0.9,8.55,4.35,-5.57,8.08,3.6,0.76,0.29,0.18,26.44,-5.93,-5.18,4
0.11,7.92,4.07,-5.25,7.25,3.21,0.8,0.3,0.29,18.86,-8.37,-5.94,4
0.35,7.68,3.33,-4.62,7.02,3.45,0.9,0.31,0.31,25.5,-7.81,-4.01,4
0.11,8.04,3.09,-4.15,7.49,3.88,0.96,0.29,0.32,37.43,-6.49,6.49,4
0.82,8.11,3.37,-3.88,8.15,4.19,0.95,0.31,0.25,47.96,-1.92,7.76,4
1.6,8.9,3.56,-3.6,8.94,4.51,0.95,0.38,0.2,38.16,-6.19,5.96,4
2.23,9.13,3.6,-3.41,9.57,4.94,1.02,0.36,0.2,30.07,-3.57,1.88,4
2.39,9.37,3.25,-3.21,10.04,5.13,0.99,0.3,0.13,29.49,3.43,-2.56,4
1.92,9.25,3.21,-2.98,9.8,4.78,1.0,0.31,0.12,17.67,0.56,0.38,4
1.09,8.86,3.21,-3.17,9.76,4.62,1.03,0.31,0.11,7.48,0.07,10.53,4
0.62,8.55,2.86,-3.56,9.88,4.78,0.96,0.29,0.12,-5.74,-2.36,15.59,4
0.94,8.43,3.25,-3.6,9.96,4.78,0.97,0.31,0.14,-17.7,-5.71,10.89,4
1.68,9.17,3.6,-3.13,9.84,4.66,0.96,0.32,0.16,-27.83,-7.88,4.85,4
1.88,9.72,3.8,-2.7,9.68,4.78,0.95,0.32,0.21,-36.05,-5.68,-2.26,4
1.88,9.96,4.27,-2.43,9.17,4.86,0.93,0.31,0.26,-37.08,-2.14,-7.13,4
2.27,9.61,5.13,-2.11,8.9,4.66,0.94,0.31,0.26,-33.21,1.31,-8.17,4
2.0,9.25,5.76,-2.15,8.66,4.74,0.92,0.33,0.25,-34.05,1.27,-7.07,4
1.96,9.17,5.72,-2.54,8.55,4.51,0.9,0.34,0.25,-42.91,0.63,-9.17,4
2.11,8.82,4.9,-2.9,8.39,4.55,0.9,0.37,0.26,-51.23,-1.4,-10.72,4
2.51,9.25,5.57,-3.41,8.62,4.04,0.96,0.34,0.29,-50.73,-2.32,-6.65,4
3.88,9.53,6.55,-3.76,8.55,3.68,0.91,0.37,0.27,-49.61,0.53,2.41,4
3.92,8.19,5.96,-3.96,8.47,3.56,0.9,0.41,0.32,-55.47,3.95,3.17,4
5.29,8.15,4.98,-3.68,9.21,3.56,1.01,0.43,0.37,-59.02,0.5,0.94,4
7.68,7.49,4.31,-2.98,10.35,3.37,1.16,0.39,0.33,-46.45,-3.73,1.58,4
9.33,7.13,2.58,-3.09,10.94,2.98,1.22,0.37,0.2,-32.12,-9.69,10.75,4
7.53,5.6,0.7,-3.45,11.61,3.84,1.17,0.33,0.12,-26.9,-11.36,14.68,4
6.47,5.02,-1.01,-3.37,10.86,4.27,1.15,0.18,0.05,-20.25,-7.02,16.26,4
6.27,3.41,-3.29,-2.62,10.43,4.43,1.12,0.06,0.18,-20.15,-5.8,5.4,4
10.12,3.29,-5.02,0.5,9.13,4.39,1.02,0.01,0.27,-42.5,-12.81,4.98,4
8.19,5.64,-2.23,0.7,9.17,4.94,1.07,0.04,0.22,-67.66,-24.96,15.94,4
6.78,5.84,0.07,1.6,9.53,5.09,1.09,0.05,0.07,-81.59,-33.13,23.33,4
6.98,5.33,-1.41,1.17,10.43,4.98,1.03,0.03,0.07,-66.76,-26.79,18.93,4
7.25,5.64,-1.13,1.96,10.35,4.0,0.92,0.05,0.0,-51.35,-13.36,13.48,4
4.39,5.76,0.15,2.47,10.12,3.88,0.86,0.07,0.06,-30.02,3.12,11.37,4
3.33,6.27,1.21,2.51,10.19,3.6,0.99,0.04,0.02,-5.53,18.22,7.64,4
1.88,7.21,2.15,2.03,10.23,3.56,0.99,0.03,0.03,11.9,27.62,8.4,4
2.54,7.68,2.15,0.82,10.04,3.68,0.98,0.08,0.08,13.52,24.43,11.53,4
3.17,8.59,2.23,0.35,9.41,3.72,0.95,0.11,0.07,0.27,8.6,11.6,4
4.62,9.96,2.31,0.11,9.02,3.84,1.01,0.06,0.06,-4.86,1.41,11.08,4
5.92,10.47,2.31,0.39,8.55,3.76,1.07,0.04,0.02,3.68,7.85,8.64,4
5.72,11.1,2.7,-1.01,8.59,3.96,1.01,0.13,0.02,7.98,1.32,5.21,4
4.9,11.37,2.82,-1.21,8.62,4.27,1.03,0.13,0.0,13.24,-4.81,3.01,4
3.88,11.45,2.7,0.58,8.98,4.19,1.09,0.09,0.0,29.42,0.7,-1.94,4
3.53,11.14,2.94,0.98,9.96,5.64,1.05,0.08,0.07,43.8,11.84,-4.69,4
3.8,10.47,3.25,-1.52,10.19,5.88,0.97,0.1,0.12,48.3,17.45,-10.34,4
4.58,10.15,3.21,-1.8,9.92,5.41,0.96,0.09,0.16,41.07,16.27,-16.74,4
4.86,10.08,2.78,0.98,9.45,5.06,0.99,0.07,0.17,32.42,11.82,-13.75,4
4.58,10.0,2.27,0.82,9.21,5.41,0.96,0.04,0.16,28.07,6.45,-12.41,4
3.41,9.64,2.35,-1.09,9.02,5.53,0.94,0.04,0.17,25.59,2.61,-14.43,4
2.43,9.49,1.72,0.31,8.94,5.68,0.98,0.05,0.14,23.26,-1.55,-17.12,4
1.84,9.21,1.52,1.72,8.7,5.6,0.98,0.03,0.14,26.03,-2.15,-18.83,4
2.03,9.33,0.74,2.86,8.82,5.6,0.97,0.06,0.15,25.7,-2.29,-17.33,4
2.51,9.49,0.03,3.56,8.78,5.68,0.98,0.08,0.2,27.91,1.74,-16.86,4
3.05,9.68,0.11,1.6,9.33,4.98,0.98,0.08,0.19,28.29,4.02,-20.91,4
3.25,10.31,0.0,0.94,9.33,4.98,1.02,0.1,0.24,21.9,0.96,-22.07,4
2.98,10.43,0.11,0.54,9.64,4.39,1.14,0.11,0.26,17.79,1.57,-17.2,4
3.25,10.27,1.21,-1.37,10.12,4.07,1.21,0.22,0.15,7.28,-1.3,-5.42,4
3.29,11.49,2.03,-1.52,10.98,4.15,1.22,0.29,0.0,-16.82,-21.1,9.02,4
3.45,10.66,2.15,-1.56,10.63,4.15,1.16,0.3,0.19,-11.14,-18.2,9.99,4
3.45,8.98,2.86,-1.6,10.04,3.33,1.04,0.4,0.34,1.11,-9.02,4.39,4
2.66,7.76,3.45,-1.72,9.29,2.47,0.97,0.36,0.42,22.84,1.5,0.82,4
2.07,7.53,3.88,-2.07,9.41,1.88,0.95,0.36,0.4,39.67,10.57,0.66,4
1.56,8.35,4.39,-2.27,10.04,1.88,0.99,0.34,0.23,46.81,8.45,-1.92,4
0.31,9.06,4.55,-2.66,10.15,1.96,0.94,0.4,0.18,31.99,-2.65,-1.34,4
0.54,9.13,4.66,-2.94,9.92,1.84,0.89,0.39,0.24,15.49,-13.9,-3.09,4
0.54,8.51,4.43,-3.09,9.41,2.31,0.92,0.3,0.29,13.04,-16.72,-3.13,4
0.0,8.11,4.15,-3.29,8.9,2.47,0.89,0.28,0.28,25.32,-11.96,-1.79,4
0.54,8.11,4.19,-3.17,8.86,2.54,0.91,0.33,0.25,25.69,-11.93,-1.43,4
0.39,8.35,4.39,-2.9,9.29,2.74,0.92,0.36,0.23,19.61,-14.66,-1.63,4
0.5,8.35,4.11,-2.66,9.96,2.98,0.96,0.34,0.23,18.7,-12.54,-2.56,4
