d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-16.86,-8.51,-2.58,15.76,-9.17,1.96,1.04,0.35,0.1,11.81,15.69,-2.65,6
-8.15,-6.27,-2.07,7.49,-7.49,2.74,1.06,0.41,0.05,-6.46,0.75,-3.51,6
0.0,-5.57,-4.31,5.57,-7.8,5.68,0.96,0.35,0.01,0.34,-6.48,-2.66,6
12.16,-2.66,-2.19,3.09,-6.7,3.8,0.91,0.3,0.01,15.05,1.51,-4.27,6
15.1,-6.94,1.92,-7.41,-5.53,4.74,0.89,0.36,0.04,25.21,16.02,-2.24,6
10.47,-7.02,3.76,-10.27,-5.92,6.19,0.95,0.37,0.14,17.92,14.75,6.79,6
11.33,-6.0,2.94,-7.84,-6.04,5.37,0.94,0.37,0.22,4.59,2.4,13.23,6
9.13,-5.02,0.35,-5.09,-5.8,2.98,0.92,0.37,0.19,-5.73,-4.16,9.02,6
1.09,-5.09,-5.88,3.84,-7.13,0.54,0.89,0.34,0.11,-12.65,-1.92,-2.72,6
-16.12,-6.43,-6.78,12.86,-7.72,0.47,0.92,0.35,0.05,-19.37,0.53,-12.2,6
-20.08,-7.17,0.74,18.98,-7.68,1.8,0.9,0.37,0.0,-17.25,-3.17,-11.23,6
-15.84,-6.43,1.8,16.27,-7.13,4.74,0.92,0.36,0.01,-2.27,-2.79,-2.0,6
-8.43,-6.04,0.11,11.06,-5.76,4.07,0.98,0.39,0.1,16.78,5.67,7.34,6
-2.62,-6.82,0.11,6.0,-5.37,3.33,1.09,0.41,0.1,12.88,4.02,8.74,6
0.11,-7.06,0.43,3.37,-6.15,4.15,1.12,0.4,0.07,-9.15,-9.46,5.31,6
4.86,-8.39,0.39,-3.56,-7.49,4.62,0.95,0.37,0.02,-8.6,-16.43,6.87,6
8.43,-9.06,2.82,-8.9,-7.41,7.13,0.87,0.32,0.0,1.12,-9.33,2.29,6
9.53,-7.57,3.09,-8.82,-6.66,7.64,0.84,0.29,0.02,10.81,2.31,-2.75,6
10.82,-6.94,2.31,-6.51,-5.45,5.29,0.9,0.34,0.05,9.81,5.83,0.6,6
7.13,-5.06,0.54,-1.33,-4.98,1.96,0.92,0.39,0.12,2.58,0.63,4.97,6
1.17,-4.78,-3.76,7.25,-5.6,-1.09,0.95,0.4,0.14,-8.94,-6.2,9.68,6
-13.72,-6.35,-3.68,14.39,-7.37,0.11,0.99,0.36,0.08,-16.86,-10.65,8.46,6
-20.08,-7.68,0.66,16.47,-8.04,3.37,1.02,0.33,0.04,-11.95,-5.53,2.61,6
-15.8,-8.15,0.94,15.8,-8.04,5.64,1.02,0.36,0.04,2.81,-1.17,3.43,6
