d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.13,0.62,3.25,-2.82,-2.35,4.31,1.0,0.3,0.05,30.2,12.53,16.82,5
4.86,1.13,0.39,-1.37,-2.15,5.17,0.91,0.26,0.04,23.56,-2.95,20.67,5
4.82,2.47,0.19,-5.57,-2.03,3.37,0.91,0.3,0.14,18.62,-10.16,29.47,5
3.56,2.62,0.98,-6.27,3.02,2.98,0.96,0.32,0.09,27.57,9.35,29.42,5
6.94,5.13,-2.7,-9.45,2.03,0.27,0.98,0.4,0.04,24.16,14.87,30.05,5
12.86,6.43,-2.43,-8.04,5.84,0.35,1.07,0.28,0.0,13.16,7.48,16.44,5
14.74,8.0,0.11,-8.82,11.37,3.41,1.07,0.28,0.0,3.23,1.94,23.19,5
13.37,8.82,1.84,-6.9,12.31,6.0,1.0,0.29,0.02,6.36,-7.67,39.05,5
13.21,9.49,2.94,-2.54,17.18,9.25,0.97,0.16,0.14,-3.59,-13.72,45.92,5
12.08,8.04,0.27,-4.58,16.35,6.62,0.96,0.2,0.18,13.56,-12.49,41.38,5
13.45,7.64,-2.43,-7.25,16.27,3.02,1.01,0.17,0.29,43.39,-8.9,38.17,5
13.1,6.86,-5.02,-8.19,13.92,0.7,1.05,0.18,0.25,80.44,-1.2,36.08,5
11.1,6.35,-5.37,-7.41,11.06,0.74,1.05,0.23,0.27,96.05,6.44,30.88,5
11.65,8.0,-3.49,-5.37,9.57,-2.03,0.98,0.22,0.22,111.68,3.42,29.61,5
9.02,9.57,-4.0,-6.47,10.08,-2.62,0.97,0.15,0.26,143.59,5.76,30.03,5
9.61,11.02,-4.9,-4.98,10.23,-2.43,0.95,0.24,0.31,188.5,13.72,22.15,5
8.27,12.43,-5.21,-3.49,10.39,-2.0,1.0,0.27,0.28,234.46,17.85,16.6,5
6.82,12.86,-5.45,-2.58,11.06,-1.84,1.03,0.36,0.23,252.42,23.69,12.65,5
5.41,13.33,-5.41,-3.72,11.45,-1.88,1.01,0.33,0.13,252.42,23.5,12.21,5
5.09,13.84,-5.57,-4.78,11.49,0.43,0.96,0.43,0.05,252.42,18.95,10.38,5
4.0,13.06,-6.27,-1.21,10.98,1.41,1.09,0.51,0.06,252.42,21.12,-2.16,5
3.53,12.59,-7.17,0.03,12.08,-3.72,1.0,0.46,0.04,252.42,29.31,-17.5,5
3.09,11.8,-7.17,-4.78,11.68,-6.27,0.9,0.54,0.06,252.42,39.42,-14.18,5
3.6,10.59,-8.47,-5.72,10.35,-6.86,1.07,0.6,0.05,252.42,51.57,-9.78,5
3.68,9.29,-8.08,-6.35,9.37,-5.02,0.96,0.72,0.03,252.42,54.47,-8.1,5
3.49,9.37,-7.29,-6.31,7.92,-4.07,1.03,0.75,0.08,252.42,37.57,-8.49,5
4.0,9.92,-5.21,-6.04,9.64,-5.21,1.15,0.67,0.01,252.42,48.93,-6.33,5
3.53,10.7,-3.6,-7.29,8.66,-4.19,0.95,0.69,0.07,252.42,70.21,8.54,5
9.33,9.64,-2.19,-8.59,8.62,-1.8,0.81,0.71,0.21,252.42,63.79,22.82,5
4.19,8.78,-3.13,-6.74,8.86,-1.09,0.83,0.63,0.21,252.42,42.73,15.08,5
1.92,8.74,-3.88,-6.11,8.35,0.74,0.89,0.47,0.24,252.42,41.62,0.38,5
5.45,8.47,-5.09,-6.9,8.98,0.35,0.86,0.45,0.23,252.42,47.11,0.36,5
4.94,9.88,-5.53,-5.45,9.45,1.09,0.85,0.51,0.12,231.72,46.57,2.87,5
7.68,10.15,-5.13,-4.11,10.59,1.92,1.01,0.57,0.0,216.58,52.63,1.29,5
8.0,10.15,-4.43,-5.06,11.33,0.66,1.2,0.5,0.06,218.7,56.39,-5.3,5
9.88,10.27,-4.74,-3.84,11.25,-2.07,1.13,0.46,0.05,239.47,63.43,1.14,5
9.76,10.0,-4.7,-4.23,10.74,-2.39,1.01,0.4,0.01,252.42,64.4,34.21,5
8.39,9.25,-4.43,-4.86,10.12,-2.54,0.89,0.44,0.04,252.42,62.53,53.11,5
8.78,8.9,-3.68,-7.68,9.84,-1.96,0.8,0.51,0.0,248.13,52.06,48.98,5
10.15,9.33,-3.29,-7.64,9.68,0.58,0.65,0.63,0.15,210.52,31.29,30.23,5
10.78,8.39,-4.07,-8.23,9.61,2.51,0.61,0.49,0.25,182.98,3.15,18.6,5
15.21,8.66,-5.06,-12.19,10.94,2.62,1.41,0.1,0.17,148.82,-21.3,13.68,5
14.94,7.49,-4.86,-16.98,8.9,2.58,1.14,0.37,0.24,104.49,-11.97,-22.33,5
15.37,5.02,-5.72,-17.57,5.13,2.15,1.13,0.22,0.23,96.14,-20.18,-16.83,5
15.8,4.62,-7.84,-15.84,1.92,1.68,1.07,0.01,0.13,122.56,-6.31,-32.38,5
17.22,3.29,-8.55,-12.98,0.58,1.72,0.89,0.14,0.21,156.35,34.66,-47.19,5
16.08,5.45,-9.68,-8.74,-1.88,-1.92,0.81,0.27,0.13,178.44,67.14,-46.92,5
14.23,6.59,-8.9,-5.57,-2.94,-2.66,0.68,0.56,0.14,170.68,78.21,-40.84,5
11.76,8.23,-6.66,-4.9,-3.76,-3.64,0.81,0.43,0.13,156.04,78.27,-41.59,5
8.78,9.25,-5.02,-1.52,-3.49,-1.6,0.84,0.53,0.28,144.37,81.24,-46.25,5
5.88,9.37,-2.54,-2.03,-2.98,-1.17,0.94,0.55,0.39,111.22,79.64,-39.1,5
5.8,8.66,4.23,-4.11,-2.0,0.31,0.95,0.54,0.26,81.1,57.18,-16.93,5
0.47,6.04,5.25,-2.66,-1.17,2.0,1.4,0.51,0.0,56.11,0.2,-3.12,5
12.63,20.04,20.04,9.72,0.82,20.04,0.82,0.37,0.03,105.28,15.25,24.3,5
-1.09,2.54,14.86,-5.06,0.86,7.57,0.6,0.39,0.02,108.65,46.27,4.21,5
0.03,0.27,4.07,0.19,-2.23,5.06,0.65,0.4,0.2,69.62,35.85,0.06,5
0.39,1.37,1.45,2.51,-1.72,4.04,0.91,0.29,0.22,39.12,37.47,-15.33,5
2.54,1.72,0.86,-1.52,-1.01,2.82,0.97,0.46,0.21,14.28,22.42,-8.79,5
8.94,5.53,0.82,-5.88,1.01,2.0,1.05,0.57,0.0,-5.02,-16.14,10.87,5
12.59,5.02,-3.17,-11.96,3.76,0.5,1.27,0.33,0.21,15.84,-14.44,33.18,5
13.72,5.02,-2.15,-13.8,6.19,0.74,1.08,0.35,0.11,33.41,13.46,34.6,5
19.14,6.23,1.8,-13.53,10.35,3.76,0.96,0.54,0.17,51.75,14.09,22.12,5
17.37,9.64,6.51,-9.33,16.08,10.23,0.95,0.54,0.25,48.49,3.1,16.65,5
15.41,8.0,5.21,-9.92,15.65,7.84,1.05,0.38,0.26,70.27,-1.43,31.2,5
18.71,5.88,2.98,-14.23,11.57,4.0,1.04,0.37,0.34,105.72,11.19,47.26,5
18.67,4.94,1.6,-11.65,10.78,2.35,0.95,0.41,0.36,135.39,21.11,43.21,5
6.66,4.0,1.8,-11.1,8.78,0.54,0.88,0.43,0.31,159.47,25.92,43.51,5
3.64,5.96,0.35,-9.1,7.96,1.25,0.92,0.47,0.3,190.26,33.44,45.72,5
6.66,6.94,-1.37,-4.62,8.74,4.39,0.85,0.53,0.39,221.46,43.79,45.58,5
6.39,7.53,-2.03,-3.84,11.53,2.31,0.78,0.58,0.37,252.42,48.45,43.06,5
6.15,7.8,-3.72,-1.76,12.74,-1.29,0.92,0.63,0.37,252.42,55.02,45.82,5
9.76,9.61,-3.49,-2.47,14.94,-2.62,1.01,0.46,0.36,252.42,68.12,37.85,5
8.19,9.96,-2.9,-3.09,13.8,-4.47,0.99,0.69,0.19,252.42,74.45,49.25,5
5.41,10.63,-1.84,-3.96,13.1,-6.86,1.05,0.91,0.05,252.42,63.82,61.88,5
9.49,11.49,-1.45,-6.59,14.16,-8.94,1.16,0.99,0.12,252.42,44.4,31.52,5
10.43,10.86,-3.25,-8.0,14.12,-10.15,1.04,1.11,0.22,252.42,43.68,4.83,5
9.8,10.74,-2.19,-9.41,11.57,-11.84,0.75,1.21,0.0,252.42,24.97,3.41,5
7.37,8.74,-2.19,-11.1,6.98,-11.88,0.67,1.27,0.29,252.42,4.16,13.08,5
6.94,8.47,-3.05,-13.88,4.9,-10.39,1.0,1.05,0.68,252.42,-32.78,6.0,5
