d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
14.98,-4.66,-2.35,-8.55,-10.15,-2.54,1.27,0.39,0.05,184.55,55.47,53.77,5
14.35,-3.49,-3.05,-6.94,-10.63,-2.78,0.97,0.51,0.16,164.83,68.27,15.56,5
14.08,-1.29,-2.7,-7.1,-8.7,-1.13,0.78,0.52,0.14,142.22,66.67,-5.3,5
14.63,0.07,-2.07,-5.53,-8.08,-1.76,0.7,0.5,0.09,151.39,58.52,-1.28,5
10.15,1.56,-2.51,-3.96,-6.74,-1.72,0.81,0.5,0.19,139.83,51.84,-3.61,5
10.47,3.53,0.19,-3.49,-5.25,0.7,0.74,0.36,0.17,134.59,54.9,2.3,5
8.43,4.23,1.25,-2.43,-3.92,0.78,0.8,0.41,0.11,119.62,38.89,16.3,5
0.9,-7.53,20.04,12.31,-6.08,16.04,0.78,0.48,0.12,104.96,20.82,13.57,5
2.0,-4.43,7.21,-8.59,-6.82,3.96,0.94,0.49,0.06,94.68,12.18,19.49,5
0.78,-3.49,2.7,0.03,-6.27,3.21,1.01,0.38,0.14,81.98,19.53,6.72,5
6.08,-4.51,7.6,0.07,-6.43,5.06,0.96,0.43,0.15,73.44,20.65,0.54,5
9.88,-1.37,5.41,-8.27,-2.62,6.62,1.04,0.45,0.04,68.93,28.49,2.76,5
8.23,-3.64,-4.0,-12.16,-2.43,2.78,1.04,0.42,0.06,70.5,29.11,14.99,5
13.84,-2.86,-3.72,-14.55,-2.07,-1.64,0.97,0.44,0.02,54.11,7.31,33.83,5
16.39,-5.17,-1.01,-19.41,-1.41,2.74,0.94,0.46,0.0,40.51,-7.62,48.09,5
14.67,-6.19,0.43,-14.55,-3.02,6.62,1.0,0.37,0.08,46.72,-8.62,49.46,5
12.16,-7.76,-2.66,-13.49,-3.41,4.0,1.16,0.24,0.15,69.19,8.12,47.06,5
11.88,-7.68,-4.19,-13.61,-3.45,3.88,1.11,0.23,0.09,100.75,27.29,46.18,5
11.57,-7.21,-5.06,-11.92,-1.41,4.98,0.93,0.22,0.02,116.43,28.14,46.67,5
9.92,-6.31,-6.82,-11.29,0.43,2.74,0.88,0.2,0.01,114.78,22.15,35.88,5
10.0,-5.29,-5.84,-10.15,0.35,2.66,0.84,0.25,0.06,124.65,27.37,18.2,5
9.88,-4.66,-5.25,-10.04,0.23,3.09,0.8,0.26,0.05,148.74,38.66,1.19,5
8.78,-4.15,-5.13,-8.94,0.23,2.62,0.89,0.31,0.0,169.11,55.17,-7.06,5
8.08,-4.07,-4.11,-8.19,0.82,2.43,0.99,0.32,0.02,181.84,63.43,-6.55,5
7.8,-4.23,-3.8,-8.55,-2.15,2.35,1.02,0.38,0.03,178.44,58.97,6.03,5
7.49,-4.55,-3.8,-9.41,-2.78,2.27,0.89,0.43,0.01,197.13,67.18,17.01,5
8.66,-5.06,-3.92,-9.29,-3.45,2.43,0.82,0.42,0.07,197.94,68.7,7.47,5
8.7,-4.94,-3.56,-10.27,-3.02,2.0,0.76,0.47,0.07,205.3,85.11,-6.27,5
7.96,-4.94,-4.35,-10.0,-3.13,1.6,0.79,0.44,0.03,219.19,109.73,-3.56,5
7.88,-6.0,-4.74,-11.41,-4.07,0.35,1.17,0.77,0.14,223.77,100.16,32.53,5
7.96,-6.82,-4.9,-11.72,-4.82,0.39,1.34,0.72,0.04,205.34,57.69,63.61,5
9.33,-6.43,-4.94,-11.25,-4.74,0.7,1.12,0.44,0.0,241.3,64.06,69.38,5
11.29,-4.55,-4.11,-9.8,-4.23,0.7,0.86,0.55,0.15,247.43,64.66,58.05,5
11.88,-3.64,-4.51,-11.37,-4.23,0.74,0.72,0.82,0.16,238.9,56.61,34.14,5
12.0,-3.53,-4.07,-11.88,-3.8,0.43,0.78,0.78,0.01,252.42,57.7,30.21,5
11.49,-3.37,-3.6,-11.61,-3.45,0.11,0.87,0.68,0.02,252.42,67.03,22.93,5
10.82,-3.49,-4.31,-11.14,-3.09,0.03,0.84,0.75,0.02,252.42,71.2,24.83,5
10.66,-3.76,-4.07,-11.41,-2.9,0.62,0.77,0.68,0.07,252.42,63.02,35.46,5
11.29,-3.17,-4.23,-11.33,-3.02,0.15,0.9,0.56,0.01,252.42,64.99,40.5,5
11.49,-2.58,-5.02,-10.47,-3.88,0.66,1.16,0.62,0.11,252.42,79.96,43.05,5
12.12,-2.47,-5.06,-10.08,-3.56,0.27,0.91,0.69,0.29,252.42,77.66,54.61,5
12.27,-2.66,-5.09,-10.82,-3.37,0.03,0.75,0.67,0.28,252.42,45.92,60.73,5
12.35,-2.98,-4.98,-12.27,-3.33,0.58,0.84,0.52,0.13,252.42,30.11,38.53,5
11.96,-2.62,-4.9,-12.67,-3.09,0.66,0.86,0.42,0.03,252.42,49.09,0.46,5
12.19,-2.43,-4.39,-12.67,-3.37,0.66,0.85,0.52,0.04,252.42,77.85,-2.94,5
11.8,-2.74,-4.11,-11.92,-3.64,0.27,0.79,0.67,0.19,252.42,98.02,0.82,5
11.68,-3.33,-4.27,-11.14,-4.0,0.19,0.72,0.78,0.26,252.42,94.62,0.72,5
11.8,-3.76,-3.76,-10.78,-4.66,0.86,0.82,0.53,0.33,250.84,82.5,-5.89,5
12.51,-3.92,-3.37,-10.74,-4.66,0.43,0.83,0.21,0.18,230.88,90.37,-14.49,5
12.08,-3.21,-3.05,-9.13,-4.55,0.62,0.58,0.2,0.1,216.88,114.35,-28.77,5
11.14,-5.57,-4.07,-8.0,-6.27,-1.92,0.36,0.79,0.14,175.88,95.65,-14.28,5
13.45,-7.88,-3.09,-8.94,-10.59,-2.27,1.13,1.1,0.2,140.63,33.59,9.98,5
12.43,-7.64,-2.62,-9.76,-10.47,-1.13,1.99,0.42,0.39,225.32,79.84,-15.98,5
12.82,-6.19,-1.96,-8.55,-10.43,-2.31,1.11,0.67,0.1,188.35,91.97,11.1,5
12.94,-3.09,0.58,-5.76,-9.49,-1.41,0.99,0.57,0.21,147.22,64.45,18.27,5
9.29,-1.56,-1.76,-6.27,-8.59,-1.25,0.66,0.43,0.28,108.51,40.7,32.0,5
11.17,-1.33,-2.0,-5.57,-8.55,-2.0,0.69,0.24,0.05,72.76,2.41,25.63,5
10.66,0.19,-1.56,-3.41,-8.15,-2.27,0.98,0.23,0.06,71.4,17.87,24.95,5
8.39,0.31,-3.33,-3.09,-8.66,-2.7,0.76,0.56,0.01,83.73,36.37,21.55,5
11.25,0.66,0.07,-4.66,-6.74,0.54,0.96,0.41,0.05,80.33,25.79,18.37,5
7.53,0.39,2.7,-4.47,-5.33,1.13,0.96,0.48,0.1,53.81,20.3,9.53,5
9.13,-7.37,20.04,-3.64,2.62,20.04,0.85,0.45,0.02,75.17,14.86,8.57,5
2.7,-8.0,4.35,-16.08,-7.25,2.43,1.19,0.23,0.01,68.65,3.89,45.4,5
8.86,-3.64,1.41,0.27,-8.19,5.45,1.12,0.25,0.3,72.99,15.81,40.54,5
9.61,-4.94,5.45,-3.33,-6.0,6.7,0.77,0.34,0.28,36.65,-8.27,20.64,5
10.78,-3.92,1.72,-5.37,-5.45,6.31,0.68,0.25,0.15,6.88,-20.7,-5.76,5
8.39,-4.66,3.05,-10.74,-4.78,5.06,0.75,0.29,0.04,-18.56,-12.88,-14.49,5
