d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
1.52,-3.17,-3.29,0.98,4.27,1.21,0.89,0.36,0.13,15.9,16.91,-7.3,9
2.15,-3.64,-3.8,0.9,2.11,0.7,0.9,0.38,0.14,28.55,23.21,-3.53,9
2.66,-2.7,-2.62,0.78,0.07,0.98,0.92,0.31,0.23,37.2,24.68,-1.67,9
1.17,-1.17,0.94,0.35,-2.62,-1.41,0.9,0.33,0.3,31.94,21.64,3.87,9
0.23,0.62,0.62,0.47,-4.27,-2.31,0.89,0.31,0.36,24.22,14.85,9.89,9
-2.23,2.39,-1.09,0.39,-5.02,-3.05,0.95,0.27,0.41,19.43,14.73,13.1,9
-1.21,5.84,0.5,-1.17,-2.66,-3.72,0.96,0.27,0.45,11.6,10.59,16.25,9
-1.13,11.17,7.37,-3.49,-1.41,-3.96,0.9,0.3,0.45,-9.19,-5.93,21.24,9
1.52,12.04,10.39,-6.7,2.15,-2.98,1.03,0.3,0.28,-25.6,-39.07,28.1,9
4.15,17.45,16.39,-17.25,4.78,3.25,1.18,0.27,0.02,-27.86,-39.43,25.08,9
-1.37,18.51,17.84,-20.08,6.62,2.82,1.06,0.32,0.03,-17.7,-22.94,38.43,9
12.7,18.86,20.04,-20.08,10.82,5.13,0.95,0.26,0.08,-6.53,-23.92,28.85,9
13.1,17.41,20.04,-20.08,12.43,9.68,0.84,0.33,0.17,1.58,-11.48,19.34,9
15.61,14.55,20.04,-17.84,14.82,16.08,0.99,0.28,0.07,22.89,-10.93,15.09,9
19.14,11.68,14.08,-16.47,20.04,14.86,0.92,0.33,0.09,40.2,6.08,-5.46,9
17.73,9.88,8.98,-7.25,18.16,15.1,0.83,0.36,0.15,41.29,8.34,-16.66,9
16.23,7.1,4.35,-4.98,13.76,13.88,0.81,0.39,0.07,47.97,16.03,-18.17,9
13.14,6.15,1.96,-5.96,12.16,10.43,0.85,0.41,0.06,46.36,23.4,-19.3,9
10.47,2.66,-1.13,-4.19,10.86,9.33,0.84,0.42,0.15,36.62,32.5,-24.27,9
5.64,0.39,-2.11,-2.86,8.08,7.17,0.91,0.46,0.17,24.91,37.24,-28.77,9
1.88,-5.33,-3.41,-3.53,6.27,4.7,0.97,0.48,0.08,20.72,37.78,-32.87,9
2.66,-5.53,-2.86,-2.39,4.39,4.94,0.89,0.46,0.07,22.15,36.39,-33.06,9
2.23,-7.37,-2.7,-4.9,3.02,3.68,0.91,0.51,0.05,28.75,50.41,-28.78,9
2.35,-8.19,-2.47,-2.66,0.35,1.8,1.02,0.57,0.04,34.78,58.35,-18.23,9
3.25,-7.49,-1.49,-3.68,-1.6,1.17,1.3,0.63,0.06,35.24,55.89,-3.01,9
2.62,-6.08,0.23,-1.56,-4.98,1.05,1.13,0.5,0.1,54.42,44.67,-5.21,9
2.19,-4.07,1.96,-3.13,-5.49,1.68,0.83,0.4,0.03,61.97,34.1,-6.43,9
3.33,-2.43,1.45,-2.74,-3.56,0.43,0.91,0.44,0.01,71.73,29.53,9.18,9
0.86,1.41,4.86,-3.17,-2.78,0.15,1.07,0.37,0.13,76.64,35.62,27.21,9
2.66,4.35,4.31,-5.25,-4.19,0.0,0.9,0.36,0.34,65.13,24.43,33.33,9
-1.45,5.8,6.08,-4.58,-1.33,0.27,0.7,0.45,0.37,26.04,-20.54,27.4,9
0.07,9.61,7.57,-2.78,0.27,0.58,0.9,0.28,0.32,5.04,-41.68,27.82,9
-4.66,11.57,9.8,-4.78,1.8,3.02,0.94,0.21,0.35,-17.51,-36.81,25.74,9
-2.23,13.06,10.78,-6.78,6.27,4.62,0.88,0.27,0.22,-37.59,-32.84,19.49,9
-1.68,13.18,10.66,-11.92,9.8,4.9,0.73,0.34,0.15,-55.22,-41.51,10.64,9
0.19,13.29,12.59,-14.9,11.37,6.08,0.92,0.23,0.05,-54.02,-47.54,9.4,9
-1.29,12.82,13.53,-18.08,10.9,4.98,1.0,0.11,0.1,-35.28,-39.69,8.65,9
0.47,14.27,14.04,-18.75,10.51,2.74,0.98,0.22,0.02,-24.9,-28.57,7.34,9
0.5,12.63,12.35,-16.9,13.96,3.53,1.11,0.38,0.04,-17.11,-23.97,10.76,9
4.27,9.88,11.06,-15.14,17.25,1.84,1.25,0.48,0.12,-22.12,-24.48,6.59,9
6.27,6.98,10.35,-12.16,17.33,2.94,1.08,0.34,0.22,-19.48,-20.04,-3.98,9
6.62,4.43,9.53,-5.6,17.37,4.31,0.94,0.25,0.13,-8.27,-12.0,0.5,9
5.06,3.53,8.31,-4.43,16.23,6.9,0.93,0.32,0.11,-6.25,-4.92,9.51,9
5.33,3.45,7.68,0.58,16.63,8.35,0.96,0.4,0.07,-35.46,-7.18,10.71,9
5.49,5.45,9.84,0.58,15.25,6.82,0.92,0.35,0.07,-54.76,-12.24,5.66,9
6.43,7.96,10.35,-1.6,13.84,7.1,0.89,0.27,0.05,-72.54,-18.14,-5.27,9
3.72,12.74,13.18,-1.88,10.43,8.19,0.85,0.33,0.02,-90.34,-26.27,-10.55,9
1.29,17.1,15.14,-9.88,11.53,8.35,0.95,0.32,0.05,-104.08,-28.27,-7.59,9
0.58,16.74,14.67,-14.94,14.74,8.15,1.01,0.39,0.1,-115.59,-25.27,-6.1,9
-2.15,15.14,12.74,-16.04,16.71,5.21,1.09,0.39,0.13,-112.33,-14.94,-2.3,9
0.62,13.33,10.0,-14.27,16.04,2.66,1.07,0.37,0.21,-100.31,-14.07,-2.14,9
-2.31,11.72,7.45,-10.39,13.21,1.6,0.98,0.21,0.2,-80.7,-14.33,-3.65,9
-1.37,11.17,4.94,-8.0,9.92,-1.13,0.97,0.22,0.13,-54.47,-8.77,-6.07,9
-1.29,9.02,2.7,-6.27,3.88,-2.62,0.88,0.25,0.06,-36.07,-2.17,-11.52,9
0.39,6.66,1.09,-6.04,-1.8,-2.03,0.9,0.33,0.02,-36.55,-7.85,-19.75,9
2.54,3.02,0.47,-5.64,-3.72,-1.72,0.91,0.38,0.03,-39.44,-15.58,-19.97,9
2.98,0.82,0.66,-6.62,-2.94,0.58,0.95,0.37,0.09,-40.5,-22.52,-12.46,9
2.03,-1.29,0.82,-6.9,-1.68,-1.01,0.93,0.43,0.13,-36.64,-23.54,-8.28,9
2.35,0.03,1.25,-6.78,0.5,0.11,0.98,0.42,0.16,-34.79,-25.37,-6.7,9
4.82,-1.01,1.68,-6.59,2.27,0.5,0.99,0.42,0.25,-26.02,-19.27,-1.87,9
7.76,0.15,4.23,-5.02,3.25,0.5,0.92,0.42,0.23,-13.25,-12.07,0.41,9
11.14,0.66,6.86,-7.6,7.72,3.33,0.94,0.41,0.15,-4.62,-7.09,0.63,9
14.23,1.84,13.65,-3.29,10.31,5.57,0.9,0.38,0.05,-11.42,-10.17,-2.87,9
12.39,1.64,14.98,0.54,12.55,12.27,1.0,0.35,0.04,-21.66,-9.06,0.58,9
14.94,1.05,14.23,4.74,14.7,16.59,1.1,0.4,0.16,-46.53,-18.82,3.66,9
11.88,5.64,17.65,6.51,16.23,19.8,1.11,0.44,0.11,-57.81,-26.08,14.5,9
8.11,9.92,20.04,2.35,18.78,20.04,1.03,0.3,0.03,-42.92,-12.9,13.53,9
2.39,10.98,20.04,-2.07,19.92,20.04,0.97,0.24,0.05,-24.08,-7.03,16.52,9
2.39,12.94,18.47,-7.37,19.61,20.04,0.95,0.27,0.02,-15.06,-11.81,14.43,9
-4.04,12.94,16.82,-14.23,17.96,18.2,0.95,0.3,0.01,-2.89,1.95,10.24,9
-3.13,10.55,10.82,-15.41,15.45,11.17,1.06,0.26,0.14,8.7,35.24,12.49,9
-4.9,6.86,6.15,-11.8,9.17,4.82,0.88,0.26,0.2,15.55,43.61,5.69,9
-3.72,5.02,4.94,-7.8,4.86,0.58,0.65,0.4,0.19,-3.38,33.85,-16.47,9
-2.03,3.41,3.84,-5.13,0.82,-2.66,0.68,0.34,0.16,-15.47,22.24,-33.71,9
0.5,0.7,1.21,-4.58,-1.96,-2.31,0.82,0.31,0.14,-17.59,13.23,-41.77,9
