d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.19,9.49,1.17,-2.43,9.84,2.9,0.96,0.31,0.15,-5.71,0.2,0.33,0
2.31,9.57,1.37,-2.43,9.8,2.98,0.98,0.32,0.14,-7.11,0.75,0.3,0
2.15,9.57,1.64,-2.51,9.76,2.9,0.97,0.32,0.14,-6.48,0.86,1.14,0
1.96,9.53,1.72,-2.58,9.76,2.7,0.97,0.32,0.13,-7.28,0.38,1.37,0
2.03,9.61,1.72,-2.51,9.64,2.7,0.98,0.32,0.15,-9.23,0.18,1.97,0
2.19,9.49,1.64,-2.47,9.61,2.86,0.99,0.31,0.14,-9.69,0.59,2.46,0
2.62,9.45,1.6,-2.47,9.64,2.86,0.98,0.31,0.14,-9.5,1.15,2.88,0
2.62,9.41,1.52,-2.47,9.64,2.9,0.98,0.31,0.14,-9.57,0.7,3.92,0
2.62,9.57,1.41,-2.39,9.57,2.82,0.98,0.31,0.14,-8.31,0.41,3.73,0
2.58,9.64,1.37,-2.47,9.57,2.86,0.98,0.3,0.14,-8.15,0.49,3.92,0
2.39,9.64,1.29,-2.43,9.45,2.74,0.99,0.31,0.14,-6.76,0.24,4.54,0
2.54,9.57,1.37,-2.35,9.41,2.74,0.98,0.31,0.13,-5.85,-1.45,5.27,0
2.47,9.53,1.25,-2.43,9.64,2.7,0.98,0.3,0.12,-7.82,-2.5,4.91,0
2.27,9.53,1.45,-2.35,9.68,2.82,0.99,0.31,0.12,-9.19,-1.89,4.05,0
2.23,9.57,1.33,-2.39,9.84,2.86,0.99,0.28,0.13,-9.05,0.21,3.25,0
2.51,9.45,1.52,-2.39,9.84,2.86,0.99,0.28,0.13,-7.09,0.8,2.34,0
2.62,9.57,1.21,-2.27,9.8,2.94,0.99,0.29,0.12,-6.89,0.63,1.6,0
2.7,9.45,1.25,-2.19,9.76,2.94,0.98,0.28,0.12,-8.21,0.52,1.05,0
2.54,9.41,1.13,-2.23,9.68,2.9,0.99,0.28,0.11,-7.79,0.73,1.29,0
2.43,9.41,1.09,-2.15,9.57,3.05,1.0,0.28,0.11,-7.79,0.54,1.65,0
2.58,9.49,1.01,-2.11,9.57,3.02,1.0,0.28,0.11,-8.17,0.0,2.46,0
2.74,9.57,1.05,-2.0,9.49,3.13,0.98,0.27,0.11,-7.46,0.3,2.55,0
2.7,9.41,1.05,-1.96,9.41,3.17,0.99,0.26,0.11,-6.65,1.27,1.83,0
2.54,9.45,0.82,-2.0,9.45,3.13,0.99,0.26,0.1,-5.38,1.4,1.66,0
2.62,9.41,0.74,-2.03,9.68,3.17,0.99,0.26,0.1,-5.44,1.23,2.06,0
2.86,9.53,0.78,-2.11,9.76,3.37,1.0,0.25,0.09,-3.86,1.66,2.5,0
2.66,9.45,0.78,-2.07,9.76,3.17,1.0,0.25,0.07,-3.05,2.31,3.38,0
2.7,9.53,0.74,-2.15,9.68,3.25,1.0,0.24,0.06,-2.58,1.43,3.54,0
2.7,9.53,0.78,-2.27,9.53,3.21,1.01,0.22,0.05,-3.82,1.2,5.27,0
2.62,9.72,0.54,-2.31,9.45,3.25,1.0,0.23,0.05,-4.11,0.62,7.55,0
2.58,9.92,0.5,-2.11,9.53,3.17,1.0,0.22,0.07,-3.77,0.14,6.71,0
2.62,9.92,0.66,-1.88,9.57,3.33,1.02,0.2,0.06,0.44,0.35,4.02,0
2.7,10.08,0.43,-1.8,9.64,3.45,1.02,0.2,0.04,0.88,0.48,3.08,0
2.82,10.08,0.47,-1.76,9.68,3.56,1.01,0.2,0.05,0.66,0.29,3.84,0
2.78,9.92,0.31,-1.92,9.72,3.56,1.01,0.2,0.05,0.87,0.8,3.33,0
2.86,9.76,0.27,-1.96,9.68,3.56,1.01,0.2,0.05,0.99,0.36,1.18,0
2.74,9.88,0.27,-1.96,9.84,3.6,1.02,0.2,0.07,4.39,1.41,-1.14,0
2.74,9.88,0.23,-1.88,9.76,3.56,1.02,0.19,0.06,9.49,3.2,-1.69,0
2.9,9.84,0.11,-1.84,9.64,3.88,1.01,0.2,0.05,11.78,3.73,-2.01,0
2.98,9.61,0.15,-1.68,9.53,3.6,1.01,0.2,0.04,13.0,4.16,-1.37,0
2.98,9.64,0.27,-1.84,9.57,3.6,1.01,0.2,0.02,12.94,5.23,0.25,0
2.9,9.68,0.19,-1.8,9.49,3.53,1.01,0.2,0.02,11.71,5.24,0.66,0
2.78,9.64,0.39,-1.72,9.33,3.49,1.0,0.19,0.01,10.86,4.38,1.57,0
2.78,9.76,0.23,-1.88,9.37,3.45,1.01,0.18,0.02,12.04,4.1,1.8,0
2.78,9.68,0.23,-1.88,9.25,3.49,1.0,0.18,0.01,10.89,3.0,2.58,0
2.66,9.76,0.23,-1.96,9.29,3.56,0.99,0.18,0.0,7.1,1.5,2.01,0
2.58,9.88,0.15,-1.96,9.33,3.53,1.0,0.18,0.0,3.63,0.27,0.52,0
2.54,10.04,0.11,-1.96,9.33,3.68,1.01,0.19,0.03,2.75,0.23,0.89,0
2.58,10.08,0.03,-2.0,9.53,3.92,1.0,0.2,0.02,4.17,0.17,-2.59,0
2.54,9.8,0.19,-2.03,9.53,3.68,1.0,0.21,0.05,4.12,0.43,-5.21,0
2.51,9.8,0.11,-2.19,9.68,3.45,1.01,0.22,0.05,4.46,1.8,-6.85,0
2.54,9.72,0.19,-2.19,9.64,3.72,1.01,0.23,0.05,6.14,2.4,-6.7,0
2.47,9.72,0.23,-2.23,9.68,3.64,1.01,0.25,0.07,6.26,2.31,-6.72,0
2.39,9.72,0.35,-2.23,9.72,3.49,1.01,0.25,0.06,6.17,1.87,-6.56,0
2.43,9.72,0.47,-2.23,9.64,3.45,1.0,0.25,0.06,7.66,2.02,-5.85,0
2.43,9.49,0.7,-2.35,9.41,3.33,0.99,0.25,0.05,8.36,2.96,-5.57,0
2.47,9.57,0.94,-2.31,9.41,3.25,1.01,0.26,0.07,7.78,3.47,-5.99,0
2.39,9.76,1.13,-2.39,9.57,3.29,1.0,0.26,0.06,7.59,2.43,-5.01,0
2.27,9.8,1.37,-2.35,9.61,3.13,1.0,0.26,0.05,6.4,0.57,-2.42,0
2.35,9.92,1.45,-2.47,9.61,3.17,1.01,0.26,0.06,4.71,-1.04,-1.58,0
2.47,10.04,1.25,-2.47,9.64,3.17,1.01,0.26,0.06,3.32,-1.09,-2.35,0
2.58,10.08,1.05,-2.51,9.68,3.49,1.01,0.25,0.07,4.59,0.96,-1.79,0
2.51,9.57,0.98,-2.43,9.61,3.41,1.0,0.27,0.06,6.1,-2.41,0.21,0
2.27,9.45,0.78,-2.31,9.37,3.41,0.99,0.27,0.08,6.21,-2.95,1.61,0
2.23,9.37,0.9,-2.19,9.45,3.41,0.97,0.25,0.08,5.98,-1.78,0.83,0
2.19,9.29,0.62,-2.11,9.41,3.25,0.98,0.26,0.07,6.81,0.46,0.39,0
2.31,9.29,0.47,-2.19,9.45,3.17,1.0,0.27,0.09,8.27,0.29,0.01,0
2.47,9.45,0.35,-2.23,9.49,3.13,1.01,0.25,0.07,8.62,0.3,1.69,0
2.58,9.61,0.35,-2.27,9.8,3.09,1.0,0.26,0.06,9.33,1.08,2.76,0
2.74,9.41,0.31,-2.23,9.72,3.09,0.99,0.26,0.08,6.8,1.82,3.08,0
2.74,9.41,0.43,-2.23,9.64,3.13,0.98,0.25,0.08,4.52,2.27,3.18,0
2.66,9.37,0.43,-2.15,9.64,3.33,0.99,0.24,0.08,6.36,3.59,2.59,0
2.51,9.45,0.39,-2.03,9.64,3.45,0.99,0.26,0.07,6.84,4.58,3.14,0
2.51,9.45,0.27,-2.03,9.61,3.37,0.98,0.25,0.08,4.48,4.19,4.3,0
2.51,9.45,0.39,-2.0,9.49,3.49,0.98,0.26,0.08,3.63,4.53,4.34,0
2.78,9.57,0.74,-2.03,9.21,3.45,0.96,0.25,0.09,3.19,4.85,2.79,0
2.11,9.96,2.03,-2.0,9.21,3.37,0.97,0.25,0.09,1.37,4.39,1.32,0
1.13,10.31,3.02,-1.96,9.61,3.29,1.03,0.27,0.09,0.64,4.54,0.63,0
1.13,10.15,2.51,-1.96,9.8,3.33,1.03,0.28,0.07,0.41,3.36,0.94,0
2.23,10.19,1.29,-2.07,9.72,3.09,1.01,0.29,0.09,-2.34,1.37,0.91,0
2.43,10.08,1.05,-2.39,9.64,2.98,1.0,0.29,0.11,-5.05,0.38,-2.1,0
2.11,9.88,0.9,-2.58,9.64,2.94,1.0,0.29,0.11,-2.82,0.02,-4.14,0
1.72,9.72,0.7,-2.62,9.57,2.98,1.0,0.28,0.11,0.39,1.43,-5.13,0
1.8,9.49,1.01,-2.47,9.64,3.02,0.99,0.28,0.09,2.77,2.5,-5.65,0
1.76,9.53,1.21,-2.43,9.64,3.09,0.99,0.29,0.09,2.88,3.48,-6.24,0
1.96,9.57,1.33,-2.47,9.68,2.86,0.98,0.28,0.08,0.33,3.37,-6.17,0
1.8,9.68,1.25,-2.51,9.68,2.58,1.0,0.28,0.08,-1.09,3.17,-5.69,0
1.8,9.92,1.17,-2.54,9.61,2.66,1.01,0.28,0.08,-3.15,2.67,-4.78,0
2.15,9.96,1.29,-2.54,9.61,2.62,0.99,0.29,0.08,-4.57,0.85,-2.8,0
2.47,9.8,1.13,-2.51,9.61,2.74,0.98,0.29,0.08,-5.85,-1.65,0.81,0
