d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-1.49,-2.58,-2.7,-8.78,5.96,19.84,0.98,0.22,0.02,-13.32,13.24,-4.87,8
0.47,-3.05,-2.58,-9.92,5.96,15.65,1.18,0.3,0.01,-19.73,13.46,0.95,8
3.68,-2.66,-2.35,-10.35,5.92,10.74,1.33,0.4,0.05,-24.6,5.09,9.85,8
4.07,-3.29,0.5,-12.74,4.58,5.68,1.14,0.38,0.11,-22.62,-9.53,23.34,8
3.76,-3.17,4.04,-15.1,2.94,3.6,0.92,0.32,0.1,-15.5,-13.95,29.08,8
5.88,-1.01,7.17,-9.84,2.31,3.41,0.85,0.32,0.1,-18.93,-10.62,31.53,8
6.04,1.37,10.82,-5.72,1.96,1.13,0.89,0.35,0.14,-21.37,-5.03,26.41,8
4.07,2.23,14.7,0.9,0.58,2.51,0.99,0.34,0.15,-7.11,-1.65,18.16,8
2.62,3.21,19.18,3.17,-3.25,3.76,1.01,0.28,0.13,12.96,-1.31,14.26,8
2.9,2.9,20.04,1.25,-3.72,2.62,0.92,0.24,0.09,23.96,0.14,7.46,8
2.15,2.54,20.04,0.74,-2.43,2.78,0.82,0.19,0.08,25.15,0.48,-2.4,8
3.88,3.45,18.78,2.27,-1.56,3.45,0.86,0.18,0.06,22.16,0.66,-13.81,8
5.17,5.72,14.12,1.6,0.39,4.78,1.05,0.2,0.09,18.04,1.02,-19.81,8
7.68,6.39,13.57,1.33,1.52,5.13,1.24,0.24,0.04,24.2,0.4,-18.98,8
3.8,4.74,12.82,2.35,3.8,5.72,1.19,0.23,0.01,29.26,-5.07,-5.78,8
1.37,2.9,10.94,0.11,4.43,7.53,0.95,0.22,0.02,28.74,-1.94,-1.09,8
1.09,3.13,8.23,-3.53,4.94,9.61,0.75,0.18,0.01,25.22,0.54,-9.16,8
1.8,3.45,6.43,-4.23,4.74,12.39,0.73,0.18,0.01,18.23,0.44,-20.2,8
3.13,3.21,2.7,-7.88,8.78,9.53,0.93,0.26,0.07,14.26,0.6,-18.91,8
2.47,2.58,0.07,-14.16,10.08,10.27,1.31,0.32,0.09,12.48,-5.39,-9.34,8
-2.51,0.0,-5.17,-11.41,11.06,13.29,1.29,0.35,0.12,3.98,0.41,0.01,8
-3.05,-3.6,-10.35,-9.45,8.59,14.74,1.04,0.27,0.02,-3.5,6.24,4.62,8
3.84,-4.04,-7.02,-10.51,6.35,17.8,0.85,0.21,0.02,-7.95,10.93,0.5,8
1.17,-3.02,2.51,-14.16,6.7,17.53,0.84,0.21,0.06,-20.09,8.55,-4.78,8
1.84,-2.19,2.98,-11.45,7.76,14.27,1.04,0.22,0.01,-14.97,7.54,-1.85,8
3.68,-1.37,4.43,-8.82,8.11,11.57,1.19,0.35,0.03,-14.69,8.02,7.91,8
4.58,0.27,7.02,-8.9,7.96,10.59,1.12,0.38,0.01,-24.43,0.45,20.43,8
5.09,3.05,9.96,-7.37,5.8,9.21,1.01,0.31,0.11,-35.11,-10.52,31.47,8
1.84,4.51,13.41,-5.88,4.07,6.94,1.05,0.31,0.12,-26.47,-19.94,31.62,8
0.54,2.94,17.02,-4.0,2.27,3.49,0.93,0.25,0.14,-7.17,-16.07,32.3,8
1.45,2.54,19.29,0.03,0.07,0.74,0.83,0.2,0.09,0.41,-6.96,20.98,8
3.41,4.07,19.57,2.74,-2.19,0.23,0.9,0.23,0.09,-5.78,-6.26,8.1,8
5.57,4.58,19.92,3.84,-2.39,1.56,0.96,0.21,0.08,-4.12,1.14,0.81,8
2.9,3.64,16.63,3.21,-1.37,2.54,0.92,0.27,0.08,-4.61,3.85,-6.27,8
1.88,3.84,14.31,2.9,-1.33,3.13,0.89,0.28,0.15,-2.4,5.82,-18.56,8
1.96,3.96,13.88,1.76,0.07,6.04,0.88,0.26,0.14,4.17,9.46,-31.83,8
4.82,4.58,11.14,0.58,1.09,9.68,0.92,0.27,0.12,9.75,10.32,-38.4,8
5.72,5.17,9.76,0.31,2.39,4.66,1.0,0.29,0.06,15.58,13.11,-38.75,8
3.02,4.66,7.8,2.51,6.19,4.78,1.12,0.27,0.03,14.96,9.31,-34.7,8
