d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
5.96,9.92,1.52,-11.02,2.07,6.35,0.89,0.45,0.1,-180.78,-38.08,-15.87,2
2.94,10.27,3.41,-10.82,1.6,5.72,0.75,0.37,0.16,-190.11,-44.77,-26.22,2
2.54,10.47,3.8,-10.27,1.05,4.51,0.65,0.42,0.11,-195.64,-41.53,-39.2,2
4.23,8.23,2.54,-8.51,0.19,4.31,0.57,0.48,0.08,-206.57,-33.17,-50.33,2
0.98,7.92,0.11,-8.0,-2.62,4.9,0.69,0.53,0.15,-211.11,-41.22,-43.72,2
11.41,8.94,-1.76,-10.31,-6.0,7.33,1.55,0.49,0.0,-173.07,-58.41,-28.36,2
12.63,7.88,-3.25,-11.96,-6.08,11.65,1.52,0.64,0.13,-175.59,-23.22,-33.78,2
9.49,8.08,0.9,-9.33,-6.9,10.47,1.29,0.49,0.17,-161.09,-46.88,9.72,2
9.76,8.86,4.9,-7.21,-6.39,8.74,1.18,0.52,0.22,-160.6,-39.53,13.03,2
9.96,7.84,5.53,-5.8,-5.09,6.86,0.95,0.54,0.21,-170.53,-26.2,-3.59,2
6.78,6.59,3.84,-6.39,-3.02,4.55,0.7,0.54,0.19,-193.05,-29.46,-19.74,2
3.56,4.86,3.17,-4.35,0.7,5.33,0.65,0.32,0.07,-202.18,-44.56,-18.79,2
2.82,4.43,3.21,0.86,3.02,2.7,0.71,0.28,0.0,-173.19,-46.16,-9.64,2
5.25,5.25,1.21,7.21,0.03,1.6,0.77,0.29,0.1,-151.37,-42.5,0.82,2
7.13,6.51,1.21,11.25,-2.31,2.23,0.81,0.35,0.04,-118.09,-32.42,-15.52,2
11.17,7.1,3.02,10.35,-2.43,0.19,0.79,0.27,0.05,-85.6,-35.1,-31.59,2
12.35,5.37,5.29,6.82,0.82,0.11,0.67,0.3,0.07,-72.11,-33.93,-46.88,2
6.19,3.84,2.51,3.09,0.9,1.96,0.49,0.29,0.12,-66.11,-32.69,-45.7,2
1.49,3.92,2.47,-15.1,0.98,8.86,1.09,0.35,0.18,-69.84,-33.39,-26.17,2
0.78,7.84,3.96,-20.08,6.82,17.14,1.87,0.8,0.07,-55.14,-19.6,-14.38,2
10.9,10.98,6.47,-20.08,2.98,20.04,1.41,0.53,0.08,-36.02,-41.97,-38.87,2
13.29,12.08,5.21,-20.08,-11.88,16.82,1.67,0.57,0.38,2.84,-14.33,-5.31,2
8.39,7.6,4.19,-14.74,-7.76,10.7,1.28,0.29,0.36,15.59,27.19,6.18,2
7.41,5.06,4.94,-6.82,-3.8,6.0,0.89,0.21,0.27,45.85,23.45,8.86,2
4.86,4.51,3.17,-4.0,0.9,2.58,0.75,0.21,0.02,70.49,23.72,0.71,2
2.11,4.51,1.56,1.41,4.19,0.7,0.83,0.04,0.08,72.78,28.31,5.61,2
2.82,4.98,0.66,8.7,4.15,-3.29,0.41,0.39,0.17,64.35,20.48,4.73,2
4.0,5.21,2.35,17.76,2.0,-4.74,0.63,0.22,0.22,39.1,-10.78,15.25,2
1.92,5.25,4.7,18.47,1.92,-4.86,1.03,0.08,0.02,34.34,5.03,15.09,2
5.45,6.0,3.53,12.98,4.31,-3.29,0.93,0.28,0.03,7.3,-2.99,14.57,2
7.96,7.02,3.72,5.25,8.43,0.82,0.71,0.37,0.02,20.2,-24.0,12.6,2
6.62,7.02,5.53,-4.23,11.92,1.76,0.69,0.24,0.11,38.91,-20.01,8.17,2
7.88,5.84,4.35,-3.92,16.67,4.31,1.0,0.42,0.21,44.33,14.4,17.48,2
5.41,6.15,3.17,-16.35,20.04,12.78,1.78,0.54,0.41,67.9,47.69,8.44,2
12.16,8.47,3.96,-20.08,20.04,16.82,1.68,0.58,0.21,81.17,14.85,-25.56,2
14.67,12.7,4.55,-20.08,20.04,10.43,1.62,0.63,0.17,116.74,-13.9,53.34,2
7.72,11.33,3.6,-13.29,15.92,10.78,1.18,0.64,0.19,115.93,13.72,61.63,2
2.7,7.68,2.82,-7.21,10.55,8.27,0.84,0.45,0.1,132.02,27.88,55.78,2
2.7,5.25,1.88,-7.33,7.29,5.76,0.53,0.18,0.08,146.1,35.95,46.79,2
3.53,4.07,0.11,-7.6,4.7,4.94,0.44,0.04,0.02,160.94,41.37,42.37,2
4.47,4.23,-1.41,-5.92,4.11,4.86,0.45,0.03,0.13,182.13,51.56,46.15,2
5.17,5.02,-1.13,-6.55,3.72,4.51,0.76,0.19,0.23,170.07,44.72,46.85,2
6.0,5.8,-1.49,-7.53,4.94,5.92,0.98,0.24,0.27,135.28,34.71,0.3,2
8.27,8.94,-3.29,-9.41,5.13,5.72,0.99,0.48,0.19,74.48,6.34,-23.2,2
6.35,12.08,-1.88,-8.23,5.37,4.31,1.09,0.28,0.15,33.01,-12.24,-19.13,2
7.06,9.64,1.21,-6.31,5.29,3.45,1.3,0.07,0.06,91.6,0.22,-16.04,2
6.62,7.68,4.58,-3.21,4.35,2.78,1.1,0.05,0.06,134.17,25.74,-12.39,2
7.64,6.47,3.33,-4.39,5.33,3.13,1.06,0.13,0.19,166.3,41.6,10.74,2
4.23,4.94,2.35,-7.53,6.39,4.55,0.93,0.2,0.15,152.02,58.33,-3.67,2
4.23,4.47,6.47,-7.49,7.49,5.13,0.84,0.22,0.17,146.03,50.24,0.17,2
11.68,3.84,2.03,-6.19,6.82,4.82,1.02,0.29,0.15,168.1,57.18,13.36,2
11.33,3.29,0.27,-4.31,6.59,4.55,0.97,0.26,0.14,182.06,68.21,10.98,2
12.0,2.66,0.58,-5.25,8.08,5.6,0.83,0.24,0.03,198.99,80.0,5.62,2
14.08,4.98,0.27,-3.88,8.39,5.84,0.83,0.31,0.04,220.18,100.52,-1.4,2
20.04,8.19,-1.6,-2.47,8.39,5.88,0.81,0.5,0.09,206.39,103.24,-10.52,2
13.72,7.17,0.03,-3.25,9.41,5.8,0.82,0.62,0.15,157.26,64.42,-9.85,2
20.04,10.47,2.47,-2.15,9.61,3.64,1.03,0.45,0.14,150.02,25.13,13.38,2
20.04,12.31,5.49,-5.72,10.15,2.0,1.35,0.55,0.19,167.51,27.77,13.32,2
20.04,14.16,10.12,-10.12,10.15,1.72,1.34,0.59,0.13,186.63,46.23,5.82,2
17.57,13.25,9.57,-10.74,10.23,0.54,1.14,0.69,0.08,180.73,47.79,8.83,2
14.94,11.41,5.76,-11.06,9.96,0.5,1.01,0.63,0.02,177.55,38.89,5.1,2
9.68,8.59,5.8,-10.0,9.21,0.19,0.97,0.52,0.0,191.81,58.23,-7.32,2
7.06,5.76,4.0,-8.08,8.39,0.31,0.81,0.49,0.02,201.49,75.84,-23.04,2
4.11,5.02,1.13,-7.17,7.33,0.07,0.71,0.49,0.05,184.79,71.14,-26.7,2
3.49,5.45,0.82,-5.6,6.59,0.0,0.74,0.46,0.12,166.41,59.66,-6.46,2
0.39,4.31,-2.23,-4.51,6.19,0.35,0.75,0.46,0.12,142.6,43.17,9.52,2
-2.7,3.41,-3.6,-3.21,6.39,0.43,0.75,0.38,0.06,124.13,30.6,15.61,2
-6.74,2.35,-5.21,-2.51,6.59,0.19,0.67,0.28,0.05,119.12,29.27,18.12,2
-15.72,0.15,-8.19,-4.43,7.25,0.43,0.55,0.29,0.05,109.22,27.89,13.92,2
-20.08,-1.37,-7.13,-4.58,8.35,1.33,0.61,0.27,0.16,84.68,17.53,6.69,2
-20.08,-2.51,0.94,-5.84,11.02,1.41,0.9,0.28,0.09,58.19,5.85,-11.31,2
-2.94,2.27,16.12,-6.27,13.29,2.31,0.88,0.14,0.18,44.1,4.69,-38.01,2
20.04,7.57,-9.25,-6.7,17.25,1.49,1.62,0.98,0.1,8.97,-10.78,5.18,2
20.04,-4.74,15.1,-4.19,20.04,4.07,1.99,0.84,0.21,40.36,36.76,23.87,2
20.04,-10.27,6.0,-5.64,19.73,2.43,1.37,0.52,0.06,119.49,43.32,-27.71,2
10.31,-6.59,3.49,-4.74,12.63,2.39,1.21,0.39,0.05,85.67,25.6,-11.17,2
0.78,-3.49,0.03,-7.13,7.76,7.13,0.95,0.17,0.01,31.13,24.01,-11.44,2
-7.13,0.31,-4.62,-5.25,5.64,5.49,0.69,0.14,0.08,-1.21,-3.91,5.33,2
-16.86,1.49,-6.98,-3.92,5.13,4.66,0.42,0.1,0.12,5.15,-10.99,21.64,2
-20.08,0.31,-9.84,-2.43,4.43,4.07,0.23,0.17,0.12,0.88,-12.08,32.8,2
-20.08,0.94,-9.96,-1.29,4.58,3.8,0.25,0.0,0.0,-8.73,-13.17,21.22,2
-14.08,4.27,-8.47,-1.01,3.96,3.53,0.44,0.03,0.04,-23.6,-3.26,17.43,2
-7.6,2.82,0.62,0.98,6.23,3.92,0.89,0.25,0.05,-26.59,20.76,-1.27,2
20.04,0.11,9.64,0.62,10.0,4.35,0.83,0.32,0.03,-55.7,22.6,-28.26,2
20.04,3.88,10.35,-1.52,11.02,4.51,1.25,0.77,0.25,-85.31,-16.8,23.85,2
20.04,-8.11,16.2,-1.8,16.12,4.58,1.99,0.21,0.13,-40.77,9.32,32.56,2
9.29,-6.94,3.64,-3.49,18.86,2.94,1.69,0.43,0.27,-41.95,20.77,6.85,2
2.9,-4.11,0.9,-6.55,15.49,3.64,1.34,0.28,0.32,-105.76,-59.55,30.1,2
0.62,-1.96,0.5,-7.76,11.92,5.72,1.13,0.17,0.05,-110.73,-39.42,-2.99,2
-2.43,0.5,1.05,-7.64,10.74,3.37,0.99,0.1,0.0,-119.28,-30.56,-20.19,2
1.64,1.64,1.05,-5.37,10.19,0.43,0.96,0.17,0.15,-101.61,-24.7,-12.37,2
3.56,2.86,2.11,-3.02,9.1,0.27,0.76,0.29,0.21,-108.48,-21.4,-11.55,2
2.7,2.35,2.82,0.78,8.59,0.7,0.6,0.4,0.16,-131.66,-39.51,0.55,2
0.74,2.03,2.86,-1.68,7.64,0.86,0.64,0.41,0.01,-158.37,-54.69,8.72,2
-2.47,3.41,3.13,-2.86,7.92,1.68,0.82,0.43,0.12,-168.21,-64.13,24.43,2
8.35,10.0,7.49,-5.33,9.25,1.64,1.29,0.49,0.44,-167.53,-56.2,19.31,2
2.54,12.19,9.64,-6.43,10.27,0.94,1.28,0.31,0.57,-129.62,-72.37,17.05,2
10.43,20.04,11.8,-5.6,9.1,0.43,0.85,0.13,0.12,-67.25,-56.89,38.27,2
2.86,20.04,10.82,-6.51,8.98,0.43,0.94,0.26,0.11,-62.05,-7.33,25.21,2
20.04,7.92,-2.11,-4.39,8.74,0.82,0.77,0.28,0.05,-75.0,5.05,-13.66,2
14.55,4.07,-3.8,-6.11,7.96,1.05,0.65,0.44,0.11,-146.17,-9.55,-36.88,2
7.21,1.76,-1.96,-8.04,8.08,1.13,0.68,0.5,0.07,-221.05,-50.56,-49.32,2
6.62,2.07,0.43,-6.86,8.35,1.01,1.1,0.25,0.15,-226.69,-71.83,-8.72,2
7.8,5.57,0.62,-10.15,9.25,1.21,1.15,0.38,0.26,-201.19,-52.23,-2.39,2
3.96,6.51,1.13,-9.88,10.15,1.6,0.96,0.36,0.25,-173.21,-38.09,-9.44,2
4.39,8.86,0.62,-9.41,9.49,0.98,0.83,0.37,0.22,-183.32,-48.02,-23.23,2
3.64,10.15,3.53,-9.84,8.39,1.6,0.76,0.35,0.2,-187.95,-61.16,-32.58,2
2.31,10.9,3.13,-9.06,7.53,1.8,0.77,0.34,0.17,-194.18,-60.72,-33.54,2
3.09,9.33,0.03,-9.49,6.82,2.19,0.66,0.29,0.1,-194.77,-60.08,-34.15,2
4.23,7.25,0.03,-9.17,5.92,3.02,0.48,0.29,0.09,-196.21,-63.81,-35.56,2
7.64,6.04,0.94,-7.49,4.62,3.53,0.43,0.36,0.0,-200.04,-72.27,-29.37,2
11.06,10.55,1.49,-10.39,2.98,6.15,1.17,0.58,0.43,-209.11,-91.97,11.47,2
6.94,9.25,0.43,-15.18,1.13,11.8,1.99,0.55,0.01,-160.05,-39.15,-45.88,2
13.37,10.39,0.0,-18.39,0.35,13.8,1.09,0.85,0.37,-222.27,-42.75,-17.76,2
10.51,9.96,3.17,-19.41,1.17,15.45,1.71,0.41,0.13,-198.43,-69.37,-12.75,2
10.04,9.33,0.94,-18.43,0.7,12.0,1.17,0.43,0.04,-170.25,-38.6,10.87,2
11.17,7.1,0.31,-16.82,1.37,8.7,0.95,0.43,0.05,-161.96,-35.99,0.33,2
8.0,4.82,1.88,-14.67,3.13,6.98,0.8,0.38,0.03,-166.66,-27.82,-16.26,2
6.7,3.92,3.33,-11.45,5.09,3.96,0.58,0.32,0.08,-165.28,-30.39,-25.75,2
4.98,3.84,1.88,-4.27,5.72,4.31,0.64,0.23,0.03,-157.99,-39.81,-20.26,2
4.86,4.27,0.27,3.13,4.9,2.7,0.85,0.24,0.02,-136.96,-32.0,-9.23,2
5.21,6.04,3.49,2.62,2.54,2.23,0.94,0.31,0.02,-115.63,-25.39,-10.94,2
10.78,7.25,1.72,6.66,0.11,0.07,0.84,0.31,0.16,-104.43,-23.17,-12.44,2
8.9,7.06,0.39,9.41,-1.84,-4.98,0.63,0.33,0.1,-104.66,-31.44,-17.46,2
9.96,5.25,1.05,11.49,-1.21,-2.94,0.52,0.25,0.04,-106.04,-30.3,-34.52,2
6.98,5.06,2.23,11.72,0.27,-2.9,0.44,0.18,0.12,-94.31,-18.71,-44.1,2
2.62,5.6,1.33,5.76,0.5,6.35,1.12,0.28,0.25,-83.04,-10.69,-27.5,2
9.53,8.04,0.35,-12.94,1.01,20.04,1.82,0.88,0.0,-59.11,11.98,-37.3,2
6.04,9.49,4.9,-20.08,-3.72,20.04,1.86,0.56,0.1,-46.55,-42.66,-30.62,2
9.84,10.66,2.7,-20.08,-14.9,20.04,1.55,0.54,0.14,4.15,-26.94,18.01,2
9.37,6.55,0.74,-13.69,-11.45,14.82,1.04,0.35,0.14,9.22,-12.98,23.49,2
10.86,4.66,0.98,-4.98,-6.11,5.96,0.77,0.18,0.05,18.58,-2.68,16.0,2
9.06,2.86,0.39,0.7,-2.11,0.62,0.62,0.16,0.01,25.27,5.12,5.68,2
7.17,2.47,0.11,7.49,0.82,-6.51,0.67,0.19,0.19,20.12,-8.65,8.21,2
5.6,1.49,0.0,15.8,0.66,-15.14,0.87,0.2,0.07,11.44,-11.09,5.27,2
6.86,2.35,1.64,15.06,3.8,-12.27,0.74,0.19,0.05,3.39,-1.23,0.35,2
6.04,2.43,2.66,15.8,6.04,-7.84,0.69,0.18,0.06,8.21,-4.6,3.75,2
7.45,3.49,2.19,11.68,8.11,-5.76,0.6,0.2,0.01,23.79,-10.18,-2.69,2
8.7,4.98,1.09,6.08,8.43,0.31,0.66,0.31,0.06,29.98,-11.99,-9.8,2
8.47,6.11,1.25,-13.45,13.72,8.0,0.94,0.46,0.12,34.71,2.92,-6.21,2
10.15,7.84,2.35,-20.08,20.04,20.04,1.43,0.62,0.17,35.56,16.13,-23.14,2
9.57,11.61,4.19,-20.08,12.35,20.04,1.81,0.82,0.47,44.9,-4.45,-28.25,2
9.72,9.72,1.92,-20.08,2.07,19.26,1.29,0.71,0.14,80.56,-9.28,17.16,2
9.1,7.57,3.02,-14.86,0.35,14.0,1.08,0.31,0.24,106.99,10.6,16.3,2
8.19,6.23,2.54,-8.82,2.62,9.49,1.14,0.29,0.17,108.36,49.44,-1.85,2
6.39,5.41,2.31,-5.64,3.21,5.72,0.72,0.51,0.21,100.65,56.17,-21.32,2
5.25,5.17,1.88,-4.7,3.13,4.51,0.78,0.19,0.13,101.46,26.7,13.23,2
4.7,4.55,0.23,-2.9,1.56,3.41,0.88,0.34,0.25,120.16,36.68,30.19,2
4.0,4.35,0.54,-2.39,1.45,2.9,0.95,0.51,0.28,129.12,42.63,38.8,2
6.0,5.53,-1.37,-3.17,2.47,2.39,1.05,0.46,0.16,146.29,42.21,46.68,2
7.53,7.13,-2.07,-5.6,3.45,3.96,1.24,0.52,0.04,173.96,48.75,57.49,2
9.45,9.1,-2.0,-6.04,3.76,5.29,0.93,0.6,0.14,183.16,51.47,49.06,2
7.6,9.72,0.31,-7.6,4.62,5.84,0.98,0.45,0.14,160.42,32.09,54.16,2
6.04,10.27,2.58,-9.53,5.6,6.31,1.04,0.39,0.2,163.29,26.28,48.82,2
7.68,9.37,3.37,-11.65,5.64,6.15,0.8,0.31,0.09,157.15,26.32,33.25,2
7.13,8.66,3.37,-12.12,5.02,6.35,0.74,0.26,0.0,147.59,23.88,19.77,2
5.49,7.72,3.02,-10.78,4.43,5.29,0.88,0.17,0.01,150.81,29.82,10.13,2
5.72,7.29,2.23,-9.53,5.33,4.74,0.89,0.19,0.03,158.74,46.19,1.67,2
6.66,7.37,2.0,-7.88,5.84,4.66,0.79,0.25,0.12,138.3,35.69,0.55,2
6.55,7.25,1.6,-4.86,6.7,2.58,0.9,0.18,0.17,129.46,29.95,-12.08,2
6.55,7.64,0.23,-4.15,8.27,1.37,0.93,0.19,0.16,121.6,31.25,-25.61,2
7.84,7.84,0.82,-7.41,10.51,1.41,0.97,0.17,0.07,109.53,29.68,-29.43,2
7.25,7.33,-1.56,-6.7,11.29,1.17,1.03,0.13,0.05,121.89,35.44,-23.54,2
6.82,6.04,-1.92,-5.21,12.16,0.82,0.98,0.25,0.02,149.78,52.48,-5.17,2
5.68,4.39,0.5,-6.43,12.39,0.7,0.9,0.28,0.1,163.15,66.97,-8.92,2
8.39,2.9,0.15,-6.66,11.06,1.37,0.75,0.35,0.06,169.5,82.25,-10.82,2
7.88,2.7,2.78,-5.96,10.59,2.54,0.8,0.47,0.07,170.42,89.17,-5.5,2
20.04,6.98,4.66,-5.09,11.49,3.37,0.91,0.47,0.21,166.73,88.98,-17.01,2
