d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.1,6.94,1.01,0.5,10.15,2.39,0.91,0.29,0.29,-2.18,-1.18,8.05,4
4.82,5.88,0.82,0.15,7.57,2.15,0.67,0.3,0.24,-30.92,-16.06,1.43,4
0.43,7.13,1.6,0.94,6.15,2.11,0.59,0.11,0.26,-23.4,-23.36,7.86,4
5.76,10.51,4.39,-1.25,5.45,1.8,0.6,0.12,0.23,-12.87,-17.99,7.43,4
-4.62,12.08,4.19,-1.45,5.33,1.49,0.69,0.25,0.32,-15.59,-18.08,4.26,4
15.18,19.26,10.43,-1.6,6.23,0.98,0.74,0.22,0.4,-23.17,-22.87,2.95,4
6.27,14.43,8.23,-2.58,7.68,0.03,0.9,0.1,0.34,0.98,-20.49,3.21,4
9.1,15.65,6.47,-3.33,9.17,0.39,0.89,0.14,0.31,27.3,-16.46,1.6,4
10.82,16.2,4.98,-2.07,9.61,-1.09,1.22,0.19,0.28,17.19,-31.33,-9.04,4
7.88,17.61,2.51,0.98,12.51,0.74,1.64,0.1,0.15,26.87,-6.62,-5.91,4
7.8,17.69,3.21,0.74,14.47,0.15,1.11,0.39,0.15,9.58,9.57,0.76,4
7.41,13.8,0.94,-2.47,12.39,0.54,1.01,0.36,0.29,-53.24,-25.49,4.98,4
7.49,10.19,0.5,-2.98,11.21,0.74,1.06,0.16,0.38,-54.79,-22.59,6.21,4
5.45,8.98,1.29,-3.09,10.98,1.8,0.9,0.2,0.38,-31.21,-6.09,-6.27,4
5.02,8.35,1.17,-4.43,10.35,2.58,0.77,0.16,0.35,-22.58,-8.41,-14.72,4
5.13,8.94,1.76,-3.68,9.64,1.45,0.8,0.18,0.33,-28.59,-11.91,-6.3,4
-8.55,8.27,13.1,-2.58,9.02,0.66,0.77,0.18,0.35,-37.5,-6.01,0.02,4
-3.41,5.68,3.29,-1.09,8.27,1.41,0.71,0.18,0.44,-41.3,-7.56,-2.81,4
0.78,5.8,2.0,0.0,8.15,2.66,0.74,0.26,0.49,-36.03,-11.22,-5.34,4
0.7,6.9,2.07,0.62,8.78,3.33,0.76,0.33,0.48,-17.82,-5.16,0.52,4
1.13,7.17,3.37,0.82,8.59,2.74,0.73,0.26,0.46,1.39,5.66,1.96,4
0.54,8.66,3.56,0.5,8.86,1.88,0.84,0.42,0.49,-9.45,10.43,-11.38,4
0.82,10.98,5.21,0.78,10.12,0.39,1.03,0.47,0.53,-26.21,7.73,-26.87,4
-3.96,11.41,7.96,1.13,11.72,0.7,1.03,0.51,0.54,-24.82,7.43,-37.88,4
-1.41,12.04,9.64,0.15,12.16,1.33,1.17,0.37,0.51,3.06,0.98,-45.18,4
5.02,11.92,0.11,-2.74,11.88,0.66,1.28,0.35,0.39,33.93,0.95,-44.18,4
0.86,14.31,1.45,-2.54,13.1,0.94,1.7,0.23,0.09,44.14,-24.75,-9.69,4
6.59,19.06,3.02,-1.56,16.39,0.43,1.88,0.33,0.2,77.75,-19.67,0.41,4
2.54,12.35,0.9,-2.47,13.02,-1.01,1.36,0.19,0.27,45.0,-12.18,21.08,4
3.8,8.98,-2.39,-4.04,11.17,0.78,1.22,0.16,0.32,25.23,0.29,24.76,4
2.47,7.88,-2.39,-9.53,11.29,7.88,0.86,0.16,0.15,11.64,17.62,12.3,4
2.51,6.35,-1.25,-8.31,8.78,6.98,0.64,0.14,0.01,-9.96,16.88,3.89,4
2.82,5.49,-1.41,-5.33,8.78,3.37,0.63,0.13,0.05,-12.73,22.96,0.57,4
2.19,5.92,-1.33,-1.17,9.33,4.19,0.85,0.04,0.0,14.02,42.59,0.6,4
2.35,6.51,-1.33,3.33,9.29,5.92,0.88,0.18,0.03,36.51,53.23,12.24,4
3.09,7.76,-1.45,3.49,9.64,6.15,0.99,0.22,0.02,21.24,37.56,28.14,4
3.76,8.7,-1.96,3.41,9.96,6.82,1.09,0.16,0.01,14.07,23.74,30.3,4
4.35,11.8,-2.11,4.04,11.65,7.84,1.37,0.19,0.14,12.77,26.48,23.85,4
5.64,13.41,-1.84,0.62,12.47,7.72,1.14,0.25,0.16,0.04,10.79,29.18,4
6.51,12.86,0.35,-2.35,10.9,5.96,1.02,0.08,0.13,4.32,17.12,28.79,4
1.52,11.68,3.8,0.98,8.98,4.82,0.94,0.06,0.11,7.04,27.93,13.13,4
-2.94,10.19,6.82,0.27,8.47,3.72,0.82,0.02,0.23,1.93,21.41,8.47,4
0.54,9.61,3.13,2.62,7.49,3.33,0.83,0.05,0.24,8.17,18.85,5.93,4
