d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-6.15,-4.9,0.11,0.5,-9.72,1.68,0.62,0.08,0.31,20.7,23.13,2.27,6
-4.66,-6.39,-4.04,7.96,-9.02,4.58,1.08,0.11,0.21,64.73,30.65,43.65,6
1.17,-8.47,-8.08,11.57,-9.06,4.55,1.41,0.4,0.3,71.84,25.8,20.99,6
7.64,-10.27,-5.13,7.1,-7.13,0.54,1.18,0.59,0.47,4.85,-21.15,41.2,6
9.53,-10.51,-2.39,-7.17,-9.21,-1.56,1.3,0.44,0.35,-30.61,-27.3,41.04,6
12.63,-11.06,-5.41,-8.82,-12.0,2.62,1.45,0.33,0.08,-51.57,-13.73,11.73,6
9.13,-12.12,-10.43,-3.13,-13.61,2.19,1.27,0.2,0.11,-12.73,4.83,-5.88,6
-5.72,-11.8,-9.21,-5.21,-11.25,-2.03,0.81,0.19,0.17,10.82,7.31,1.52,6
-10.04,-12.16,4.66,-6.19,-10.0,-4.39,0.61,0.16,0.07,27.09,17.1,-8.8,6
-8.19,-10.12,1.17,-7.02,-7.49,-2.98,0.49,0.09,0.06,29.91,27.21,-18.04,6
-9.37,-9.25,-5.57,-3.64,-6.39,-1.05,0.45,0.06,0.18,7.46,30.68,-24.59,6
-1.21,-8.31,-14.27,-1.25,-6.51,1.17,0.48,0.04,0.33,-20.15,15.42,-25.81,6
15.96,-6.74,-9.21,2.35,-7.8,1.49,1.0,0.35,0.21,-44.03,-9.91,-17.76,6
12.23,-8.59,0.31,0.74,-8.39,2.27,1.99,0.67,0.19,-53.52,0.36,-20.33,6
9.29,-8.55,-2.51,-2.43,-8.31,1.72,1.25,0.57,0.12,-55.37,-43.39,10.12,6
10.78,-9.33,-13.18,-12.19,-11.45,-3.09,1.06,0.32,0.16,16.46,-51.92,32.85,6
-12.59,-11.61,-15.69,-11.02,-9.02,-9.41,1.11,0.29,0.13,49.39,3.0,21.99,6
-18.67,-14.39,4.07,-12.59,-9.21,-5.76,0.99,0.56,0.02,23.94,20.56,-11.85,6
-12.0,-13.06,1.52,-6.74,-10.66,-12.04,0.88,0.43,0.0,-4.67,3.71,-18.98,6
-11.1,-10.23,-6.78,10.12,-8.0,-6.39,0.71,0.3,0.06,-11.21,4.89,-12.23,6
-4.98,-7.6,-15.61,16.98,-10.55,8.08,0.62,0.17,0.19,2.79,1.62,-17.35,6
20.04,-7.25,-8.74,9.8,-8.62,-4.39,0.53,0.1,0.27,25.41,4.21,-24.59,6
14.63,-6.7,-1.09,4.04,-6.27,-7.29,0.7,0.08,0.28,53.07,11.14,-9.47,6
7.6,-8.04,-6.66,-20.08,-5.64,-8.39,1.29,0.38,0.15,67.83,20.31,22.53,6
6.59,-9.37,-16.16,-4.19,-6.98,-4.9,1.77,0.49,0.49,56.7,23.8,-9.25,6
-20.08,-11.57,1.25,-4.0,-7.49,0.54,0.9,0.7,0.53,-18.31,-21.36,19.05,6
-9.92,-12.55,2.03,-4.62,-11.84,-1.56,1.2,0.38,0.12,-50.67,-35.13,13.38,6
-6.39,-10.15,-7.41,19.14,-14.86,8.0,1.27,0.23,0.07,-13.2,-8.85,-3.88,6
14.2,-9.33,-10.15,6.11,-14.08,1.17,0.86,0.19,0.08,5.49,-2.56,-1.97,6
20.04,-9.88,-2.9,2.82,-10.27,-2.19,0.56,0.2,0.03,23.8,2.18,-13.91,6
-3.13,-8.04,-15.14,-19.18,-7.33,-9.92,0.54,0.11,0.07,11.56,13.14,-14.48,6
-20.08,-7.92,3.56,-17.1,-6.31,-7.1,0.55,0.09,0.21,-4.29,17.76,-19.95,6
-6.78,-8.27,0.82,-4.11,-4.98,-5.49,0.73,0.31,0.32,-36.9,1.68,-17.25,6
4.51,-8.04,-6.23,12.43,-7.17,2.23,1.56,0.53,0.11,-67.1,-18.18,3.69,6
17.61,-7.53,-1.6,6.08,-9.64,5.02,1.38,0.68,0.25,-64.4,-19.66,7.01,6
-10.74,-9.06,5.57,9.21,-10.23,2.86,1.25,0.49,0.32,-25.36,-51.71,33.35,6
-10.15,-10.0,0.47,7.6,-10.35,-4.04,1.07,0.39,0.29,52.31,-14.52,28.95,6
5.41,-12.86,-7.53,-19.61,-11.88,-10.39,1.0,0.4,0.01,36.18,21.4,6.39,6
20.04,-11.57,-3.17,-9.76,-8.7,-7.29,0.81,0.46,0.08,-10.42,9.34,-7.49,6
7.57,-10.59,-7.6,-2.94,-9.1,-2.35,0.68,0.29,0.02,-32.12,2.73,-15.44,6
1.6,-8.15,-14.59,-16.04,-8.0,-7.41,0.58,0.2,0.09,-31.98,-2.01,-13.85,6
-9.41,-5.17,2.23,-2.39,-6.9,-11.53,0.62,0.24,0.35,-6.53,4.8,-15.17,6
-7.21,-7.8,3.29,20.04,-7.37,1.84,0.56,0.16,0.36,26.65,13.71,-19.27,6
-9.33,-7.8,-2.07,1.01,-9.1,2.47,0.71,0.2,0.27,54.76,22.83,-2.5,6
-1.09,-7.8,-6.11,6.74,-8.23,0.78,1.52,0.37,0.25,79.73,18.91,27.38,6
16.31,-10.55,-2.54,-4.0,-8.82,-5.49,1.83,0.53,0.47,38.33,19.24,7.06,6
13.53,-11.8,-3.49,-18.75,-7.64,0.47,0.97,0.74,0.55,-18.13,-28.52,36.92,6
1.41,-12.98,-11.02,-6.35,-13.57,1.72,1.43,0.39,0.1,-58.47,-39.2,20.4,6
-20.08,-13.14,-2.66,-7.02,-16.04,-3.09,1.27,0.21,0.09,-10.52,-2.5,-29.01,6
-11.88,-12.7,6.47,7.76,-12.59,-2.86,0.94,0.19,0.13,-4.46,7.56,-10.37,6
-5.68,-10.15,-4.15,10.31,-10.19,6.9,0.61,0.24,0.01,20.9,17.02,-16.65,6
4.74,-7.72,-9.37,-3.6,-8.08,2.43,0.47,0.11,0.1,19.92,9.29,-16.36,6
17.02,-6.9,-1.72,2.51,-6.08,0.07,0.48,0.07,0.14,4.54,9.71,-14.64,6
6.04,-7.02,-1.72,-7.68,-5.72,-7.41,0.49,0.01,0.19,-28.05,9.43,-16.28,6
8.78,-5.88,-7.57,-15.14,-4.94,-2.78,0.67,0.28,0.29,-55.49,-21.23,1.05,6
-3.29,-6.59,-7.8,-6.11,-7.41,1.8,1.86,0.63,0.28,-63.15,-26.83,13.02,6
-8.19,-8.9,0.9,-5.25,-8.47,0.03,1.51,0.9,0.33,-49.13,-39.39,18.8,6
-11.76,-13.45,2.86,-6.55,-11.1,1.8,1.25,0.52,0.18,28.04,-36.93,34.58,6
-8.35,-13.8,2.23,2.51,-13.92,-2.94,1.31,0.57,0.16,50.54,13.79,23.21,6
-8.74,-14.08,0.23,5.21,-13.02,-3.6,1.12,0.52,0.02,18.13,21.45,-5.01,6
-4.66,-11.33,-8.0,2.86,-11.14,5.72,0.86,0.33,0.0,-12.56,11.29,-10.35,6
14.16,-9.8,-8.27,-1.76,-9.13,-1.05,0.57,0.2,0.0,-19.31,1.34,-7.91,6
13.61,-7.49,-3.92,-4.07,-7.33,-8.66,0.42,0.12,0.11,-17.78,-6.39,-14.76,6
8.55,-5.57,-4.04,-16.23,-7.13,-9.06,0.44,0.06,0.29,2.53,5.27,-20.58,6
2.35,-4.86,-8.7,-18.27,-4.94,-5.92,0.47,0.08,0.33,29.49,21.89,-21.98,6
-13.88,-6.35,0.15,-4.0,-4.58,-3.45,0.91,0.36,0.1,47.85,18.27,11.32,6
-8.86,-9.41,2.98,10.23,-6.35,-1.56,1.99,0.5,0.18,79.86,36.82,3.31,6
-4.47,-10.86,-6.0,11.96,-6.74,3.92,1.29,0.75,0.52,23.56,18.75,21.6,6
10.04,-11.92,-8.62,2.35,-7.76,0.15,1.17,0.61,0.37,-28.11,-31.52,45.37,6
18.86,-12.27,-2.82,-10.74,-13.18,-1.56,1.51,0.31,0.07,-28.71,-25.37,23.6,6
7.68,-14.31,-7.64,-17.06,-14.51,-5.09,1.12,0.18,0.09,0.29,0.23,0.67,6
-5.33,-12.7,-12.16,-3.45,-12.9,-5.92,0.65,0.1,0.08,5.42,12.3,-18.04,6
-10.12,-9.41,1.41,-6.7,-9.29,-4.47,0.55,0.07,0.0,19.61,19.99,-23.79,6
-6.11,-9.64,3.84,-2.51,-6.23,-3.21,0.5,0.13,0.1,11.98,22.4,-22.85,6
-7.88,-7.96,0.15,-1.68,-6.19,0.98,0.49,0.12,0.17,-9.45,14.05,-20.87,6
-7.02,-5.68,-9.33,-3.21,-7.45,0.62,0.63,0.17,0.24,-36.92,-11.78,-2.69,6
12.67,-6.55,-5.02,2.35,-9.17,0.58,1.34,0.41,0.08,-44.75,-27.85,20.05,6
14.82,-7.53,0.94,-4.86,-8.59,-2.58,1.5,0.62,0.32,-60.95,-20.34,2.4,6
12.86,-8.39,-6.11,-7.53,-8.04,0.94,1.29,0.6,0.24,-2.01,-41.35,24.16,6
-2.82,-11.45,-12.39,-4.82,-10.98,3.25,1.23,0.5,0.14,45.65,-11.84,20.38,6
-16.0,-14.59,-3.72,-6.39,-13.18,0.66,1.18,0.55,0.03,29.97,10.76,-11.82,6
-20.08,-14.55,5.33,14.82,-14.55,4.27,0.96,0.37,0.02,-8.89,4.71,-24.07,6
-8.35,-11.1,-3.96,4.23,-8.94,-2.31,0.72,0.29,0.08,-20.16,1.64,-20.7,6
0.82,-8.55,-10.15,-3.45,-8.9,-6.98,0.54,0.17,0.14,-14.24,-3.54,-18.56,6
14.27,-7.41,-5.02,-11.96,-7.29,-7.21,0.51,0.12,0.28,2.53,-5.43,-24.71,6
10.27,-6.19,0.15,-12.51,-5.84,-7.1,0.45,0.08,0.34,26.74,8.85,-28.14,6
9.17,-5.96,-2.51,-3.53,-6.0,-3.56,0.47,0.2,0.22,43.18,22.92,-12.08,6
8.66,-6.43,-7.33,-7.37,-5.96,-3.25,1.49,0.35,0.17,63.72,19.05,22.64,6
-6.82,-9.37,-7.76,0.39,-6.55,-2.58,1.99,0.55,0.36,27.0,21.67,-2.72,6
-13.45,-12.74,5.06,10.04,-9.96,2.86,1.05,0.71,0.36,1.62,-13.6,20.51,6
-6.47,-13.37,1.64,5.29,-14.27,6.19,1.31,0.53,0.17,-45.11,-32.49,20.77,6
-2.66,-12.7,-2.35,0.07,-16.0,6.66,1.32,0.32,0.03,-19.27,-8.89,-18.77,6
5.17,-10.86,-8.04,0.82,-13.96,2.03,0.95,0.24,0.06,-6.18,10.88,-14.06,6
8.98,-10.23,-2.82,-3.41,-11.84,-6.82,0.69,0.25,0.04,7.63,16.53,-16.92,6
4.04,-9.76,1.8,-12.9,-7.21,-6.15,0.62,0.21,0.04,16.09,10.53,-8.69,6
6.9,-8.31,0.58,-7.88,-6.15,0.58,0.58,0.12,0.07,-1.92,10.34,-13.14,6
14.7,-5.53,-5.09,-5.49,-4.58,-3.37,0.47,0.09,0.15,-21.5,12.34,-17.35,6
3.21,-4.74,-14.08,-8.7,-4.74,-3.09,0.48,0.23,0.23,-40.71,-1.4,-4.17,6
-17.65,-8.35,-4.39,0.11,-5.76,-6.94,1.37,0.62,0.02,-45.36,-34.85,30.73,6
-20.0,-6.78,3.92,18.51,-9.96,3.33,1.7,0.68,0.22,-53.37,-9.46,-11.08,6
0.98,-11.21,-4.58,9.68,-11.21,0.07,1.22,0.6,0.17,0.97,-51.79,33.17,6
6.23,-13.1,-5.02,2.86,-11.53,-7.64,1.08,0.44,0.1,53.13,-23.06,42.06,6
8.9,-13.72,-3.64,-20.08,-12.43,-9.06,1.06,0.48,0.04,42.34,19.82,5.66,6
