d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
10.59,-3.72,0.23,-11.92,2.74,6.59,0.65,0.77,0.09,252.42,128.1,13.36,5
10.82,-3.25,0.07,-12.43,2.23,6.08,0.6,0.87,0.11,252.42,116.92,28.15,5
11.96,-4.11,0.74,-14.2,0.94,6.78,0.82,1.0,0.2,252.42,87.81,49.41,5
14.12,-3.88,4.0,-14.74,1.41,7.76,1.38,0.82,0.05,252.42,89.64,13.73,5
14.12,-3.88,4.19,-16.74,0.86,6.62,0.99,0.91,0.08,252.42,88.34,6.84,5
13.49,-3.64,4.35,-17.06,1.29,6.59,0.9,0.7,0.05,252.42,57.98,40.21,5
12.27,-2.98,3.13,-16.71,0.82,4.7,0.96,0.76,0.06,252.42,67.65,34.74,5
11.61,-3.13,1.96,-16.04,0.15,4.39,0.71,0.78,0.09,252.42,83.64,34.5,5
11.72,-2.86,0.7,-14.63,0.23,5.64,0.8,0.93,0.14,252.42,93.63,34.4,5
12.31,-3.13,0.03,-13.49,0.98,5.68,0.71,1.1,0.05,252.42,88.82,26.36,5
13.33,-3.33,0.15,-14.55,-1.72,6.15,0.74,0.96,0.18,252.42,71.83,18.68,5
13.92,-2.47,1.05,-13.76,-2.15,5.13,0.7,0.89,0.23,252.42,75.64,16.4,5
13.92,-1.05,1.96,-12.74,-2.11,5.09,0.73,0.76,0.18,252.42,80.27,16.11,5
13.57,0.03,2.39,-12.82,-2.15,5.45,0.95,0.02,0.29,228.93,50.26,35.84,5
13.69,0.58,2.98,-13.49,-2.19,5.6,1.06,0.38,0.27,252.42,77.38,32.92,5
14.0,-1.96,4.94,-13.18,-1.84,6.04,1.11,0.57,0.3,252.42,89.53,35.29,5
13.61,-2.7,6.08,-12.04,-2.47,5.57,0.9,0.57,0.35,247.04,63.77,28.3,5
12.55,-3.29,6.86,-10.94,-4.07,5.25,0.73,0.44,0.26,211.2,37.68,13.29,5
11.65,-3.56,6.62,-9.41,-6.74,3.88,0.77,0.35,0.27,201.32,46.33,-7.56,5
11.41,-3.37,5.72,-9.57,-9.17,0.5,0.86,0.38,0.31,194.75,49.94,-21.8,5
10.59,-3.21,4.04,-9.61,-10.55,-3.25,0.84,0.38,0.32,169.14,56.72,-24.62,5
