d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
1.64,10.08,0.03,-1.96,9.64,2.78,0.97,0.37,0.02,-2.45,-7.26,10.85,11
1.64,9.96,0.19,-1.41,9.76,2.98,0.97,0.38,0.03,1.06,-7.39,13.46,11
1.05,9.76,0.23,-1.41,9.84,2.58,0.96,0.37,0.03,3.36,-8.73,19.26,11
1.01,9.88,0.19,-1.8,9.96,2.51,0.98,0.36,0.03,5.82,-9.19,24.39,11
0.98,10.0,0.03,-1.8,10.0,2.19,1.01,0.35,0.01,6.65,-11.81,32.22,11
0.9,10.12,0.03,-1.01,9.8,2.54,1.03,0.34,0.01,9.34,-14.44,43.37,11
0.54,10.0,0.15,-1.25,9.96,2.27,1.03,0.27,0.0,11.82,-17.04,52.98,11
0.27,9.8,0.15,-1.13,9.72,2.03,1.05,0.25,0.01,10.87,-22.49,62.98,11
0.47,9.88,0.27,-1.25,9.68,2.51,1.03,0.23,0.0,9.23,-27.36,73.81,11
0.0,9.64,0.31,-1.05,9.41,2.0,1.07,0.17,0.0,7.07,-34.28,87.01,11
0.15,9.84,0.39,0.86,9.45,2.0,1.03,0.14,0.02,9.61,-40.11,99.62,11
0.03,9.53,0.19,0.62,9.64,2.23,1.07,0.09,0.08,4.08,-45.84,103.05,11
0.54,9.64,0.39,0.47,9.57,1.6,0.95,0.02,0.02,2.82,-50.23,106.99,11
0.5,9.29,0.27,0.82,9.45,1.6,0.9,0.11,0.15,3.81,-61.55,109.28,11
-1.09,10.35,0.9,0.9,10.23,1.09,0.9,0.1,0.13,1.93,-55.38,100.85,11
0.86,10.86,0.43,0.47,10.78,1.52,0.86,0.23,0.15,3.45,-54.72,99.02,11
0.58,10.55,0.47,0.07,10.08,2.51,0.96,0.29,0.23,5.96,-49.21,84.22,11
0.0,10.82,0.58,0.62,10.55,2.7,0.87,0.37,0.26,14.48,-42.9,71.85,11
0.47,10.19,0.78,0.47,10.04,2.27,0.92,0.46,0.33,4.05,-39.18,50.98,11
0.03,11.02,0.98,-1.72,10.55,1.76,0.88,0.48,0.35,9.7,-20.59,32.05,11
0.5,10.59,0.94,-1.96,11.25,1.64,0.88,0.46,0.36,2.07,-11.89,18.5,11
0.54,10.04,0.5,-1.33,10.55,1.33,0.9,0.52,0.37,6.09,-3.22,5.93,11
0.43,9.88,0.11,0.9,10.35,1.33,0.88,0.49,0.34,6.46,6.31,-6.15,11
0.39,10.08,0.35,0.15,10.35,1.56,0.88,0.47,0.32,3.66,12.35,-15.4,11
-1.13,10.04,0.54,0.39,9.92,1.52,0.91,0.43,0.29,0.71,18.12,-23.22,11
-1.72,10.35,-1.01,1.01,9.88,1.41,0.89,0.42,0.28,0.92,18.85,-29.9,11
-1.64,10.35,-1.09,1.13,9.68,2.31,0.92,0.4,0.24,2.61,21.92,-40.0,11
-1.6,10.7,0.94,0.03,10.0,2.35,0.91,0.38,0.23,1.99,22.79,-49.95,11
-1.64,10.98,0.86,0.82,10.31,1.84,0.96,0.33,0.2,-6.58,21.12,-58.15,11
-1.29,11.14,0.39,-1.17,10.19,2.31,0.95,0.31,0.2,-11.8,21.95,-65.44,11
-1.05,11.1,0.5,-1.05,10.63,2.43,0.97,0.23,0.21,-18.5,24.63,-72.62,11
0.19,10.74,0.03,0.9,10.51,2.51,0.95,0.17,0.18,-19.15,28.0,-80.72,11
0.31,9.96,0.62,0.5,10.12,1.92,0.99,0.1,0.19,-17.65,31.0,-83.36,11
-1.17,9.92,0.43,0.54,10.0,2.11,1.0,0.05,0.16,-17.56,34.82,-87.07,11
0.9,9.76,0.43,0.31,10.12,1.45,0.97,0.01,0.16,-17.02,35.88,-86.29,11
-1.17,9.33,0.62,0.66,9.88,1.37,1.01,0.06,0.16,-18.2,33.15,-81.89,11
0.94,9.49,0.54,-1.01,9.8,0.94,1.06,0.07,0.15,-9.86,34.98,-77.23,11
0.11,9.53,0.54,-1.33,9.92,0.82,1.05,0.12,0.11,-3.7,36.82,-74.92,11
0.43,9.1,0.19,-1.25,9.33,1.05,1.01,0.18,0.07,-2.54,35.69,-69.14,11
0.66,8.82,0.35,-1.37,8.98,1.37,0.97,0.24,0.04,-4.67,32.89,-60.07,11
1.05,9.61,0.39,-1.33,9.29,1.76,1.02,0.28,0.0,-6.64,30.3,-49.46,11
0.94,9.72,0.27,-1.33,9.49,1.92,1.06,0.29,0.02,-5.84,23.44,-41.24,11
0.74,10.27,0.47,-1.25,9.61,2.03,1.06,0.31,0.01,-6.43,14.13,-28.47,11
1.29,10.39,0.19,-2.58,10.19,2.66,0.97,0.33,0.02,-4.74,12.24,-23.14,11
1.41,10.15,0.11,-1.96,10.0,2.94,0.95,0.36,0.03,-1.34,11.14,-17.65,11
1.33,10.15,0.19,-1.21,10.0,3.21,0.97,0.34,0.02,1.5,14.05,-16.3,11
0.39,10.55,0.7,-1.13,10.31,4.7,0.98,0.37,0.05,2.09,13.07,-15.55,11
0.31,10.12,0.47,-1.17,10.27,3.09,1.0,0.4,0.06,2.09,7.2,-9.2,11
