d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.11,9.17,0.7,-1.37,9.13,2.86,1.0,0.24,0.0,-7.57,35.01,-52.72,11
2.19,9.06,1.09,-1.6,8.94,3.05,0.97,0.26,0.01,-8.57,30.79,-47.62,11
2.23,9.06,1.37,-1.72,9.13,3.37,0.95,0.27,0.03,-12.76,29.21,-43.2,11
2.35,9.25,1.33,-1.8,9.41,3.68,0.99,0.3,0.05,-16.0,30.66,-42.7,11
1.96,9.1,1.05,-1.96,9.68,3.68,1.0,0.32,0.07,-17.24,27.25,-40.03,11
2.03,9.33,1.17,-1.72,10.0,3.8,0.98,0.36,0.1,-19.49,21.54,-34.2,11
1.96,9.45,1.21,-1.52,10.0,3.88,0.97,0.36,0.12,-20.5,16.91,-28.98,11
2.31,9.25,1.41,-1.37,9.76,3.96,0.97,0.38,0.1,-17.15,11.16,-22.6,11
2.66,9.25,1.21,-1.25,9.8,3.92,0.96,0.39,0.1,-13.42,9.4,-16.2,11
3.09,9.29,1.17,-1.37,9.61,3.88,0.97,0.37,0.14,-10.38,9.28,-13.6,11
3.25,9.41,1.17,-1.49,9.61,3.72,0.98,0.39,0.15,-12.05,6.26,-11.59,11
3.09,9.45,1.25,-1.41,9.45,3.68,0.95,0.41,0.13,-11.76,3.1,-7.68,11
2.9,9.41,1.37,-1.41,9.29,3.64,0.94,0.4,0.13,-10.32,0.49,-2.64,11
2.78,9.33,1.41,-1.41,9.1,3.68,0.95,0.39,0.14,-6.89,-2.03,1.21,11
2.74,9.57,1.41,-1.45,9.17,3.6,0.95,0.39,0.15,-4.53,-3.14,3.88,11
2.82,9.64,1.49,-1.41,9.25,3.72,0.95,0.4,0.15,-4.92,-5.22,5.18,11
2.82,9.57,1.6,-1.25,9.33,3.96,0.95,0.39,0.14,-3.89,-7.87,8.08,11
2.74,9.53,1.64,-1.09,9.25,3.88,0.93,0.39,0.14,0.84,-10.29,12.2,11
2.66,9.41,1.64,-1.09,9.13,3.88,0.95,0.37,0.13,1.27,-12.59,16.51,11
2.66,9.41,1.88,-1.09,9.33,3.84,0.96,0.36,0.12,1.19,-15.06,20.47,11
2.54,9.53,1.76,-1.13,9.41,3.84,0.97,0.36,0.11,2.77,-16.84,23.79,11
2.51,9.49,1.72,-1.09,9.45,3.92,0.97,0.33,0.1,3.88,-17.27,24.68,11
2.51,9.68,1.45,0.98,9.41,3.88,0.99,0.33,0.09,5.0,-18.37,26.37,11
2.15,9.57,1.45,-1.05,9.57,3.68,1.01,0.32,0.08,5.76,-21.59,31.3,11
2.11,9.41,1.33,-1.05,9.57,3.56,1.01,0.29,0.06,8.75,-25.22,37.42,11
2.07,9.68,0.98,0.98,9.53,3.49,1.01,0.27,0.04,9.33,-28.32,42.8,11
1.76,9.53,0.66,0.94,9.68,3.29,1.02,0.24,0.04,8.52,-31.41,46.44,11
1.84,9.45,0.39,0.9,9.49,2.94,1.02,0.21,0.01,8.41,-35.37,49.82,11
1.49,9.8,0.43,0.9,9.68,2.86,1.02,0.17,0.0,6.42,-40.39,55.34,11
1.05,9.21,0.03,0.74,9.53,2.39,1.02,0.16,0.03,5.38,-47.1,59.65,11
1.29,9.37,0.03,0.86,9.33,2.23,1.04,0.08,0.08,9.27,-49.45,60.81,11
1.49,9.57,0.03,0.82,9.72,2.03,1.04,0.09,0.06,11.78,-44.96,61.69,11
1.25,9.76,0.15,0.7,10.12,1.64,1.01,0.04,0.1,10.89,-46.96,64.11,11
0.62,9.84,0.07,0.62,10.15,1.52,1.02,0.0,0.12,7.4,-50.17,67.61,11
0.98,9.92,0.19,0.54,10.35,1.72,1.01,0.0,0.12,6.88,-50.49,69.61,11
0.86,9.96,0.43,0.43,10.08,1.37,0.99,0.07,0.19,3.42,-52.07,69.4,11
0.98,10.12,0.66,0.78,9.96,1.33,0.99,0.13,0.24,2.76,-52.99,73.83,11
0.98,9.92,-1.17,0.74,9.76,1.13,0.97,0.12,0.25,4.36,-49.78,74.1,11
1.13,10.35,-1.76,0.43,9.64,1.05,0.91,0.23,0.27,-1.11,-50.37,71.22,11
1.68,10.66,-1.29,0.11,10.19,1.72,0.97,0.32,0.36,2.3,-39.73,70.56,11
0.82,9.72,0.98,0.35,9.76,2.19,0.89,0.25,0.34,1.36,-38.25,69.46,11
0.86,10.12,-1.05,0.35,9.61,1.37,0.86,0.38,0.38,-2.74,-43.43,63.95,11
0.78,10.47,-1.96,0.54,9.57,0.7,0.85,0.42,0.38,1.96,-37.2,62.08,11
0.39,10.78,-2.35,0.43,10.63,0.03,0.81,0.42,0.4,-3.5,-33.96,58.31,11
0.15,11.17,-2.19,0.27,10.66,0.43,0.86,0.48,0.45,-9.62,-33.77,46.93,11
0.35,10.86,-1.52,0.19,10.9,0.47,0.82,0.51,0.5,-9.48,-26.87,41.55,11
-1.45,10.63,-1.56,0.19,11.37,0.35,0.77,0.52,0.52,-11.61,-22.65,33.17,11
0.07,10.82,-2.15,0.7,10.9,0.03,0.75,0.55,0.55,-9.53,-21.6,23.42,11
0.47,10.23,-1.8,1.17,10.51,0.47,0.75,0.54,0.56,-4.85,-13.04,15.22,11
0.82,10.15,-1.37,0.9,10.55,0.35,0.76,0.54,0.58,-2.59,-6.49,7.71,11
1.13,10.23,-1.52,0.7,10.43,0.27,0.78,0.54,0.56,0.17,0.45,0.83,11
1.09,10.08,-2.03,0.58,10.39,0.43,0.77,0.54,0.55,0.57,4.98,-4.71,11
0.82,10.12,-2.11,0.66,10.15,0.54,0.78,0.52,0.55,0.98,8.3,-10.55,11
0.54,10.31,-2.07,0.35,10.31,0.5,0.8,0.51,0.53,0.63,11.92,-14.39,11
0.23,10.55,-1.72,0.23,10.35,0.54,0.77,0.49,0.52,1.67,15.55,-19.59,11
0.07,10.47,-1.64,0.39,10.27,0.43,0.8,0.51,0.52,0.52,19.79,-26.94,11
0.11,10.39,-1.25,0.7,10.23,0.0,0.81,0.49,0.51,0.29,23.63,-33.22,11
0.27,10.59,-1.25,0.58,10.31,0.15,0.83,0.45,0.49,0.91,27.57,-40.14,11
0.62,10.47,-1.25,0.03,10.51,0.19,0.84,0.43,0.5,1.59,34.62,-48.57,11
0.78,10.7,-1.17,0.35,10.66,0.27,0.87,0.39,0.45,2.55,41.56,-55.64,11
0.9,10.7,-1.29,0.47,10.47,0.43,0.87,0.34,0.42,2.97,45.14,-62.07,11
1.09,10.47,-1.25,0.58,10.35,0.7,0.89,0.3,0.37,4.17,48.72,-67.56,11
1.17,10.63,-1.33,0.82,10.27,0.62,0.92,0.25,0.35,6.91,53.22,-71.46,11
1.29,10.43,-1.41,0.78,10.12,0.54,0.93,0.17,0.26,8.66,55.72,-74.72,11
1.64,10.43,-1.49,0.7,9.8,0.7,0.96,0.14,0.24,5.7,55.5,-75.3,11
1.49,10.19,-1.52,0.86,9.96,0.82,0.99,0.08,0.22,4.77,57.05,-74.87,11
1.21,10.15,-1.29,0.86,10.15,0.98,0.99,0.04,0.15,7.61,54.6,-73.7,11
1.09,10.31,0.54,0.94,10.0,1.17,1.01,0.03,0.13,3.93,51.69,-74.44,11
1.01,10.23,0.5,-1.25,10.12,1.37,1.04,0.0,0.13,2.38,51.5,-71.55,11
1.37,9.76,0.39,-1.21,9.96,1.68,1.04,0.06,0.1,4.33,49.18,-69.33,11
1.72,9.64,0.5,-1.25,9.92,1.8,1.0,0.07,0.1,3.68,47.93,-66.11,11
1.8,9.53,0.47,-1.29,9.76,2.19,1.02,0.08,0.01,2.88,46.72,-61.18,11
2.19,8.78,0.03,-1.49,9.64,2.51,1.07,0.14,0.01,2.71,47.31,-59.88,11
2.27,9.02,0.19,-1.49,9.57,3.02,1.01,0.16,0.04,-5.96,39.02,-56.2,11
2.27,9.29,0.15,-1.37,9.17,3.13,1.04,0.2,0.03,-9.28,33.51,-49.78,11
2.47,9.17,0.62,-1.29,9.17,3.13,0.97,0.19,0.04,-4.62,29.57,-44.23,11
2.7,9.64,0.31,-1.29,9.49,3.33,0.97,0.21,0.04,-2.75,29.8,-43.88,11
2.54,9.68,0.15,-1.13,9.61,3.13,1.02,0.23,0.04,-1.57,32.88,-47.02,11
2.47,9.64,0.03,0.9,9.64,3.05,1.01,0.3,0.13,-2.48,29.63,-40.91,11
2.35,9.45,0.47,-1.01,9.37,3.09,0.96,0.35,0.16,-3.19,20.34,-28.0,11
2.47,9.68,0.66,-1.49,9.41,3.17,0.99,0.33,0.16,-5.5,11.57,-18.43,11
2.54,9.72,0.47,-1.76,9.37,3.02,1.0,0.34,0.15,-8.05,9.3,-18.07,11
2.43,9.84,0.47,-1.8,8.94,3.21,0.96,0.36,0.16,-7.79,3.63,-15.27,11
2.47,9.57,0.5,-1.72,8.78,3.37,0.94,0.36,0.13,-2.91,1.53,-6.49,11
2.66,9.25,0.66,-1.64,8.86,3.6,0.95,0.35,0.14,1.53,1.16,-2.44,11
2.7,9.45,0.66,-1.64,9.17,3.72,0.93,0.36,0.14,2.44,1.4,0.37,11
2.78,9.49,0.86,-1.37,9.37,3.56,0.94,0.37,0.16,1.17,-1.38,1.34,11
2.82,9.57,0.86,-1.33,9.64,3.96,0.94,0.36,0.13,0.53,-2.78,1.48,11
2.7,9.64,0.9,-1.56,9.57,3.96,0.94,0.36,0.13,1.26,-2.45,1.15,11
2.66,9.57,0.9,-1.8,9.45,4.11,0.94,0.37,0.13,2.0,-2.2,1.63,11
2.62,9.53,1.21,-1.92,9.72,4.23,0.95,0.36,0.14,2.13,-3.07,2.51,11
2.54,9.61,1.21,-1.88,9.84,4.27,0.96,0.37,0.13,1.86,-4.72,3.85,11
2.58,9.64,1.29,-1.6,9.88,4.19,0.97,0.37,0.13,1.74,-5.99,6.76,11
2.86,9.53,1.17,-1.37,9.68,4.19,0.97,0.37,0.13,1.45,-7.56,10.08,11
2.54,9.57,1.37,-1.33,9.61,4.04,0.96,0.37,0.13,1.07,-11.52,13.94,11
2.35,9.61,0.98,-1.45,9.72,3.76,0.98,0.35,0.11,1.0,-15.36,18.83,11
2.11,9.64,0.78,-1.6,9.45,3.64,1.0,0.34,0.12,0.25,-17.55,23.91,11
1.8,9.68,0.78,-1.6,9.49,3.49,1.02,0.31,0.11,-1.74,-20.27,28.8,11
1.8,9.57,0.7,-1.41,9.37,3.37,0.99,0.3,0.11,-4.6,-26.08,35.53,11
1.88,9.41,0.31,-1.13,9.33,3.37,1.01,0.27,0.08,-8.84,-36.95,44.4,11
1.96,9.64,0.07,0.62,9.49,2.94,1.03,0.22,0.03,-9.68,-46.46,55.11,11
0.74,9.53,0.0,-1.21,9.41,2.43,1.11,0.25,0.03,-9.44,-53.95,65.89,11
0.98,9.33,0.43,-1.29,9.29,2.07,1.11,0.2,0.04,-7.12,-56.56,68.59,11
1.25,9.68,0.62,0.19,9.41,1.45,1.01,0.16,0.02,-6.03,-60.94,75.16,11
1.56,10.04,0.78,0.39,9.02,1.45,1.03,0.13,0.07,-4.05,-62.0,81.68,11
1.01,9.29,-1.17,1.09,8.9,1.52,1.0,0.06,0.1,-1.42,-66.23,90.21,11
2.43,9.41,0.98,1.13,9.68,1.64,0.92,0.02,0.13,-10.6,-74.22,93.27,11
1.92,8.98,0.86,1.09,9.41,1.21,0.94,0.02,0.15,-7.36,-75.84,98.45,11
0.9,9.64,-1.64,1.45,9.68,0.35,0.92,0.08,0.24,-7.79,-76.99,99.42,11
0.62,10.86,0.39,1.33,10.31,0.31,0.95,0.19,0.31,-11.6,-79.2,97.18,11
0.11,10.78,0.07,0.62,10.9,0.39,0.97,0.17,0.36,7.08,-67.72,98.44,11
0.9,10.0,0.94,0.15,10.82,0.07,0.84,0.25,0.4,5.75,-61.65,93.19,11
1.76,10.35,-1.33,0.35,10.9,0.43,0.82,0.39,0.41,6.11,-58.86,81.8,11
1.76,10.47,-1.29,0.15,11.17,0.5,0.83,0.43,0.42,7.02,-46.91,70.45,11
1.21,10.66,-1.72,0.35,11.1,0.31,0.8,0.45,0.48,1.0,-45.01,64.76,11
0.66,10.86,-2.03,0.39,11.02,0.15,0.78,0.51,0.54,0.16,-40.94,54.92,11
0.7,10.98,-1.96,1.56,10.51,0.23,0.74,0.53,0.55,0.55,-34.17,44.95,11
0.54,10.98,-1.96,0.07,10.15,0.11,0.7,0.57,0.57,0.08,-28.47,36.66,11
0.9,10.7,-1.96,0.43,10.23,0.47,0.69,0.6,0.6,-2.18,-24.78,28.38,11
0.54,10.51,-2.27,1.29,9.96,0.43,0.69,0.59,0.62,0.69,-16.27,19.8,11
0.43,10.27,-2.35,2.11,10.04,0.43,0.67,0.61,0.6,1.34,-11.14,12.75,11
0.19,10.23,-2.23,3.29,10.12,0.11,0.69,0.64,0.61,-1.02,-7.08,6.32,11
0.15,10.15,-1.88,3.45,10.15,0.5,0.7,0.63,0.63,-1.63,0.76,-1.33,11
0.62,10.51,-1.96,2.58,10.35,-1.13,0.73,0.58,0.6,-1.95,6.29,-8.65,11
0.94,10.47,-1.96,2.74,10.23,0.78,0.67,0.61,0.59,-2.02,9.66,-15.39,11
0.54,10.47,-1.76,2.62,10.0,0.43,0.71,0.58,0.6,-2.33,13.37,-20.87,11
0.5,10.31,-1.88,2.19,10.0,0.47,0.71,0.57,0.6,-1.91,17.57,-25.43,11
0.47,10.15,-1.76,2.07,10.04,0.58,0.7,0.57,0.58,-2.42,22.52,-33.14,11
0.27,10.08,-1.64,1.84,10.08,0.62,0.75,0.54,0.57,-3.76,25.34,-38.36,11
0.23,10.19,-1.6,1.72,10.12,0.78,0.74,0.51,0.59,-1.61,30.94,-43.43,11
0.07,10.19,-1.68,1.21,10.08,0.66,0.76,0.45,0.56,2.2,35.5,-48.91,11
0.31,10.35,-1.68,1.25,10.43,0.78,0.79,0.44,0.52,6.39,38.63,-54.36,11
0.43,10.31,-1.64,1.13,10.51,0.47,0.83,0.4,0.48,7.17,43.07,-59.5,11
0.62,10.39,-1.56,1.21,10.43,0.58,0.83,0.34,0.45,3.29,46.36,-63.81,11
0.66,10.63,-1.45,1.01,10.59,0.43,0.9,0.33,0.45,2.75,49.18,-68.57,11
0.62,10.59,-1.52,0.62,10.66,0.27,0.91,0.26,0.38,8.76,51.75,-70.94,11
0.74,10.55,-1.6,0.47,10.63,0.03,0.92,0.2,0.35,5.65,53.27,-70.33,11
0.94,10.19,-1.29,0.39,10.39,0.03,0.92,0.19,0.32,6.52,55.05,-72.54,11
1.05,10.19,-1.05,0.11,10.12,0.23,0.97,0.12,0.29,7.97,60.44,-73.69,11
0.47,10.23,0.94,0.03,10.08,0.19,0.96,0.04,0.27,7.68,62.6,-69.56,11
0.98,10.0,0.74,0.43,9.45,0.47,0.96,0.06,0.19,6.33,57.48,-71.15,11
1.21,10.31,0.7,0.86,9.33,0.39,1.04,0.03,0.12,2.33,54.45,-64.46,11
0.94,10.23,0.82,-1.45,9.61,0.94,1.08,0.0,0.12,3.41,54.56,-58.54,11
1.29,9.64,0.86,-1.56,9.61,1.33,1.01,0.02,0.1,4.92,47.27,-56.65,11
1.96,9.49,0.86,-1.29,9.53,1.05,0.99,0.07,0.04,2.97,46.46,-55.83,11
2.35,9.37,0.54,0.98,9.92,1.49,1.03,0.1,0.03,-5.1,42.92,-59.39,11
2.19,9.29,0.43,-1.05,9.88,2.11,1.02,0.14,0.0,-6.6,39.06,-57.87,11
2.31,9.1,0.47,-1.09,9.76,2.31,1.03,0.17,0.01,-8.53,32.82,-52.36,11
2.43,9.37,0.54,-1.13,9.64,2.43,1.05,0.22,0.0,-6.44,30.33,-49.05,11
2.86,9.37,0.03,-1.29,9.88,2.54,1.02,0.22,0.03,-5.92,30.66,-47.8,11
2.78,9.25,0.07,-1.09,9.53,2.66,1.0,0.28,0.06,-5.79,25.69,-39.93,11
2.62,9.06,0.15,-1.17,9.45,2.47,1.01,0.29,0.06,-3.29,21.53,-31.65,11
2.54,9.68,0.03,-1.45,9.53,2.78,1.02,0.26,0.02,-1.77,20.72,-32.23,11
3.09,9.33,0.23,-1.52,9.41,2.82,0.99,0.29,0.09,-1.73,22.65,-31.49,11
2.74,9.45,0.0,-1.49,9.29,2.7,0.96,0.32,0.13,-1.37,18.79,-24.58,11
2.9,9.37,0.11,-1.68,9.06,2.86,0.95,0.34,0.14,1.11,14.09,-15.45,11
3.17,9.29,0.15,-1.92,9.17,2.7,0.99,0.31,0.11,0.19,10.91,-11.09,11
3.33,9.53,0.11,-1.96,9.33,3.17,0.98,0.32,0.13,-1.57,9.07,-10.55,11
3.13,9.76,0.11,-2.11,9.53,3.33,0.96,0.35,0.13,-1.43,9.37,-8.91,11
3.21,9.57,0.31,-1.96,9.64,3.41,0.95,0.34,0.14,0.44,7.21,-5.37,11
3.33,9.68,0.27,-1.68,9.88,3.25,0.95,0.33,0.14,-1.64,3.83,-3.85,11
3.25,9.45,0.47,-1.76,9.72,3.37,0.96,0.33,0.13,-1.03,2.01,-2.38,11
3.17,9.57,0.47,-1.88,9.57,3.53,0.94,0.34,0.13,0.71,1.11,0.11,11
3.09,9.68,0.5,-1.8,9.64,3.45,0.93,0.35,0.14,0.55,0.89,1.58,11
3.09,9.68,0.47,-1.88,9.64,3.49,0.95,0.35,0.13,0.92,-2.11,3.11,11
3.05,9.68,0.58,-1.72,9.72,3.53,0.96,0.33,0.11,0.64,-1.85,3.57,11
2.82,9.72,0.47,-1.56,9.61,3.45,0.95,0.36,0.14,2.81,-3.62,5.92,11
2.9,9.57,0.5,-1.52,9.68,3.64,0.95,0.35,0.13,4.62,-4.05,7.69,11
2.86,9.64,0.39,-1.56,9.57,3.29,0.96,0.33,0.12,4.36,-4.46,7.55,11
2.98,9.45,0.54,-1.56,9.72,3.29,0.95,0.34,0.12,5.08,-5.52,9.08,11
