d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.04,-12.55,0.07,-5.29,-9.17,0.62,1.31,0.61,0.05,-51.07,-3.36,-17.94,3
3.96,-11.53,2.23,-2.94,-8.66,-1.05,1.01,0.44,0.05,-25.16,9.4,-9.68,3
4.47,-5.25,10.9,-1.29,-5.41,1.45,0.82,0.36,0.0,-2.53,21.17,-10.34,3
5.84,-1.84,12.82,-4.19,-1.13,0.47,0.79,0.42,0.05,6.46,19.51,-17.31,3
6.51,0.78,10.78,-1.68,0.78,0.82,0.96,0.39,0.03,17.54,22.72,-15.8,3
3.6,0.03,10.43,0.35,1.49,1.09,1.0,0.32,0.09,31.93,27.47,8.95,3
3.8,-2.43,10.55,-2.07,0.27,2.27,0.79,0.37,0.11,47.58,25.83,13.05,3
3.6,-3.49,11.65,-4.62,0.58,2.31,0.71,0.33,0.14,33.78,21.11,17.05,3
1.96,-3.17,15.37,-8.94,0.27,7.88,0.73,0.35,0.24,24.69,13.02,14.55,3
2.19,-2.66,16.98,2.35,-1.8,13.61,0.87,0.4,0.29,-6.86,-13.1,26.54,3
0.7,-1.6,15.96,1.56,-2.43,13.18,1.24,0.47,0.37,-12.4,-30.15,30.28,3
6.74,0.31,12.39,-14.7,0.82,18.2,1.06,0.45,0.21,5.4,-12.18,-7.78,3
4.66,0.03,10.15,-16.98,-1.96,19.8,0.85,0.41,0.08,-23.52,-3.26,-23.4,3
4.27,0.19,7.76,-10.74,-1.76,17.61,0.89,0.36,0.06,-5.23,4.32,-33.04,3
4.9,0.9,3.37,-10.23,-2.86,15.41,1.01,0.35,0.07,10.39,1.95,-7.8,3
4.04,0.31,2.07,-7.96,-2.15,15.65,0.96,0.44,0.07,21.03,2.24,-3.33,3
0.27,0.19,0.11,-7.13,-2.82,13.53,0.77,0.43,0.06,-2.04,-4.78,0.91,3
-2.07,0.39,-3.41,-8.0,-3.41,13.18,0.87,0.42,0.09,-27.47,-9.89,-7.5,3
0.0,-5.02,-7.88,-7.8,-5.53,10.55,0.86,0.38,0.06,-36.95,-9.02,-11.8,3
1.17,-8.74,-7.76,-3.68,-8.08,6.31,0.89,0.42,0.02,-41.53,-10.83,-3.58,3
6.04,-12.19,-5.41,0.27,-7.92,3.41,1.03,0.45,0.03,-46.83,-16.11,15.04,3
3.53,-12.82,0.74,-2.11,-8.27,0.78,1.17,0.52,0.15,-30.16,-2.96,23.81,3
6.27,-7.96,4.9,-4.11,-4.94,-4.62,1.01,0.42,0.21,-14.07,18.35,12.35,3
12.9,-4.31,10.94,-2.11,0.35,1.96,0.81,0.36,0.18,-20.91,17.94,4.11,3
6.59,-2.31,11.57,-11.84,1.49,1.88,0.75,0.4,0.12,-21.4,3.48,-8.46,3
4.0,-2.47,10.19,-6.82,0.58,2.19,0.88,0.35,0.08,-26.37,-7.89,-15.46,3
6.43,-4.47,9.02,3.05,-1.09,0.98,0.99,0.34,0.06,-9.02,-2.39,-16.18,3
3.13,-3.6,10.15,2.54,-1.01,2.43,0.96,0.37,0.05,7.36,7.11,-9.13,3
4.19,-3.64,14.23,0.03,0.35,6.27,0.85,0.4,0.1,26.02,0.47,6.07,3
2.94,-4.35,16.31,-7.64,-1.05,3.29,1.01,0.36,0.01,42.36,-3.13,25.03,3
10.12,-3.8,20.04,-12.39,-3.33,10.15,1.14,0.29,0.1,66.62,3.08,32.66,3
8.15,-4.19,14.16,-6.39,-4.94,13.33,0.94,0.34,0.11,79.52,13.14,16.26,3
6.27,-4.19,9.02,-6.23,-4.94,19.57,0.8,0.53,0.21,45.94,7.99,4.19,3
5.25,-2.19,6.27,-13.37,-2.54,20.04,0.68,0.61,0.32,28.0,-7.9,-7.68,3
2.62,1.8,6.66,-10.55,0.54,18.98,0.73,0.51,0.34,7.74,-27.61,-5.74,3
4.78,3.72,2.47,-10.39,-2.74,18.47,0.9,0.34,0.2,16.23,-23.45,-15.62,3
-1.49,2.58,0.03,-8.66,-4.78,16.55,1.09,0.37,0.0,10.21,-6.39,-12.94,3
-4.31,0.9,-3.68,-7.02,-5.8,14.23,1.29,0.44,0.06,-30.19,3.52,-22.58,3
0.66,-1.41,-7.29,-5.96,-6.59,10.15,0.89,0.39,0.1,-47.03,-7.97,-14.74,3
1.13,-6.62,-12.27,-3.84,-7.06,5.02,0.86,0.32,0.12,-54.61,-21.24,-6.78,3
1.33,-13.14,-9.64,-2.58,-8.35,1.56,0.91,0.42,0.12,-72.34,-21.9,9.27,3
5.72,-10.74,3.41,-4.7,-7.33,-3.84,1.0,0.46,0.14,-76.83,-12.68,13.65,3
15.1,-4.55,7.6,-2.0,-3.02,-3.76,1.1,0.49,0.11,-61.41,-10.18,26.97,3
4.7,-6.08,10.86,-3.72,0.27,0.86,1.08,0.48,0.05,-25.66,-11.06,30.72,3
9.1,-2.74,12.55,-1.41,0.31,-1.21,0.99,0.4,0.05,3.62,-1.81,11.97,3
5.37,-1.88,13.61,0.5,1.49,1.21,0.93,0.29,0.09,10.59,16.08,-9.0,3
4.31,-2.86,13.69,-2.54,0.82,4.82,0.81,0.29,0.02,20.13,27.94,-19.62,3
3.29,-3.8,17.49,-8.98,1.37,6.39,0.8,0.42,0.0,30.17,21.02,-20.3,3
4.7,-3.17,19.06,-3.21,0.7,10.31,0.96,0.48,0.05,39.63,13.58,-8.84,3
6.78,0.47,17.61,0.15,0.07,9.76,1.05,0.36,0.06,38.43,6.28,0.57,3
4.9,-1.92,12.0,-2.35,-5.92,7.21,0.97,0.31,0.1,46.44,-6.33,2.59,3
8.7,-5.8,3.09,-17.37,-6.82,19.73,0.75,0.27,0.0,60.94,-9.44,1.23,3
2.39,-2.54,3.92,-12.43,-5.09,15.57,0.73,0.21,0.04,53.3,-8.07,14.18,3
1.21,0.58,2.82,-10.0,-5.72,13.02,0.98,0.35,0.05,48.28,-8.81,14.75,3
3.25,1.6,1.52,-10.31,-6.47,17.84,1.16,0.75,0.15,6.55,-26.74,26.27,3
0.35,1.88,1.76,-8.55,-8.23,15.49,1.0,0.65,0.25,-16.92,-23.88,14.66,3
3.09,0.31,-1.09,-12.9,-8.82,12.39,0.93,0.36,0.14,-41.81,-10.12,-2.85,3
5.21,-1.37,-1.01,-11.29,-9.53,8.59,1.01,0.36,0.02,-52.3,11.2,-28.26,3
7.57,-4.07,-2.35,-4.74,-9.61,2.43,0.98,0.42,0.05,-34.71,22.33,-22.89,3
4.19,-6.98,-5.8,-2.51,-10.08,-3.25,0.9,0.5,0.14,-11.32,26.72,-4.07,3
2.66,-12.04,-8.7,-2.54,-5.8,-3.05,0.89,0.35,0.1,-2.17,12.33,8.08,3
2.82,-14.31,-3.13,-1.56,-4.74,0.5,0.94,0.21,0.11,-18.77,-5.73,17.65,3
7.13,-8.62,5.72,-1.76,-2.98,2.11,0.91,0.16,0.15,-23.27,-14.25,1.18,3
7.45,-3.37,12.9,-2.35,0.78,3.76,0.83,0.15,0.1,-34.16,-8.72,2.59,3
7.53,-4.82,12.12,-5.21,0.35,1.13,0.9,0.28,0.15,-37.02,-5.07,7.92,3
8.35,-4.82,12.0,0.43,-1.13,-1.6,1.03,0.42,0.1,-18.79,-6.74,7.18,3
4.62,-2.86,15.57,-3.25,1.05,5.33,1.02,0.59,0.05,3.69,-15.32,19.95,3
6.04,-4.51,13.61,-4.82,0.19,5.53,1.04,0.52,0.09,31.81,-17.17,18.78,3
6.31,-4.31,17.1,-4.27,0.07,5.45,0.98,0.28,0.07,55.58,10.73,5.23,3
5.96,-5.13,17.18,-3.92,-2.66,5.06,0.9,0.37,0.03,65.24,33.79,-18.7,3
6.74,-7.53,13.72,-8.47,-8.47,11.02,0.67,0.5,0.02,53.2,31.26,-36.93,3
2.9,-6.08,3.92,-8.66,-9.61,18.47,0.7,0.46,0.03,34.88,10.51,-23.52,3
2.43,0.82,4.43,-14.63,-3.25,16.39,0.93,0.31,0.01,41.28,7.37,-12.45,3
0.03,2.39,1.56,-9.21,-4.04,12.47,1.21,0.29,0.06,46.08,13.4,-1.07,3
-2.11,2.47,0.0,-13.1,-5.29,13.8,1.08,0.48,0.03,45.46,8.82,13.53,3
0.94,1.01,1.05,-10.39,-6.11,14.94,0.89,0.46,0.0,38.44,2.53,21.3,3
2.35,0.9,-3.09,-10.82,-6.9,12.51,0.78,0.32,0.07,19.15,6.31,20.56,3
3.84,-5.72,-6.59,-5.64,-8.62,6.86,0.9,0.4,0.06,-4.28,17.61,24.16,3
8.04,-8.51,-4.58,-6.15,-9.21,4.86,1.2,0.44,0.28,-5.17,31.5,21.18,3
7.25,-10.12,-4.19,-5.37,-9.17,5.37,1.06,0.51,0.37,-24.21,18.94,15.6,3
5.92,-13.14,-3.53,-4.82,-7.96,2.78,0.75,0.52,0.33,-41.8,-1.43,13.0,3
6.59,-11.53,1.29,-4.27,-7.68,2.07,0.8,0.42,0.19,-55.03,-12.52,6.52,3
8.27,-6.59,6.9,-3.53,-5.49,2.66,0.99,0.17,0.12,-46.58,-9.43,-6.38,3
9.06,-5.64,9.41,-5.57,-2.74,3.13,1.02,0.05,0.2,-15.38,16.17,-9.8,3
6.31,-3.84,10.39,-6.82,0.98,0.62,0.94,0.18,0.26,0.75,33.36,-19.69,3
8.59,-4.9,9.96,-1.45,-2.03,-6.43,0.87,0.41,0.24,-34.19,5.89,-32.51,3
9.57,-2.94,13.72,3.37,2.51,5.6,0.97,0.37,0.25,-74.68,-18.18,-36.51,3
8.86,-5.68,14.04,0.0,1.13,4.43,0.95,0.32,0.16,-67.89,-33.82,-16.94,3
7.96,-6.62,16.04,-7.53,-1.17,6.51,0.88,0.36,0.02,-35.02,-27.06,6.98,3
8.86,-6.04,16.67,-5.96,-3.25,10.63,0.78,0.39,0.05,-3.79,-32.56,3.1,3
7.33,-4.39,3.41,-1.45,-5.8,12.19,1.03,0.33,0.17,15.07,-29.27,-6.31,3
1.01,-2.27,0.62,-14.59,-5.21,14.59,1.17,0.42,0.0,27.51,-4.8,-3.43,3
0.11,0.23,1.41,-11.92,-1.09,12.74,0.85,0.62,0.21,40.89,10.87,-9.43,3
1.13,0.15,0.31,-12.23,0.9,10.08,0.64,0.47,0.26,33.07,-2.65,4.97,3
0.5,0.82,0.9,-9.37,-1.01,13.76,0.67,0.4,0.15,15.31,-17.54,1.02,3
1.21,0.54,0.27,-8.08,-4.15,15.29,0.88,0.43,0.13,-23.07,-10.41,-15.72,3
0.66,-2.58,-3.76,-8.39,-7.53,16.71,1.22,0.18,0.41,-38.74,13.5,-39.59,3
4.19,-8.0,-5.09,-9.06,-10.51,11.17,1.2,0.38,0.27,7.95,36.33,-4.0,3
7.41,-12.51,-2.78,-10.08,-10.59,5.88,0.97,0.44,0.02,42.41,41.57,28.21,3
11.21,-11.72,1.09,-7.37,-10.19,4.51,1.16,0.51,0.2,31.59,29.55,45.04,3
9.37,-3.84,7.45,-6.31,-8.74,-6.55,0.87,0.36,0.27,45.37,23.04,20.61,3
8.43,-3.49,9.57,-1.52,-3.53,-3.29,0.64,0.29,0.35,8.71,2.27,27.14,3
10.0,0.54,12.55,-7.92,0.27,-2.31,0.78,0.27,0.46,-3.57,-9.91,18.02,3
9.1,-1.6,11.96,-2.98,0.86,-2.23,1.08,0.43,0.35,-11.02,-17.3,7.53,3
7.17,-1.21,12.27,-4.0,0.23,4.55,1.07,0.36,0.23,-18.41,-6.96,0.29,3
6.78,-3.25,12.55,-2.74,-2.94,4.66,0.79,0.23,0.08,7.77,0.14,-12.8,3
8.08,-2.66,13.02,-5.68,-2.9,4.98,0.83,0.2,0.05,17.75,8.68,-15.23,3
7.06,-1.88,15.06,-9.25,-2.9,4.62,1.03,0.28,0.19,21.97,20.24,-19.46,3
11.29,-2.03,15.84,-4.04,-4.19,4.86,1.06,0.43,0.33,-4.37,4.52,-16.53,3
9.92,-5.02,6.55,0.43,-4.7,6.43,0.93,0.46,0.22,-31.7,-16.09,-13.91,3
7.02,-6.98,-1.49,-11.1,-4.51,19.84,0.97,0.24,0.05,-46.93,-35.56,-9.9,3
1.84,0.58,5.41,-18.31,2.39,13.61,0.82,0.19,0.04,-28.08,-31.03,-6.64,3
2.0,0.86,3.84,-8.51,3.02,12.43,0.69,0.34,0.03,-15.28,-29.23,-2.86,3
4.66,3.05,1.41,-12.35,2.15,16.0,0.91,0.63,0.02,-12.47,-19.08,-1.81,3
4.11,2.0,3.6,-9.41,2.51,17.22,1.1,0.51,0.01,5.3,8.82,-8.43,3
0.54,0.23,0.43,-10.9,0.07,15.57,1.03,0.47,0.0,8.55,20.27,-13.95,3
0.86,-6.0,-4.55,-10.04,-4.39,11.29,0.94,0.54,0.02,4.88,20.07,-20.27,3
2.51,-8.55,-3.05,-6.08,-6.59,5.8,0.84,0.48,0.03,-13.93,19.5,-22.39,3
6.7,-10.59,-3.45,0.03,-6.9,1.8,0.78,0.4,0.11,-7.18,25.63,-17.96,3
2.9,-11.88,0.74,-4.43,-5.21,-1.33,0.8,0.41,0.05,9.97,34.34,-1.47,3
5.06,-7.49,4.0,-7.1,-4.94,-3.84,1.08,0.4,0.08,18.81,31.34,15.04,3
12.04,-2.15,10.0,-3.41,-2.66,1.13,1.23,0.35,0.18,42.2,26.69,37.67,3
5.53,-1.21,10.0,-6.27,-1.33,4.47,1.0,0.42,0.16,60.57,12.88,26.25,3
7.88,0.35,10.51,-3.96,-2.19,2.62,0.97,0.29,0.15,33.2,9.57,24.93,3
8.27,-1.05,10.98,1.92,-1.92,1.56,0.76,0.35,0.25,29.82,11.18,17.86,3
3.92,-1.88,11.8,-6.27,0.82,3.45,0.72,0.44,0.37,18.34,0.02,19.79,3
3.88,-3.33,14.35,-6.04,-1.33,4.58,0.89,0.44,0.36,16.39,-11.04,9.76,3
4.04,-2.7,15.84,-4.39,0.39,8.94,1.0,0.33,0.24,0.69,-10.24,-2.59,3
1.84,-1.88,17.06,0.35,0.07,11.96,0.83,0.33,0.17,0.57,-6.46,-18.91,3
