d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-5.6,-4.94,2.39,-2.94,6.86,0.0,0.81,0.15,0.02,104.44,42.34,-9.81,10
-2.39,-1.09,-1.29,-2.9,5.57,0.23,0.88,0.08,0.03,101.36,45.32,-16.71,10
-6.47,0.74,-1.72,-2.0,6.47,0.43,0.69,0.18,0.18,111.32,42.45,4.71,10
-4.31,0.39,-2.7,-1.21,6.9,0.47,0.54,0.42,0.09,107.65,37.84,19.18,10
-7.6,0.27,-3.6,-1.64,7.37,0.43,0.61,0.45,0.03,79.36,18.22,37.73,10
-12.7,-2.03,-6.31,-3.53,9.41,0.07,1.04,0.57,0.09,91.57,17.59,32.47,10
-8.04,-9.37,-12.39,-4.78,11.88,-1.17,1.38,1.09,0.29,114.55,36.31,22.5,10
-5.88,-13.72,-12.55,-5.25,15.33,0.82,1.44,0.88,0.29,152.29,64.02,5.09,10
3.17,-17.29,-16.59,-5.02,16.39,0.27,0.96,0.59,0.1,176.19,86.4,16.56,10
6.15,-18.67,-15.92,-4.04,12.74,0.78,0.86,0.82,0.07,147.84,89.76,21.27,10
12.08,-16.27,-9.17,-7.8,10.12,2.86,0.7,0.72,0.08,129.07,89.19,-1.35,10
13.25,-16.67,-2.7,-6.9,10.27,0.58,0.82,0.75,0.18,110.36,79.13,-26.01,10
10.51,-11.29,-1.68,-5.8,11.61,0.31,1.03,0.77,0.32,119.03,72.05,-35.82,10
13.88,-7.45,7.33,0.07,13.45,0.35,1.35,0.19,0.4,213.52,107.36,-6.33,10
13.33,-4.9,10.59,0.27,10.98,-1.84,0.96,0.45,0.28,252.42,161.11,0.72,10
3.02,-2.78,10.31,0.7,7.57,-1.09,0.62,0.84,0.16,225.78,173.66,5.89,10
-2.51,-1.33,8.7,-2.98,6.11,0.9,0.34,0.5,0.3,209.81,134.14,24.83,10
-7.21,0.19,4.51,-3.41,5.64,-1.05,0.37,0.18,0.19,193.99,85.38,28.43,10
-8.7,0.03,0.0,-2.78,4.86,0.86,0.67,0.16,0.3,160.62,78.68,32.98,10
-7.68,-2.31,-2.0,-2.51,5.02,0.03,0.84,0.17,0.04,141.21,68.92,23.43,10
-7.92,-2.23,-3.33,-1.52,6.19,0.62,0.55,0.62,0.12,92.17,40.43,26.01,10
-8.55,-2.9,-5.33,-2.47,8.23,0.27,0.97,0.84,0.1,76.73,22.11,8.09,10
-8.98,-6.98,-9.64,-3.02,10.9,0.58,1.15,0.97,0.18,135.54,33.72,32.43,10
-5.84,-14.98,-19.88,-2.7,12.98,0.47,1.05,0.74,0.15,158.84,54.29,28.33,10
1.52,-16.43,-12.0,-4.74,14.67,0.54,1.23,0.74,0.0,178.79,85.13,2.0,10
0.35,-13.96,-16.9,-4.47,14.63,0.54,0.96,0.93,0.1,166.17,102.82,-28.0,10
3.49,-19.37,-20.08,-4.62,12.94,0.03,0.69,0.99,0.23,149.91,98.59,-8.61,10
