d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.78,10.19,0.43,-3.29,9.76,-1.05,0.93,0.35,0.03,0.14,3.63,-6.67,0
0.86,10.08,0.11,-4.23,8.94,-1.05,0.96,0.37,0.02,1.1,5.16,-8.12,0
0.86,9.92,0.19,-2.86,8.39,0.07,0.97,0.37,0.02,0.36,4.47,-7.14,0
0.94,10.0,0.11,20.04,13.69,20.04,0.95,0.38,0.02,0.61,2.68,-5.87,0
0.74,10.35,0.31,-6.86,8.19,-1.13,0.96,0.38,0.01,0.26,1.95,-6.47,0
0.74,10.15,0.31,-1.05,9.57,-1.13,0.95,0.38,0.0,-2.23,1.44,-6.46,0
0.7,9.96,0.15,0.58,9.88,-1.05,0.94,0.39,0.02,-2.66,1.53,-5.85,0
0.54,9.84,0.23,-2.78,8.59,-2.11,0.95,0.38,0.03,-2.91,1.42,-4.66,0
0.43,9.57,0.07,-2.74,9.33,0.27,0.94,0.38,0.02,0.89,3.63,-4.59,0
0.66,10.04,0.15,-1.96,8.0,-2.03,0.94,0.43,0.02,0.5,1.43,-3.46,0
0.39,10.04,0.03,-3.13,9.29,-1.17,0.95,0.42,0.0,1.87,4.69,-3.29,0
0.35,10.19,0.31,0.35,9.92,-1.76,0.95,0.4,0.01,7.65,3.4,-3.72,0
0.43,10.19,0.5,-1.17,10.59,0.23,0.94,0.42,0.04,3.37,2.41,-3.11,0
0.43,9.84,0.47,0.94,10.0,0.23,0.91,0.4,0.03,3.59,0.67,-4.77,0
0.15,9.8,0.58,2.39,10.23,-1.8,0.93,0.41,0.0,0.39,1.56,-4.8,0
0.98,9.88,1.01,0.7,10.23,-1.52,0.94,0.41,0.01,-1.36,3.16,-5.14,0
0.07,10.15,1.09,0.43,10.15,0.47,0.94,0.41,0.01,0.57,4.04,-4.95,0
0.66,10.35,1.33,-2.43,10.27,0.11,0.93,0.43,0.02,-1.79,2.08,-5.69,0
0.11,10.0,1.33,-2.98,10.51,0.5,0.92,0.43,0.01,-3.57,0.4,-5.94,0
0.35,10.04,1.41,-1.68,10.59,1.05,0.92,0.43,0.02,-5.24,-1.04,-7.39,0
0.39,10.0,1.41,-1.76,10.74,0.66,0.93,0.44,0.0,-6.74,-2.26,-7.66,0
0.31,10.35,1.17,0.11,10.78,1.68,0.92,0.44,0.01,-7.5,-3.26,-7.08,0
0.82,9.84,1.01,0.23,10.59,2.51,0.92,0.42,0.01,-4.75,-2.91,-8.01,0
2.43,10.0,1.37,0.15,10.63,2.78,0.92,0.46,0.01,-3.17,-1.75,-7.07,0
2.78,10.08,2.23,0.03,10.51,2.51,0.91,0.44,0.0,-3.76,0.34,-7.64,0
1.29,9.29,0.23,0.39,10.15,1.49,0.92,0.46,0.0,-4.43,0.3,-7.58,0
3.6,10.39,0.66,-2.03,10.19,1.09,0.91,0.47,0.0,-3.46,1.08,-6.36,0
3.96,10.04,1.92,-2.78,9.92,0.74,0.9,0.47,0.0,-1.45,2.63,-4.52,0
-2.66,9.33,2.7,-2.31,10.15,0.07,0.92,0.46,0.0,2.32,4.59,-3.1,0
0.39,9.29,2.98,-3.76,9.49,0.03,0.92,0.47,0.0,4.31,6.14,-1.96,0
0.98,9.61,2.31,-3.53,9.29,0.19,0.91,0.47,0.03,4.0,5.82,0.88,0
3.53,9.1,1.45,-2.78,8.94,0.03,0.91,0.45,0.02,2.26,6.23,0.14,0
3.25,8.98,0.7,-2.78,8.66,0.27,0.91,0.46,0.03,3.04,5.45,0.43,0
4.51,8.94,0.07,-2.47,8.19,0.31,0.9,0.46,0.04,1.61,4.19,0.0,0
5.06,9.13,0.31,-1.25,9.06,0.82,0.91,0.46,0.04,3.29,2.77,0.56,0
3.05,8.35,1.25,-2.58,9.53,0.9,0.91,0.46,0.02,3.93,2.53,0.49,0
2.62,8.31,0.27,-2.78,9.76,0.58,0.89,0.47,0.02,3.79,2.57,-1.01,0
4.11,8.78,-1.37,-4.15,10.0,0.35,0.9,0.48,0.03,2.64,1.62,0.45,0
4.66,9.41,0.0,-4.0,9.88,0.43,0.91,0.47,0.03,0.31,0.18,0.25,0
3.13,9.13,0.39,-3.76,9.88,0.54,0.91,0.47,0.02,-2.99,0.02,-1.05,0
3.33,9.02,0.5,-2.98,9.68,0.7,0.89,0.48,0.05,-1.96,0.53,-1.45,0
2.74,9.1,2.15,-2.9,9.68,1.05,0.91,0.47,0.03,-3.23,0.46,0.03,0
2.31,9.92,2.94,-2.27,9.96,0.9,0.9,0.46,0.04,-3.46,0.56,0.59,0
2.43,10.15,3.37,-2.19,10.12,0.82,0.9,0.45,0.03,-1.92,0.24,0.57,0
3.21,9.96,3.21,-2.0,10.23,0.7,0.9,0.45,0.04,0.61,0.31,-1.14,0
2.51,9.96,2.19,-2.27,10.15,0.54,0.9,0.44,0.03,0.51,1.51,-2.69,0
