d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-1.72,0.43,-4.98,-5.21,2.27,13.96,1.27,0.72,0.44,41.32,48.18,10.96,8
1.76,0.58,0.78,-10.7,1.05,15.72,0.83,0.61,0.39,-17.69,17.07,-25.49,8
3.53,1.05,3.96,-6.9,0.39,15.49,0.81,0.4,0.18,-62.58,3.2,-48.52,8
6.23,0.82,7.64,-2.78,-1.45,11.88,0.84,0.28,0.13,-51.75,2.11,-45.78,8
5.72,-1.41,7.76,-2.39,0.86,6.59,0.88,0.27,0.05,-35.05,-13.54,6.4,8
4.9,0.11,15.96,-2.15,-1.96,1.09,0.69,0.24,0.09,-13.24,-18.29,25.1,8
0.23,1.21,15.02,-5.13,-1.52,-2.11,0.61,0.18,0.05,-39.39,-31.37,35.74,8
4.78,2.54,16.2,-2.35,-1.13,-3.8,1.0,0.34,0.16,-42.6,-26.74,23.53,8
12.51,2.47,16.71,2.31,-1.68,-2.86,1.35,0.71,0.08,-8.37,-13.17,10.53,8
13.14,0.66,17.02,-1.56,-1.01,2.11,1.49,0.49,0.08,0.08,-3.46,-17.02,8
7.88,0.43,17.14,-10.19,2.15,9.41,1.14,0.28,0.04,39.0,16.14,-16.58,8
5.09,0.03,12.39,-6.86,1.64,13.21,0.79,0.39,0.04,51.13,20.47,-8.78,8
4.66,0.0,6.0,-11.1,2.27,15.8,0.48,0.41,0.1,56.52,8.46,-4.43,8
2.27,0.74,1.13,-8.43,0.5,17.45,0.51,0.22,0.02,47.47,-5.08,23.72,8
-1.17,0.5,-3.92,-4.94,2.7,15.33,0.96,0.3,0.07,32.97,-5.58,56.23,8
-2.07,0.7,-5.92,-4.7,4.15,13.57,1.22,0.5,0.24,46.28,18.72,35.24,8
0.86,0.03,-6.39,-7.8,4.35,12.04,1.31,0.58,0.51,19.23,23.94,19.39,8
3.68,0.27,0.23,-14.0,2.58,13.02,1.14,0.46,0.27,-31.59,14.02,-21.55,8
4.98,0.11,9.21,-14.04,0.62,14.0,0.82,0.47,0.19,-69.84,2.48,-44.19,8
6.82,0.11,13.29,-9.68,0.11,11.21,0.79,0.19,0.13,-63.53,-8.04,-27.36,8
6.0,0.23,15.33,-5.17,0.19,7.21,0.71,0.15,0.06,-28.82,-19.91,11.12,8
0.86,-1.25,16.0,0.31,0.03,3.53,0.58,0.16,0.01,-35.26,-31.28,19.49,8
3.92,1.92,9.13,0.98,0.11,0.19,0.62,0.11,0.05,-68.13,-29.65,6.29,8
9.61,2.23,14.0,1.92,0.98,-2.35,0.75,0.45,0.03,-61.28,-30.39,-7.49,8
10.08,2.58,13.25,0.58,0.47,-3.72,1.49,0.71,0.07,-45.94,-33.13,-3.76,8
10.12,0.07,14.0,-4.62,1.6,0.62,1.8,0.32,0.16,15.8,13.14,-41.45,8
9.92,-3.29,14.31,-5.72,2.58,9.57,1.02,0.36,0.05,57.64,39.05,-37.4,8
4.39,-2.66,7.72,-11.61,3.21,15.29,0.68,0.52,0.02,47.75,24.71,-39.76,8
