d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.76,12.67,0.15,-2.11,17.88,0.86,1.37,0.05,0.6,79.36,45.43,0.69,7
3.49,12.12,0.54,-2.51,16.08,-2.35,1.11,0.07,0.4,123.25,58.69,0.36,7
2.7,9.88,0.94,0.98,12.59,-2.54,0.82,0.11,0.18,164.75,78.91,-12.85,7
2.31,8.55,-1.56,-1.05,8.66,-2.11,0.75,0.11,0.09,174.1,80.53,-6.82,7
2.23,8.62,-1.76,-2.0,8.35,0.78,1.01,0.41,0.18,131.93,71.3,5.59,7
2.86,8.27,-2.0,-1.64,8.78,0.19,0.83,0.3,0.27,141.0,56.72,-1.77,7
3.41,7.8,-2.03,-1.37,8.19,-1.37,0.71,0.15,0.18,129.31,37.11,19.62,7
4.66,7.45,-2.11,-1.72,7.88,-1.49,0.81,0.08,0.01,103.46,29.11,11.22,7
5.64,7.72,-1.84,-1.64,6.86,0.86,0.84,0.05,0.02,108.76,36.85,-5.52,7
7.13,8.62,-1.76,-1.68,6.47,0.03,0.74,0.22,0.13,118.67,38.61,-9.86,7
7.6,10.0,-1.25,-1.6,6.86,0.35,0.77,0.2,0.13,120.71,26.12,-17.62,7
8.78,11.14,0.27,-1.52,7.17,0.58,0.91,0.18,0.1,120.03,22.09,-26.71,7
9.53,11.29,0.94,-1.56,7.68,1.01,1.02,0.14,0.12,129.88,25.7,-28.36,7
11.61,12.19,1.72,-2.15,8.74,1.49,1.06,0.21,0.14,141.09,27.42,-25.92,7
14.67,13.18,1.41,-2.98,9.92,2.51,1.06,0.22,0.12,162.5,39.48,-19.51,7
12.39,14.82,5.21,-2.9,11.37,2.82,1.02,0.25,0.15,175.36,57.95,-7.33,7
12.23,14.67,3.13,-4.0,12.12,3.13,0.98,0.44,0.22,179.19,73.73,-8.51,7
8.9,11.33,0.15,-3.68,10.63,3.41,0.86,0.34,0.33,189.97,78.39,18.08,7
7.84,7.1,-4.23,-1.72,11.1,3.88,0.98,0.4,0.23,187.61,70.02,47.76,7
11.06,1.88,-4.19,-1.84,12.19,7.64,1.03,0.31,0.1,169.26,60.82,29.74,7
9.49,0.35,-6.15,-8.9,10.12,0.78,0.92,0.28,0.1,124.3,42.84,9.37,7
3.72,-2.43,-8.86,-7.21,8.15,1.37,0.93,0.53,0.11,78.46,4.01,6.67,7
2.27,-3.09,-10.39,-4.58,8.31,-1.13,1.09,0.38,0.02,76.89,-23.14,12.5,7
0.11,-2.94,-8.08,-3.45,8.7,-2.47,0.92,0.34,0.13,95.57,-29.94,-1.63,7
-4.19,-2.15,-6.82,-3.21,8.35,-1.41,0.76,0.46,0.16,103.4,-31.13,-6.64,7
-6.94,-3.29,-8.86,-3.13,8.47,0.54,0.79,0.49,0.19,98.15,-12.25,11.7,7
-4.47,-2.82,-6.94,-2.0,8.74,0.82,0.96,0.35,0.05,97.47,5.06,24.84,7
-1.41,0.11,-4.27,-2.62,9.88,-1.25,0.99,0.36,0.12,101.05,13.37,22.79,7
0.43,0.86,-3.49,-2.62,10.04,0.7,0.99,0.39,0.13,89.44,20.06,25.71,7
0.62,2.23,-3.29,-2.23,10.0,0.27,0.87,0.38,0.11,76.03,20.37,29.0,7
0.94,4.62,-2.35,-1.68,9.61,0.07,0.8,0.34,0.03,75.42,15.62,45.27,7
1.68,6.04,-2.47,-2.07,8.78,0.39,0.82,0.25,0.04,72.69,11.88,56.28,7
3.02,8.62,-3.17,-2.03,8.66,1.49,0.81,0.21,0.04,61.11,13.1,60.82,7
6.23,9.84,-2.15,-1.88,8.7,1.25,0.77,0.2,0.01,51.24,12.75,57.23,7
13.06,15.41,0.35,-2.03,9.68,1.56,0.97,0.18,0.0,32.94,-2.36,62.5,7
15.37,17.92,1.33,-1.25,9.64,1.68,1.25,0.12,0.03,26.09,-15.8,59.34,7
3.33,19.41,4.15,-1.13,10.74,1.96,1.2,0.03,0.09,20.69,-16.34,41.21,7
4.47,20.04,7.49,-2.39,12.67,2.9,1.12,0.0,0.19,5.39,-11.49,21.23,7
5.6,20.04,9.29,-3.21,12.0,2.23,1.23,0.2,0.14,9.25,-12.63,19.35,7
16.12,20.04,5.06,-8.74,11.8,1.25,1.14,0.29,0.1,24.67,-5.08,12.94,7
15.53,20.04,5.33,-5.6,11.41,1.72,1.06,0.26,0.12,12.31,4.02,-10.92,7
8.0,18.39,5.64,-2.39,11.17,2.15,1.14,0.25,0.1,-12.19,12.72,-31.41,7
6.7,16.78,3.96,-2.94,11.33,0.94,1.27,0.24,0.1,-32.77,17.43,-43.12,7
4.04,15.18,2.62,-3.25,12.04,0.07,1.34,0.19,0.06,-53.95,15.73,-48.12,7
3.96,13.65,0.7,-3.88,12.86,0.39,1.45,0.16,0.02,-72.8,7.02,-46.81,7
3.84,13.76,0.0,-3.64,13.57,0.0,1.51,0.01,0.02,-86.28,8.84,-46.21,7
3.33,12.98,0.11,-2.74,14.0,0.62,1.31,0.13,0.09,-126.67,-1.98,-47.02,7
1.25,10.9,0.54,-1.8,11.02,0.7,0.88,0.31,0.09,-154.47,-12.7,-63.79,7
0.66,7.53,-1.8,-1.33,7.6,1.21,0.6,0.46,0.02,-187.52,-38.25,-50.32,7
0.94,6.15,-2.43,-1.25,7.1,0.86,0.65,0.43,0.05,-193.51,-50.73,-34.66,7
2.03,6.31,-2.47,-1.92,8.04,0.5,0.82,0.45,0.16,-149.85,-48.0,-1.51,7
3.17,6.35,-2.9,-2.11,9.06,0.7,0.94,0.3,0.27,-111.38,-18.04,17.18,7
