d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
8.86,11.96,-1.01,-6.55,13.76,0.7,0.91,0.45,0.27,-200.14,-74.98,-20.49,2
7.53,10.86,-1.84,-8.94,15.88,-1.29,1.01,0.4,0.22,-186.49,-58.82,-23.84,2
5.25,10.66,-3.02,-10.63,20.04,0.47,1.2,0.17,0.09,-118.33,-31.78,-18.17,2
16.43,10.7,-1.64,-9.76,18.63,-2.66,1.03,0.24,0.06,-78.15,-18.11,-7.53,2
5.06,6.74,-2.58,-10.66,17.18,-3.02,0.98,0.38,0.24,-62.46,-2.12,0.03,2
6.66,6.9,-2.74,-6.55,10.98,-2.23,1.13,0.29,0.25,-63.4,0.39,0.7,2
7.53,8.47,-3.37,-2.27,7.17,-3.6,0.99,0.33,0.26,-113.47,-16.82,-6.67,2
6.7,8.27,-3.37,-1.84,2.7,-3.21,0.79,0.37,0.21,-132.82,-38.01,-13.44,2
5.72,7.88,-2.58,0.82,2.58,-3.05,0.8,0.29,0.07,-122.6,-50.07,-3.48,2
5.13,7.6,-2.0,1.92,2.31,-2.23,0.93,0.22,0.04,-105.18,-48.56,6.16,2
5.02,7.68,-1.76,0.86,2.86,0.03,0.9,0.22,0.0,-94.05,-39.75,1.63,2
5.09,7.88,-1.64,0.0,2.62,0.15,0.82,0.29,0.05,-93.16,-42.68,-2.07,2
5.33,7.45,-1.45,-1.41,2.94,0.39,0.8,0.26,0.01,-91.11,-43.61,0.05,2
5.06,7.53,-1.13,-8.35,6.98,0.66,0.85,0.17,0.05,-86.37,-33.76,-3.3,2
5.06,7.72,0.54,-7.64,7.1,1.68,0.82,0.14,0.04,-76.04,-26.91,-12.39,2
5.02,7.64,0.0,-11.68,11.57,0.86,0.87,0.24,0.04,-70.44,-19.67,-16.99,2
4.98,8.08,0.19,-17.92,15.25,6.11,1.02,0.28,0.01,-62.05,-22.99,-5.67,2
4.94,9.29,0.62,-15.02,12.59,7.17,1.24,0.35,0.09,-49.53,-27.66,2.74,2
6.27,11.06,0.66,-16.78,10.27,9.72,1.38,0.31,0.22,-37.99,-17.27,9.34,2
7.6,15.18,-5.6,-20.08,7.53,7.13,1.31,0.27,0.13,4.1,13.4,13.02,2
7.41,10.08,0.66,-19.29,5.88,5.33,1.29,0.26,0.04,38.97,31.98,16.5,2
7.17,11.96,0.98,-20.08,3.64,2.58,1.27,0.28,0.06,49.53,38.9,10.05,2
8.08,11.02,0.82,-13.29,0.7,0.19,1.13,0.31,0.21,39.36,33.68,5.84,2
6.15,9.61,0.35,-7.29,-1.45,-1.37,1.0,0.3,0.23,20.08,23.81,1.92,2
6.66,10.08,0.66,0.47,-4.11,-4.11,0.93,0.16,0.16,12.23,18.62,-1.45,2
5.33,7.64,-1.21,2.31,-5.88,-4.35,0.81,0.16,0.1,11.02,11.85,0.68,2
5.17,7.49,-1.41,2.19,-7.21,-3.88,0.73,0.15,0.08,8.74,8.1,-1.55,2
4.47,6.55,-1.45,4.47,-6.9,-2.58,0.67,0.14,0.09,-2.16,-3.43,-4.0,2
4.0,5.96,-1.13,1.64,-5.17,0.31,0.7,0.14,0.09,-14.57,-18.56,-1.95,2
3.88,6.43,-1.09,0.31,-4.04,0.94,0.76,0.15,0.06,-27.5,-34.98,1.08,2
3.96,7.21,0.9,-1.64,-2.78,1.09,0.9,0.19,0.01,-31.57,-46.61,4.06,2
4.27,7.84,-1.05,-3.72,0.11,1.92,1.05,0.2,0.11,-23.99,-41.18,7.85,2
4.39,8.47,0.78,-8.08,5.37,1.21,1.19,0.22,0.14,0.67,-28.17,11.24,2
4.9,9.53,0.9,-14.86,12.19,1.64,1.29,0.29,0.1,28.76,-9.92,17.77,2
5.21,10.94,0.7,-15.02,16.74,3.96,1.3,0.34,0.01,54.42,2.97,17.82,2
6.15,10.08,0.74,-12.04,16.0,4.31,1.27,0.31,0.08,59.44,6.79,14.86,2
6.0,11.57,0.62,-7.49,14.7,2.86,1.25,0.29,0.13,77.91,16.89,11.01,2
4.66,11.92,0.9,-1.68,14.08,2.35,1.13,0.29,0.14,105.56,31.79,7.31,2
5.02,9.53,-1.37,-2.51,14.12,2.98,0.99,0.22,0.11,131.29,43.14,4.77,2
7.41,9.49,0.66,-5.6,12.94,3.33,0.85,0.22,0.05,148.15,45.52,5.34,2
7.8,8.31,0.66,-5.8,11.68,2.62,0.77,0.24,0.03,154.69,48.52,2.03,2
7.13,7.25,0.82,-4.98,11.65,0.74,0.78,0.21,0.0,160.0,53.95,-4.85,2
6.04,7.02,-2.23,-4.55,9.68,-1.05,0.81,0.23,0.09,161.44,59.7,-8.86,2
7.29,7.84,-2.66,-2.43,10.43,0.35,0.8,0.28,0.16,162.19,56.63,-8.36,2
9.49,9.61,-4.07,-1.17,10.78,-1.17,0.91,0.2,0.18,155.81,50.89,-11.56,2
9.64,11.02,-5.96,-3.21,10.78,-1.96,1.01,0.21,0.17,143.55,43.17,-17.7,2
10.78,12.19,-4.86,-4.27,11.84,-1.68,0.98,0.3,0.19,131.76,41.26,-20.86,2
10.23,11.76,-5.6,-3.72,10.55,-1.09,0.92,0.27,0.28,126.18,47.93,-12.55,2
10.12,11.37,-7.45,-2.78,9.76,0.47,0.85,0.26,0.26,133.93,68.65,4.4,2
13.49,12.43,-8.47,-1.84,9.64,0.47,0.89,0.41,0.18,119.68,65.25,19.68,2
12.16,12.86,-10.0,-3.45,13.1,0.19,1.47,0.41,0.11,97.71,48.6,16.97,2
10.39,9.21,-9.21,-3.56,10.31,0.23,0.99,0.33,0.05,109.65,44.27,-6.43,2
5.25,6.35,-6.59,-2.51,7.88,0.0,0.7,0.6,0.03,128.36,43.17,19.29,2
1.64,3.09,-6.11,-4.07,9.37,0.11,0.86,0.57,0.31,181.12,52.82,25.69,2
0.31,1.76,-5.92,-4.23,9.84,0.0,1.04,0.53,0.27,154.33,29.51,0.27,2
-1.84,0.54,-6.0,-3.49,9.02,0.35,0.82,0.53,0.06,150.36,51.42,-2.54,2
