d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.29,8.39,0.98,-2.82,7.33,7.57,0.85,0.24,0.16,-5.34,-13.62,-6.37,4
3.76,9.37,0.7,-1.01,10.74,6.78,1.13,0.26,0.08,-13.06,-13.94,-6.73,4
3.88,9.61,0.7,0.98,11.02,4.94,1.03,0.4,0.12,10.5,8.0,9.7,4
3.72,10.04,0.31,-3.09,11.41,4.07,0.95,0.43,0.2,23.22,8.43,16.8,4
3.72,10.19,0.07,-2.47,11.06,3.96,1.05,0.3,0.17,18.47,7.7,9.25,4
3.6,10.04,0.23,-1.52,10.63,4.62,0.99,0.31,0.19,10.94,12.64,4.05,4
3.33,9.92,0.11,-1.64,9.57,4.82,0.95,0.29,0.19,14.23,13.96,1.9,4
3.05,9.49,0.19,-2.39,9.02,3.88,0.94,0.23,0.13,13.55,17.24,1.69,4
3.02,8.98,0.27,-2.7,8.47,3.41,0.83,0.22,0.24,21.51,17.87,6.76,4
2.86,8.47,0.35,-2.7,8.15,4.55,0.77,0.23,0.25,23.57,12.35,6.32,4
2.62,8.39,0.47,-2.39,7.8,5.45,0.76,0.19,0.28,19.52,7.28,3.09,4
2.43,8.78,0.39,-1.52,7.72,5.09,0.82,0.13,0.27,14.58,8.82,-1.99,4
2.19,9.17,0.66,-1.56,8.08,4.82,0.89,0.17,0.29,6.68,10.57,-10.4,4
1.96,9.41,0.98,-2.35,8.47,4.7,0.92,0.22,0.37,1.28,8.56,-10.59,4
2.31,9.76,0.78,-2.47,9.1,4.19,0.99,0.17,0.44,8.33,12.43,-6.82,4
2.58,11.33,0.62,-2.78,9.84,4.55,1.16,0.13,0.41,14.85,25.93,5.54,4
2.51,12.94,0.19,-4.27,11.53,4.58,1.32,0.27,0.24,9.38,35.83,17.42,4
1.92,14.43,0.47,-3.76,15.84,8.78,1.68,0.56,0.02,-9.5,38.53,17.85,4
2.47,13.06,1.45,0.47,13.53,0.78,1.37,0.72,0.2,19.82,45.06,2.44,4
3.8,12.19,1.8,-2.31,15.02,0.11,1.22,0.66,0.17,-8.73,20.76,19.37,4
6.15,12.35,2.98,-4.31,12.78,0.66,1.0,0.5,0.09,6.6,1.47,14.11,4
6.19,11.68,4.51,-1.21,9.64,-2.0,0.81,0.45,0.01,-15.44,-15.07,1.71,4
2.7,8.51,2.98,-2.19,7.06,-1.96,0.63,0.4,0.02,-34.01,-29.75,-18.01,4
2.11,6.62,1.21,-2.0,5.53,0.03,0.52,0.32,0.11,-60.61,-51.54,-24.94,4
-3.68,4.98,5.09,-1.56,5.29,1.17,0.76,0.18,0.25,-55.86,-60.34,-15.63,4
-1.92,5.09,6.7,-1.72,6.62,1.45,0.91,0.32,0.34,-24.72,-41.65,0.25,4
-1.13,7.29,2.62,-2.27,9.25,1.68,0.91,0.36,0.32,31.97,-3.95,10.82,4
3.8,10.31,1.64,-2.31,10.63,1.29,1.07,0.38,0.3,70.78,30.47,24.95,4
5.64,11.17,2.78,-1.01,11.68,1.17,1.1,0.54,0.01,66.94,39.24,36.44,4
4.51,10.66,2.0,0.62,11.49,1.33,1.03,0.49,0.13,41.55,8.21,30.01,4
3.05,10.98,1.8,-1.33,10.59,1.25,0.91,0.38,0.15,7.59,-5.72,13.41,4
1.21,10.23,1.8,-2.78,9.72,1.45,0.82,0.39,0.13,-28.18,-17.91,-1.08,4
0.39,9.25,1.84,-4.27,9.49,1.56,0.84,0.4,0.02,-48.33,-33.11,-7.62,4
0.62,9.17,1.8,-4.23,9.8,1.29,0.93,0.37,0.17,-43.17,-32.55,-7.97,4
0.27,9.1,1.56,-3.72,9.92,1.13,1.01,0.32,0.23,-37.07,-22.52,-7.24,4
2.15,8.78,1.29,-2.51,9.53,1.33,0.9,0.37,0.23,-29.02,-8.01,-10.56,4
3.41,8.11,1.33,-1.52,8.82,1.64,0.8,0.37,0.23,-23.44,-6.83,-10.0,4
5.37,7.88,2.39,0.9,8.08,1.84,0.79,0.33,0.22,-18.76,-5.91,-8.62,4
3.09,7.25,3.05,0.98,7.72,1.92,0.74,0.32,0.22,-15.66,0.04,-9.59,4
1.33,6.59,3.49,-1.92,7.76,1.76,0.7,0.31,0.2,-14.99,6.05,-8.73,4
0.19,6.98,3.33,-2.27,8.19,1.6,0.75,0.45,0.17,-26.79,3.4,-8.65,4
1.64,9.57,3.17,-2.47,11.17,2.0,0.95,0.61,0.22,-39.84,-3.35,-19.01,4
4.86,12.12,4.15,-2.07,14.0,2.0,1.21,0.66,0.32,-51.6,-11.23,-33.41,4
9.33,13.84,7.8,-1.29,13.84,1.76,1.28,0.64,0.26,-46.93,-22.85,-32.93,4
4.9,13.76,4.86,-1.05,13.61,1.72,1.62,0.53,0.02,-29.02,-26.06,-28.1,4
1.52,14.67,2.43,-1.29,13.84,1.8,1.56,0.44,0.09,-1.11,-23.03,-46.91,4
1.13,14.63,1.52,-2.86,12.27,2.23,1.49,0.22,0.31,29.97,2.85,-27.94,4
7.13,10.78,0.35,-3.45,10.66,2.98,1.07,0.23,0.44,52.2,23.47,7.91,4
3.13,8.47,-3.09,-4.07,10.04,4.0,0.83,0.27,0.35,47.88,14.1,27.58,4
3.53,7.17,-3.76,-3.21,9.02,5.09,0.84,0.16,0.2,24.91,9.28,14.4,4
2.54,6.27,-3.05,-1.13,7.13,5.06,0.79,0.06,0.17,3.18,16.8,-1.14,4
2.74,5.68,-2.43,0.82,5.96,5.02,0.72,0.08,0.22,5.04,26.56,0.63,4
2.94,6.27,-2.19,0.19,6.43,5.17,0.67,0.22,0.25,4.36,18.65,22.11,4
3.33,7.25,-2.35,-4.04,7.53,5.8,0.76,0.3,0.23,-15.78,-1.93,29.58,4
3.92,8.62,-2.54,-4.98,9.8,10.15,0.9,0.23,0.23,-31.59,-9.51,27.72,4
4.19,9.61,-1.92,0.47,10.78,6.43,1.06,0.17,0.21,-25.86,-3.23,28.8,4
4.19,11.41,-1.45,1.6,11.84,5.88,1.01,0.33,0.15,-34.85,-10.36,22.79,4
3.72,11.33,0.86,-3.02,10.82,5.57,1.01,0.33,0.19,-32.35,-8.81,17.2,4
3.09,10.9,0.86,0.54,10.23,4.15,1.07,0.18,0.08,-18.22,-6.33,10.62,4
3.56,11.02,0.39,0.0,10.04,4.04,1.07,0.17,0.12,-4.82,8.65,2.24,4
4.23,9.96,0.35,-1.45,8.94,3.76,0.89,0.23,0.16,17.14,15.62,5.03,4
4.23,9.37,0.39,-2.27,8.39,3.49,0.93,0.18,0.18,26.14,15.65,12.08,4
4.0,9.25,0.0,-2.43,8.23,3.21,0.91,0.14,0.24,26.26,16.31,8.18,4
3.84,8.78,0.15,-2.51,8.47,3.17,0.82,0.14,0.26,19.87,12.31,0.33,4
3.05,8.19,0.15,-2.31,8.19,3.25,0.78,0.13,0.26,11.61,7.44,-3.42,4
3.64,7.72,0.07,-2.78,7.88,3.56,0.74,0.08,0.24,9.91,4.82,-9.43,4
3.25,7.25,0.03,-2.07,6.82,4.66,0.72,0.06,0.2,7.24,4.34,-13.17,4
2.74,7.21,0.9,0.58,6.19,5.25,0.74,0.05,0.22,11.65,3.86,-15.15,4
2.94,8.59,-2.15,0.11,7.49,5.72,0.93,0.1,0.31,24.1,11.4,-11.94,4
3.09,11.8,-2.58,-1.09,10.9,5.84,1.22,0.18,0.48,42.17,31.02,-5.74,4
3.41,13.88,-2.23,-3.41,13.14,6.62,1.28,0.18,0.57,60.8,46.37,-6.85,4
