d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.45,-10.86,-5.6,-10.27,-7.96,-3.53,1.26,0.6,0.09,-17.68,-8.14,10.99,6
6.27,-12.43,-8.47,-5.8,-11.68,-9.49,1.39,0.63,0.05,4.82,1.21,-11.07,6
5.13,-12.82,-9.45,1.21,-11.72,-3.05,1.09,0.53,0.11,19.84,19.18,-11.04,6
0.62,-10.7,-4.35,3.09,-10.66,7.72,0.91,0.49,0.08,23.18,13.37,-9.63,6
-8.62,-8.78,1.25,0.0,-7.6,4.0,0.83,0.46,0.09,6.71,-2.12,-5.33,6
-7.68,-7.72,2.07,-11.96,-5.92,-2.11,0.83,0.41,0.06,8.11,-4.57,-10.23,6
0.47,-7.41,-5.09,-9.57,-7.17,-4.27,0.96,0.32,0.02,7.99,1.16,-10.1,6
2.03,-7.84,-10.98,-5.88,-7.06,-3.84,0.89,0.32,0.01,14.23,9.38,-9.02,6
5.76,-8.43,-10.39,-8.23,-7.57,-4.35,0.77,0.35,0.0,15.13,12.3,-3.55,6
8.31,-8.27,-7.72,-10.86,-6.59,-1.72,0.74,0.34,0.03,17.26,9.69,7.14,6
15.02,-7.06,-3.64,-7.88,-6.66,-1.52,0.83,0.36,0.09,17.53,7.94,19.24,6
9.53,-8.86,-2.94,-9.06,-7.41,-2.62,1.09,0.44,0.27,3.61,3.39,31.76,6
5.96,-10.15,-9.41,-2.82,-10.39,-6.19,1.23,0.43,0.28,6.26,1.04,18.47,6
3.64,-13.8,-11.76,5.21,-13.49,-3.49,0.95,0.51,0.22,-10.4,6.06,-1.05,6
3.21,-11.88,-5.29,8.55,-14.0,4.31,0.85,0.53,0.18,-9.44,6.76,-20.65,6
-4.62,-10.59,-3.37,7.76,-12.23,4.98,0.99,0.42,0.1,-2.08,-2.52,-17.03,6
-12.19,-10.08,1.96,0.58,-9.57,-3.56,1.13,0.3,0.05,21.36,7.4,7.18,6
-8.47,-8.39,-4.04,-6.27,-8.0,-5.21,0.9,0.39,0.1,26.17,25.74,0.83,6
2.82,-5.64,-11.92,-9.45,-6.78,-2.94,0.75,0.39,0.18,1.87,20.85,-3.81,6
7.53,-6.19,-8.39,-7.88,-6.51,-2.54,0.61,0.31,0.22,-24.09,-1.58,-1.56,6
10.0,-5.92,-5.09,-9.25,-6.0,-2.39,0.65,0.26,0.21,-36.21,-24.28,2.11,6
12.74,-6.39,-3.56,-8.35,-5.21,-5.57,0.78,0.35,0.05,-30.39,-34.42,3.24,6
11.21,-7.6,-4.7,0.31,-7.6,-7.25,0.8,0.43,0.05,-29.05,-39.2,8.37,6
8.94,-8.74,-8.0,5.72,-9.33,0.74,1.12,0.71,0.0,-34.6,-40.16,19.82,6
5.13,-12.16,-8.43,10.74,-13.06,7.57,1.5,0.39,0.1,9.13,-19.99,5.01,6
0.5,-12.98,-4.9,3.33,-10.43,4.74,1.15,0.47,0.01,42.17,14.6,6.08,6
-13.21,-12.67,0.7,-8.11,-10.31,-5.49,0.96,0.54,0.09,42.0,28.1,0.09,6
-10.66,-9.49,1.37,-17.14,-11.29,-7.6,0.71,0.54,0.16,11.68,13.47,-5.66,6
-3.72,-8.0,-7.37,-11.06,-9.06,-2.86,0.7,0.4,0.14,-17.93,-11.3,-13.65,6
0.7,-8.35,-12.59,-2.94,-7.49,-1.17,0.95,0.33,0.01,-17.11,-14.21,-16.1,6
5.29,-8.94,-10.15,-1.41,-7.64,0.5,1.13,0.2,0.18,3.49,5.65,0.64,6
10.19,-9.02,-6.55,-4.07,-7.6,1.49,0.9,0.28,0.03,21.33,15.28,14.79,6
14.35,-9.29,-1.17,-6.98,-7.68,0.39,0.73,0.25,0.0,29.54,14.96,15.37,6
9.68,-9.25,-3.72,-8.51,-7.88,-4.19,0.76,0.42,0.14,14.3,15.38,25.77,6
6.43,-9.88,-11.96,0.86,-11.68,-9.92,1.06,0.48,0.36,18.68,9.3,32.43,6
-1.49,-8.94,-10.19,13.61,-13.61,1.29,1.18,0.48,0.22,17.54,7.04,-2.12,6
-2.62,-10.31,-2.54,10.98,-12.04,7.49,1.02,0.49,0.25,-13.99,5.53,-23.16,6
-19.1,-12.82,4.23,0.94,-11.14,-5.13,0.87,0.51,0.19,0.4,5.7,-27.23,6
-5.6,-8.66,-5.8,-6.04,-10.94,-8.47,0.91,0.35,0.06,-3.79,3.19,-15.69,6
2.19,-7.49,-13.49,-10.27,-8.62,-4.35,0.91,0.27,0.09,0.62,10.3,-11.1,6
6.86,-5.68,-6.9,-7.68,-6.98,-1.05,0.82,0.3,0.15,7.06,9.79,-6.79,6
12.86,-6.39,-3.92,-8.86,-6.39,-2.31,0.76,0.29,0.11,-6.68,0.33,-5.56,6
11.02,-6.94,-4.43,-2.07,-7.49,-7.1,0.74,0.32,0.13,-22.3,-11.33,-5.6,6
10.15,-9.02,-9.13,4.04,-9.17,-4.98,0.74,0.32,0.09,-28.53,-27.15,-1.1,6
5.09,-9.53,-11.61,5.25,-9.92,0.43,0.82,0.46,0.05,-35.68,-38.05,5.26,6
2.35,-8.74,-7.8,9.8,-11.57,6.59,1.16,0.69,0.0,-28.88,-45.44,9.89,6
-1.56,-11.14,0.47,0.78,-9.84,2.7,1.43,0.56,0.13,1.73,-17.05,-5.62,6
-15.96,-13.06,6.62,-7.64,-8.94,-7.21,1.12,0.47,0.07,18.54,12.99,-3.7,6
-3.25,-10.9,-3.25,-16.0,-11.17,-8.78,0.82,0.55,0.13,15.2,16.22,-6.68,6
1.68,-10.15,-12.31,-12.16,-11.17,-2.86,0.69,0.46,0.11,-10.11,0.46,-8.37,6
2.98,-9.49,-10.35,-2.54,-8.39,-1.01,0.77,0.38,0.04,-27.34,-13.94,-8.1,6
7.13,-7.57,-9.06,-3.8,-6.7,0.11,0.98,0.32,0.06,-18.78,-15.23,1.76,6
10.66,-6.94,0.19,-3.96,-6.62,-1.49,1.02,0.29,0.09,-2.94,-7.35,8.79,6
6.82,-8.62,0.54,-9.17,-6.0,-3.29,0.87,0.27,0.05,10.13,-1.51,11.74,6
9.41,-9.57,-6.59,-6.51,-8.19,-6.94,0.85,0.35,0.07,10.12,0.24,23.5,6
7.06,-10.23,-13.33,3.49,-9.88,-8.43,1.01,0.4,0.28,13.68,4.64,34.56,6
0.23,-10.19,-11.8,19.29,-13.14,6.23,1.09,0.45,0.27,23.36,10.06,22.59,6
-9.41,-10.86,-4.66,11.02,-12.35,6.35,1.11,0.47,0.22,-5.13,-3.84,4.21,6
-17.96,-12.67,3.05,-3.76,-11.33,-4.78,0.97,0.42,0.22,-8.76,-9.08,-20.29,6
-6.19,-10.47,-3.41,-7.68,-12.19,-8.7,0.87,0.37,0.08,-14.63,-2.96,-16.44,6
0.94,-9.29,-11.25,-10.74,-9.41,-2.9,0.95,0.32,0.02,-9.49,-1.75,-8.78,6
2.78,-5.96,-11.21,-2.43,-6.78,0.5,0.89,0.26,0.01,-4.5,1.51,0.7,6
9.72,-5.41,-7.57,-4.0,-6.66,0.39,0.75,0.25,0.02,-4.19,0.29,4.83,6
12.67,-6.04,-1.52,-5.29,-6.23,0.58,0.71,0.25,0.03,-15.22,-4.85,5.98,6
5.29,-7.21,0.27,-3.92,-7.33,0.98,0.86,0.45,0.13,-39.83,-19.44,18.93,6
8.0,-10.04,-4.19,-4.94,-10.08,-5.09,1.06,0.52,0.04,-33.18,-38.49,15.47,6
7.21,-12.31,-7.64,0.54,-12.31,-3.56,1.32,0.39,0.09,-40.86,-54.85,14.12,6
2.27,-12.67,-6.55,6.78,-13.96,3.96,1.15,0.43,0.19,15.36,-35.09,10.85,6
-6.94,-11.88,-2.78,10.7,-12.39,10.23,1.02,0.35,0.13,25.59,17.79,3.73,6
-14.43,-10.31,3.6,3.68,-10.98,0.47,0.85,0.41,0.04,23.92,34.02,-3.88,6
-9.29,-8.43,-4.55,-8.9,-9.64,-7.49,0.77,0.48,0.15,-2.45,9.19,-3.23,6
0.94,-7.29,-13.41,-7.72,-7.41,-5.53,0.86,0.33,0.07,-15.01,-12.38,-6.28,6
3.33,-7.96,-8.7,-5.68,-6.11,-2.43,1.03,0.22,0.1,-19.95,-12.27,-5.01,6
8.78,-9.13,-5.57,-11.33,-5.29,0.82,1.0,0.26,0.2,3.51,-6.41,1.17,6
12.43,-8.86,-2.03,-11.02,-6.82,-1.88,0.8,0.21,0.14,23.47,5.92,2.51,6
5.8,-10.35,-2.39,-7.6,-7.6,-6.74,0.7,0.19,0.0,29.71,22.05,6.68,6
6.19,-10.86,-5.45,-2.43,-10.12,-9.1,0.85,0.35,0.2,20.47,24.56,22.69,6
4.86,-13.1,-10.7,4.35,-9.96,-1.13,1.25,0.36,0.31,24.1,12.94,28.5,6
6.27,-9.06,-7.17,16.78,-13.06,9.92,1.36,0.36,0.17,7.88,0.72,-1.43,6
-1.01,-11.14,-3.37,10.04,-12.35,3.64,1.08,0.42,0.09,-22.96,-6.48,-27.1,6
-19.33,-12.23,5.17,-4.74,-12.0,-8.86,1.0,0.39,0.04,-18.7,-11.78,-20.81,6
-10.04,-10.04,-4.62,-10.94,-11.57,-9.33,1.07,0.24,0.02,9.18,3.6,3.3,6
0.62,-8.04,-14.59,-9.45,-8.31,-3.29,0.92,0.27,0.0,15.35,19.35,2.44,6
2.35,-7.21,-11.21,-6.23,-6.47,0.03,0.75,0.26,0.02,0.77,15.14,-1.75,6
12.59,-6.08,-5.72,-3.45,-7.02,0.07,0.68,0.23,0.05,-12.52,1.88,0.89,6
15.06,-6.15,0.11,-3.96,-6.7,-1.64,0.71,0.24,0.02,-12.37,-4.13,0.96,6
7.72,-8.11,-2.82,-7.06,-7.92,-4.19,0.79,0.3,0.05,-11.2,-4.52,-1.6,6
5.8,-10.23,-8.31,-6.19,-8.82,-6.35,1.04,0.39,0.08,-7.55,-6.73,0.29,6
2.15,-8.55,-8.04,4.39,-10.15,0.03,1.4,0.48,0.05,5.23,1.08,10.49,6
5.64,-10.39,-4.07,12.23,-12.43,9.61,1.36,0.46,0.02,25.78,10.84,4.63,6
-20.08,-12.51,2.27,-4.55,-10.43,4.31,1.1,0.43,0.07,22.63,8.97,-6.46,6
-10.51,-11.88,1.41,-9.33,-11.8,0.15,0.99,0.41,0.07,12.32,0.43,-8.75,6
-5.53,-9.8,-6.9,-6.94,-10.98,-1.29,0.88,0.28,0.01,15.8,-4.14,-11.32,6
-2.51,-9.41,-11.84,-2.43,-9.21,0.07,0.79,0.26,0.06,16.1,4.63,-11.33,6
0.47,-8.08,-12.74,-1.45,-7.17,0.9,0.7,0.24,0.0,12.18,14.75,-4.05,6
9.02,-6.51,-9.33,0.7,-6.55,2.15,0.69,0.25,0.09,9.75,12.35,6.58,6
