d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.27,10.04,1.29,1.49,7.92,-1.01,0.83,0.39,0.23,135.96,44.56,3.12,5
5.02,10.55,1.17,0.74,7.21,0.47,0.94,0.18,0.23,150.36,51.22,6.64,5
4.86,11.72,0.39,-1.33,8.08,0.15,0.95,0.24,0.18,168.97,57.08,4.24,5
2.54,12.04,-1.88,-2.27,9.41,0.31,0.95,0.41,0.16,180.42,59.84,6.11,5
2.03,11.49,-4.15,-2.54,10.19,0.9,0.98,0.45,0.23,186.75,69.27,9.85,5
0.43,11.65,-4.07,-2.86,10.82,1.05,0.96,0.47,0.28,207.41,90.74,25.06,5
0.19,10.59,-3.25,-4.55,10.23,1.64,0.86,0.44,0.29,221.41,109.09,42.12,5
3.68,10.08,-2.94,-4.15,9.84,1.49,0.92,0.49,0.25,224.82,110.68,54.89,5
4.43,10.98,-4.04,-3.49,10.9,0.9,1.0,0.54,0.08,205.07,103.11,54.56,5
4.11,10.51,-4.47,-2.94,10.31,0.74,0.85,0.58,0.0,170.04,85.43,42.28,5
3.09,9.76,-4.58,-1.33,8.66,0.39,0.78,0.66,0.0,154.53,70.95,42.1,5
2.27,11.53,-3.72,-3.49,9.76,0.23,0.92,0.64,0.04,180.61,68.95,58.51,5
2.0,11.92,-3.21,-3.64,11.06,-1.05,0.93,0.6,0.05,204.97,78.61,59.5,5
1.96,11.65,-3.17,-4.39,11.49,-1.64,0.85,0.71,0.03,213.32,88.64,59.36,5
1.49,10.94,-3.17,-3.72,10.86,-1.52,0.77,0.74,0.05,212.67,88.07,60.74,5
1.64,10.47,-3.49,-2.54,10.66,-1.29,0.77,0.69,0.03,211.95,86.17,59.87,5
2.03,10.31,-3.92,-2.66,10.7,-1.72,0.8,0.68,0.02,215.1,88.82,58.84,5
2.19,10.08,-4.43,-3.13,10.59,-1.96,0.79,0.66,0.05,224.93,89.55,61.26,5
2.74,9.72,-4.94,-2.74,10.08,-1.88,0.77,0.66,0.06,232.84,94.84,63.8,5
2.39,10.27,-5.37,-2.43,9.92,-1.84,0.81,0.76,0.06,232.75,93.21,67.62,5
2.78,11.53,-5.45,-2.35,10.82,-1.8,0.97,0.66,0.09,235.69,87.76,70.6,5
2.94,11.76,-5.76,-2.54,10.9,-1.92,0.89,0.7,0.17,232.91,81.18,67.29,5
2.62,11.57,-5.33,-2.47,10.51,-1.72,0.82,0.68,0.3,220.71,75.6,59.9,5
3.09,11.65,-5.53,-2.39,9.88,-1.56,0.85,0.53,0.45,215.78,73.36,57.92,5
2.78,10.94,-5.92,-3.13,9.21,-1.29,0.78,0.48,0.42,207.98,57.98,68.17,5
3.49,10.47,-5.57,-4.27,10.12,0.86,0.78,0.58,0.24,189.52,50.2,55.07,5
3.56,9.92,-5.21,-4.43,10.7,0.58,0.81,0.5,0.24,176.64,56.66,34.11,5
4.82,9.37,-5.13,-4.11,9.96,0.23,0.69,0.54,0.28,181.23,69.05,22.4,5
6.7,9.92,-5.13,-4.11,9.37,0.54,0.65,0.56,0.38,180.67,69.81,29.81,5
7.21,10.55,-5.41,-6.27,10.19,1.05,0.78,0.51,0.3,182.69,70.36,35.27,5
9.21,11.53,-4.94,-8.19,11.02,1.33,0.92,0.51,0.16,179.27,70.25,27.03,5
9.33,11.33,-5.02,-9.72,10.86,1.49,0.93,0.58,0.11,169.71,72.48,17.15,5
10.08,11.1,-4.94,-11.02,10.63,0.35,0.91,0.59,0.18,178.92,77.54,23.14,5
10.51,10.47,-3.41,-11.53,10.66,1.76,0.92,0.58,0.24,197.64,93.27,35.06,5
10.98,10.0,-3.56,-12.04,8.82,0.62,0.88,0.43,0.25,218.13,113.97,38.37,5
11.14,9.25,-3.84,-11.76,7.45,0.31,0.82,0.48,0.28,215.68,113.2,55.28,5
11.92,8.66,-4.86,-13.65,7.13,0.7,1.04,0.56,0.2,167.43,76.31,56.53,5
11.8,7.41,-4.74,-10.43,5.29,0.15,0.88,0.57,0.23,110.67,49.83,17.08,5
8.47,4.82,-3.25,-8.66,2.43,0.07,0.91,0.45,0.16,75.53,39.22,6.63,5
8.27,2.62,-3.68,-8.39,1.25,0.82,0.98,0.47,0.16,104.53,46.75,18.2,5
5.6,0.5,-3.13,-3.13,-1.6,0.86,0.95,0.44,0.14,115.96,52.99,16.89,5
4.74,0.5,-3.33,-5.41,-2.11,-1.49,0.8,0.46,0.16,105.81,54.68,8.21,5
3.96,-1.49,-3.92,-3.29,-3.41,-1.88,0.76,0.46,0.21,88.89,38.87,10.14,5
3.68,-2.31,-4.35,-2.9,-4.11,-2.03,0.82,0.4,0.14,80.08,34.31,11.88,5
4.58,-2.58,-4.31,-2.86,-5.29,-2.47,0.83,0.45,0.14,68.71,27.12,11.29,5
3.64,-3.05,-4.35,-2.82,-6.55,-2.03,0.84,0.46,0.12,63.28,19.02,12.27,5
3.8,-3.21,-4.11,-4.11,-6.43,0.62,0.97,0.46,0.17,57.75,17.11,16.3,5
6.19,-1.88,-2.58,-3.72,-7.68,0.11,0.97,0.44,0.2,61.76,18.43,15.5,5
4.39,-1.01,-1.37,-4.31,-5.68,1.33,0.83,0.5,0.13,47.85,13.79,10.98,5
20.04,16.63,20.04,-8.66,7.02,20.04,1.01,0.38,0.09,39.81,10.3,7.78,5
9.21,-10.94,-5.06,-14.35,-9.72,5.13,0.91,0.24,0.26,52.88,7.24,29.01,5
