d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
20.04,3.09,-8.55,-20.08,5.88,-3.41,1.0,0.45,0.07,19.52,7.59,1.4,1
20.04,3.25,-3.17,-20.08,6.94,0.5,1.14,0.43,0.18,15.1,2.57,6.9,1
20.04,1.84,-3.84,-20.08,2.07,3.05,1.12,0.48,0.14,-6.71,-8.23,13.72,1
15.49,1.13,-6.86,-20.08,0.7,0.19,0.89,0.44,0.02,-49.28,-20.88,11.94,1
10.59,1.13,-6.86,-15.45,0.9,-3.56,0.76,0.42,0.0,-83.28,-34.11,-4.9,1
5.06,0.35,-10.15,-8.31,0.0,-5.41,0.79,0.53,0.02,-77.34,-34.17,-16.71,1
0.27,0.31,-10.31,-4.15,1.05,-7.49,0.86,0.71,0.07,-34.77,-18.97,-5.91,1
-4.27,-2.27,-10.12,0.03,1.68,-8.82,0.87,0.69,0.2,1.65,-5.64,-4.14,1
-5.45,-4.86,-9.21,5.29,0.07,-9.72,0.84,0.44,0.16,-5.76,-5.17,-8.31,1
-10.39,-8.04,-10.63,9.21,-2.23,-9.76,0.78,0.43,0.01,-2.55,1.19,0.37,1
-10.86,-9.68,-10.08,10.39,-2.47,-9.29,0.77,0.48,0.01,3.55,2.02,3.79,1
-10.0,-8.0,-9.1,7.88,-2.11,-8.04,0.8,0.54,0.06,6.71,7.79,1.6,1
-6.86,-5.25,-8.7,7.13,-1.49,-7.57,0.81,0.52,0.03,17.7,15.47,2.48,1
-2.58,-1.29,-7.53,4.82,0.35,-8.11,0.87,0.54,0.03,35.04,26.89,0.59,1
0.7,1.52,-8.59,1.84,1.13,-8.86,0.83,0.62,0.0,44.97,34.24,-1.04,1
8.11,5.13,-9.8,-6.98,2.15,-6.0,0.83,0.58,0.0,53.17,32.54,1.16,1
20.04,4.07,-9.06,-20.08,-2.39,-4.15,0.94,0.55,0.07,58.62,31.82,6.57,1
20.04,2.62,-14.08,-20.08,0.54,-1.52,1.1,0.42,0.13,67.98,29.77,12.01,1
20.04,2.58,-5.88,-20.08,1.68,1.52,1.17,0.39,0.2,46.55,18.92,16.85,1
20.04,1.76,-4.31,-20.08,1.64,4.0,0.99,0.39,0.2,-3.88,-6.27,11.56,1
18.12,1.37,-6.19,-17.96,0.58,0.82,0.74,0.38,0.12,-50.64,-22.02,2.18,1
13.49,2.43,-7.02,-13.49,1.37,-2.43,0.64,0.54,0.06,-75.79,-34.0,-6.88,1
7.96,2.98,-9.53,-6.94,0.78,-5.37,0.8,0.66,0.03,-64.13,-41.53,-7.46,1
2.43,1.96,-10.74,-3.29,0.74,-8.47,1.08,0.6,0.16,-29.11,-28.01,-4.88,1
-2.9,-1.88,-10.15,1.88,0.15,-8.94,1.0,0.55,0.11,3.88,-4.27,-2.21,1
-8.94,-4.86,-10.35,4.9,-1.21,-10.31,0.8,0.53,0.02,6.23,1.69,-6.98,1
-13.29,-8.86,-11.96,10.04,-3.45,-11.25,0.68,0.49,0.01,1.67,-2.49,-4.77,1
-13.14,-8.74,-9.92,11.92,-3.56,-8.66,0.74,0.47,0.0,-2.33,-4.93,-3.2,1
-11.25,-8.0,-7.17,9.29,-2.98,-7.1,0.82,0.54,0.06,1.18,0.62,-2.72,1
-6.11,-5.6,-5.96,7.41,-2.62,-6.98,0.86,0.56,0.08,13.91,7.38,-4.94,1
-1.88,0.66,-6.98,4.86,0.94,-6.74,0.9,0.54,0.06,31.1,19.37,-5.45,1
3.96,1.56,-7.37,1.33,0.66,-6.55,0.86,0.57,0.0,47.55,29.64,-5.62,1
12.86,3.72,-7.49,-6.98,2.51,-5.76,0.86,0.57,0.02,47.68,26.63,-3.65,1
20.04,3.21,-10.82,-18.47,4.35,0.66,1.01,0.49,0.14,50.95,20.6,5.2,1
20.04,1.96,-10.31,-20.08,0.5,-1.05,1.08,0.4,0.1,46.41,11.12,14.7,1
20.04,2.15,-5.33,-20.08,0.11,4.27,0.93,0.4,0.08,4.1,-13.09,12.63,1
20.04,1.88,-5.25,-20.08,-1.33,4.04,0.76,0.5,0.02,-32.75,-23.46,0.3,1
16.31,1.29,-6.35,-16.63,-1.25,-1.49,0.74,0.56,0.02,-54.8,-26.36,-12.36,1
13.1,1.37,-6.9,-11.92,-1.6,-6.19,0.95,0.58,0.07,-54.47,-27.44,-14.84,1
7.96,1.17,-8.59,-4.78,0.86,-6.39,1.02,0.59,0.11,-28.44,-19.65,-8.49,1
1.88,0.5,-9.57,-3.56,0.31,-8.31,0.89,0.58,0.07,-4.46,-4.59,-6.14,1
-7.45,-2.31,-11.88,2.35,0.35,-8.9,0.78,0.57,0.04,10.73,7.23,-3.09,1
-11.06,-6.7,-10.78,8.9,-1.49,-9.57,0.74,0.54,0.04,6.4,5.41,0.23,1
-14.04,-7.72,-10.59,12.27,-3.41,-10.66,0.78,0.48,0.03,0.68,0.75,0.16,1
-13.06,-8.23,-8.0,12.63,-3.05,-8.35,0.79,0.57,0.05,-2.37,1.96,6.14,1
-8.74,-7.06,-6.0,8.47,-3.02,-6.27,0.84,0.55,0.06,7.4,7.53,6.93,1
-3.49,-3.17,-5.41,6.51,-2.43,-5.96,0.89,0.52,0.08,21.75,17.72,3.82,1
