d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.54,-6.86,6.11,-1.17,-1.25,13.8,0.84,0.54,0.21,5.64,11.83,-19.57,3
5.02,-5.09,3.64,0.39,0.03,16.0,0.79,0.55,0.05,-24.87,-3.41,-26.42,3
5.06,-4.9,0.11,4.35,0.82,14.98,0.99,0.24,0.17,-25.03,-10.0,-12.86,3
5.09,-3.05,1.29,6.62,0.94,18.27,0.96,0.15,0.14,8.3,7.11,-1.58,3
-1.05,1.17,0.54,2.39,0.11,16.82,0.79,0.34,0.11,38.18,16.3,11.27,3
0.03,0.43,4.51,-1.33,0.15,14.04,0.72,0.3,0.01,30.75,8.77,33.5,3
0.7,-3.49,7.53,0.35,-1.37,12.47,0.8,0.33,0.27,18.79,14.61,22.79,3
2.27,-4.27,8.7,-3.13,-2.27,14.82,1.17,0.58,0.46,-15.21,11.64,13.75,3
1.09,-5.8,8.78,-4.98,-1.92,16.39,1.66,0.43,0.35,-26.63,2.08,12.09,3
4.47,-7.45,8.94,-4.19,-2.39,8.78,1.12,0.38,0.12,-33.86,-10.39,0.7,3
6.15,-8.0,8.82,-1.92,-3.76,4.39,0.85,0.18,0.1,-12.62,-9.67,-1.82,3
9.76,-5.06,13.53,-2.86,-3.8,2.23,0.7,0.15,0.08,17.25,4.29,-4.07,3
3.92,-3.68,11.84,0.27,-2.27,0.0,0.62,0.09,0.11,14.78,7.41,-6.01,3
4.07,-1.01,11.29,0.54,-2.11,0.78,0.51,0.14,0.11,-6.32,0.76,0.02,3
0.47,-1.76,10.94,-3.68,-3.29,-1.21,0.62,0.24,0.12,-33.28,-17.95,12.17,3
3.41,-3.33,8.74,1.41,-5.45,1.37,0.97,0.24,0.11,-36.28,-28.54,15.04,3
6.15,-6.08,6.51,2.19,-7.84,3.8,1.48,0.58,0.05,-32.37,-25.45,6.04,3
5.09,-6.86,9.06,-1.25,-9.92,9.41,1.56,0.54,0.01,-17.85,-25.46,-8.04,3
0.7,-6.35,10.27,-2.66,-4.07,17.18,1.23,0.35,0.06,36.29,6.25,0.49,3
8.43,-7.29,6.39,-3.84,-2.11,18.43,0.97,0.37,0.12,29.2,22.56,-21.72,3
6.82,-4.98,3.8,1.09,-1.56,14.98,0.71,0.42,0.15,-12.71,7.02,-24.31,3
1.8,-4.47,0.11,1.88,0.19,15.41,0.73,0.35,0.08,-26.86,-6.61,-15.75,3
2.43,-4.58,0.9,2.19,-2.0,19.1,0.76,0.18,0.19,-7.32,-3.91,-4.01,3
1.45,-4.66,-5.41,1.13,-2.7,13.61,0.83,0.17,0.19,18.95,18.92,10.86,3
4.66,-4.47,-2.19,-1.09,0.9,13.29,0.89,0.28,0.02,47.62,33.19,30.11,3
7.88,-4.94,4.62,0.43,0.78,15.1,0.88,0.42,0.22,51.18,30.21,22.66,3
6.39,-8.35,5.68,-3.45,-1.72,14.86,1.32,0.44,0.57,8.55,4.49,19.12,3
6.27,-7.41,6.9,-7.45,-1.6,12.82,1.56,0.35,0.43,-6.45,6.3,-4.3,3
5.06,-6.78,7.92,-4.0,-2.43,8.19,1.02,0.39,0.21,-31.5,-7.23,-4.85,3
5.57,-8.47,9.53,-3.92,-4.39,3.8,0.82,0.21,0.11,-19.0,-9.44,-8.68,3
8.59,-5.41,13.61,0.62,-3.17,1.09,0.72,0.06,0.14,11.17,9.59,-6.26,3
3.68,-4.19,9.76,-2.07,-2.62,0.74,0.56,0.07,0.11,16.34,15.11,-14.88,3
4.31,-2.11,9.88,-1.33,-2.78,0.07,0.51,0.12,0.17,-22.24,-2.23,-14.28,3
4.82,-2.51,10.04,0.43,-3.05,2.07,0.71,0.27,0.16,-54.4,-28.25,0.12,3
7.37,-3.6,7.57,0.47,-5.37,3.76,1.1,0.35,0.05,-61.55,-44.7,17.55,3
6.9,-4.07,7.8,2.0,-7.33,6.9,1.36,0.52,0.07,-41.66,-38.49,0.97,3
3.21,-6.0,8.43,-3.76,-7.21,12.59,1.58,0.53,0.04,-9.18,-19.08,-12.78,3
3.13,-5.96,7.17,-2.98,-2.39,19.8,1.23,0.43,0.08,33.26,3.63,-12.43,3
9.41,-4.62,3.96,0.47,-2.62,17.18,0.93,0.42,0.06,18.47,2.17,-17.7,3
5.8,-4.62,0.23,1.09,-1.17,16.55,0.73,0.4,0.04,-8.62,-4.9,-23.69,3
2.74,-4.39,0.54,1.41,-1.92,16.12,0.64,0.27,0.1,-11.3,-6.14,-20.83,3
2.07,-2.39,0.31,0.43,0.98,14.23,0.64,0.19,0.22,-2.98,0.56,-8.5,3
2.31,-3.72,-2.9,0.86,-2.31,13.57,0.74,0.21,0.18,24.32,7.23,12.62,3
7.6,-3.84,3.05,0.78,-1.64,10.51,1.04,0.38,0.05,51.79,19.45,26.06,3
3.29,-3.76,9.21,0.5,0.19,15.49,1.35,0.46,0.36,59.17,30.86,7.17,3
5.8,-3.88,10.35,-4.7,1.88,14.86,1.58,0.46,0.54,34.74,20.14,-6.25,3
4.74,-3.8,7.21,0.15,2.58,12.94,1.0,0.56,0.33,-5.37,0.71,-2.86,3
4.86,-5.02,13.76,-1.64,-2.7,8.31,0.78,0.27,0.14,-24.61,-4.87,-8.24,3
5.21,-4.66,12.19,-1.96,-3.76,4.78,0.7,0.08,0.1,-2.89,3.47,-6.32,3
3.56,-4.15,10.04,-1.49,-4.15,0.86,0.6,0.04,0.15,9.16,12.33,-11.17,3
4.58,-2.31,9.41,1.33,-3.25,1.09,0.58,0.14,0.09,-11.44,1.76,-11.59,3
1.92,-1.37,7.68,-1.33,-2.82,2.7,0.67,0.25,0.1,-52.6,-24.04,-2.27,3
5.92,-2.15,9.57,0.82,-4.98,3.96,0.88,0.4,0.04,-64.11,-40.81,14.47,3
6.82,-3.29,7.06,2.11,-6.86,7.6,1.4,0.75,0.06,-49.8,-37.14,10.86,3
1.52,-5.21,5.49,-3.29,-7.37,10.86,1.65,0.42,0.18,-1.04,-26.94,2.98,3
6.62,-5.33,7.25,0.11,-4.7,14.08,1.32,0.39,0.01,62.96,3.76,21.58,3
8.27,-4.11,9.57,0.23,-2.7,14.16,0.85,0.48,0.12,37.41,19.79,-7.23,3
5.72,-2.98,8.27,1.96,0.66,16.08,0.5,0.43,0.13,-8.65,7.89,-27.33,3
4.74,-2.43,2.58,1.41,0.35,13.41,0.46,0.38,0.1,-23.12,-4.31,-24.51,3
3.76,-3.6,2.31,1.01,-1.17,12.55,0.71,0.09,0.31,-17.17,-12.65,6.07,3
4.51,-4.62,1.41,2.47,0.23,12.0,0.98,0.15,0.09,40.18,12.22,14.04,3
5.02,-5.64,0.35,0.27,-1.09,17.02,1.12,0.41,0.13,77.68,47.0,7.39,3
5.68,-5.37,1.96,0.82,-2.27,17.33,1.36,0.67,0.61,28.52,37.45,-13.27,3
7.6,-3.02,8.98,0.43,0.54,14.43,1.34,0.66,0.51,-10.14,11.74,-14.85,3
2.23,-3.49,9.17,0.54,2.19,16.9,1.08,0.53,0.25,-28.48,3.42,-4.99,3
2.98,-5.45,5.68,-1.92,-1.33,14.31,0.93,0.22,0.11,-15.81,-5.13,1.2,3
7.33,-5.92,6.04,-1.64,-2.86,7.96,0.67,0.06,0.06,6.38,0.61,0.67,3
4.31,-6.59,4.74,-1.17,-3.49,4.11,0.6,0.07,0.12,1.49,8.76,0.47,3
4.55,-5.72,6.98,-3.68,-3.92,1.72,0.53,0.14,0.04,-27.85,-2.65,-4.97,3
4.35,-5.21,11.8,-1.29,-4.43,1.21,0.64,0.3,0.09,-56.79,-23.29,0.39,3
1.56,-3.41,8.0,1.49,-4.62,3.41,0.95,0.34,0.09,-51.5,-33.68,17.0,3
5.37,-4.15,11.02,-2.51,-5.8,5.64,1.5,0.68,0.05,-37.25,-24.94,4.97,3
4.82,-4.39,12.63,2.27,-7.68,9.88,1.59,0.63,0.03,-36.47,-21.47,-10.91,3
5.29,-5.02,8.7,2.54,-7.53,6.98,1.2,0.37,0.16,32.83,4.54,10.86,3
6.51,-5.68,10.0,-1.76,-6.23,4.58,0.91,0.37,0.04,46.01,21.03,5.14,3
4.86,-5.06,9.13,0.19,-2.94,9.8,0.68,0.31,0.0,-4.22,3.98,-2.24,3
4.07,-6.55,4.23,-1.01,-3.64,10.74,0.62,0.23,0.13,0.57,-7.25,2.3,3
0.47,-6.47,2.27,0.5,-3.76,9.37,0.6,0.11,0.19,40.19,-9.35,18.87,3
0.23,-5.57,1.92,0.47,-3.64,12.63,0.71,0.09,0.12,68.83,3.7,24.5,3
4.86,-6.0,1.72,1.92,-4.62,15.25,0.92,0.47,0.15,44.9,18.47,2.39,3
2.82,-8.31,-1.13,-1.09,-6.9,16.78,1.63,0.51,0.59,13.86,13.27,-10.49,3
4.11,-9.64,0.35,0.11,-5.09,18.55,1.54,0.59,0.4,-9.03,7.12,-2.69,3
5.49,-5.21,7.37,3.68,-2.39,20.04,0.97,0.37,0.21,-13.42,-12.33,5.99,3
1.72,-6.35,2.35,0.82,-4.47,16.31,0.8,0.23,0.05,1.06,-10.01,2.93,3
2.82,-7.6,-4.19,-3.96,-5.6,8.9,0.76,0.15,0.03,11.54,3.26,-1.03,3
5.33,-8.7,-5.25,-4.27,-5.45,4.04,0.65,0.05,0.1,6.32,8.52,-3.63,3
4.94,-9.57,-4.23,-2.54,-3.37,-1.13,0.69,0.13,0.0,-16.53,0.27,-3.35,3
4.07,-9.57,-2.54,0.31,-3.17,-1.8,0.68,0.25,0.03,-43.6,-17.72,1.63,3
1.17,-8.66,0.35,1.6,-6.39,0.62,0.83,0.31,0.01,-27.95,-36.46,6.57,3
12.7,-11.65,7.64,-1.8,-9.8,0.31,1.49,0.69,0.06,-8.77,-28.2,3.43,3
4.82,-10.15,9.68,-1.17,-9.53,5.06,1.54,0.68,0.07,11.04,-2.12,-9.91,3
7.76,-11.02,10.7,-3.68,-10.0,6.27,1.18,0.56,0.16,16.61,6.85,0.73,3
8.0,-9.13,14.9,0.07,-10.31,0.23,0.97,0.43,0.07,-6.74,3.79,-14.25,3
4.51,-7.8,10.04,0.58,-7.45,0.07,0.79,0.19,0.1,-26.02,2.29,-18.93,3
4.94,-6.27,9.1,0.15,-5.88,4.51,0.66,0.19,0.22,-16.64,4.73,-11.63,3
6.27,-7.21,3.72,0.78,-5.68,7.33,0.63,0.15,0.28,7.71,1.82,-7.49,3
0.78,-9.25,0.86,-2.35,-4.04,10.47,0.69,0.02,0.15,56.78,5.0,6.47,3
3.8,-6.08,-1.49,-1.68,-4.78,12.12,0.89,0.26,0.02,79.6,22.85,5.48,3
2.03,-8.31,-1.88,0.74,-5.6,13.33,1.12,0.74,0.38,20.88,21.49,-4.63,3
5.6,-8.74,-3.68,-1.09,-5.96,20.04,1.86,0.62,0.52,-3.76,11.33,-2.84,3
6.15,-3.02,-2.43,1.37,-3.49,20.04,1.14,0.63,0.22,-14.12,0.84,4.63,3
3.64,-2.23,3.92,1.64,-2.19,20.04,0.88,0.31,0.08,-2.9,-6.37,-3.26,3
5.88,-5.25,0.27,-2.58,-6.11,14.86,0.78,0.18,0.08,8.26,11.85,-10.94,3
5.76,-6.47,-2.94,-4.58,-6.55,7.29,0.58,0.15,0.12,-1.35,21.83,-10.99,3
5.29,-8.7,-1.84,-4.23,-4.62,5.09,0.61,0.05,0.18,-19.19,17.05,-6.51,3
7.88,-9.1,0.62,-4.0,-2.86,0.74,0.67,0.23,0.08,-41.18,-6.14,1.6,3
7.92,-9.02,1.09,1.64,-4.31,0.54,0.94,0.37,0.05,-63.83,-36.0,11.66,3
5.76,-9.96,9.64,-1.92,-5.6,-1.01,1.29,0.57,0.07,-62.4,-39.59,3.87,3
8.35,-9.41,11.8,-2.03,-7.72,0.43,1.54,0.61,0.12,-15.11,-25.39,-4.72,3
4.15,-8.51,8.27,-2.07,-8.04,5.76,1.24,0.56,0.17,36.54,5.8,11.6,3
5.13,-6.43,8.74,-2.47,-7.13,7.21,0.9,0.55,0.09,39.99,22.4,6.66,3
4.35,-4.31,9.13,0.5,-5.8,5.45,0.72,0.36,0.03,-32.02,-6.64,-11.89,3
4.07,-4.43,6.9,0.43,-5.09,4.47,0.62,0.16,0.1,-30.53,-13.59,-7.34,3
4.58,-3.02,7.29,-2.58,-4.51,8.35,0.61,0.1,0.23,-9.59,-15.59,11.53,3
0.9,-4.15,5.72,0.74,-3.68,13.69,0.67,0.04,0.27,29.35,-3.2,10.67,3
5.41,-7.37,5.41,1.21,-3.68,14.08,0.77,0.14,0.01,74.61,16.26,6.92,3
7.72,-8.0,2.43,0.94,-4.98,10.98,1.25,0.66,0.41,66.11,29.79,-4.8,3
3.72,-12.39,1.76,0.15,-6.0,19.77,1.99,0.53,0.4,27.52,22.04,-12.27,3
6.51,-8.08,0.74,1.05,-6.59,20.04,1.08,0.67,0.32,0.83,1.39,-3.32,3
3.8,-7.76,-3.17,-1.56,-6.62,19.29,0.93,0.39,0.09,-4.94,5.66,-3.74,3
0.62,-6.39,-4.47,-4.98,-5.84,14.86,0.78,0.15,0.06,39.72,27.68,-17.65,3
6.35,-5.72,-2.19,-2.86,-5.13,12.9,0.75,0.1,0.15,17.07,40.94,-10.17,3
