d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-4.35,3.33,-12.74,-2.35,0.35,0.5,0.07,0.06,0.0,154.79,31.63,31.24,10
-2.54,3.17,-17.22,-3.17,1.84,1.56,0.07,0.04,0.14,158.53,15.43,52.84,10
6.55,-1.76,-18.78,-2.39,8.39,1.29,0.19,0.01,0.17,145.07,10.07,61.85,10
13.33,-8.9,-19.02,-2.58,15.76,2.7,1.03,0.4,0.04,109.77,6.09,65.21,10
18.31,-8.74,-6.78,-3.09,20.04,3.13,1.99,0.78,0.51,88.0,105.77,-66.28,10
20.04,-4.55,20.04,-6.94,20.04,7.02,1.94,0.72,0.09,124.46,44.02,-28.72,10
20.04,-7.17,20.04,-7.45,20.04,2.47,1.9,0.82,0.08,222.41,91.52,-23.98,10
9.13,-7.37,20.04,-4.58,14.16,1.21,1.08,0.65,0.01,192.2,93.33,-27.19,10
0.35,-4.9,20.04,-3.49,8.08,1.21,0.86,0.55,0.09,174.58,69.39,-37.88,10
-4.78,-1.29,14.74,-4.19,4.82,-1.01,0.61,0.37,0.23,172.59,70.76,-41.85,10
-12.39,0.31,4.66,-2.82,2.94,-1.09,0.54,0.25,0.15,184.8,68.97,-36.59,10
-14.47,1.17,2.78,-2.11,2.23,0.78,0.51,0.34,0.06,181.55,74.95,-27.52,10
-13.49,4.0,0.27,-2.31,1.29,0.43,0.39,0.36,0.12,179.83,70.43,-4.91,10
-12.19,3.56,-6.7,-2.47,1.45,0.39,0.27,0.22,0.06,178.59,55.47,22.47,10
-7.1,3.29,-7.21,-4.04,1.8,0.62,0.31,0.02,0.05,158.16,33.54,49.09,10
-2.74,1.41,-11.49,-3.33,2.94,1.05,0.38,0.1,0.16,128.41,21.6,49.85,10
1.49,-5.13,-17.53,-4.27,6.35,1.84,0.62,0.28,0.21,84.94,8.96,22.69,10
11.02,-10.82,-14.94,-4.98,10.31,3.25,1.36,1.02,0.71,32.11,38.53,-10.94,10
20.04,-10.55,-13.29,-7.21,15.53,3.21,1.16,0.59,0.35,32.53,48.92,-23.07,10
20.04,-12.0,3.72,-6.31,19.96,2.7,1.99,0.34,0.3,163.36,71.38,31.52,10
20.04,-12.74,20.04,-8.11,20.04,1.92,1.99,0.85,0.09,242.77,116.47,-27.53,10
12.31,-7.96,20.04,-7.8,17.69,0.5,1.26,1.03,0.29,71.89,41.77,-27.17,10
-1.13,-4.35,20.04,-6.23,14.94,0.47,1.2,0.93,0.13,108.42,39.47,-48.65,10
-3.13,0.86,16.63,-5.68,11.02,0.11,1.3,0.27,0.14,146.13,66.59,-23.19,10
-13.76,1.6,12.23,-4.55,8.08,0.39,1.16,0.29,0.37,199.7,76.37,-19.48,10
-14.0,2.66,0.58,-3.88,5.8,0.47,0.7,0.4,0.15,227.85,101.02,-15.11,10
-16.78,4.51,-2.7,-3.17,2.62,0.0,0.34,0.49,0.03,200.28,79.98,1.66,10
-10.94,5.76,-4.27,-2.51,0.58,0.62,0.13,0.36,0.01,171.97,57.05,9.43,10
-11.84,5.96,-8.19,-1.96,0.66,0.23,0.1,0.03,0.02,156.86,50.8,23.47,10
-3.45,5.68,-11.33,-1.64,0.58,1.01,0.03,0.08,0.0,166.13,43.64,58.11,10
2.15,2.62,-16.86,0.5,3.21,2.9,0.13,0.02,0.14,156.71,43.95,76.8,10
12.51,-5.88,-15.21,-1.41,9.13,2.0,0.6,0.18,0.1,145.71,46.25,44.89,10
20.04,-6.11,-13.61,-2.98,13.76,2.66,1.88,0.62,0.4,113.55,40.1,-26.35,10
20.04,-10.82,12.08,-2.62,20.04,4.27,1.78,0.58,0.05,73.24,63.21,-91.56,10
20.04,-13.49,20.04,-6.66,19.57,3.45,1.97,0.59,0.35,164.42,90.69,-45.66,10
15.88,-10.39,20.04,-7.17,19.73,2.58,1.67,0.87,0.18,220.99,111.08,0.52,10
3.41,-7.92,20.04,-4.82,13.14,0.82,1.35,0.64,0.03,182.91,81.21,-27.95,10
-1.09,-1.21,18.63,-5.6,10.0,0.7,1.04,0.7,0.0,147.16,72.82,-48.88,10
-14.27,1.6,10.94,-5.29,7.68,-1.21,0.92,0.58,0.09,157.07,77.19,-41.0,10
-20.08,5.6,2.86,-3.64,4.35,-2.0,0.81,0.34,0.18,198.65,75.75,0.49,10
-16.2,8.04,1.88,-4.74,2.39,-1.33,0.47,0.27,0.09,199.38,59.34,29.3,10
-16.08,4.86,-4.78,-4.07,1.21,0.62,0.21,0.22,0.04,197.37,40.85,34.37,10
-11.76,2.94,-8.7,-2.58,0.94,0.54,0.24,0.16,0.04,177.85,37.62,41.18,10
1.21,3.72,-11.76,-1.72,1.52,0.15,0.12,0.06,0.12,164.34,45.77,37.17,10
16.2,2.9,-16.2,-2.19,3.96,1.01,0.12,0.06,0.18,164.88,49.22,28.02,10
20.04,0.54,-15.53,-3.29,6.51,3.56,0.27,0.56,0.2,144.04,56.15,37.72,10
20.04,-9.1,-12.08,-4.15,13.69,3.05,0.89,1.15,0.27,153.93,62.98,20.43,10
20.04,-14.43,-1.13,-5.57,17.49,2.58,1.27,1.18,0.42,157.91,63.21,-42.6,10
18.12,-9.41,10.63,-8.27,20.04,3.02,1.99,0.08,0.3,208.55,5.82,27.61,10
14.16,-7.25,20.04,-10.86,20.0,2.51,1.99,1.49,0.52,-56.88,23.31,-70.51,10
0.19,0.07,20.04,-8.31,16.86,1.21,0.98,1.65,0.65,85.57,64.69,-36.28,10
-11.17,3.68,20.04,-7.92,11.84,0.82,1.99,0.84,-1.0,187.1,23.5,-6.52,10
-20.08,3.33,9.13,-7.49,8.39,0.23,1.01,0.21,0.44,148.92,62.71,-33.64,10
-20.08,6.51,1.29,-5.72,4.82,0.86,0.85,0.25,0.3,173.11,92.35,1.2,10
-17.57,8.08,-3.84,-4.11,2.31,0.66,0.46,0.33,0.03,189.62,93.58,17.88,10
-13.84,7.6,-7.1,-3.8,1.41,0.07,0.25,0.28,0.0,164.3,71.61,25.12,10
-5.13,5.84,-7.41,-2.47,1.21,0.0,0.07,0.05,0.0,171.5,56.81,20.94,10
1.88,5.25,-14.74,-2.31,1.25,1.56,0.11,0.04,0.09,162.47,52.18,43.39,10
