d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.54,9.49,1.37,-2.58,9.37,2.07,0.92,0.43,0,-6.2,0.26,5.05,0
2.62,9.64,1.21,-2.47,9.41,1.92,0.92,0.44,0,-5.1,0.32,4.5,0
2.74,9.61,1.17,-2.51,9.53,2.03,0.93,0.43,0,-4.65,-1.1,5.56,0
2.82,9.64,1.09,-2.51,9.49,1.96,0.94,0.42,0.02,-3.82,-1.84,6.34,0
2.86,9.84,0.94,-2.54,9.57,2.15,0.94,0.42,0,-1.09,-2.37,6.92,0
2.78,9.49,1.09,-2.62,9.61,1.92,0.93,0.41,0,2.17,-1.77,8.04,0
2.58,9.76,1.37,-2.82,9.61,2,0.93,0.43,0,3.44,-1.43,7.75,0
2.31,9.96,1.25,-2.66,9.68,2.03,0.93,0.44,0,5.22,0.94,7.32,0
2.58,9.29,1.29,-2.58,9.64,2,0.92,0.39,0,10.2,2.11,7.1,0
2.51,9.29,1.52,-2.7,9.64,1.96,0.92,0.4,0.02,14.39,5.04,5.72,0
3.02,9.45,1.21,-2.7,9.72,1.96,0.92,0.43,0.03,11.8,5.85,4.4,0
3.37,9.57,1.25,-2.82,9.72,1.6,0.91,0.41,0.06,8.15,4.95,2.54,0
3.37,9.53,1.01,-2.86,9.45,2.07,0.92,0.39,0.03,7.25,4.82,1.45,0
3.17,9.57,0.94,-2.86,9.45,2.11,0.93,0.39,0.01,5.8,4.2,0.5,0
2.66,9.57,0.82,-2.9,9.41,2.07,0.94,0.41,0.02,5.98,2.71,2.12,0
2.35,9.72,0.94,-2.9,9.64,2.43,0.93,0.41,0.02,7.64,2.55,2.59,0
2.47,9.68,0.82,-2.82,9.72,2.54,0.92,0.42,0.01,6.79,3.53,0.01,0
2.39,9.61,0.7,-3.17,9.72,2.78,0.93,0.41,0.03,6.37,3.48,0.05,0
2.43,9.53,1.17,-2.78,9.76,2.7,0.95,0.39,0.04,7.97,3.5,2.23,0
2.39,9.68,1.29,-2.54,9.76,2.43,0.94,0.4,0.04,6.91,3.25,3.21,0
2.39,9.72,1.41,-2.66,9.72,2.23,0.93,0.4,0.05,4.46,1.27,2.51,0
2.7,9.61,1.29,-2.54,9.61,2.15,0.93,0.39,0.03,3.38,0.89,1.73,0
2.78,9.61,1.09,-2.51,9.64,2.19,0.93,0.38,0.02,3.23,1.9,0.11,0
2.54,9.53,0.98,-2.54,9.53,2.15,0.93,0.39,0.04,4.07,2.32,0.68,0
2.47,9.57,0.86,-2.47,9.64,2.19,0.93,0.39,0.02,2.62,1.85,0.82,0
2.47,9.61,0.94,-2.51,9.64,2.07,0.94,0.39,0.03,0.89,1.43,0.27,0
