d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.21,9.68,0.03,-2.66,9.57,2.58,0.95,0.38,0.05,-1.96,-2.09,0.18,0
3.13,9.72,0.19,-2.9,9.72,2.51,0.92,0.39,0.05,-1.11,0.25,-2.64,0
2.9,9.57,0.19,-2.74,9.61,2.74,0.92,0.4,0.06,-1.48,1.18,-4.76,0
3.09,9.33,0.47,-2.74,9.57,2.35,0.93,0.4,0.06,-4.3,0.37,-4.44,0
3.13,9.37,0.39,-2.66,9.61,2.23,0.96,0.38,0.07,-3.26,0.4,-2.39,0
3.25,9.57,0.5,-2.82,9.61,2.47,0.95,0.4,0.06,-1.53,1.37,-1.72,0
3.56,9.61,0.62,-2.74,9.53,2.51,0.93,0.41,0.06,-2.99,0.79,-2.44,0
3.29,9.64,0.47,-2.7,9.57,2.51,0.94,0.4,0.07,-3.59,0.14,-2.64,0
3.13,9.49,0.47,-2.86,9.64,2.47,0.95,0.38,0.06,-1.28,0.32,-1.37,0
3.02,9.53,0.54,-2.58,9.68,2.66,0.93,0.39,0.06,0.28,0.37,0.42,0
3.09,9.72,0.19,-2.7,9.8,2.58,0.94,0.41,0.06,-2.08,-1.83,0.7,0
3.13,9.68,0.27,-2.15,9.49,2.62,0.93,0.39,0.07,-2.33,-2.6,0.41,0
3.17,9.53,0.27,-2.51,9.49,2.39,0.93,0.39,0.06,0.41,-1.95,0.97,0
3.29,9.29,0.47,-2.58,9.41,2.35,0.93,0.4,0.07,0.47,-1.43,1.08,0
3.21,9.72,0.43,-2.62,9.61,2.43,0.94,0.41,0.08,-1.96,-3.05,0.43,0
3.41,9.84,0.15,-2.74,9.68,2.19,0.94,0.4,0.06,-2.3,-3.63,0.94,0
3.29,9.64,0.47,-2.9,9.57,2.43,0.94,0.39,0.05,0.34,-2.77,2.41,0
3.21,9.29,0.35,-2.98,9.57,2.74,0.94,0.39,0.07,1.62,-2.39,3.7,0
3.21,9.53,0.19,-3.29,9.53,3.09,0.93,0.39,0.06,0.83,-1.91,3.15,0
3.56,9.45,0.11,-3.33,9.64,2.62,0.95,0.37,0.08,-1.74,-2.14,3.94,0
3.37,9.57,0.15,-3.02,9.57,2.51,0.94,0.37,0.06,-2.02,-1.96,3.75,0
3.45,9.45,0.07,-2.74,9.49,2.43,0.93,0.36,0.07,0.38,0.47,2.37,0
3.29,9.37,0.19,-2.58,9.41,2.43,0.91,0.36,0.09,-1.26,0.78,1.34,0
3.25,9.57,0.19,-2.19,9.72,2.74,0.93,0.39,0.08,-4.26,0.16,0.1,0
3.25,9.68,0.23,-2.54,9.84,2.86,0.95,0.38,0.07,-6.05,0.06,-1.37,0
3.41,9.76,0.11,-2.51,9.96,2.9,0.95,0.39,0.05,-3.02,1.58,-1.01,0
3.6,9.57,0.11,-2.43,9.76,2.58,0.95,0.39,0.07,0.62,1.25,0.6,0
3.53,9.53,0.39,-2.43,9.57,2.31,0.96,0.39,0.06,0.33,0.84,1.16,0
3.56,9.61,0.66,-2.58,9.88,2.66,0.96,0.39,0.07,0.11,0.15,1.86,0
2.98,9.37,0.9,-2.58,9.17,2.39,0.93,0.36,0.06,-1.46,-2.49,3.6,0
2.62,9.13,1.13,-2.58,8.78,2.19,0.89,0.38,0.03,0.96,-4.58,3.56,0
2.7,9.72,0.58,-2.74,9.49,2.23,0.94,0.38,0.04,0.44,-6.1,2.17,0
3.37,10,0.39,-2.82,9.76,2.35,0.95,0.39,0.05,0.13,-6.14,0.76,0
3.49,9.68,0.11,-2.9,9.64,2.35,0.94,0.39,0.05,0.56,-4.75,0.47,0
3.88,9.64,0.19,-3.25,9.8,2.39,0.95,0.4,0.04,1.97,-4.43,0.51,0
3.45,9.68,0.5,-3.21,9.92,2.47,0.95,0.4,0.04,2.38,-3.13,0.26,0
3.41,9.33,0.58,-3.17,9.57,2.43,0.93,0.4,0.03,2.59,-2.36,0.07,0
3.53,9.1,0.47,-3.05,9.37,2.54,0.93,0.39,0.04,3.78,-1.32,0.08,0
3.37,9.33,0.86,-2.82,9.49,2.54,0.92,0.39,0.04,3.71,0.05,0.65,0
