d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
15.53,0.58,20.04,0.98,-1.56,-6.7,0.52,0.04,0.21,48.36,-6.05,37.47,8
4.78,3.09,20.04,1.8,-1.8,-3.68,0.76,0.42,0.12,73.1,16.86,12.41,8
11.21,14.74,14.98,0.27,0.7,0.23,1.97,0.44,0.72,89.0,6.43,-12.78,8
14.35,10.31,15.72,0.19,1.92,6.08,1.65,0.7,0.58,68.79,12.11,-13.03,8
8.08,6.51,8.98,-5.37,0.98,8.39,1.08,0.52,0.37,31.08,-19.28,-17.98,8
8.19,4.07,5.33,-4.27,1.49,11.1,0.83,0.15,0.2,17.02,-22.7,-19.69,8
6.51,5.45,3.45,-7.72,6.11,18.9,0.6,0.07,0.13,14.82,-10.45,-4.39,8
-5.09,4.7,-1.96,-8.08,5.09,20.04,0.44,0.03,0.12,-11.06,-22.2,9.57,8
-3.29,2.39,-4.55,-6.82,4.27,20.04,0.47,0.14,0.0,-44.39,-33.16,13.46,8
-3.64,1.41,-7.37,-6.19,4.98,20.04,0.66,0.23,0.02,-61.14,-27.65,4.5,8
0.86,0.47,-9.21,-9.88,9.88,17.57,1.42,0.65,0.03,-74.39,-18.71,8.24,8
0.43,1.68,-4.66,-5.21,10.78,16.94,1.7,0.69,0.01,-60.51,0.43,-28.22,8
2.66,0.43,2.47,-5.09,9.02,11.92,1.32,0.64,0.09,-28.16,24.67,-20.63,8
2.66,0.07,4.9,-2.98,4.9,6.98,1.04,0.33,0.04,-21.0,30.8,-14.5,8
3.37,-7.33,1.88,-4.43,1.76,2.9,0.84,0.21,0.01,-29.73,21.26,0.87,8
3.09,-5.02,9.88,-2.47,1.64,0.74,0.66,0.11,0.18,-20.38,0.74,14.61,8
10.35,-3.17,16.67,2.11,0.23,-3.88,0.6,0.1,0.26,0.23,-4.77,30.07,8
12.39,-2.15,20.04,0.03,0.62,-3.25,0.55,0.13,0.14,43.08,2.73,34.9,8
9.1,0.23,20.04,0.27,0.15,-1.41,0.71,0.34,0.02,51.7,15.06,21.43,8
12.78,4.94,20.04,1.21,0.66,0.9,1.62,0.35,0.49,43.09,-6.01,7.06,8
10.63,7.53,20.04,0.62,0.23,2.39,1.87,0.52,0.37,80.36,9.92,4.08,8
12.08,8.15,12.16,-2.94,0.7,6.66,1.22,0.42,0.35,45.02,-14.97,23.89,8
14.59,7.57,7.72,-1.72,0.58,7.29,0.8,0.28,0.12,47.33,-11.91,-1.83,8
