d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-2.27,3.84,7.6,0.98,-1.45,6.19,0.51,0.1,0.04,54.86,-12.36,15.97,8
2.39,3.92,6.19,-3.21,0.43,7.6,0.5,0.13,0.11,31.89,-28.97,26.44,8
3.09,2.47,0.98,-6.31,0.54,8.78,0.81,0.32,0.13,13.62,-20.77,26.34,8
3.25,0.7,-2.15,-3.25,4.27,15.33,1.61,0.69,0.08,-24.95,-16.94,-3.11,8
0.27,-1.21,0.35,-5.49,4.15,20.04,1.57,0.5,0.02,-1.98,-8.39,-23.57,8
-2.58,0.47,5.6,-2.23,2.66,20.04,1.12,0.51,0.2,33.18,20.98,-8.59,8
0.03,1.13,7.1,0.03,2.86,20.04,0.97,0.46,0.15,-11.03,13.34,-14.11,8
2.23,0.9,4.04,-2.66,2.74,20.04,0.78,0.38,0.04,-47.57,6.27,-26.01,8
0.19,0.62,4.11,-3.53,3.84,10.39,0.72,0.32,0.04,-70.42,4.73,-28.07,8
1.41,-2.0,0.27,-1.52,2.62,7.96,0.66,0.24,0.13,-57.63,2.18,-16.17,8
6.39,-5.02,5.29,-2.7,1.56,4.74,0.78,0.07,0.12,-41.88,6.23,24.03,8
7.29,-4.07,13.69,-3.37,0.7,3.8,0.82,0.25,0.12,4.75,5.56,80.01,8
11.88,-2.35,17.53,-3.13,0.74,0.7,0.91,0.41,0.11,28.2,17.22,31.92,8
12.19,1.56,18.75,-3.09,-1.96,-2.51,1.62,0.5,0.42,12.3,3.49,3.45,8
12.39,0.66,18.47,0.23,-4.35,0.11,1.68,0.41,0.25,27.07,22.11,-40.86,8
2.54,-1.37,14.43,-1.64,-1.88,4.9,1.03,0.35,0.28,28.16,13.36,-27.52,8
8.62,2.66,9.21,-7.02,0.5,4.9,0.68,0.28,0.1,28.75,-2.0,-10.46,8
6.66,2.0,7.76,-1.8,-1.92,8.74,0.62,0.08,0.03,29.37,-22.59,-3.33,8
9.45,2.82,6.9,-3.45,-1.21,8.43,0.58,0.07,0.04,9.97,-31.81,-6.4,8
