d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.98,8.31,0.98,2.47,0.94,0.62,0.72,0.28,0.12,-100.95,-77.43,11.92,7
4.78,9.33,0.74,3.37,0.54,-1.33,0.77,0.3,0.32,-115.05,-93.78,-6.12,7
4.15,8.78,0.27,1.25,0.31,-1.96,0.57,0.37,0.17,-113.53,-106.48,10.14,7
3.76,8.04,0.19,0.94,0.9,-2.07,0.57,0.24,0.03,-114.4,-128.2,28.14,7
3.02,10.23,0.78,0.58,2.35,-1.88,1.37,0.19,0.69,-146.57,-185.94,64.93,7
3.33,10.63,-2.27,-2.86,3.68,-2.11,1.24,0.23,0.41,-92.82,-174.43,46.12,7
4.86,12.35,0.98,-10.63,7.96,0.27,0.91,0.07,0.83,-51.75,-117.58,33.23,7
2.58,12.47,1.13,-20.08,12.0,7.41,1.34,0.08,-1.39,-71.04,-85.88,24.22,7
2.23,11.76,-1.21,-18.27,20.04,11.29,1.19,0.03,-1.02,-16.39,-55.96,18.02,7
5.37,11.68,1.84,-14.31,20.04,7.33,0.99,0.0,0.87,34.33,-18.09,7.28,7
4.98,10.0,2.58,-20.08,20.04,9.37,1.04,0.07,-1.06,13.55,-1.08,-3.46,7
3.33,10.08,0.39,-5.17,18.27,4.94,1.01,0.08,0.99,34.59,29.8,-13.3,7
3.72,11.02,1.33,-9.02,17.61,4.98,0.8,0.07,0.85,56.91,57.09,-26.86,7
3.17,10.55,0.86,-6.43,14.35,5.37,0.82,0.12,0.71,78.11,85.27,-41.65,7
2.9,9.76,0.07,-2.39,13.14,2.27,0.75,0.09,0.55,79.84,102.41,-53.88,7
5.72,10.04,0.31,-3.92,8.47,0.86,0.72,0.07,0.48,71.86,106.09,-59.02,7
8.08,12.27,0.11,-3.72,7.84,1.84,0.82,0.02,0.46,51.65,109.16,-56.91,7
12.86,12.55,-1.21,-1.68,4.62,0.39,1.1,0.07,0.42,68.49,107.07,-36.82,7
14.12,9.96,1.37,-1.17,4.19,1.17,1.29,0.21,0.36,95.92,99.77,-8.41,7
16.51,7.45,1.09,-3.76,2.19,1.52,1.14,0.31,0.17,114.89,75.73,6.01,7
13.92,7.72,0.07,-2.7,2.43,0.78,1.03,0.31,0.09,130.93,72.33,1.71,7
12.67,6.9,0.62,-2.54,2.86,1.84,1.2,0.28,0.19,136.75,79.33,-7.37,7
11.06,4.94,1.05,-6.74,6.47,3.53,1.23,0.48,0.02,133.8,76.92,-9.71,7
11.1,1.72,0.03,-6.55,8.39,2.94,0.97,0.44,0.07,115.83,48.05,-10.07,7
10.51,0.82,0.35,-5.09,10.15,2.47,0.69,0.39,0.08,121.78,39.92,-8.37,7
8.98,0.19,0.19,-6.9,9.92,1.68,0.6,0.24,0.0,161.78,48.76,-11.62,7
8.51,-2.58,0.7,-5.64,8.82,1.88,0.56,0.22,0.08,179.89,61.54,-17.55,7
6.55,-4.0,0.15,-4.86,9.37,2.31,0.59,0.49,0.13,181.5,65.49,-19.1,7
7.37,-5.68,0.86,-5.57,9.49,0.19,0.9,0.43,0.17,173.98,54.91,-3.94,7
5.09,-6.74,0.94,-6.62,11.06,0.78,1.14,0.35,0.18,156.57,52.39,0.78,7
1.41,-6.55,-1.37,-4.23,10.7,0.19,1.02,0.36,0.1,141.96,55.61,-2.27,7
1.84,-6.39,-1.09,-3.88,11.1,0.11,1.05,0.43,0.08,144.54,65.58,-3.84,7
0.03,-5.53,-2.47,-3.72,10.63,1.6,0.78,0.37,0.11,194.85,97.8,2.66,7
1.17,-5.88,2.03,0.66,7.57,0.07,0.6,0.42,0.03,234.04,128.95,14.5,7
-2.35,-6.59,0.7,-4.82,8.78,1.09,0.58,0.74,0.06,234.69,130.02,29.21,7
-2.51,-6.51,0.86,-8.55,13.02,2.39,1.47,0.84,0.1,146.05,74.76,38.4,7
-3.8,-7.92,2.62,-2.66,11.1,0.5,1.52,0.46,0.09,174.21,58.64,19.59,7
-1.01,-10.12,0.82,-2.82,9.45,0.07,0.85,0.55,0.05,189.04,55.39,36.63,7
0.23,-8.74,1.01,-6.47,8.55,0.9,0.6,0.64,0.01,175.24,60.4,31.69,7
0.19,-7.02,0.94,-4.23,8.39,-1.33,0.58,0.69,0.06,147.02,49.14,17.88,7
0.74,-5.53,0.35,-3.84,9.76,-1.21,0.93,0.54,0.06,127.07,43.05,23.01,7
-1.25,-4.43,-1.09,-3.09,9.8,0.82,1.21,0.22,0.02,151.17,35.89,60.8,7
-1.21,-3.13,-3.29,-2.54,10.0,-1.17,1.0,0.48,0.08,188.38,60.46,87.21,7
-2.66,-1.92,-5.68,-2.0,10.12,-1.33,0.74,0.6,0.05,190.13,63.37,92.69,7
-2.07,0.11,-5.88,-2.07,9.37,0.74,0.62,0.53,0.0,184.22,72.82,88.4,7
-1.45,0.58,-5.17,-2.54,8.15,0.66,0.5,0.48,0.1,179.07,80.23,96.18,7
-2.47,2.07,-5.37,-2.47,8.39,0.86,0.53,0.43,0.15,180.12,79.96,120.33,7
0.15,5.45,-2.39,-2.7,7.64,0.0,0.69,0.06,0.07,145.18,49.83,160.52,7
0.11,6.86,-4.19,-2.74,7.1,0.43,0.78,0.09,0.2,110.61,17.19,155.95,7
7.84,8.59,-2.54,-1.05,12.04,-1.17,1.22,0.69,0.5,115.88,-36.59,159.5,7
19.45,20.04,8.59,-3.68,14.82,-1.05,1.45,0.5,0.65,38.84,1.43,52.24,7
20.04,20.04,20.0,-5.13,18.12,5.13,1.25,0.49,0.5,14.68,15.42,54.43,7
20.04,20.04,20.04,-2.9,14.12,5.88,1.18,0.53,0.37,16.13,9.11,29.39,7
12.51,20.04,13.02,-2.98,10.23,2.9,1.0,0.73,0.53,33.81,7.18,-4.14,7
9.1,14.9,9.92,-3.21,10.59,3.64,0.94,0.63,0.49,-11.28,4.56,-42.23,7
7.76,15.57,6.23,-2.51,7.49,5.06,0.78,0.57,0.29,-59.6,-20.02,-55.75,7
8.39,16.16,5.53,-4.31,7.21,5.09,0.9,0.48,0.18,-67.83,-15.85,-68.92,7
9.13,16.31,2.82,-4.78,8.35,3.72,1.1,0.34,0.14,-53.94,-15.23,-80.43,7
4.51,13.14,0.07,-3.05,10.55,2.94,1.32,0.21,0.27,-58.08,-30.22,-83.36,7
2.43,7.68,0.86,-4.62,9.88,1.64,1.0,0.01,0.28,-101.78,-50.48,-78.54,7
3.09,4.15,0.58,-4.94,9.33,1.25,0.8,0.03,0.17,-137.95,-76.19,-52.33,7
1.8,2.23,-1.8,-5.25,8.23,0.7,1.08,0.24,0.33,-169.5,-87.48,-19.07,7
0.03,1.84,-2.0,-9.41,11.37,-3.8,1.02,0.27,0.09,-132.6,-56.75,-23.91,7
1.13,2.23,0.31,-7.33,12.27,-4.07,0.89,0.11,0.15,-91.57,-19.82,-37.04,7
2.62,2.62,0.07,-8.51,12.16,-3.25,0.72,0.44,0.05,-104.86,0.05,-46.57,7
4.15,3.68,0.35,-7.21,10.74,-2.54,0.91,0.18,0.0,-160.31,-26.39,-48.93,7
5.17,5.13,0.78,-8.43,10.04,-2.39,0.78,0.26,0.04,-147.44,-12.65,-44.76,7
7.33,6.43,0.35,-8.11,9.33,-1.84,0.74,0.29,0.0,-144.43,-5.26,-38.01,7
4.27,8.39,1.05,-9.41,9.68,0.03,0.88,0.36,0.06,-149.5,-9.75,-37.17,7
5.25,10.04,0.74,-8.66,7.45,0.43,0.94,0.36,0.07,-171.63,-16.83,-50.17,7
3.41,10.43,0.78,-11.29,6.55,2.0,1.0,0.41,0.11,-174.87,-23.1,-43.36,7
4.82,12.9,-2.98,-8.82,2.7,1.68,1.13,0.39,0.04,-177.91,-35.74,-37.78,7
5.37,13.57,-3.09,-12.23,2.0,0.86,1.06,0.35,0.0,-174.86,-34.52,-30.62,7
7.06,12.27,-4.31,-13.06,0.54,3.13,0.94,0.42,0.05,-179.31,-41.45,-36.9,7
7.88,11.14,-3.02,-15.21,0.19,3.29,0.83,0.5,0.02,-211.57,-57.87,-40.22,7
4.94,11.37,-2.74,-15.49,-2.43,4.15,0.88,0.51,0.13,-228.95,-71.12,-39.25,7
2.82,11.37,-1.72,-15.65,-2.98,5.41,1.12,0.34,0.08,-207.69,-68.33,-39.23,7
2.7,10.35,-1.92,-13.69,-2.66,5.57,1.17,0.41,0.09,-161.57,-36.72,-43.6,7
6.15,8.47,-2.78,-8.27,-1.6,5.57,0.97,0.49,0.12,-156.52,-27.56,-35.85,7
