d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.49,9.57,-1.88,2.07,-2.7,2.47,0.87,0.31,0.04,-77.7,-41.2,0.54,2
4.0,9.41,-1.76,2.82,-2.98,1.52,0.85,0.3,0.0,-54.79,-30.94,3.37,2
4.39,8.7,-1.92,3.45,-2.98,0.54,0.82,0.3,0.02,-40.72,-39.15,5.12,2
5.33,8.43,-1.56,2.58,-2.51,0.54,0.79,0.27,0.01,-27.37,-40.96,6.99,2
5.45,8.04,0.54,2.58,-1.56,0.78,0.78,0.24,0.04,-16.11,-21.59,-2.33,2
4.86,8.62,0.11,-4.78,-1.88,3.41,0.83,0.3,0.03,-17.29,-7.24,-10.57,2
3.96,11.14,0.94,-20.08,-6.59,8.0,1.09,0.43,0.01,-14.4,1.52,-10.14,2
2.54,13.37,1.45,-20.08,-9.25,7.1,1.46,0.35,0.03,-4.56,-9.38,-9.88,2
2.82,12.16,0.39,-20.08,-9.45,7.84,1.3,0.48,0.13,10.28,-42.46,6.8,2
4.51,9.57,0.54,-18.75,-5.29,6.62,0.99,0.4,0.03,25.64,-18.99,19.77,2
5.72,9.49,1.72,-8.98,-4.15,4.43,0.96,0.25,0.17,43.9,11.18,11.85,2
6.31,9.06,1.68,-2.39,-3.37,2.47,0.97,0.31,0.07,42.68,27.51,-3.4,2
5.37,8.04,1.17,1.29,-3.17,1.88,0.88,0.32,0.08,14.97,20.4,-9.48,2
2.9,7.49,0.35,4.7,-3.8,1.05,0.82,0.31,0.08,3.19,10.5,3.06,2
2.51,7.41,0.15,6.15,-3.6,0.62,0.82,0.27,0.02,15.51,6.05,16.94,2
2.58,8.23,0.11,5.68,-3.25,0.74,0.86,0.27,0.02,34.33,17.47,15.17,2
3.21,9.45,0.19,4.0,-1.84,0.47,1.0,0.35,0.02,49.04,33.83,6.07,2
3.92,11.84,0.27,2.51,0.5,1.09,1.27,0.47,0.1,57.92,28.1,7.93,2
4.62,12.31,0.58,-3.88,6.04,2.94,1.19,0.37,0.04,75.88,21.47,18.05,2
4.51,10.94,-1.17,-9.45,9.17,3.37,1.17,0.39,0.01,94.37,25.98,35.9,2
4.15,11.72,-1.01,-10.78,10.86,4.47,1.13,0.37,0.01,112.47,17.83,47.35,2
4.19,9.8,-1.01,-10.59,17.22,6.19,0.89,0.22,0.02,129.46,28.9,45.01,2
3.76,8.55,-1.64,-14.55,17.84,6.15,0.65,0.35,0.06,145.42,49.58,27.82,2
2.19,8.78,-1.52,-8.23,17.73,5.33,0.65,0.43,0.12,123.1,48.27,22.5,2
1.41,8.98,-1.56,-6.43,17.65,5.6,0.93,0.23,0.19,113.03,46.46,22.7,2
3.17,9.29,-1.92,-4.86,15.33,5.76,0.97,0.24,0.16,124.35,47.47,17.01,2
3.64,9.13,-2.35,-5.02,13.65,4.66,0.85,0.3,0.17,120.52,42.23,6.76,2
3.76,9.72,-3.76,-3.13,12.7,2.98,0.92,0.29,0.19,114.44,44.11,0.34,2
3.88,9.76,-4.27,-9.13,12.39,2.82,0.97,0.31,0.16,112.94,53.72,1.69,2
4.23,9.88,-4.15,-5.92,11.25,1.21,1.14,0.33,0.09,122.36,60.09,13.03,2
4.7,9.84,-3.8,-3.88,9.96,0.7,0.97,0.24,0.21,138.77,69.18,15.03,2
7.17,8.31,-3.25,-3.49,9.25,0.7,0.82,0.23,0.23,151.42,85.91,15.68,2
6.47,10.08,-3.72,-5.45,9.76,0.7,0.9,0.37,0.19,140.48,94.39,29.08,2
9.02,13.72,-3.17,-4.7,10.23,0.31,1.1,0.51,0.04,91.43,66.84,38.02,2
8.94,14.55,-2.54,-3.02,10.43,1.09,1.09,0.31,0.14,107.81,54.29,35.79,2
9.13,16.04,-1.13,-2.7,9.1,0.54,0.82,0.45,0.0,142.75,70.71,41.37,2
10.27,20.04,0.98,-2.51,8.08,1.21,0.92,0.57,0.06,97.9,32.74,33.24,2
12.59,20.04,2.23,-2.47,9.68,1.37,1.12,0.4,0.12,69.34,-2.02,29.99,2
14.2,20.04,3.41,-2.86,9.84,0.86,1.01,0.34,0.06,74.88,-1.78,27.72,2
11.8,19.33,3.45,-3.37,9.41,1.05,0.87,0.38,0.08,74.45,4.56,21.86,2
8.35,16.98,2.11,-4.04,9.61,1.8,0.89,0.42,0.05,64.14,5.33,18.31,2
2.78,10.19,0.94,-3.92,9.76,1.76,0.97,0.33,0.04,59.39,5.99,14.39,2
0.86,8.39,0.98,-3.53,9.8,1.76,0.95,0.31,0.03,64.36,10.54,9.32,2
0.07,5.29,1.13,-3.49,9.68,1.68,0.91,0.33,0.07,65.68,12.2,8.63,2
-1.96,4.04,-1.09,-3.41,9.53,1.76,0.89,0.33,0.1,55.56,10.23,6.23,2
-6.78,2.23,-2.39,-3.72,9.21,2.19,0.84,0.33,0.05,53.87,12.91,1.5,2
-8.08,0.7,-3.02,-3.13,8.9,2.35,0.85,0.28,0.02,62.65,18.51,5.72,2
-6.43,1.17,-2.54,-3.45,8.66,2.62,0.9,0.28,0.0,74.39,26.47,7.08,2
-3.05,1.56,-2.07,-3.68,9.13,2.9,0.84,0.41,0.1,74.0,31.21,-6.3,2
8.19,-1.49,0.39,-2.86,11.29,2.9,1.12,0.39,0.18,55.33,28.92,-19.02,2
20.04,-4.66,9.8,-2.27,11.14,2.62,1.4,0.15,0.37,24.3,11.19,-13.07,2
20.04,-5.33,13.84,-2.7,9.84,2.9,1.01,0.39,0.25,-2.67,-7.36,16.96,2
20.04,-10.63,10.35,-4.0,9.84,3.29,0.91,0.38,0.15,-14.11,-17.39,32.37,2
14.86,-4.78,6.23,-4.04,9.37,4.31,0.94,0.39,0.07,-20.74,-20.13,-1.46,2
7.76,-1.8,3.09,-3.21,9.41,4.39,1.02,0.23,0.06,-21.16,-11.52,-19.85,2
4.43,0.35,0.58,-3.84,9.45,3.8,0.98,0.27,0.0,3.17,5.14,-12.35,2
0.5,0.27,-1.45,-4.04,9.17,2.94,0.86,0.4,0.0,8.35,0.92,1.28,2
-2.23,0.43,-2.78,-3.02,8.98,2.27,0.82,0.3,0.05,-4.39,-10.89,8.56,2
-4.07,0.0,-3.05,-1.8,8.74,2.23,0.81,0.24,0.03,3.51,-7.98,9.66,2
