d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
2.43,9.41,-2.03,-1.41,9.21,3.6,0.91,0.06,0.21,36.31,13.28,-4.36,4
2.54,9.37,-2.19,-1.68,8.66,3.68,0.88,0.05,0.2,35.49,10.32,-4.32,4
2.43,9.1,-2.58,-2.0,8.23,3.49,0.88,0.04,0.21,39.75,10.34,-4.75,4
2.35,9.68,-2.78,-2.07,8.19,3.25,0.89,0.04,0.24,43.62,10.63,-5.48,4
2.43,9.88,-2.66,-2.0,8.74,3.29,0.96,0.06,0.22,44.93,11.89,-5.6,4
2.54,9.72,-2.39,-2.11,8.98,3.25,1.0,0.04,0.24,44.95,11.24,-1.27,4
2.7,9.96,-1.76,-2.03,10.15,3.13,1.11,0.15,0.2,44.09,8.37,10.18,4
2.47,12.55,-1.68,-2.03,13.92,3.56,1.4,0.53,0.02,31.68,11.16,21.82,4
3.05,14.59,-1.01,-2.0,16.63,2.19,1.31,0.72,0.12,32.51,24.53,3.62,4
4.31,9.76,1.09,-4.51,13.02,0.78,1.08,0.23,0.03,65.91,47.14,6.3,4
3.33,8.15,1.76,-3.8,9.64,1.64,1.11,0.54,0.36,105.06,62.51,7.15,4
4.15,9.37,2.35,0.66,9.53,0.74,1.04,0.51,0.03,64.75,21.32,4.11,4
4.04,9.8,2.54,-3.13,9.8,-1.13,0.91,0.34,0.06,53.23,4.51,17.18,4
2.19,8.35,2.23,-3.88,8.47,0.15,0.73,0.4,0.07,28.95,-11.97,22.72,4
0.86,7.96,1.45,-4.27,8.31,0.35,0.7,0.3,0.22,27.41,-27.31,16.14,4
0.54,9.13,1.13,-4.9,9.96,0.19,0.81,0.36,0.22,45.67,-8.23,-1.37,4
1.92,10.19,0.98,-4.78,10.82,0.7,1.01,0.37,0.14,68.35,14.23,-7.11,4
2.47,9.33,0.94,-4.58,10.39,0.03,0.99,0.4,0.04,57.1,9.79,1.1,4
1.96,9.02,0.35,-3.88,10.19,0.11,0.89,0.39,0.02,32.54,1.08,2.77,4
1.49,9.45,0.58,-3.09,10.86,0.43,0.93,0.37,0.05,12.39,-1.78,0.94,4
0.94,10.78,1.29,-3.41,10.7,0.11,1.15,0.23,0.02,5.6,2.51,0.1,4
0.43,10.23,0.94,-4.39,9.64,0.54,1.12,0.31,0.01,10.03,8.24,11.25,4
0.0,10.35,0.98,-4.35,9.49,0.86,1.04,0.3,0.07,30.26,10.37,17.69,4
3.68,11.92,4.94,-4.07,9.29,1.33,1.01,0.34,0.07,19.86,8.52,13.59,4
-2.35,8.7,3.53,-2.86,8.78,2.07,0.91,0.36,0.02,16.07,0.61,6.74,4
0.86,10.86,2.15,-2.0,8.74,2.43,0.93,0.28,0.0,9.75,-10.14,2.33,4
2.94,12.0,1.6,-2.66,9.68,3.09,0.93,0.3,0.07,0.75,-15.41,-3.36,4
3.56,11.33,0.0,-2.54,9.61,3.68,0.92,0.33,0.11,-12.35,-17.58,-10.56,4
2.39,9.61,0.74,-2.9,8.94,2.82,0.94,0.29,0.11,-15.54,-19.75,-10.04,4
2.03,9.33,0.11,-3.25,8.98,2.19,0.97,0.3,0.14,-18.92,-16.72,-9.85,4
2.19,9.37,1.13,-3.6,9.64,2.15,0.95,0.37,0.15,-26.31,-15.51,-11.94,4
1.76,9.06,0.78,-3.05,10.04,1.41,0.93,0.39,0.18,-32.61,-15.07,-12.68,4
1.49,8.7,0.86,-2.82,9.68,1.09,0.92,0.38,0.23,-34.76,-12.82,-12.05,4
2.03,8.82,1.56,-2.94,9.92,1.05,0.9,0.38,0.27,-32.79,-7.78,-11.88,4
1.09,8.35,1.29,-2.7,10.04,0.94,0.87,0.38,0.27,-31.56,-4.33,-12.06,4
1.52,8.19,1.21,-2.7,10.04,0.9,0.85,0.39,0.29,-32.47,-5.32,-11.96,4
2.47,8.35,1.76,-2.43,10.12,0.74,0.91,0.39,0.27,-32.26,-4.94,-6.85,4
1.96,8.55,2.35,-2.35,10.47,0.35,0.94,0.33,0.2,-28.57,-2.1,-2.59,4
2.03,9.53,1.92,-2.51,10.43,0.19,0.98,0.39,0.18,-35.5,1.5,-1.75,4
1.09,10.55,1.72,-2.62,10.55,0.03,0.98,0.47,0.14,-42.95,0.88,-5.29,4
0.74,10.86,1.56,-2.54,10.63,0.15,1.0,0.39,0.12,-42.77,-7.81,-8.06,4
1.56,11.72,0.82,-2.19,11.14,0.07,1.44,0.16,0.07,-28.08,-5.52,-5.39,4
2.11,13.45,0.7,-2.23,12.12,0.74,1.58,0.19,0.3,16.39,19.19,8.51,4
4.15,12.74,0.03,-2.03,12.08,1.05,1.13,0.21,0.38,32.05,39.89,2.67,4
3.96,9.76,-1.92,-3.13,8.74,3.84,0.68,0.6,0.21,-24.54,-5.2,-6.07,4
3.13,8.62,-3.29,-3.21,7.45,5.25,1.13,0.13,0.07,-40.07,-34.78,10.53,4
3.29,9.8,-2.66,-3.49,9.88,4.7,0.91,0.15,0.23,1.77,-12.65,11.72,4
4.31,9.92,-1.88,-3.13,10.19,4.66,0.89,0.12,0.23,36.88,2.66,13.19,4
5.33,8.51,-2.03,0.82,9.49,4.82,0.9,0.17,0.26,44.78,16.54,19.0,4
5.09,8.15,-1.45,1.92,9.21,5.57,0.8,0.19,0.36,15.39,13.45,8.42,4
4.43,8.27,-1.96,0.47,9.21,5.21,0.79,0.25,0.34,-21.07,1.17,6.23,4
3.53,8.51,-2.19,-2.66,8.94,5.49,0.86,0.23,0.25,-31.25,-3.06,3.95,4
3.13,9.1,-2.15,-4.27,9.02,6.23,0.88,0.19,0.17,-20.36,1.71,-3.41,4
2.9,9.61,-1.96,-2.31,9.49,4.98,1.02,0.24,0.1,-8.91,4.47,-4.17,4
2.78,10.35,-2.31,-1.49,9.1,4.23,1.15,0.35,0.06,-2.0,1.95,-2.46,4
4.39,12.35,-2.47,0.35,11.41,4.27,1.25,0.21,0.05,-7.46,-12.72,12.16,4
4.04,10.43,-2.51,-1.17,9.37,3.37,1.05,0.27,0.05,1.55,-18.03,19.34,4
3.68,9.88,-1.09,-1.33,8.59,3.41,0.87,0.29,0.04,5.19,-16.33,11.51,4
3.21,9.84,0.5,-2.82,9.02,3.45,0.83,0.13,0.12,0.27,-10.98,2.11,4
3.37,8.82,0.94,0.9,8.86,3.29,0.93,0.1,0.18,18.65,6.24,-1.81,4
2.82,9.06,0.74,-1.92,10.27,3.6,0.95,0.24,0.15,25.26,20.01,2.06,4
2.11,9.49,0.78,-2.98,11.25,3.25,0.98,0.25,0.17,19.29,15.91,3.74,4
2.39,9.64,-1.09,-3.56,11.65,4.15,1.04,0.2,0.16,19.5,17.33,2.63,4
2.27,9.02,-1.05,-2.07,10.47,4.51,0.98,0.2,0.2,27.7,24.46,-1.85,4
2.9,9.21,0.94,-1.41,9.92,4.43,0.94,0.19,0.22,29.62,22.87,-2.0,4
2.94,9.49,-1.21,-1.37,9.45,4.43,0.95,0.17,0.25,25.52,19.81,-3.74,4
2.94,9.45,-1.45,-1.96,8.82,3.88,0.9,0.16,0.27,19.74,16.9,-3.25,4
3.72,9.41,-1.88,-2.51,8.47,3.37,0.89,0.12,0.33,14.42,11.87,-1.92,4
3.96,9.29,-2.0,-2.51,8.04,3.33,0.86,0.1,0.37,10.69,9.66,-5.75,4
3.56,9.45,-2.0,-2.54,7.57,3.56,0.81,0.13,0.27,2.39,3.94,-10.73,4
2.51,10.0,-2.39,-2.54,7.49,3.37,0.88,0.13,0.23,-6.33,0.53,-10.36,4
2.19,9.88,-2.58,-2.9,8.0,3.25,0.95,0.14,0.21,5.49,2.93,-7.99,4
2.74,10.94,-2.31,-2.9,9.76,3.96,1.13,0.2,0.25,32.84,13.7,-5.91,4
3.64,12.39,-2.43,-3.72,11.76,5.49,1.22,0.28,0.21,54.39,33.72,-1.59,4
3.33,10.12,-2.23,-3.53,12.31,5.76,1.11,0.33,0.17,45.88,38.24,5.92,4
