d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
10.04,-4.62,-7.13,0.27,-5.25,-9.21,0.49,0.21,0.26,-21.53,-15.68,-10.07,6
-13.14,-11.06,-3.68,16.67,-13.14,0.62,1.07,0.7,0.34,-37.82,-36.3,14.69,6
-8.23,-11.33,-2.11,6.11,-13.57,2.31,1.99,0.67,0.17,-29.84,-30.91,11.16,6
7.33,-12.59,-9.45,-8.9,-14.2,-6.47,1.42,0.68,0.11,-8.58,-2.11,-15.46,6
9.33,-11.33,-9.96,-1.88,-13.29,-12.67,1.08,0.58,0.24,29.0,17.56,1.11,6
18.94,-7.92,-3.05,-11.49,-4.07,-4.35,0.71,0.38,0.08,18.11,19.75,-14.65,6
12.0,-5.88,-2.39,-20.08,-3.33,2.03,0.67,0.05,0.0,-38.79,-5.8,-10.54,6
6.66,-4.7,-7.13,-12.67,-4.86,-10.04,0.43,0.06,0.16,-14.3,-7.39,-3.81,6
4.39,-3.17,-6.43,-1.33,-6.43,-15.18,0.33,0.11,0.23,-3.43,-12.56,23.82,6
-18.9,-7.1,-2.11,17.18,-9.53,0.86,0.65,0.01,0.2,38.66,-11.85,43.65,6
-6.62,-9.37,-6.62,12.31,-9.92,0.0,1.3,0.41,0.3,59.0,20.84,17.75,6
8.86,-13.96,-12.9,-4.86,-15.41,-11.1,1.88,0.69,0.6,27.95,32.4,1.84,6
13.02,-12.12,-11.68,2.0,-3.84,-18.75,1.25,0.89,0.54,0.65,15.62,-8.71,6
20.04,-11.76,-5.76,-13.41,-2.74,-9.88,1.1,0.63,0.22,-44.55,-7.13,-25.09,6
16.82,-8.74,-3.49,-20.08,-4.07,1.17,0.97,0.02,0.05,11.34,-10.78,-23.14,6
10.74,-5.13,-7.68,-16.94,-6.55,-9.92,0.7,0.08,0.08,34.55,9.77,-17.96,6
-1.88,-5.37,-11.8,-4.66,-5.06,-17.53,0.48,0.05,0.01,55.2,23.66,-14.97,6
-20.08,-5.84,-1.56,20.04,-8.74,-1.52,0.36,0.15,0.16,11.07,14.03,-15.22,6
-2.39,-1.6,-5.88,20.04,-6.11,-1.41,0.44,0.28,0.2,-38.68,-27.62,-5.15,6
2.39,-8.08,-8.62,-1.96,-10.35,-9.49,0.93,0.69,0.25,-61.02,-48.46,31.34,6
13.96,-11.76,-11.29,-4.66,-17.22,-18.27,1.99,0.54,0.2,-22.61,-50.85,38.92,6
20.04,-10.35,-7.06,-20.08,-3.68,-16.59,1.47,0.75,0.0,-10.26,-2.62,-11.14,6
13.8,-12.31,-6.47,-20.08,-5.68,-4.66,1.27,0.47,0.19,41.17,36.34,-10.36,6
8.47,-11.37,-11.1,-20.08,-4.86,-14.0,0.82,0.46,0.11,19.66,26.41,-17.95,6
-1.84,-8.08,-11.14,-13.14,0.39,-20.08,0.6,0.27,0.06,-45.89,-4.45,-16.39,6
-20.08,-5.21,0.74,20.04,-9.53,-15.65,0.44,0.08,0.22,-45.77,-23.61,-5.89,6
-2.98,-1.68,-6.35,20.04,-6.27,0.94,0.45,0.0,0.32,-15.4,-32.23,37.11,6
1.37,-3.8,-14.98,3.45,-5.96,-8.43,0.64,0.1,0.38,41.64,-20.49,60.68,6
20.04,-7.8,-11.06,-9.88,-8.0,-15.06,0.98,0.32,0.11,77.97,29.09,22.37,6
20.04,-8.39,-8.43,-12.31,-8.98,-9.96,1.99,0.47,0.61,109.13,38.45,-13.55,6
19.65,-9.06,-19.02,-20.08,-7.06,-7.72,1.5,0.9,0.56,-26.66,13.2,-16.86,6
3.6,-14.59,-20.08,-20.08,-9.02,-11.53,1.0,0.7,0.44,-36.44,-8.62,-12.91,6
-20.08,-12.9,-6.39,-13.1,-7.76,-16.59,0.95,0.13,0.03,-14.02,-13.04,-11.7,6
-6.9,-3.8,-6.0,10.51,-12.86,-15.96,0.78,0.01,0.09,-4.05,1.98,-7.0,6
3.41,-3.21,-13.65,20.04,-9.02,0.58,0.56,0.04,0.04,11.1,14.48,2.36,6
16.08,-1.25,-7.57,15.33,-7.6,2.74,0.45,0.06,0.04,31.78,24.05,5.18,6
20.04,-3.76,-2.86,-3.92,-7.76,-14.35,0.39,0.22,0.03,1.13,5.23,12.25,6
20.04,-4.0,-6.39,-11.65,-11.17,-20.08,0.76,0.47,0.35,-30.47,-44.19,18.72,6
13.61,-6.15,-16.9,-20.08,-9.02,-12.55,1.99,0.84,0.15,-52.99,-48.65,14.94,6
