d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
10.94,9.13,11.02,1.76,7.21,5.33,1.04,0.33,0.07,-14.18,-9.33,-9.83,9
8.66,8.9,14.0,-5.17,10.31,11.1,0.83,0.39,0.09,-17.95,-7.11,-8.65,9
7.57,9.64,12.82,-8.74,9.88,14.31,0.84,0.32,0.08,-25.5,-17.56,-9.3,9
2.98,10.78,15.14,-14.94,6.78,15.76,0.91,0.3,0.11,-51.7,-21.57,-14.01,9
0.27,11.65,12.94,-16.59,3.88,11.8,1.02,0.29,0.06,-65.92,-12.14,-21.56,9
-2.43,9.33,11.02,-17.61,1.88,8.15,0.99,0.37,0.07,-66.79,-6.92,-18.91,9
-2.58,8.94,7.92,-15.84,1.49,3.92,0.92,0.43,0.17,-61.49,-10.55,-21.65,9
-1.41,6.35,4.27,-14.94,1.96,0.86,0.85,0.37,0.21,-48.33,-3.08,-17.78,9
0.07,5.25,4.74,-12.43,2.39,0.11,0.84,0.38,0.22,-46.18,11.53,-20.14,9
0.03,3.33,1.96,-10.7,2.23,0.5,0.81,0.45,0.14,-51.4,20.29,-26.01,9
0.98,1.17,0.54,-8.11,0.78,0.7,0.86,0.55,0.06,-46.56,9.07,-15.65,9
0.39,0.9,-2.15,-4.66,0.27,0.5,1.06,0.51,0.03,-40.35,-2.78,1.44,9
1.96,-2.31,-2.62,-3.64,0.23,1.33,1.1,0.51,0.03,-38.27,-14.53,15.56,9
4.43,-3.92,-3.37,-1.33,-1.09,3.05,1.43,0.46,0.13,-21.02,-12.39,28.18,9
6.98,-4.62,-1.13,0.39,-1.52,4.35,1.35,0.25,0.22,-5.28,2.85,31.18,9
9.45,-4.9,0.5,2.23,0.78,9.21,0.72,0.37,0.16,-8.38,1.31,15.56,9
11.76,-4.19,1.29,2.43,0.35,9.84,0.84,0.24,0.11,-21.97,-30.3,6.28,9
12.63,-2.19,3.96,1.52,0.15,12.7,1.43,0.08,0.08,5.27,-20.38,4.88,9
