d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
14.86,-7.29,-5.45,-11.57,2.66,2.03,0.18,1.43,0.01,252.42,105.35,86.27,5
14.31,-4.74,-5.96,-11.57,0.03,0.35,0.29,1.01,0.26,252.42,68.76,123.69,5
17.25,-2.51,-7.49,-13.14,0.78,0.19,1.05,0.8,0.37,252.42,28.24,116.47,5
18.78,-1.05,-5.6,-15.37,2.35,-1.05,1.08,0.64,0.03,252.42,64.6,19.92,5
17.84,-1.01,-8.35,-15.06,2.51,-1.8,0.81,1.15,0.3,252.42,103.35,25.47,5
15.92,0.15,-7.1,-14.47,0.66,-2.62,0.52,1.1,0.46,252.42,111.18,83.54,5
15.1,-1.01,-6.82,-15.25,0.19,-2.66,0.53,1.3,0.14,252.42,104.09,116.62,5
15.45,0.47,-5.37,-15.57,0.23,-1.84,0.82,0.99,0.22,252.42,102.77,119.48,5
16.94,0.19,-2.78,-15.57,-2.58,-2.58,1.04,0.94,0.22,252.42,77.81,86.59,5
18.47,0.94,-1.8,-16.12,-4.23,-1.45,1.02,1.01,0.19,252.42,77.5,58.46,5
16.55,0.7,-2.82,-15.49,-4.31,0.11,0.7,0.97,0.23,252.42,73.87,54.92,5
15.45,-1.09,-2.35,-14.08,-4.9,0.74,0.81,1.01,0.28,252.42,66.01,68.31,5
14.51,-1.13,-1.17,-12.67,-5.53,2.39,0.89,0.75,0.24,252.42,78.5,57.96,5
13.96,-1.52,0.62,-11.88,-5.64,2.82,0.9,0.67,0.33,252.42,93.92,42.74,5
12.86,0.7,2.11,-10.39,-5.84,2.54,0.65,0.83,0.4,252.42,94.87,30.54,5
11.49,0.19,2.74,-8.82,-6.04,1.88,0.41,0.78,0.31,244.23,75.61,25.89,5
8.59,0.86,1.6,-7.49,-5.8,1.37,0.28,0.51,0.3,188.1,63.53,18.51,5
7.84,-3.21,0.39,-7.1,-8.0,1.41,0.24,0.35,0.59,151.97,42.84,15.45,5
9.88,-7.29,-1.25,-9.17,-10.94,4.11,1.32,0.64,0.75,142.44,4.15,34.32,5
12.23,-6.43,0.43,-7.6,-7.49,5.29,1.99,0.09,0.24,137.52,64.9,34.52,5
9.61,-6.08,0.74,-5.25,-8.39,2.82,0.8,0.14,0.48,67.12,44.94,3.55,5
9.76,-5.92,0.7,-4.82,-10.15,3.6,0.61,0.52,0.29,70.79,34.13,12.01,5
8.23,-4.98,0.23,-3.72,-9.57,3.6,0.74,0.49,0.19,78.64,26.23,-5.3,5
6.66,-6.55,-2.43,-4.51,-9.1,2.58,1.14,0.01,0.37,83.19,26.95,-20.7,5
8.59,-5.09,-1.25,-4.04,-7.02,4.07,0.96,0.16,0.51,71.97,32.87,8.43,5
9.76,-3.96,-2.54,-4.74,-6.59,2.54,0.72,0.56,0.35,15.39,23.5,5.68,5
-20.08,7.6,20.04,0.03,3.8,20.04,0.81,0.3,0.33,2.52,0.31,2.63,5
8.82,-17.1,-9.33,-1.56,-10.55,0.62,0.89,0.27,0.25,14.26,-16.22,16.4,5
9.96,-4.07,3.05,-5.33,-6.74,6.78,1.08,0.2,0.02,17.79,17.6,-5.17,5
