d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.31,-4.82,7.88,-3.84,4.0,2.15,1.15,0.36,0.12,-29.7,-21.32,21.33,3
7.29,-4.74,9.64,-1.84,2.35,3.09,1.06,0.39,0.12,0.84,-9.2,11.66,3
8.04,-3.02,11.06,-3.64,2.11,1.01,0.85,0.35,0.05,19.19,3.22,-6.25,3
7.29,-1.33,13.37,-8.7,4.27,3.37,0.74,0.35,0.03,23.33,6.78,-21.94,3
6.0,0.98,13.84,-12.86,6.35,5.96,0.78,0.36,0.0,25.29,7.63,-25.64,3
6.11,-1.56,19.14,-4.9,4.94,6.0,0.98,0.36,0.03,29.15,5.02,-16.4,3
8.94,-4.58,19.06,6.51,2.94,11.1,1.22,0.3,0.01,29.57,2.88,-13.63,3
9.06,-7.6,10.98,5.76,4.82,20.04,1.17,0.28,0.05,30.26,-1.57,-1.22,3
6.9,-3.21,10.39,-8.15,3.72,20.04,0.94,0.24,0.07,31.94,-9.81,9.48,3
4.9,-1.88,6.08,-5.33,0.43,20.04,0.75,0.23,0.03,35.06,-10.63,4.9,3
1.21,0.66,5.92,-4.86,4.15,20.04,0.68,0.27,0.09,32.13,-17.44,5.89,3
4.86,0.58,8.23,-5.06,4.11,18.67,0.99,0.37,0.09,27.1,-13.75,14.44,3
5.33,4.35,6.98,-5.09,4.94,18.67,1.24,0.39,0.08,21.5,4.34,9.89,3
0.78,0.39,7.02,-2.39,3.76,18.35,1.28,0.41,0.13,14.56,7.06,8.62,3
0.43,-2.35,2.11,-7.13,0.07,14.35,1.11,0.32,0.22,7.88,2.61,4.45,3
0.94,-4.58,-2.9,-6.08,-2.74,11.14,0.89,0.26,0.2,0.5,7.46,-5.03,3
0.07,-7.49,-6.19,-5.06,-4.94,8.59,0.71,0.26,0.23,-21.93,6.22,-9.82,3
6.78,-5.68,-7.25,-2.54,-7.57,5.92,0.79,0.24,0.15,-38.41,3.07,-10.02,3
9.13,-5.92,-2.58,0.39,-8.08,2.23,0.95,0.21,0.05,-43.13,4.41,-7.71,3
5.17,-4.04,0.5,0.07,-6.27,-2.23,1.01,0.3,0.04,-39.18,4.54,-2.79,3
1.52,-4.9,0.31,-3.45,-5.41,-2.9,0.97,0.33,0.02,-36.14,2.46,-2.09,3
2.31,-4.7,2.0,0.9,-2.11,1.8,0.94,0.38,0.01,-40.53,-5.46,7.05,3
1.01,-4.94,4.15,1.56,0.07,1.13,1.06,0.43,0.01,-33.69,-11.54,19.66,3
4.86,-4.66,7.96,-4.31,5.64,-1.52,1.19,0.42,0.1,-18.9,-16.04,16.38,3
8.39,-5.33,9.21,-2.19,2.47,0.54,1.06,0.36,0.08,6.82,-6.13,10.47,3
7.37,-3.02,11.92,-5.02,3.64,3.13,0.89,0.35,0.02,21.0,6.85,-3.09,3
6.27,-2.98,12.51,-9.96,4.51,4.47,0.76,0.34,0.02,22.0,9.13,-17.55,3
5.45,-1.45,16.08,-11.45,4.82,6.08,0.79,0.38,0.02,21.42,7.22,-20.85,3
6.9,-3.25,18.43,-9.68,2.47,6.31,0.97,0.36,0.02,28.27,5.08,-18.33,3
9.41,-6.11,16.23,6.94,3.45,13.72,1.2,0.29,0.01,31.45,2.54,-15.59,3
6.78,-5.21,12.59,7.02,3.64,20.04,1.15,0.26,0.06,28.97,2.03,-6.52,3
8.0,-4.15,8.39,-3.64,1.92,18.24,0.99,0.26,0.1,29.57,-4.56,2.79,3
6.31,-2.74,7.13,-7.06,0.27,20.04,0.78,0.25,0.06,25.49,-13.03,3.08,3
4.66,-1.21,2.19,-5.06,2.43,20.04,0.78,0.28,0.02,24.34,-17.05,5.38,3
5.02,1.49,6.78,-2.54,3.29,16.78,0.91,0.33,0.01,25.65,-13.79,10.61,3
4.23,0.47,6.0,-3.25,3.88,18.71,1.04,0.38,0.04,26.68,-2.91,11.41,3
0.19,0.54,6.59,-2.31,1.96,17.84,1.21,0.4,0.07,18.55,-2.67,10.09,3
-1.25,-2.27,3.92,-4.47,0.62,14.78,1.21,0.4,0.14,7.23,0.85,4.01,3
-2.15,-4.86,0.9,-5.53,-3.05,12.0,1.01,0.32,0.16,-4.28,4.24,0.6,3
-1.41,-7.49,-3.84,-5.53,-4.86,8.9,0.83,0.29,0.14,-16.05,6.74,-5.37,3
4.47,-5.76,-4.04,-2.98,-7.13,6.66,0.77,0.28,0.12,-22.49,8.47,-4.53,3
10.19,-5.02,-2.03,-1.84,-8.23,4.66,0.89,0.26,0.07,-26.47,10.34,0.94,3
9.68,-4.51,1.96,-1.68,-6.62,1.96,1.03,0.28,0.05,-25.15,15.08,-1.61,3
1.84,-4.39,2.43,1.01,-7.1,-1.45,1.04,0.28,0.02,-21.7,12.84,-1.71,3
4.15,-5.49,0.27,-3.92,-4.31,0.19,1.02,0.31,0.04,-21.36,6.94,4.41,3
3.37,-5.06,1.6,-1.56,-3.8,1.41,0.93,0.33,0.07,-24.62,4.11,4.16,3
2.58,-4.55,4.51,-1.92,0.9,-2.54,0.88,0.3,0.08,-34.6,-1.36,8.11,3
3.96,-3.29,8.0,-4.7,2.51,0.39,0.94,0.32,0.05,-36.33,-8.21,11.46,3
