d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
6.35,-4.82,9.96,0.03,12.08,0.66,1.15,0.5,0.02,235.91,107.08,0.63,10
1.96,-2.7,13.61,-1.72,11.88,-1.88,0.98,0.43,0.05,215.46,72.19,15.2,10
-2.58,-3.09,10.86,-2.19,10.19,-1.88,0.93,0.34,0.03,214.76,79.84,-3.75,10
-2.54,-1.45,7.25,-1.6,8.47,-1.72,0.81,0.32,0.05,215.46,96.63,-13.5,10
-8.94,0.11,3.6,-2.31,7.92,0.43,0.74,0.34,0.11,211.4,99.66,-6.41,10
-7.45,0.47,-1.8,-3.72,6.04,0.07,0.64,0.33,0.17,201.68,94.74,-2.69,10
-6.59,0.5,-5.09,-2.62,5.96,2.31,0.53,0.32,0.21,177.44,89.24,-1.09,10
-7.6,-1.6,-10.23,-1.68,4.62,1.92,0.36,0.32,0.24,149.1,66.58,-6.43,10
-2.03,-3.09,-15.76,-1.56,2.7,0.74,0.4,0.44,0.14,110.05,31.47,-9.15,10
-1.8,-6.78,-20.0,-2.23,6.27,0.07,1.63,0.61,0.01,84.85,-37.25,42.44,10
3.33,-6.78,-20.08,-2.82,11.88,0.43,1.89,0.62,0.15,96.97,-18.04,9.04,10
12.23,-9.06,-15.45,-3.45,18.0,-1.13,1.16,0.48,0.1,131.73,10.3,18.92,10
18.47,-9.53,-11.92,-7.53,13.84,0.9,1.0,0.6,0.1,125.46,24.87,5.68,10
20.04,-7.57,0.39,-6.39,11.61,0.07,0.93,0.6,0.0,98.2,35.7,-7.49,10
20.04,-8.59,8.78,-4.35,12.55,1.25,0.97,0.52,0.07,90.93,53.24,-3.18,10
17.73,-7.92,15.06,-2.35,10.35,2.7,0.92,0.47,0.24,100.2,52.24,9.87,10
7.25,-6.74,20.04,0.31,9.41,1.6,0.71,0.45,0.38,133.92,54.78,6.08,10
0.74,-4.51,20.04,0.9,8.15,0.74,0.64,0.48,0.47,180.11,70.27,-5.62,10
-3.33,0.7,16.67,0.58,9.92,-1.33,0.77,0.46,0.28,234.91,83.01,-11.17,10
-7.96,0.66,9.33,-1.72,11.14,-2.62,1.13,0.45,0.14,252.42,113.98,-35.04,10
-5.6,2.9,5.49,-1.05,12.16,-3.17,1.28,0.67,0.23,252.42,110.08,-1.86,10
-8.31,3.09,3.21,-1.88,12.04,-2.39,0.96,0.73,0.41,252.42,84.54,15.07,10
-11.8,2.98,-1.76,-1.72,10.66,-1.41,0.87,0.39,0.49,227.27,64.0,19.2,10
-14.16,3.76,-7.92,-1.8,7.84,0.03,0.84,0.26,0.4,193.25,62.6,8.27,10
-9.64,3.84,-11.96,-2.78,6.47,0.54,0.72,0.14,0.25,160.74,59.65,-4.01,10
-8.35,1.76,-15.65,-3.64,4.78,1.6,0.65,0.1,0.13,134.75,69.54,-9.27,10
0.74,2.43,-17.61,-3.41,5.06,1.13,0.51,0.15,0.0,107.23,69.34,-12.83,10
3.37,-2.66,-20.08,-3.56,3.41,0.86,0.33,0.29,0.04,63.54,40.2,-4.58,10
3.72,-5.09,-18.94,-4.0,7.21,0.9,1.24,0.88,0.16,35.65,-20.33,63.8,10
11.41,-7.45,-20.08,-1.96,13.45,-1.8,1.99,0.67,0.41,63.52,-10.14,-1.11,10
12.04,-8.82,-13.21,-4.9,20.04,-2.78,1.2,0.65,0.0,125.62,14.64,3.64,10
19.61,-13.41,-4.15,-8.04,11.45,-1.21,1.06,0.59,0.0,154.8,38.54,16.82,10
20.04,-11.68,3.21,-3.56,11.53,0.23,0.95,0.54,0.04,139.05,50.7,2.63,10
18.47,-9.68,12.59,0.39,10.12,0.43,0.77,0.56,0.01,130.99,59.91,3.21,10
9.8,-6.94,14.67,0.62,8.19,0.07,0.8,0.53,0.19,127.8,38.24,11.41,10
1.13,-4.39,17.92,0.23,8.23,0.74,0.84,0.5,0.26,167.26,46.48,4.11,10
-4.23,-2.82,12.63,-1.41,8.62,-1.8,0.8,0.62,0.4,211.78,63.15,-2.92,10
-4.11,0.9,10.98,-3.05,8.98,-3.37,0.72,0.64,0.44,246.62,72.46,-6.26,10
-7.96,2.23,7.57,-2.82,9.76,-3.88,0.78,0.69,0.34,252.42,84.1,-27.68,10
-10.98,3.09,2.43,-1.68,11.17,-4.23,0.92,0.73,0.0,252.42,100.21,-30.42,10
-10.86,3.21,-2.11,0.74,11.88,-3.41,1.38,0.67,0.45,252.42,111.74,6.3,10
-9.8,4.62,-6.94,-1.72,11.92,-4.58,1.26,0.49,0.53,252.42,82.02,47.85,10
-6.47,3.96,-11.61,-3.45,13.02,-2.94,0.85,0.2,0.33,221.55,37.34,29.48,10
-1.45,6.04,-16.27,-4.31,9.06,-1.8,0.75,0.2,0.0,175.78,44.33,-2.28,10
0.27,0.15,-20.08,-2.62,6.43,0.03,0.65,0.23,0.12,159.02,54.79,-14.2,10
5.09,-2.9,-20.08,-2.31,6.47,1.45,0.58,0.25,0.02,141.47,66.43,-11.71,10
9.06,-5.33,-20.08,-2.43,6.62,1.64,0.67,0.39,0.07,128.67,71.56,12.24,10
11.21,-5.25,-18.2,-2.86,6.31,0.11,0.84,0.31,0.08,152.52,84.08,14.52,10
15.61,-7.49,-13.76,-3.8,5.53,0.11,0.48,0.3,0.0,160.76,83.39,1.38,10
20.04,-11.53,-9.72,-4.0,5.29,0.58,0.68,0.88,0.09,131.7,51.82,18.32,10
10.74,-17.45,-3.96,-1.72,13.84,-1.45,1.89,0.73,0.07,139.52,0.93,1.06,10
13.21,-16.63,5.21,-2.19,18.59,-2.78,1.5,0.8,0.21,190.52,37.33,2.86,10
14.86,-13.1,8.0,-4.15,17.69,-4.66,1.18,0.74,0.22,221.08,49.18,26.18,10
12.9,-8.51,15.33,-5.02,10.74,-4.35,0.96,0.68,0.03,199.41,57.93,-2.85,10
0.11,-5.64,12.9,-3.76,11.8,0.5,0.7,0.52,0.04,186.04,75.77,-14.38,10
-3.13,-4.15,5.33,-3.64,6.04,0.94,0.55,0.54,0.01,180.08,76.33,-3.89,10
-2.11,-1.05,2.58,-1.25,5.8,0.27,0.59,0.44,0.22,172.54,57.87,-4.2,10
-7.76,0.07,0.98,-2.11,5.21,-1.52,0.53,0.42,0.27,195.96,50.45,-11.32,10
-7.53,0.39,-6.59,-1.92,5.92,-2.31,0.57,0.34,0.32,212.94,52.95,-13.1,10
-7.68,-2.58,-11.53,-2.94,10.9,-3.88,1.07,0.64,0.04,231.71,62.95,10.98,10
-2.35,-2.23,-17.41,-2.98,12.78,-3.68,1.47,0.52,0.23,244.02,70.43,3.44,10
1.72,-6.04,-20.08,-4.62,15.92,-4.47,1.45,0.61,0.54,216.33,71.31,8.17,10
6.04,-7.06,-20.08,-5.6,13.72,-1.72,1.04,0.47,0.38,171.69,69.91,-4.49,10
14.47,-8.11,-19.26,-4.58,8.27,0.43,0.99,0.35,0.15,113.36,52.77,-6.11,10
11.76,-5.88,-14.16,-3.96,8.23,1.13,1.04,0.35,0.14,107.41,60.79,1.34,10
20.04,-4.98,-4.98,-3.92,7.72,2.47,0.84,0.27,0.1,123.95,78.67,9.06,10
