d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.58,-3.45,0.58,0.58,-3.88,5.37,0.99,0.29,0.07,10.31,-12.1,13.21,0
1.33,-1.68,0.11,0.7,-2.27,4.15,0.95,0.27,0.07,11.26,-9.97,13.11,0
2.07,0.74,0.23,0.27,0.98,0.86,0.93,0.27,0.06,11.44,-8.7,14.46,0
4.7,4.27,-1.17,-2.74,3.8,0.86,0.94,0.29,0.06,7.22,-12.51,18.21,0
5.33,6.66,-1.41,-4.58,7.49,-1.92,0.98,0.29,0.05,4.69,-13.23,19.89,0
12.59,12.08,-1.92,-8.39,11.76,-2.15,0.99,0.24,0.03,3.54,-12.28,16.82,0
10.15,12.94,0.0,-9.76,14.47,-2.23,0.98,0.23,0.04,4.65,-14.46,16.82,0
11.53,13.45,-1.37,-4.07,12.7,0.07,0.98,0.2,0.02,3.54,-18.47,11.52,0
11.84,20.04,-1.05,-6.7,18.71,-2.7,0.98,0.22,0.01,4.2,-17.17,10.01,0
11.02,17.84,0.86,-8.0,20.04,-3.56,0.92,0.22,0.06,3.65,-15.33,5.69,0
10.04,16.94,0.35,-12.35,20.04,-3.88,0.94,0.24,0.09,1.06,-17.33,3.48,0
7.25,14.0,1.84,-13.84,16.55,0.94,0.99,0.23,0.06,-6.38,-10.31,1.69,0
2.15,12.63,2.7,-3.21,12.0,1.45,1.01,0.24,0.0,-10.76,3.27,0.79,0
-1.25,10.9,3.68,0.86,10.78,5.8,1.05,0.27,0.05,-11.86,11.9,-5.53,0
0.66,9.92,3.56,-2.51,11.02,4.39,1.09,0.27,0.12,-9.96,11.49,-15.71,0
4.62,10.94,2.66,-5.13,12.55,2.43,1.05,0.19,0.15,-4.92,3.63,-17.55,0
5.6,9.96,2.23,-4.27,10.82,1.56,0.96,0.17,0.11,5.9,0.99,-9.56,0
4.82,10.04,1.21,-2.35,10.39,0.03,0.86,0.25,0.1,6.94,-6.46,1.76,0
1.92,9.49,0.43,0.27,9.41,-2.43,0.83,0.27,0.19,-10.7,-9.23,5.55,0
-1.45,8.31,0.74,0.62,7.96,-1.68,1.04,0.26,0.17,-11.11,-3.65,3.25,0
-3.05,9.76,0.43,0.98,9.92,-2.35,1.21,0.29,0.19,5.74,6.58,-4.58,0
-3.72,10.43,1.8,0.5,11.72,-2.74,1.08,0.31,0.13,5.93,4.85,0.38,0
-3.68,9.88,3.09,-1.25,11.68,-2.03,1.03,0.32,0.13,-1.39,-1.02,1.72,0
0.82,11.68,1.13,-1.72,9.96,-1.64,0.97,0.34,0.15,-3.63,2.69,-5.74,0
0.5,10.55,0.27,-2.0,9.41,-1.49,0.96,0.3,0.16,-3.49,9.43,-6.46,0
1.92,8.7,0.0,-1.41,8.59,-1.45,0.93,0.27,0.16,0.72,8.89,-1.82,0
1.49,8.31,0.54,-1.92,8.15,0.62,0.92,0.28,0.18,6.39,3.69,1.81,0
0.78,9.02,1.56,-1.49,9.29,0.35,0.94,0.29,0.19,13.68,1.45,3.17,0
0.31,9.45,1.76,-1.88,9.88,0.0,0.96,0.31,0.17,17.59,0.85,0.9,0
0.74,9.8,2.27,-2.35,10.15,0.7,0.96,0.34,0.15,16.02,2.47,-5.19,0
0.94,9.96,3.09,-2.0,10.31,0.98,1.08,0.33,0.11,11.2,0.18,-8.01,0
0.94,10.31,2.23,-1.88,11.1,0.74,1.23,0.29,0.06,16.52,0.1,-6.08,0
1.09,11.29,1.76,-1.49,11.68,0.15,1.0,0.27,0.01,11.1,1.88,-2.08,0
0.58,9.49,2.19,-2.31,10.04,0.27,0.9,0.3,0.01,-4.63,-4.38,0.97,0
1.52,8.74,1.21,-2.03,8.78,0.31,0.88,0.26,0.04,-11.72,-4.62,-8.31,0
1.72,8.94,1.17,-1.76,8.47,0.47,0.97,0.19,0.07,-3.86,1.22,-7.83,0
2.27,8.51,1.09,-1.52,8.47,0.9,0.96,0.2,0.02,9.34,4.66,1.34,0
