d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
11.14,2.54,10.27,0.35,2.74,3.53,1.06,0.33,0.01,12.13,-6.45,15.2,8
15.92,-1.64,11.17,0.9,-1.92,0.82,0.85,0.21,0.06,10.99,-9.48,19.19,8
16.23,-3.29,15.65,3.8,-4.31,0.19,0.79,0.21,0.02,6.47,-9.62,20.6,8
16.27,-2.07,19.65,2.31,-5.49,-2.66,0.93,0.21,0.07,-6.68,-4.53,15.22,8
17.02,1.33,19.69,0.03,-3.41,-3.09,1.35,0.19,0.08,-7.89,2.07,-13.63,8
17.02,0.98,17.25,0.15,-5.09,1.05,1.2,0.24,0.06,9.13,9.2,-20.61,8
18.16,1.88,14.39,1.09,-6.62,2.74,0.87,0.23,0.07,14.99,6.48,-26.32,8
11.29,6.74,6.15,0.47,-2.74,8.15,0.79,0.28,0.13,5.3,1.34,-26.56,8
7.57,6.23,1.17,-1.64,-2.15,7.29,0.84,0.29,0.1,-5.38,2.05,-27.04,8
2.07,2.51,1.45,5.13,2.07,8.59,0.91,0.36,0.05,-11.37,3.31,-24.75,8
-1.25,0.39,1.17,-2.9,9.45,10.08,0.93,0.4,0.01,-13.5,-2.47,-8.23,8
-1.92,0.78,0.03,-3.92,5.92,12.31,0.96,0.39,0.01,-12.19,-12.95,11.66,8
-2.66,-2.54,-4.31,1.49,8.66,18.04,1.13,0.39,0.12,-6.5,-22.06,20.6,8
-4.9,-4.15,-4.82,-13.8,12.86,17.84,1.24,0.34,0.21,4.87,-10.41,18.41,8
-4.98,-3.25,-4.58,-15.1,11.29,19.53,0.98,0.36,0.15,19.6,3.63,15.18,8
-1.45,-3.41,-4.07,-11.29,10.15,19.92,0.83,0.38,0.04,17.61,12.47,0.63,8
5.13,0.11,-1.88,-5.17,10.35,18.35,0.8,0.41,0.03,0.13,19.76,-7.81,8
7.25,2.31,0.82,-5.45,8.47,13.88,0.91,0.36,0.06,-2.64,18.99,-7.07,8
9.96,0.35,1.6,-3.29,7.06,8.98,1.11,0.31,0.05,9.84,9.43,7.24,8
11.21,2.03,5.72,-2.66,3.68,4.43,1.15,0.31,0.0,29.26,0.05,19.26,8
12.31,-5.25,5.84,0.54,0.11,3.13,0.89,0.26,0.04,24.43,-8.87,26.82,8
12.0,-1.76,9.72,0.35,-3.64,1.37,0.83,0.24,0.09,19.74,-16.63,24.63,8
15.92,0.86,11.88,0.86,-4.31,0.15,0.92,0.23,0.06,8.75,-8.18,16.0,8
18.43,2.0,16.23,0.07,-8.78,-4.11,1.13,0.23,0.06,1.46,-7.39,6.7,8
20.04,0.23,17.53,1.25,-9.17,-5.29,1.19,0.22,0.1,3.56,0.84,-3.4,8
20.04,0.7,15.96,0.82,-7.92,0.7,0.99,0.25,0.12,1.39,6.24,-7.92,8
18.9,1.72,12.67,1.17,-8.11,0.27,0.83,0.19,0.17,-10.97,5.15,-19.3,8
20.04,6.23,3.25,0.19,-8.11,0.58,0.89,0.23,0.13,-27.81,-1.74,-19.64,8
5.45,4.62,1.13,0.35,-5.92,2.11,0.97,0.24,0.03,-35.7,0.85,-19.52,8
1.49,0.98,1.05,-2.35,-2.03,9.06,0.97,0.32,0.05,-31.35,-2.8,-13.52,8
0.43,0.62,2.51,0.66,2.03,10.55,1.01,0.41,0.1,-26.74,-11.82,-8.66,8
-2.0,0.07,1.84,-6.15,5.68,8.7,1.0,0.34,0.08,-14.58,-14.09,-2.4,8
-2.78,0.66,1.01,0.43,7.57,12.63,0.99,0.33,0.09,-2.77,-11.46,8.14,8
-2.39,0.78,-1.8,-4.55,13.57,18.98,1.1,0.35,0.1,1.32,-10.5,17.21,8
-4.82,-4.19,-4.11,-5.88,13.76,20.04,1.12,0.35,0.17,12.75,2.34,15.85,8
-4.31,-3.21,-4.94,-13.88,8.35,18.71,0.91,0.33,0.12,16.88,14.08,6.05,8
0.39,-2.54,-4.47,-5.68,7.49,19.29,0.84,0.38,0.13,14.94,15.11,-1.1,8
3.53,1.52,-1.96,-4.27,4.66,14.27,0.92,0.31,0.14,20.3,15.9,-7.6,8
10.27,5.68,1.76,-7.84,3.41,8.35,1.02,0.3,0.07,28.2,14.82,-5.12,8
12.31,5.13,7.1,-9.37,0.31,1.84,1.01,0.28,0.05,33.13,10.64,6.03,8
10.66,4.27,11.02,-2.39,-1.56,4.47,0.84,0.29,0.06,27.46,5.82,16.83,8
11.41,1.84,11.29,-1.72,-2.98,3.09,0.8,0.25,0.1,24.71,-3.97,27.51,8
14.74,4.7,13.65,1.96,-3.17,2.35,1.14,0.22,0.19,11.36,-12.65,31.46,8
13.72,7.25,17.14,2.11,-6.08,0.35,1.4,0.17,0.21,-2.5,-13.69,8.06,8
14.82,6.98,16.47,0.0,-6.51,2.35,1.07,0.21,0.17,-9.11,-2.45,4.12,8
16.98,7.37,19.22,1.01,-5.21,0.7,0.85,0.23,0.08,-16.11,3.88,-6.57,8
10.19,6.59,11.72,1.8,-4.27,2.51,0.8,0.21,0.05,-21.99,5.88,-18.27,8
9.29,6.74,12.08,1.33,0.31,7.06,0.86,0.22,0.09,-29.18,0.76,-24.55,8
5.88,4.15,6.47,-3.76,2.11,8.19,0.93,0.24,0.02,-32.89,-2.13,-19.09,8
3.68,3.64,3.76,-2.03,6.47,12.47,0.92,0.35,0.04,-28.24,-10.35,-4.75,8
1.56,2.03,2.11,-5.29,9.45,13.88,1.04,0.31,0.1,-20.98,-15.04,1.12,8
0.39,0.11,0.43,-2.7,8.15,14.31,1.17,0.32,0.1,-11.74,-20.32,10.03,8
-1.64,-2.27,-3.64,-1.52,10.12,16.0,1.21,0.28,0.19,0.19,-13.46,18.2,8
-3.33,-3.05,-4.9,-7.6,16.43,18.94,1.05,0.34,0.23,17.94,5.4,6.51,8
-2.31,-2.23,-4.43,-10.94,12.27,19.88,0.9,0.34,0.18,23.55,17.83,-10.59,8
4.23,1.01,-3.41,-9.45,9.25,18.39,0.88,0.3,0.11,20.78,19.82,-19.46,8
6.51,1.37,-1.8,-7.88,9.41,14.63,0.92,0.3,0.03,19.26,13.63,-13.98,8
4.86,0.03,1.05,-6.08,6.78,10.19,1.02,0.24,0.0,15.91,2.6,0.49,8
4.78,0.15,4.11,-4.51,5.21,5.49,0.96,0.23,0.07,17.73,0.6,8.89,8
11.29,3.88,8.43,-2.19,3.33,2.98,0.84,0.26,0.1,12.84,-6.41,15.96,8
11.33,2.74,12.31,0.07,-1.01,0.15,0.84,0.24,0.04,6.07,-15.2,17.74,8
14.82,4.07,16.08,1.8,-4.9,-2.78,1.1,0.21,0.04,7.44,-14.23,13.31,8
14.51,8.66,17.73,1.09,-4.0,-2.86,1.37,0.25,0.06,8.88,-1.04,-4.92,8
17.84,5.68,20.04,0.66,-3.41,0.66,1.17,0.25,0.12,5.52,7.82,-10.01,8
17.84,7.49,15.84,0.74,-6.04,0.78,0.94,0.21,0.05,0.54,10.18,-9.04,8
8.08,6.59,12.51,2.15,-4.0,3.05,0.82,0.2,0.04,-5.95,7.67,-14.0,8
6.11,6.35,7.02,1.01,0.86,4.51,0.82,0.25,0.06,-14.76,2.14,-13.38,8
6.74,4.43,4.62,-2.0,2.51,9.37,0.9,0.25,0.02,-21.41,0.88,-10.14,8
3.72,3.8,2.9,-5.53,7.84,11.76,0.88,0.32,0.02,-21.85,0.31,-4.67,8
1.17,2.15,0.35,-3.02,7.92,13.76,0.95,0.34,0.01,-22.76,-14.13,3.12,8
-2.82,-1.25,-2.35,-3.45,8.04,14.23,1.1,0.31,0.1,-21.64,-21.53,11.85,8
-4.07,-3.09,-4.98,-7.1,14.67,16.86,1.25,0.36,0.19,-11.73,-19.56,19.86,8
-2.19,-2.62,-5.25,-7.53,16.0,19.49,1.2,0.37,0.24,2.62,-3.94,12.94,8
3.92,0.47,-2.9,-8.9,12.59,19.22,0.93,0.33,0.14,11.94,13.27,-2.66,8
4.11,-1.13,0.86,-7.84,11.68,19.49,0.78,0.31,0.09,7.71,22.35,-9.99,8
0.74,-1.76,1.25,-4.35,10.04,16.04,0.83,0.3,0.07,0.23,22.58,-9.88,8
5.8,1.64,3.29,-3.76,8.78,10.86,0.97,0.28,0.07,0.31,17.82,-7.5,8
5.68,4.19,6.27,-3.41,6.51,6.43,1.1,0.25,0.02,7.56,6.3,4.7,8
10.43,5.92,7.29,-3.41,4.19,3.02,1.06,0.28,0.06,18.22,-1.2,11.08,8
