d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.6,7.21,-2.54,0.54,10.19,-3.6,1.18,0.27,0.42,-130.4,-29.2,-14.74,7
4.31,7.21,-2.35,0.07,10.47,-3.29,1.13,0.29,0.39,-112.29,-13.57,-11.74,7
5.53,6.74,0.19,-5.45,13.61,-3.37,1.11,0.31,0.28,-92.67,-2.94,-6.41,7
6.47,7.92,1.8,-4.86,14.67,-4.51,1.02,0.3,0.2,-93.66,-4.15,-1.85,7
4.86,8.19,1.88,-5.84,12.78,-3.33,0.94,0.26,0.2,-105.68,-3.33,1.95,7
3.33,10.31,0.86,-7.64,13.8,-3.64,0.88,0.23,0.15,-107.23,5.0,2.48,7
5.25,11.1,-1.45,-8.78,14.0,-1.76,0.89,0.26,0.16,-108.01,9.27,-3.01,7
7.1,8.62,0.0,-11.61,13.02,-2.74,0.91,0.31,0.18,-117.45,5.9,-12.71,7
5.96,9.61,-1.72,-9.68,12.16,-3.84,0.95,0.3,0.19,-127.12,-1.53,-17.85,7
5.64,8.98,0.98,-12.16,9.72,-3.92,1.05,0.29,0.25,-126.62,0.97,-19.14,7
3.25,8.86,-2.47,-15.41,6.62,-5.57,1.03,0.33,0.23,-121.6,7.19,-18.49,7
3.33,9.68,-3.25,-15.06,5.37,-6.04,1.03,0.34,0.16,-121.44,4.96,-19.46,7
3.17,9.72,-3.21,-12.12,4.47,-5.68,0.99,0.38,0.12,-133.88,-3.37,-23.14,7
3.53,10.35,-2.0,-9.1,2.31,-4.7,0.98,0.42,0.04,-155.69,-13.68,-22.04,7
1.96,10.15,0.47,-7.1,0.82,-2.9,1.0,0.58,0.03,-176.1,-22.39,-22.86,7
0.62,10.31,1.09,-6.35,-2.94,-2.54,0.83,0.43,0.06,-191.27,-28.27,-28.75,7
0.9,10.43,2.15,-8.9,-4.07,-3.33,0.77,0.51,0.06,-207.33,-42.14,-32.71,7
4.47,10.15,0.07,-5.68,-4.62,-3.96,0.85,0.56,0.02,-208.99,-52.03,-35.87,7
2.94,11.14,0.78,-3.68,-4.35,-2.98,0.94,0.59,0.06,-209.96,-53.39,-36.33,7
1.88,11.06,-1.17,0.58,-4.82,0.74,0.92,0.58,0.04,-207.15,-55.56,-30.55,7
1.72,10.27,-1.45,2.47,-5.76,0.35,0.8,0.59,0.03,-205.83,-56.56,-31.59,7
3.25,9.68,-2.23,0.03,-5.33,3.72,0.73,0.56,0.02,-209.31,-67.98,-38.88,7
1.29,9.13,-3.02,0.11,-7.45,2.07,0.87,0.54,0.06,-208.32,-80.06,-32.76,7
3.09,9.13,-4.07,-4.86,-5.49,1.17,0.98,0.51,0.07,-198.72,-83.28,-16.62,7
4.15,8.74,-3.64,-7.13,-8.27,1.13,0.88,0.57,0.06,-184.88,-86.91,-16.57,7
5.25,7.21,-4.15,-3.37,-10.78,2.03,0.66,0.52,0.14,-172.28,-96.23,-10.27,7
5.25,7.29,-4.78,-1.84,-8.15,4.62,1.02,0.36,0.28,-168.19,-91.17,8.25,7
4.23,9.33,-2.54,-2.31,-10.0,6.86,1.51,0.38,0.23,-136.33,-62.77,16.61,7
4.23,11.68,1.6,-3.41,-9.53,6.31,1.13,0.56,0.14,-117.71,-51.54,7.64,7
8.82,9.33,-3.96,-3.37,-8.62,6.23,1.04,0.48,0.14,-111.45,-47.71,4.31,7
10.43,9.53,-3.72,-1.37,-9.13,6.08,0.89,0.41,0.16,-105.5,-43.0,1.14,7
6.59,8.43,-2.86,-1.8,-8.55,5.13,1.02,0.36,0.13,-90.49,-45.25,11.62,7
4.51,8.39,-1.6,-2.94,-7.41,5.92,0.93,0.33,0.05,-71.08,-48.43,18.75,7
1.05,7.68,0.11,0.03,-7.25,6.0,0.81,0.33,0.0,-63.82,-48.13,22.47,7
0.94,7.92,0.31,2.11,-7.45,4.15,0.84,0.31,0.0,-71.89,-43.5,25.41,7
0.31,8.08,-2.23,2.07,-7.41,4.55,0.94,0.32,0.02,-81.82,-41.07,27.98,7
9.53,9.21,-3.49,1.64,-7.45,3.02,0.92,0.28,0.02,-80.6,-39.3,23.91,7
9.49,9.64,-2.07,3.6,-8.11,2.31,0.84,0.33,0.04,-77.42,-40.02,21.31,7
6.86,9.37,0.19,2.66,-6.43,0.7,0.84,0.34,0.04,-67.8,-39.97,19.82,7
3.37,8.08,-1.01,4.78,-5.17,0.74,0.92,0.3,0.03,-57.42,-32.3,11.54,7
2.15,7.41,-1.64,5.17,-2.98,0.74,0.89,0.37,0.04,-57.08,-27.71,4.95,7
2.31,8.66,-1.8,3.6,0.54,0.98,0.87,0.34,0.0,-65.07,-31.38,5.59,7
2.62,8.19,-2.98,2.62,2.15,-2.43,1.01,0.29,0.16,-65.35,-32.98,7.18,7
3.13,10.19,-2.98,0.78,7.25,-4.82,1.49,0.23,0.45,-70.66,-38.36,2.5,7
2.11,13.18,-3.29,-4.0,14.39,-5.64,1.58,0.35,0.46,-43.65,-69.61,18.97,7
2.43,16.55,-4.19,-8.62,20.04,-5.25,1.26,0.23,0.41,-12.78,-80.71,48.61,7
2.51,12.27,-3.53,-18.59,20.04,-8.35,0.87,0.19,0.2,1.46,-94.43,61.37,7
1.41,8.39,-1.68,-9.45,20.04,-8.59,0.64,0.07,0.27,-22.49,-92.08,46.44,7
0.62,8.31,0.11,-16.59,20.04,-6.0,0.59,0.02,0.36,-49.79,-70.88,33.98,7
0.74,9.06,0.82,-14.0,20.04,1.09,0.88,0.07,0.66,-69.62,-42.56,19.58,7
0.43,9.57,-2.39,-10.74,17.61,0.07,0.88,0.12,0.86,-52.21,-28.6,9.99,7
0.19,10.08,-3.29,-4.78,17.73,5.41,0.86,0.02,0.85,-21.64,-23.59,15.27,7
0.27,9.84,-2.23,-9.8,9.8,0.15,0.84,0.02,0.86,8.43,-9.17,15.95,7
0.23,10.39,-1.13,-8.39,9.17,-2.19,0.83,0.02,0.72,14.86,10.17,7.92,7
0.98,9.88,0.19,-6.78,10.51,-1.52,0.84,0.0,0.58,8.91,27.67,-4.79,7
0.0,9.53,0.74,0.54,11.8,-3.49,0.87,0.03,0.54,0.1,28.9,-11.78,7
0.62,9.17,0.58,0.35,9.41,-5.09,0.94,0.03,0.59,-3.29,28.56,-11.89,7
0.9,10.39,0.9,0.11,7.92,-6.0,0.94,0.06,0.62,4.54,35.07,-9.56,7
0.19,10.35,-1.49,1.01,8.0,-5.13,0.88,0.07,0.6,12.13,38.4,-10.17,7
0.35,10.27,-1.37,0.11,9.88,-4.98,0.83,0.09,0.58,19.48,36.68,-16.94,7
0.58,10.31,-1.29,0.54,10.0,-3.29,0.86,0.12,0.55,25.1,39.05,-25.91,7
0.39,10.04,-1.29,-2.0,9.84,-2.9,0.91,0.13,0.54,29.92,44.43,-32.53,7
0.58,9.68,0.74,-3.09,10.51,-1.56,0.9,0.15,0.52,36.78,48.43,-33.31,7
0.54,9.61,-1.49,-5.45,10.78,-1.56,0.86,0.18,0.52,40.69,50.44,-34.25,7
1.33,9.64,-1.68,-5.92,12.27,-1.96,0.87,0.18,0.51,43.44,51.08,-35.62,7
1.17,10.23,-2.27,-2.62,10.9,-2.23,1.04,0.2,0.46,56.41,51.38,-25.3,7
0.11,10.7,-3.29,-1.6,9.25,-1.49,1.24,0.26,0.41,83.03,58.55,0.17,7
1.8,9.02,-3.25,0.74,8.04,-1.68,1.26,0.36,0.21,109.14,58.85,26.66,7
4.51,10.86,-3.49,-2.27,7.1,-1.6,1.2,0.33,0.06,117.98,35.16,34.49,7
1.29,11.14,-1.6,-3.17,5.88,-1.33,0.98,0.31,0.07,113.15,13.85,20.27,7
1.01,10.19,0.31,-5.33,5.41,0.86,1.02,0.26,0.09,109.13,10.7,8.69,7
4.0,10.94,0.78,-5.25,6.47,-1.68,1.11,0.19,0.03,110.42,22.9,-3.09,7
5.33,11.14,0.19,-4.23,6.9,-1.01,0.97,0.23,0.08,114.92,24.43,-8.71,7
5.37,9.72,0.07,-6.78,8.31,0.94,0.92,0.23,0.09,129.53,18.18,-6.16,7
4.0,8.74,0.39,-7.72,6.0,0.11,0.86,0.21,0.06,139.88,15.62,-6.27,7
1.68,8.47,0.39,-5.33,7.29,0.27,0.82,0.22,0.04,139.96,21.56,-9.16,7
1.41,8.86,-1.05,-3.68,7.8,0.86,0.89,0.27,0.03,133.13,26.3,-9.75,7
2.66,9.45,-1.84,-1.45,9.1,-1.56,1.07,0.2,0.06,130.07,26.57,-12.6,7
3.76,9.25,-2.54,-1.84,10.59,-3.02,1.19,0.22,0.09,143.07,25.4,-11.98,7
3.64,9.92,-2.9,-3.17,11.8,-4.31,1.06,0.2,0.08,154.52,21.49,-4.27,7
7.76,10.39,-2.58,-4.31,11.1,-5.02,0.88,0.18,0.01,153.81,22.69,-9.01,7
9.06,9.21,-3.68,-5.13,10.12,-4.31,0.82,0.16,0.02,147.86,25.52,-17.73,7
9.64,9.96,-3.72,-3.6,10.0,-2.66,0.97,0.17,0.06,141.39,36.32,-26.27,7
11.72,12.94,-7.64,-1.45,9.64,-1.6,1.12,0.16,0.08,143.58,46.82,-14.69,7
14.39,15.1,-1.8,-1.56,9.72,0.66,1.12,0.11,0.06,154.54,46.24,8.14,7
14.27,11.25,-2.58,0.11,9.64,-1.01,1.01,0.12,0.04,151.66,32.52,19.83,7
18.82,7.37,-6.66,-1.45,9.17,-1.8,0.98,0.18,0.05,136.72,18.26,8.92,7
19.8,7.68,-6.78,-1.45,10.31,-2.51,1.17,0.2,0.18,132.66,14.53,-8.85,7
20.04,9.49,-3.09,-2.54,11.72,-1.76,1.04,0.22,0.08,156.1,25.08,-7.74,7
20.04,11.21,-3.49,-3.6,9.72,-1.45,0.83,0.31,0.05,162.84,28.69,-2.53,7
20.04,14.74,-2.39,-3.72,10.23,0.19,0.87,0.43,0.17,145.45,24.34,-6.96,7
7.8,8.39,-3.09,-1.8,9.49,0.86,1.03,0.3,0.24,134.71,21.11,-13.49,7
2.51,5.64,0.74,-1.05,8.9,-2.7,1.12,0.33,0.21,142.68,17.1,-18.09,7
