d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-6.47,-10.51,-3.17,4.07,-8.23,2.43,1.37,0.51,0.26,12.39,-7.97,31.37,6
-2.39,-10.78,-7.13,7.49,-8.04,-1.09,1.4,0.46,0.3,7.73,0.32,14.37,6
0.27,-13.25,-7.37,10.94,-8.98,-2.47,1.06,0.37,0.13,2.07,1.47,-3.82,6
4.58,-14.16,-7.33,7.92,-8.9,-5.13,0.84,0.32,0.08,-9.38,10.2,-23.48,6
9.8,-11.8,-1.56,4.15,-8.23,-6.43,0.73,0.31,0.06,-8.05,7.57,-24.68,6
8.23,-8.86,4.15,-2.82,-8.11,-13.45,0.72,0.25,0.04,-6.46,4.86,-15.58,6
2.58,-7.8,3.76,-16.94,-10.94,-10.63,0.69,0.22,0.02,-7.89,-7.17,-5.13,6
4.27,-6.82,3.68,-20.08,-10.15,-3.41,0.74,0.37,0.04,-8.11,-18.25,7.62,6
6.27,-7.45,0.39,-15.69,-9.13,1.84,1.09,0.55,0.02,-10.73,-23.16,17.79,6
2.0,-6.39,-4.23,-6.59,-9.21,2.62,1.52,0.58,0.16,-20.49,-14.91,5.94,6
1.13,-9.37,-8.23,-12.74,-10.12,1.41,1.14,0.44,0.08,0.0,-17.61,7.47,6
-4.31,-13.06,-10.51,-12.39,-9.84,-9.68,1.01,0.34,0.05,20.41,11.31,-9.1,6
-6.35,-11.68,-7.25,5.49,-11.65,-13.88,0.8,0.41,0.04,13.04,21.21,-21.42,6
-6.23,-11.41,-4.78,11.76,-12.55,-9.92,0.73,0.29,0.03,-3.79,6.42,-8.59,6
-7.29,-10.31,-2.82,12.0,-10.04,-3.68,0.76,0.17,0.06,5.26,2.76,3.64,6
-2.74,-9.06,1.33,9.8,-9.57,0.82,0.67,0.28,0.01,20.85,6.06,10.21,6
-2.07,-9.1,1.88,4.66,-9.29,0.27,0.72,0.45,0.1,19.13,-2.15,12.95,6
-4.19,-9.61,-1.88,4.78,-8.78,0.35,1.24,0.56,0.21,-1.75,-12.14,17.45,6
-4.9,-9.53,-5.41,9.57,-9.29,-1.68,1.53,0.47,0.23,-8.08,-11.28,2.4,6
0.07,-11.33,-7.49,10.23,-9.1,-6.11,1.17,0.43,0.19,-4.84,-2.62,3.15,6
2.54,-11.49,-5.68,4.82,-8.82,-5.02,0.91,0.37,0.09,-14.41,6.15,-8.91,6
7.1,-10.94,-6.0,1.64,-7.21,-3.13,0.77,0.37,0.07,-18.02,6.01,-16.7,6
11.33,-11.1,-2.23,-1.76,-7.84,-8.9,0.75,0.28,0.06,-20.95,2.49,-15.01,6
9.88,-9.33,3.56,-10.59,-9.21,-6.27,0.71,0.23,0.03,-20.6,2.27,-12.59,6
