d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
6.82,-1.45,9.96,-3.72,0.78,13.37,0.98,0.3,0.04,-1.4,0.08,-16.69,9
7.13,-1.76,9.68,-6.19,0.03,13.41,1.25,0.29,0.09,-9.9,-6.36,-15.28,9
7.29,0.82,8.74,-7.21,0.98,13.53,1.23,0.25,0.12,-11.34,-2.89,-5.3,9
7.6,0.23,8.51,-7.45,-1.49,11.1,1.0,0.28,0.14,-1.02,4.92,4.92,9
7.17,0.54,9.1,-8.59,-1.33,10.66,0.92,0.31,0.11,9.4,10.55,4.37,9
6.0,-1.45,7.6,-7.25,-2.86,8.43,0.91,0.22,0.05,11.69,16.02,-1.21,9
4.55,-1.84,8.23,-6.9,-4.19,7.96,0.95,0.24,0.04,6.82,17.9,0.07,9
5.09,-3.29,9.45,-6.04,-5.64,7.57,0.99,0.28,0.04,-3.44,12.27,0.84,9
4.47,-3.92,10.78,-6.0,-6.62,8.15,1.0,0.31,0.05,-22.55,3.08,-6.59,9
3.6,-3.53,10.7,-5.37,-7.21,7.64,0.98,0.28,0.06,-32.24,-1.04,-4.52,9
3.09,-4.51,10.04,-5.49,-8.31,6.39,1.0,0.32,0.08,-32.32,-3.41,9.37,9
2.43,-3.84,9.49,-4.55,-9.21,4.51,1.06,0.33,0.14,-26.37,-1.92,7.29,9
1.68,-3.41,8.51,-4.43,-9.45,3.72,0.99,0.36,0.12,-25.68,5.6,-3.88,9
0.23,-3.92,6.31,-3.64,-8.94,2.11,0.94,0.38,0.03,-27.63,12.8,-14.94,9
0.31,-3.92,4.31,-1.68,-9.29,1.29,0.88,0.33,0.04,-32.21,13.69,-16.33,9
0.94,-4.82,4.78,-2.98,-7.53,2.15,0.91,0.34,0.03,-32.15,9.38,-13.07,9
0.15,-4.86,3.17,-3.56,-6.98,2.07,0.9,0.37,0.07,-31.82,10.45,-14.23,9
0.43,-4.55,2.82,-3.25,-6.62,1.84,0.88,0.45,0.08,-24.24,13.61,-15.86,9
0.5,-5.09,2.31,-4.23,-5.17,2.9,0.86,0.46,0.12,-18.51,11.21,-19.8,9
1.33,-5.49,2.11,-4.7,-4.74,1.96,0.87,0.47,0.11,-15.91,3.17,-21.67,9
1.68,-5.84,1.21,-2.86,-4.23,2.62,0.91,0.46,0.09,-15.43,-4.03,-18.36,9
2.47,-5.57,0.58,-2.86,-5.33,3.25,0.92,0.49,0.09,-5.86,-10.56,-13.58,9
2.15,-5.88,0.03,-2.03,-4.66,3.05,0.91,0.53,0.13,0.42,-18.77,-5.96,9
3.33,-6.27,0.07,0.98,-2.54,6.08,0.95,0.5,0.18,0.06,-26.56,0.32,9
4.11,-5.92,0.07,0.07,-4.94,7.33,1.09,0.41,0.1,8.02,-34.42,18.83,9
5.76,-5.06,0.94,0.47,-3.17,8.98,1.38,0.35,0.01,30.97,-28.91,40.34,9
7.25,-5.21,2.15,2.35,-2.66,11.8,1.02,0.32,0.03,20.04,-22.56,16.86,9
