d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.19,-4.82,2.82,-3.76,-4.31,4.78,0.92,0.32,0.06,60.43,8.2,9.0,5
0.0,-4.98,2.07,-1.49,-5.17,3.76,0.97,0.34,0.1,76.26,22.02,2.2,5
0.31,-5.13,1.05,0.62,-4.86,2.98,0.99,0.37,0.06,88.38,26.71,2.66,5
0.82,-3.13,0.58,0.7,-2.43,2.78,1.0,0.36,0.02,90.15,27.79,-2.26,5
1.25,0.35,0.35,-1.84,0.11,2.47,0.99,0.33,0.03,90.46,27.39,0.9,5
7.25,0.98,-1.41,-1.56,1.64,1.92,1.01,0.35,0.06,95.04,24.73,12.92,5
6.0,2.74,0.98,-5.8,5.68,1.45,1.05,0.3,0.04,94.75,17.06,24.58,5
14.39,6.82,0.9,-3.92,7.41,0.74,1.11,0.28,0.03,99.27,7.98,32.66,5
14.35,4.94,-1.37,-12.67,12.04,0.62,1.1,0.27,0.0,112.18,8.7,40.01,5
9.68,7.68,-2.82,-10.23,16.43,-1.37,0.99,0.26,0.03,122.02,7.01,40.79,5
9.13,14.67,-2.66,-9.1,12.74,-1.21,0.96,0.27,0.01,127.49,12.58,38.13,5
8.51,14.9,-1.96,-8.27,19.61,-2.07,0.93,0.23,0.04,134.19,20.04,28.69,5
10.74,17.53,-2.19,-7.33,17.61,-3.64,0.89,0.25,0.02,148.89,25.12,17.92,5
16.67,17.37,-4.39,-7.21,16.23,-4.31,0.9,0.25,0.02,157.98,28.27,16.06,5
9.21,13.14,-5.21,-8.04,14.98,-3.49,0.9,0.25,0.0,165.38,34.02,13.37,5
11.25,12.04,4.47,-7.92,12.51,-1.8,0.9,0.26,0.04,171.02,36.99,7.6,5
4.9,9.88,-3.09,-6.27,11.29,0.47,0.91,0.26,0.09,173.85,36.48,0.85,5
5.72,10.63,-4.07,-3.09,10.98,0.35,0.94,0.25,0.07,176.28,39.19,-8.21,5
3.88,11.88,-3.17,-1.05,10.39,0.43,0.91,0.27,0.02,175.54,49.27,-12.77,5
2.39,10.94,-2.58,-1.17,9.53,0.54,0.88,0.33,0.03,176.13,57.13,-12.6,5
1.09,10.08,-1.72,-1.49,9.8,0.86,0.97,0.37,0.01,180.81,62.52,-14.78,5
2.11,11.06,-1.29,-1.88,10.08,-1.52,1.06,0.34,0.09,187.3,71.07,-18.47,5
2.43,10.39,-2.11,-2.58,9.72,-1.37,0.94,0.44,0.1,185.31,73.93,-7.44,5
3.76,10.51,-3.09,-2.03,9.33,-1.76,1.07,0.52,0.04,191.94,57.91,19.93,5
4.7,12.47,-3.13,-1.72,11.14,-2.51,1.21,0.51,0.1,198.55,55.35,27.89,5
5.29,12.86,-3.29,-1.09,12.04,-3.29,1.18,0.56,0.02,206.65,54.94,30.69,5
5.13,12.35,-4.27,-1.68,11.02,-3.29,1.01,0.51,0.0,208.92,56.82,28.5,5
3.6,9.13,-4.86,-2.27,8.94,-2.35,0.84,0.47,0.01,202.0,51.91,32.91,5
1.6,8.82,-4.74,-2.07,8.08,-1.41,0.85,0.49,0.02,196.98,40.52,36.71,5
0.9,10.35,-4.27,-1.29,8.98,-1.13,0.89,0.51,0.03,203.24,32.94,39.27,5
1.29,11.53,-4.39,0.66,9.96,-1.52,0.91,0.52,0.01,211.77,31.25,39.58,5
1.17,12.59,-4.86,0.54,11.45,-2.9,0.93,0.55,0.02,219.61,37.97,35.08,5
0.94,12.35,-5.02,-1.21,12.16,-3.68,0.86,0.6,0.01,225.88,44.49,23.89,5
0.66,11.65,-4.78,-1.45,12.47,-4.23,0.85,0.58,0.0,223.55,42.92,13.59,5
0.19,11.57,-4.43,-1.09,11.21,-4.43,0.88,0.55,0.01,224.0,40.66,8.8,5
0.58,11.45,-4.07,0.58,10.63,-4.04,0.88,0.53,0.04,229.99,42.01,9.12,5
0.74,12.12,-3.68,0.31,12.27,-4.58,1.13,0.51,0.06,235.19,34.41,17.21,5
1.21,12.27,-4.0,0.07,12.86,-6.7,1.25,0.38,0.26,238.0,39.43,13.99,5
0.58,11.49,-4.82,0.58,11.02,-7.45,0.96,0.39,0.24,227.91,52.1,23.2,5
0.5,9.8,-5.21,-1.52,9.45,-6.43,0.83,0.4,0.17,209.51,51.88,29.64,5
0.03,9.41,-5.45,-1.21,9.13,-6.35,0.85,0.38,0.14,207.04,48.72,15.03,5
0.11,9.8,-4.94,-2.54,9.06,-6.62,0.94,0.42,0.16,223.1,51.09,8.97,5
1.88,10.27,-5.84,-3.8,8.78,-6.08,0.94,0.48,0.19,230.87,53.6,13.3,5
2.19,10.08,-6.23,-7.45,4.39,-5.57,0.87,0.51,0.23,222.28,50.56,16.47,5
4.39,9.88,-6.27,-7.41,8.7,-4.94,0.87,0.48,0.25,213.0,43.34,12.66,5
3.41,10.04,-6.08,-4.9,9.57,-3.53,0.88,0.46,0.29,204.68,39.57,8.71,5
2.54,10.0,-5.25,-7.25,8.47,-3.68,0.94,0.45,0.27,194.13,37.66,9.44,5
3.02,10.7,-4.47,-6.9,10.15,-3.37,0.95,0.42,0.25,177.14,34.67,7.48,5
