d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
1.41,-1.96,-6.78,0.35,-3.96,-2.54,0.88,0.37,0.04,0.17,15.77,-7.01,1
-2.03,-1.96,-8.19,4.11,-4.82,-3.41,1.01,0.35,0.0,0.22,18.5,-8.6,1
-11.65,-5.45,-13.14,11.96,-9.64,-8.43,1.0,0.36,0.03,0.76,11.34,-5.98,1
-11.8,-6.62,-14.0,13.88,-11.76,-9.33,0.9,0.39,0.04,4.91,4.47,2.91,1
-11.53,-7.64,-13.53,12.12,-10.9,-5.06,0.85,0.37,0.02,11.81,0.34,6.72,1
-9.33,-5.13,-12.63,8.9,-8.15,-3.21,0.86,0.34,0.02,12.13,-4.2,0.87,1
-6.86,-3.17,-10.27,4.31,-6.08,-3.17,0.91,0.34,0.03,5.81,-3.58,-3.23,1
0.27,0.58,-8.9,1.8,-3.88,-5.17,0.98,0.35,0.04,-3.32,4.98,-6.48,1
8.08,3.92,-5.96,-9.17,2.82,2.82,1.06,0.32,0.08,-6.25,7.27,-9.81,1
20.04,9.53,1.13,-15.57,7.41,1.49,1.04,0.29,0.04,-8.63,3.32,-9.47,1
20.04,10.51,8.82,-20.08,-12.86,3.76,1.09,0.38,0.01,-4.91,-5.43,4.67,1
20.04,0.47,8.74,-20.08,0.94,5.6,1.01,0.38,0.04,-4.25,-18.52,22.32,1
20.04,0.62,2.54,-20.08,-1.76,4.82,0.92,0.34,0.03,-10.54,-27.06,26.98,1
14.86,0.54,-2.7,-14.23,0.39,0.58,0.88,0.35,0.03,-12.79,-18.97,17.91,1
8.82,0.11,-5.8,-6.39,0.7,-1.88,0.88,0.37,0.01,-8.49,0.93,0.52,1
2.0,-2.62,-5.92,-1.92,-3.49,-2.78,0.91,0.37,0.02,-4.81,12.31,-12.76,1
0.9,-2.23,-8.11,2.0,-4.7,-4.19,1.0,0.35,0.01,-1.82,14.72,-12.29,1
-5.88,-4.04,-11.76,10.12,-8.11,-8.31,1.0,0.36,0.03,3.52,12.14,-8.16,1
-10.43,-7.37,-13.14,15.88,-12.0,-10.86,0.9,0.35,0.02,14.52,7.94,-4.27,1
-13.84,-7.8,-15.29,12.78,-12.55,-9.61,0.82,0.4,0.02,22.77,4.35,-3.28,1
-10.59,-6.19,-13.84,9.17,-10.15,-6.11,0.84,0.36,0.02,23.48,3.24,-8.91,1
-7.45,-3.6,-12.63,4.94,-6.74,-4.39,0.87,0.36,0.03,18.35,11.6,-15.69,1
3.45,2.74,-10.15,0.27,-4.43,-4.31,0.92,0.36,0.02,12.33,23.75,-26.52,1
16.39,6.66,0.98,-9.17,5.13,3.17,1.16,0.34,0.09,5.19,18.91,-21.11,1
20.04,8.51,4.58,-17.37,9.41,4.31,1.3,0.34,0.2,-1.31,7.94,-14.82,1
20.04,5.72,14.2,-20.08,10.31,5.64,1.03,0.37,0.15,-13.94,-6.64,11.03,1
20.04,0.66,8.04,-20.08,2.43,8.98,0.88,0.43,0.08,-17.8,-28.34,38.94,1
18.71,0.66,-2.0,-17.84,0.11,5.49,0.77,0.38,0.03,-13.53,-33.71,34.14,1
11.8,-1.05,-3.45,-9.64,0.7,2.66,0.87,0.42,0.05,1.04,-23.63,19.31,1
4.9,-1.09,-7.1,-4.58,-2.35,0.23,0.99,0.38,0.03,12.2,-5.93,0.36,1
0.03,-3.6,-8.66,0.58,-4.39,-2.07,1.04,0.35,0.03,11.54,6.75,-6.78,1
-4.9,-4.19,-8.74,8.66,-9.88,-6.0,0.97,0.34,0.05,4.94,10.18,-10.08,1
-10.59,-7.13,-13.06,13.49,-11.88,-7.41,0.85,0.33,0.01,2.92,7.43,-8.21,1
-14.74,-7.76,-15.18,13.49,-13.18,-6.82,0.82,0.32,0.02,8.59,4.4,-7.33,1
-14.7,-6.74,-16.0,10.39,-12.0,-4.55,0.84,0.38,0.01,7.46,0.49,-9.4,1
-7.68,-2.51,-12.98,5.72,-7.72,-3.72,0.91,0.37,0.0,3.89,-4.82,-7.1,1
-2.43,2.07,-9.92,0.39,-3.49,-3.05,0.97,0.36,0.04,1.94,2.6,-9.75,1
5.06,5.17,-6.51,-7.53,0.27,-2.86,0.95,0.36,0.03,-1.68,8.73,-22.69,1
18.86,9.33,2.23,-12.98,5.17,2.07,1.06,0.34,0.05,-13.12,5.37,-22.05,1
20.04,10.98,9.68,-20.08,5.06,0.31,1.17,0.4,0.09,-14.94,-3.49,-3.51,1
20.04,2.66,12.35,-20.08,3.6,6.19,1.05,0.44,0.04,-9.12,-18.09,24.41,1
20.04,0.54,3.25,-20.08,-1.37,4.15,0.99,0.41,0.04,-11.52,-29.57,41.26,1
16.31,0.5,-3.17,-14.39,0.11,2.47,0.93,0.41,0.01,-10.05,-20.73,29.58,1
7.29,0.47,-4.78,-7.21,0.15,0.23,0.88,0.38,0.0,-9.21,-3.59,9.02,1
1.01,-2.47,-5.25,0.35,-3.68,-2.9,0.9,0.35,0.05,-7.5,8.66,-3.75,1
1.37,-2.47,-6.78,4.94,-6.86,-4.23,0.95,0.32,0.05,-5.47,10.93,-6.36,1
-6.66,-3.53,-10.23,10.12,-10.39,-6.11,0.91,0.33,0.05,-1.81,6.05,-6.06,1
-12.35,-8.0,-15.1,15.69,-11.96,-6.27,0.86,0.33,0.03,4.59,2.31,-3.16,1
-14.2,-8.62,-16.43,14.27,-12.0,-4.86,0.84,0.36,0.03,9.43,1.08,-3.98,1
-10.55,-6.9,-14.08,9.25,-8.98,-3.72,0.93,0.36,0.01,10.08,0.92,-8.96,1
-5.49,-3.05,-12.31,4.9,-6.9,-4.11,0.97,0.36,0.0,8.81,6.03,-11.56,1
1.96,1.01,-8.51,0.82,-2.82,-4.43,0.94,0.36,0.04,5.0,12.17,-18.52,1
6.0,2.27,-5.64,-9.1,1.88,1.52,1.0,0.37,0.08,-6.15,7.79,-16.76,1
20.04,7.96,1.88,-17.49,4.23,0.62,1.13,0.32,0.08,-16.0,1.84,-12.97,1
20.04,8.23,10.04,-20.08,3.92,0.54,1.08,0.4,0.06,-14.01,-2.43,1.71,1
20.04,0.11,11.21,-20.08,0.23,5.02,0.97,0.42,0.01,-9.53,-20.04,22.59,1
19.88,0.9,2.31,-20.08,-2.11,2.98,0.92,0.4,0.01,-3.79,-25.06,27.13,1
18.04,-2.43,-4.9,-14.39,0.0,1.29,0.89,0.4,0.01,1.62,-10.77,12.22,1
9.61,0.66,-4.82,-7.41,-1.21,0.5,0.91,0.42,0.0,4.16,4.7,0.17,1
