d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
9.64,8.66,1.33,-20.08,0.74,17.57,1.03,0.34,0.1,-72.08,18.14,-58.94,10
9.21,5.06,0.03,-9.96,1.33,20.04,1.02,0.29,0.22,-106.0,13.48,-52.75,10
7.53,3.8,1.68,2.7,0.07,10.9,1.03,0.25,0.14,-142.53,-4.34,-34.62,10
6.82,5.29,2.23,12.08,0.86,16.47,0.8,0.18,0.12,-134.18,15.4,-30.94,10
8.31,4.94,0.66,9.17,-3.13,10.04,0.65,0.21,0.02,-145.08,13.52,-43.59,10
7.02,5.45,1.41,10.0,-2.54,0.86,0.63,0.11,0.0,-156.99,-3.3,-53.35,10
5.41,6.59,1.33,6.04,-8.11,-4.7,0.96,0.0,0.26,-141.99,-2.34,-41.32,10
6.19,8.11,0.23,2.15,-9.13,-7.96,1.23,0.1,0.55,-110.06,2.5,-17.51,10
7.13,8.59,1.33,1.52,-14.94,-9.1,1.08,0.19,0.51,-92.52,8.39,-10.36,10
7.68,9.57,2.43,-2.94,-12.94,-5.68,1.0,0.17,0.48,-106.98,13.93,-36.84,10
8.23,8.19,1.41,-11.49,-11.65,-6.11,0.74,0.16,0.48,-125.52,4.85,-66.07,10
8.11,6.9,1.8,-15.53,-6.7,-4.04,0.67,0.01,0.5,-128.77,-7.38,-77.57,10
7.13,8.23,1.49,-17.49,1.25,4.31,1.0,0.26,0.37,-122.74,-33.74,-66.98,10
7.49,8.47,0.62,-18.16,2.35,14.7,1.03,0.19,0.3,-118.39,-40.69,-61.31,10
7.33,9.37,0.58,-17.61,4.94,16.67,0.94,0.2,0.43,-90.11,-33.04,-56.67,10
6.04,8.74,0.43,2.23,5.72,20.04,0.88,0.16,0.56,-100.11,-21.19,-58.84,10
6.0,7.84,0.47,3.92,0.98,19.8,0.87,0.25,0.54,-131.19,-31.69,-67.79,10
7.96,6.27,0.94,5.6,2.07,16.12,0.84,0.33,0.5,-162.89,-34.14,-73.12,10
7.6,4.94,0.98,11.72,0.86,9.68,0.9,0.4,0.4,-196.86,-46.46,-59.54,10
6.94,4.11,-1.33,14.82,0.98,4.07,1.19,0.41,0.22,-186.4,-52.4,-39.85,10
8.78,3.64,-1.6,12.43,-2.74,0.11,1.17,0.4,0.07,-155.05,-31.36,-27.62,10
9.76,3.17,-1.45,8.62,-4.19,-1.41,0.82,0.2,0.06,-113.12,-18.62,-14.18,10
9.33,3.6,0.5,5.84,-6.0,-4.86,0.61,0.09,0.0,-90.38,-14.51,-14.77,10
9.13,4.43,0.7,3.72,-7.72,-8.35,0.42,0.06,0.09,-58.76,-10.97,-32.31,10
8.74,4.74,0.9,-4.31,-11.76,-8.27,0.36,0.09,0.27,-61.46,-11.79,-46.13,10
8.66,8.98,1.88,-5.64,-13.21,-9.1,1.28,0.16,0.5,-115.33,-55.46,-24.55,10
9.8,12.43,2.31,-10.19,-12.86,-5.88,1.52,0.0,0.28,-148.08,-51.95,-64.43,10
8.08,12.78,3.6,-20.08,-8.59,-3.53,1.0,0.13,0.28,-111.5,-34.96,-47.57,10
4.39,11.14,3.68,-20.08,-6.43,7.57,1.26,0.4,0.37,-120.66,-10.0,-65.22,10
5.45,7.8,1.56,-19.92,-7.72,12.78,1.16,0.35,0.48,-157.87,-22.57,-79.35,10
8.15,7.33,0.0,-9.37,-4.98,20.04,1.02,0.26,0.34,-182.86,-18.59,-75.6,10
6.51,6.11,-1.13,0.27,2.0,17.53,0.76,0.53,0.25,-192.85,-19.71,-59.57,10
4.66,4.47,-1.41,4.35,-1.25,9.84,0.74,0.51,0.11,-210.47,-21.62,-65.36,10
5.25,4.74,0.5,16.78,0.9,5.41,0.63,0.22,0.1,-209.94,-13.72,-74.43,10
6.7,4.82,0.58,16.94,-2.54,-1.45,0.49,0.21,0.08,-212.69,-14.52,-80.41,10
6.31,5.96,-1.41,11.57,-4.07,-8.08,0.82,0.46,0.33,-232.53,-29.88,-70.1,10
9.41,7.37,0.58,7.29,-8.23,-12.94,1.3,0.38,0.32,-188.71,-51.65,-76.08,10
11.33,7.37,0.19,-3.02,-10.43,-16.16,1.22,0.36,0.56,-185.01,-27.98,-68.3,10
11.8,4.74,1.01,-3.37,-11.65,-15.53,1.3,0.45,0.5,-161.56,-30.75,-50.02,10
12.82,3.72,0.39,-15.02,-9.92,-14.2,1.14,0.43,0.38,-142.26,-14.89,-53.72,10
14.08,1.64,-1.84,-20.08,-7.41,-12.59,0.84,0.3,0.25,-133.43,-15.5,-50.56,10
10.94,0.15,0.03,-20.08,0.7,-14.86,0.66,0.36,0.23,-123.21,-20.31,-48.39,10
8.51,2.07,0.31,-20.08,13.69,-6.55,0.93,0.24,0.23,-124.29,-31.91,-33.0,10
8.08,3.96,2.0,-17.88,19.22,17.76,0.84,0.28,0.3,-104.66,-17.85,-25.94,10
7.37,6.31,3.17,-17.92,16.16,20.04,0.84,0.3,0.31,-112.16,-22.53,-26.39,10
5.8,7.1,2.47,-9.92,14.23,19.33,0.87,0.45,0.25,-142.0,-33.86,-41.78,10
5.8,6.11,1.84,6.55,12.94,20.04,0.81,0.41,0.06,-172.55,-34.62,-58.87,10
6.27,5.68,3.21,4.9,7.1,16.47,0.82,0.26,0.05,-171.19,-38.76,-64.9,10
7.17,5.84,3.84,8.35,10.04,10.39,0.82,0.23,0.04,-156.5,-28.67,-68.62,10
8.59,6.47,1.8,12.08,3.76,4.94,0.9,0.25,0.15,-147.39,-31.78,-77.72,10
8.15,6.35,0.58,14.74,2.39,0.7,1.0,0.12,0.13,-141.61,-45.74,-70.44,10
6.59,4.62,0.07,15.02,0.35,-2.78,0.97,0.19,0.28,-117.39,-34.0,-46.14,10
7.45,4.0,0.03,13.41,-4.31,-6.51,0.93,0.38,0.46,-108.5,-35.23,-32.37,10
10.74,4.47,-1.21,7.88,-10.55,-10.27,1.08,0.34,0.46,-132.07,-45.56,-34.81,10
13.37,4.74,0.86,4.23,-15.45,-12.67,1.02,0.23,0.43,-141.15,-42.87,-50.54,10
10.51,4.51,0.58,-4.07,-14.47,-11.25,0.85,0.24,0.26,-138.5,-44.79,-49.36,10
9.8,4.19,0.39,-13.06,-13.41,-10.35,1.06,0.31,0.12,-143.11,-49.92,-29.93,10
12.39,3.49,1.29,-14.67,-6.62,-7.17,1.03,0.44,0.21,-133.6,-32.56,-38.94,10
11.88,4.86,2.78,-20.08,-5.13,0.23,1.07,0.47,0.07,-126.02,-28.03,-45.89,10
8.94,4.86,3.41,-20.08,-4.51,10.94,1.16,0.42,0.01,-117.36,-13.72,-48.02,10
7.21,3.56,3.13,-19.33,-2.15,18.12,0.99,0.35,0.04,-116.36,-16.55,-49.41,10
7.17,4.39,3.25,-8.0,0.9,18.67,0.91,0.2,0.1,-110.87,-38.35,-31.85,10
6.23,4.51,2.47,4.7,0.35,15.29,0.77,0.2,0.05,-103.21,-36.49,-25.09,10
4.31,4.9,1.68,7.21,0.0,10.08,0.68,0.2,0.14,-107.16,-39.27,-29.33,10
4.31,4.15,1.01,8.15,-1.92,5.41,0.83,0.21,0.18,-115.95,-42.8,-25.19,10
7.21,4.11,1.29,11.45,-4.27,1.33,1.01,0.24,0.27,-107.37,-38.33,-16.69,10
9.96,4.0,1.05,10.0,-7.45,-1.09,1.07,0.23,0.23,-102.11,-23.48,-15.96,10
10.04,3.68,1.05,4.7,-11.72,-4.19,0.74,0.2,0.21,-96.24,-28.62,-15.26,10
9.17,3.6,1.72,0.03,-12.94,-7.21,0.78,0.23,0.37,-86.79,-21.86,-15.47,10
10.66,5.02,2.11,-7.64,-13.96,-9.57,1.51,0.65,0.06,-136.95,-45.41,-3.49,10
13.41,7.33,3.02,-11.02,-13.45,-4.58,1.12,0.3,0.08,-108.44,-37.22,-19.88,10
11.33,8.15,3.84,-15.69,-9.33,-6.7,0.9,0.19,0.06,-65.5,-6.21,-37.4,10
8.15,5.88,3.05,-20.08,-2.43,0.11,0.89,0.31,0.13,-48.4,21.56,-55.05,10
6.7,3.41,2.31,-20.08,0.43,12.47,0.9,0.2,0.26,-73.82,15.43,-62.95,10
6.47,3.64,2.27,-15.41,1.88,20.04,0.87,0.31,0.32,-102.9,-23.79,-47.66,10
5.84,4.31,1.88,-7.02,4.23,12.27,0.86,0.28,0.12,-124.04,-39.88,-37.33,10
2.94,4.62,1.8,12.12,2.03,13.65,0.9,0.18,0.17,-122.37,-44.01,-35.39,10
3.53,5.21,1.96,13.21,2.86,11.49,0.9,0.27,0.15,-103.7,-26.57,-27.15,10
6.7,6.66,1.29,12.98,0.27,6.08,1.05,0.38,0.34,-103.32,-22.59,-18.73,10
8.15,7.53,1.68,12.7,-5.41,0.15,1.01,0.36,0.25,-111.39,-25.35,-24.06,10
7.33,6.59,0.98,9.37,-9.49,-5.37,0.87,0.16,0.16,-117.21,-34.15,-26.51,10
7.41,7.1,0.27,4.62,-12.63,-10.51,1.15,0.26,0.12,-118.52,-34.98,-18.94,10
9.64,6.98,0.7,-4.19,-12.94,-12.82,1.08,0.33,0.21,-99.76,-38.05,-8.81,10
11.33,7.49,0.86,-8.47,-12.59,-12.55,1.07,0.27,0.24,-91.55,-47.17,-3.04,10
11.1,7.64,0.0,-12.16,-10.55,-10.7,1.09,0.28,0.34,-88.02,-34.03,-12.0,10
11.1,7.92,0.19,-17.76,-8.39,-5.53,1.07,0.34,0.32,-117.33,-22.07,-18.88,10
12.31,6.98,0.7,-20.08,-1.76,7.57,1.0,0.26,0.3,-155.14,-17.09,-29.54,10
10.19,6.27,0.66,-20.08,2.47,18.16,0.93,0.3,0.27,-171.72,-17.06,-33.07,10
8.23,4.55,0.35,-17.18,4.9,20.04,0.87,0.3,0.12,-189.73,-14.14,-39.99,10
8.19,3.41,0.43,0.7,4.66,18.98,0.69,0.29,0.03,-186.89,-17.81,-45.58,10
7.33,3.56,0.74,4.94,3.45,15.02,0.57,0.24,0.0,-176.4,-14.9,-44.49,10
5.6,4.43,0.9,8.86,2.54,8.39,0.58,0.18,0.05,-168.73,-5.53,-44.88,10
5.8,5.64,0.82,12.12,0.43,1.05,0.76,0.2,0.3,-171.05,-7.14,-51.7,10
7.53,6.51,0.98,12.74,-4.43,-3.21,1.1,0.29,0.47,-179.34,-42.62,-48.3,10
8.47,7.33,1.6,12.27,-8.0,-7.53,1.26,0.34,0.28,-169.75,-65.81,-43.64,10
9.49,7.88,2.11,8.23,-13.76,-10.94,1.06,0.2,0.37,-152.83,-36.62,-45.61,10
9.41,6.31,1.64,-2.62,-16.43,-9.68,1.08,0.56,0.41,-140.29,-16.27,-41.33,10
9.41,3.88,1.37,-9.06,-15.88,-9.72,1.02,0.39,0.15,-101.18,-6.76,-40.84,10
10.94,3.92,1.92,-18.98,-10.23,-8.11,0.97,0.44,0.29,-93.24,-19.04,-56.03,10
