d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
9.21,2.39,-7.21,-5.17,0.74,-7.64,0.52,0.34,0.07,-121.35,-20.29,-37.97,5
8.08,1.88,-7.72,-5.84,1.05,-6.62,0.98,0.22,0.19,-108.5,-29.07,-51.69,5
6.82,0.11,-5.8,-5.45,1.09,-6.27,1.56,0.07,0.2,-42.28,22.5,-45.17,5
5.84,0.11,-4.31,-5.02,1.33,-3.05,0.99,0.36,0.29,-72.08,-2.07,-18.99,5
4.55,0.03,-2.11,-6.11,2.47,0.19,1.06,0.38,0.3,-67.78,-24.05,-8.16,5
3.37,0.19,-1.52,-7.41,4.51,1.64,0.89,0.27,0.17,-92.08,-34.84,-28.1,5
2.62,0.0,0.82,-8.39,7.57,3.02,0.85,0.21,0.16,-88.75,-27.3,-31.81,5
0.86,0.78,0.54,-9.49,9.25,3.17,0.92,0.28,0.09,-74.95,-15.01,-21.62,5
0.82,1.88,0.15,-10.0,11.1,6.04,1.02,0.31,0.13,-63.27,-6.08,-23.05,5
15.18,1.96,20.04,-1.96,10.59,20.0,0.96,0.37,0.08,-58.01,-17.21,-12.24,5
3.92,6.39,4.15,-13.49,9.41,6.15,0.94,0.35,0.04,-50.24,-24.42,2.24,5
5.6,8.82,-2.9,-8.27,9.72,8.62,0.99,0.26,0.05,-30.91,-19.16,13.13,5
20.04,7.72,-3.53,-10.63,11.25,1.72,1.05,0.22,0.01,-12.31,-12.12,8.39,5
18.55,10.15,-6.19,-12.47,12.0,0.47,1.04,0.23,0.07,5.31,-9.03,-3.31,5
12.16,8.23,-4.39,-9.29,15.37,3.09,0.99,0.18,0.16,13.36,-9.84,-3.97,5
3.92,12.27,2.39,-5.06,15.21,7.29,1.1,0.26,0.17,9.42,-16.48,3.35,5
5.06,15.33,7.21,-8.55,15.25,9.57,1.15,0.25,0.11,-14.46,-26.95,16.05,5
2.43,15.8,5.76,-17.25,11.45,8.74,1.07,0.18,0.07,-28.05,-28.48,31.73,5
6.23,14.16,0.43,-16.74,7.49,5.68,1.12,0.12,0.07,-23.54,-16.51,39.61,5
9.96,11.33,-3.53,-16.2,5.13,3.25,0.95,0.16,0.02,-8.32,-15.09,42.63,5
6.35,10.47,-5.17,-13.72,4.55,1.29,0.87,0.17,0.16,-22.01,-27.75,40.3,5
4.55,7.84,-5.09,-12.74,4.55,-1.72,0.86,0.28,0.31,-74.9,-45.17,32.95,5
