d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.53,-5.45,8.0,0.39,0.7,5.33,0.85,0.44,0.01,7.22,26.4,-21.32,3
3.09,-5.25,10.04,0.74,0.54,4.51,0.79,0.35,0.02,-28.74,-8.7,0.14,3
0.23,-5.13,12.51,-1.17,1.92,4.15,0.77,0.2,0.09,-27.85,-37.7,25.72,3
0.43,-5.02,14.2,-2.23,3.05,4.86,0.66,0.13,0.1,-4.04,-39.85,48.08,3
1.52,-5.29,12.67,-5.37,1.96,6.86,0.64,0.2,0.11,23.14,-19.84,40.45,3
7.8,-6.86,10.94,-9.21,1.8,7.84,0.99,0.32,0.13,64.8,16.66,13.45,3
5.13,-7.45,10.12,-12.63,0.62,9.64,1.76,0.24,0.01,121.42,70.9,-34.43,3
9.25,-6.0,9.76,-6.78,0.43,11.25,1.14,0.84,0.36,33.26,20.08,-26.46,3
9.41,-4.82,10.04,-1.92,-2.35,11.02,0.99,0.54,0.27,10.71,-34.06,-27.04,3
8.51,-4.19,9.13,0.98,-7.29,8.74,0.72,0.32,0.2,-4.11,-23.05,-38.67,3
6.11,-2.74,7.72,-7.25,-9.61,10.23,0.71,0.24,0.26,-10.36,-11.4,-34.85,3
4.98,0.54,6.47,-6.98,-10.12,10.31,0.94,0.21,0.24,3.39,0.79,-22.91,3
4.86,-1.01,4.35,-3.92,-10.08,12.19,0.91,0.56,0.02,-48.45,-43.25,10.9,3
4.07,-1.56,1.13,-7.13,-11.33,13.69,1.08,0.43,0.2,-45.0,-47.39,14.11,3
0.43,0.66,0.9,-4.62,-11.25,11.17,1.06,0.42,0.28,-19.38,-24.67,9.4,3
-1.09,0.58,1.17,-5.57,-9.57,10.55,1.09,0.53,0.24,0.73,18.42,-5.59,3
-2.62,0.43,1.33,-7.37,-7.06,9.57,0.85,0.61,0.2,6.1,39.07,-16.21,3
-4.66,-3.09,0.11,-5.41,-5.76,8.7,0.76,0.57,0.24,2.13,25.99,-6.2,3
-1.88,-5.88,0.23,-5.53,-5.57,9.06,0.84,0.29,0.2,10.83,14.29,8.56,3
4.82,-8.59,0.31,-5.57,-5.68,6.82,0.91,0.22,0.05,28.91,22.37,23.42,3
3.53,-8.62,4.78,-2.31,-6.39,4.0,0.94,0.42,0.1,32.97,34.02,33.21,3
3.29,-10.12,6.66,-2.11,-5.02,5.92,0.93,0.57,0.23,3.86,20.03,30.01,3
0.7,-8.86,11.33,-2.51,-1.37,5.49,1.18,0.48,0.4,-25.95,-3.39,19.42,3
4.23,-6.86,9.92,0.54,0.7,7.57,1.14,0.42,0.28,-41.25,0.72,-3.22,3
2.62,-5.57,13.21,-2.98,1.76,6.9,0.91,0.25,0.19,-34.99,4.45,-12.57,3
0.58,-4.35,13.29,-3.05,0.43,7.76,0.8,0.13,0.12,-20.41,17.95,-19.91,3
0.7,-2.51,10.59,0.74,-1.6,7.06,0.68,0.16,0.1,-14.0,16.72,-23.76,3
2.9,-2.7,10.9,-4.62,0.5,4.94,0.7,0.3,0.01,-23.94,1.69,-18.05,3
2.15,-3.49,11.37,-8.62,-2.0,5.76,0.79,0.46,0.01,-31.19,-18.62,-3.56,3
3.49,-3.45,12.67,-11.25,-1.84,8.47,1.12,0.62,0.04,-12.56,-41.46,10.18,3
6.19,-2.9,12.55,-9.8,-2.54,8.94,1.55,0.55,0.22,22.01,-22.1,-4.36,3
8.43,-3.17,8.94,-4.39,-3.05,6.47,1.05,0.41,0.01,49.59,24.12,-24.4,3
6.19,-3.05,7.21,-7.02,-5.21,7.72,0.78,0.54,0.01,26.16,17.96,-27.33,3
5.13,-3.21,5.92,-10.43,-6.31,7.64,0.71,0.49,0.02,0.31,-5.69,-20.62,3
4.78,-2.66,5.49,-8.9,-7.6,8.9,0.64,0.35,0.0,9.36,-22.1,1.24,3
4.39,-1.96,3.45,-8.35,-8.11,12.39,0.63,0.41,0.1,36.87,-31.4,25.92,3
2.54,-2.51,1.84,-7.88,-8.82,13.49,0.96,0.08,0.35,57.75,-25.0,42.14,3
