d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
0.62,9.41,2.78,-1.88,9.33,3.92,0.93,0.43,0.02,-7.31,0.26,-1.78,0
0.66,9.41,2.54,-1.76,9.37,4.0,0.93,0.44,0.01,-9.19,-1.12,-2.35,0
0.54,9.37,2.43,-1.72,9.45,4.19,0.92,0.43,0.02,-10.97,-1.75,-2.79,0
0.7,9.29,2.47,-1.76,9.53,4.27,0.93,0.44,0.02,-11.01,-1.83,-1.89,0
0.78,9.25,2.31,-1.76,9.45,4.31,0.92,0.44,0.03,-11.38,-1.52,-2.58,0
0.78,9.37,2.47,-1.68,9.53,4.51,0.92,0.44,0.02,-11.57,-1.61,-1.94,0
0.62,9.21,2.51,-1.64,9.49,4.31,0.92,0.44,0.03,-11.23,-1.2,-2.52,0
0.54,9.41,2.7,-1.68,9.49,4.51,0.92,0.44,0.02,-12.36,-2.96,-1.89,0
0.54,9.49,2.66,-1.76,9.37,4.31,0.93,0.45,0.02,-14.12,-5.46,-2.88,0
0.58,9.49,2.62,-1.84,9.57,4.62,0.92,0.44,0.03,-15.43,-6.46,-3.66,0
0.7,9.45,2.74,-1.68,9.57,4.62,0.92,0.46,0.03,-14.39,-7.49,-2.64,0
0.78,9.68,2.66,-1.41,9.61,4.9,0.93,0.46,0.02,-12.8,-8.22,-1.14,0
0.66,9.45,2.98,-1.25,9.68,4.74,0.92,0.45,0.03,-10.66,-7.61,0.22,0
0.9,9.45,2.66,-1.52,9.33,4.47,0.94,0.45,0.05,-11.34,-7.13,-1.3,0
1.13,9.1,2.86,-1.92,9.13,4.31,0.93,0.44,0.05,-10.56,-5.62,-2.09,0
0.98,9.1,2.98,-2.07,9.06,4.62,0.92,0.44,0.03,-7.36,-3.88,-3.03,0
0.9,8.98,2.86,-2.07,8.98,4.11,0.91,0.46,0.03,-6.02,-4.23,-1.35,0
0.82,9.1,2.94,-2.0,9.13,3.96,0.93,0.46,0.02,-7.44,-4.75,-1.27,0
0.9,9.21,2.98,-2.0,9.29,3.96,0.92,0.45,0.03,-8.25,-4.81,-1.06,0
0.74,9.53,3.17,-1.96,9.53,4.11,0.94,0.44,0.03,-5.6,-4.3,0.1,0
0.62,9.45,2.94,-1.88,9.57,4.0,0.93,0.46,0.03,-2.39,-3.4,1.87,0
0.54,9.45,3.09,-1.84,9.49,4.0,0.93,0.45,0.03,-1.82,-3.56,1.84,0
0.7,9.37,3.45,-1.84,9.29,3.88,0.93,0.44,0.03,-1.67,-3.32,2.5,0
0.98,9.25,3.17,-2.0,9.37,3.96,0.92,0.44,0.04,0.01,-2.84,2.35,0
1.09,9.21,3.13,-1.96,9.33,4.04,0.92,0.44,0.04,0.29,-2.97,0.99,0
1.09,9.06,3.02,-1.76,9.17,4.11,0.91,0.45,0.04,0.12,-2.83,0.56,0
1.17,8.82,2.9,-1.68,9.1,4.15,0.92,0.44,0.04,0.24,-3.94,1.4,0
1.09,9.13,3.09,-1.84,9.21,4.66,0.93,0.44,0.05,1.17,-2.91,1.16,0
1.05,9.1,2.86,-1.56,9.13,3.88,0.91,0.45,0.07,1.72,-1.69,0.34,0
0.98,9.02,3.6,-1.64,9.29,4.15,0.91,0.45,0.07,4.2,-1.05,0.24,0
1.01,8.94,3.21,-1.8,9.45,4.31,0.91,0.45,0.08,6.54,-1.01,0.02,0
0.94,9.06,3.37,-1.72,9.37,4.23,0.92,0.46,0.08,9.34,0.75,0.2,0
0.74,8.94,3.41,-1.96,9.33,4.23,0.92,0.47,0.07,12.8,3.17,0.36,0
0.74,9.02,3.49,-2.03,9.84,4.51,0.93,0.46,0.07,14.52,6.48,0.75,0
0.86,8.94,3.29,-1.72,9.88,4.58,0.93,0.45,0.06,14.37,6.82,0.89,0
0.82,9.13,3.49,-1.41,9.8,4.55,0.92,0.45,0.04,13.64,6.18,1.05,0
0.74,8.94,3.56,-1.6,9.64,4.62,0.92,0.45,0.05,12.77,6.61,1.28,0
0.62,8.78,3.64,-1.6,9.64,4.62,0.93,0.45,0.04,13.1,7.21,1.72,0
0.66,9.37,3.09,-1.76,9.49,4.51,0.92,0.44,0.05,12.84,7.5,1.41,0
0.78,8.98,3.21,-1.6,9.57,4.58,0.91,0.42,0.05,12.26,7.52,0.84,0
0.82,8.94,2.98,-1.49,9.37,4.66,0.91,0.44,0.05,12.07,7.56,0.06,0
1.05,8.98,2.7,-1.52,9.29,4.55,0.91,0.43,0.04,13.13,9.05,0.56,0
0.78,9.06,2.94,-1.49,9.41,4.47,0.92,0.44,0.03,14.12,9.31,0.93,0
0.78,9.17,2.78,-1.45,9.29,4.35,0.92,0.46,0.02,13.91,9.4,0.91,0
0.47,9.1,3.02,-1.49,9.33,4.23,0.92,0.45,0.03,14.25,9.04,0.78,0
0.86,9.1,2.82,-1.6,9.21,4.11,0.92,0.45,0.03,14.04,8.56,0.71,0
0.86,9.17,2.7,-1.84,9.21,4.04,0.91,0.44,0.02,14.59,8.39,0.85,0
0.82,9.13,3.02,-1.88,9.17,3.92,0.92,0.45,0.02,15.17,8.14,0.94,0
0.78,9.25,2.82,-1.88,9.37,4.0,0.93,0.44,0.02,15.71,8.49,0.91,0
0.86,9.25,3.05,-1.84,9.41,4.0,0.92,0.44,0.02,15.58,8.5,0.49,0
0.82,9.13,2.9,-1.8,9.25,3.88,0.92,0.44,0.0,14.97,7.74,0.11,0
0.74,9.33,2.78,-1.92,9.33,3.96,0.93,0.43,0.0,14.31,7.89,0.26,0
0.54,9.33,2.66,-2.07,9.37,3.84,0.93,0.44,0.0,13.94,8.05,0.66,0
0.31,9.45,2.9,-1.92,9.17,3.64,0.93,0.44,0.0,13.07,6.95,2.21,0
0.31,9.17,2.74,-2.39,9.45,4.39,0.92,0.43,0.0,10.9,6.32,2.89,0
0.43,9.29,3.09,-2.23,9.45,4.31,0.91,0.44,0.0,9.23,4.95,3.21,0
0.35,9.21,2.86,-2.15,9.61,4.43,0.92,0.43,0.0,7.65,4.32,2.85,0
0.43,9.33,2.82,-2.03,9.57,4.7,0.91,0.43,0.01,6.6,3.98,1.56,0
0.5,9.29,2.9,-1.96,9.49,4.62,0.92,0.43,0.02,6.69,3.89,1.03,0
0.47,9.33,2.47,-1.92,9.45,4.7,0.93,0.44,0.01,8.22,4.04,0.85,0
0.62,9.41,2.78,-1.8,9.57,4.7,0.93,0.44,0.02,10.71,5.02,1.5,0
0.58,9.49,2.86,-1.64,9.57,4.7,0.94,0.43,0.02,12.79,5.93,1.84,0
0.43,9.49,2.7,-1.68,9.45,4.58,0.93,0.43,0.03,14.55,7.63,2.13,0
0.82,9.29,2.94,-1.45,9.37,4.55,0.93,0.42,0.01,17.29,8.21,1.86,0
0.94,9.41,2.86,-1.45,9.61,4.47,0.93,0.43,0.01,19.42,8.31,2.71,0
0.9,9.25,3.13,-1.52,9.21,4.15,0.93,0.43,0.01,18.54,8.42,2.05,0
0.78,9.45,2.98,-1.52,9.29,4.31,0.93,0.42,0.0,18.26,9.29,1.27,0
0.7,9.53,2.82,-1.56,9.17,4.23,0.93,0.43,0.0,18.71,9.66,1.14,0
0.94,9.45,2.94,-1.45,9.02,4.11,0.92,0.42,0.0,18.43,8.56,1.89,0
0.74,9.49,2.78,-1.6,8.98,4.0,0.92,0.43,0.01,16.1,6.94,1.98,0
0.7,9.49,2.78,-1.8,9.13,4.07,0.92,0.43,0.0,12.27,4.49,0.78,0
0.74,9.29,2.78,-1.92,9.13,4.0,0.93,0.42,0.0,10.91,3.69,0.24,0
0.58,9.41,2.47,-1.84,9.33,4.04,0.93,0.43,0.01,9.47,2.55,0.57,0
0.66,9.53,2.47,-1.88,9.25,4.15,0.92,0.45,0.0,6.26,0.07,1.26,0
0.98,9.13,2.54,-2.0,9.33,4.19,0.93,0.42,0.01,4.4,0.71,0.56,0
0.82,9.33,2.31,-2.03,9.33,3.92,0.94,0.43,0.01,3.55,0.02,0.75,0
