d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.13,5.88,3.64,-1.92,2.9,1.37,0.58,0.29,0.08,-61.56,-32.9,-9.15,2
6.15,6.04,1.72,-20.08,0.58,1.21,0.65,0.41,0.03,-81.89,-36.75,-8.64,2
8.43,7.21,3.05,-20.08,-1.01,-1.33,1.2,0.35,0.17,-76.05,-40.02,-3.65,2
11.1,10.47,1.6,-20.08,-3.05,-1.96,1.86,0.55,0.54,-42.93,-46.39,19.82,2
13.14,9.49,3.17,-20.08,-2.9,1.56,1.27,0.58,0.23,14.46,-26.68,26.01,2
9.06,6.9,2.0,-14.82,0.62,3.21,1.21,0.44,0.19,39.4,24.47,0.77,2
8.39,6.04,2.9,-8.31,0.23,3.17,1.23,0.45,0.04,46.42,60.56,-26.05,2
9.68,6.55,2.82,-2.86,0.47,2.23,0.94,0.52,0.01,38.75,42.92,-21.07,2
7.37,6.27,1.37,1.45,0.47,0.78,1.08,0.32,0.0,39.13,10.78,12.52,2
4.58,5.37,1.05,3.17,0.35,0.15,0.81,0.3,0.01,52.63,15.22,19.24,2
2.31,4.15,1.49,2.94,0.7,0.43,0.64,0.22,0.01,37.6,15.41,19.69,2
1.49,2.9,1.01,2.94,1.37,0.11,0.59,0.11,0.01,27.94,3.69,28.94,2
1.49,2.15,0.15,3.53,2.23,0.15,0.93,0.19,0.3,28.39,-15.95,48.15,2
1.37,3.13,0.19,3.6,4.15,0.19,1.05,0.17,0.36,74.37,-17.47,65.57,2
2.15,5.06,0.0,0.31,7.02,2.23,1.23,0.38,0.36,117.68,-3.77,79.32,2
6.94,11.53,1.41,-15.41,16.08,2.54,1.22,0.49,0.14,145.18,23.07,53.53,2
8.98,18.86,7.25,-20.08,18.31,0.35,1.03,0.36,0.06,129.59,24.33,31.66,2
17.57,16.55,5.41,-20.08,17.14,2.19,0.95,0.27,0.01,121.21,22.04,1.92,2
6.0,16.86,1.76,-13.65,11.96,5.84,0.99,0.25,0.07,122.76,30.71,-29.34,2
2.07,12.55,1.21,-6.86,7.45,5.41,1.0,0.2,0.04,134.32,50.5,-47.58,2
3.33,8.82,0.03,-5.96,7.29,2.7,0.95,0.23,0.04,128.69,54.87,-48.4,2
5.45,5.84,0.5,-4.11,7.13,0.94,0.91,0.22,0.0,130.44,54.8,-47.35,2
5.72,5.09,-1.29,-3.76,9.29,1.52,0.92,0.18,0.02,138.39,61.4,-35.29,2
4.47,4.11,-1.8,-6.9,10.35,1.72,0.8,0.28,0.0,146.4,73.37,-18.61,2
5.37,4.35,0.58,-4.19,10.0,0.86,0.74,0.24,0.0,148.97,83.48,-1.2,2
8.08,5.33,0.74,-4.27,9.96,0.39,0.67,0.26,0.0,157.02,95.05,10.08,2
10.51,7.29,1.37,-7.37,10.74,1.25,0.76,0.35,0.01,163.73,97.99,17.62,2
