d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
14.16,17.69,4.98,-10.23,20.04,2.31,1.57,0.39,-1.26,69.91,53.92,-54.98,7
13.1,16.55,2.0,-12.23,17.29,0.27,1.53,0.14,-1.2,86.04,45.94,-58.03,7
9.61,15.84,0.43,-9.41,17.1,2.98,1.75,0.02,0.98,110.61,23.01,-42.24,7
6.66,14.59,0.54,-4.35,10.78,0.39,1.31,0.16,0.73,158.22,5.67,-31.43,7
7.41,11.76,-3.92,0.98,9.72,-2.43,0.79,0.21,0.35,208.09,18.16,-41.91,7
5.68,7.88,-4.35,0.82,6.08,-2.23,0.42,0.05,0.2,195.88,27.83,-59.88,7
6.82,7.72,-4.15,-1.01,5.96,0.9,0.51,0.14,0.07,216.75,5.21,-48.2,7
9.37,7.68,-4.0,0.19,6.27,0.62,0.94,0.38,0.21,185.49,1.69,-39.65,7
12.35,6.9,-1.56,0.94,7.6,0.07,1.15,0.17,0.12,184.13,11.03,-64.68,7
15.92,8.9,0.03,-1.45,8.39,0.03,0.61,0.22,0.08,187.71,23.44,-59.14,7
16.94,9.17,1.41,-2.82,9.02,0.58,0.56,0.2,0.16,169.12,25.29,-58.0,7
19.26,10.51,3.02,-1.33,8.31,-1.29,0.71,0.11,0.1,174.3,42.16,-71.46,7
19.88,11.41,2.58,-2.07,8.19,-1.17,0.75,0.24,0.09,194.1,68.68,-87.51,7
17.92,10.19,1.56,-3.05,8.66,-1.05,0.86,0.2,0.06,208.18,63.16,-83.87,7
15.72,10.31,0.66,-3.37,9.17,0.94,1.07,0.18,0.06,202.03,61.52,-62.4,7
12.31,9.68,0.23,-3.37,9.8,-1.29,0.92,0.32,0.01,186.37,59.91,-50.01,7
4.94,6.27,-2.15,-4.47,9.21,0.43,0.78,0.34,0.04,191.46,76.0,-53.91,7
1.21,2.7,-2.51,-4.27,8.08,0.78,0.67,0.43,0.15,191.29,89.51,-62.38,7
0.62,0.11,-2.23,-3.45,8.62,1.72,0.93,0.49,0.46,181.4,74.3,-38.84,7
-3.88,-1.25,-3.64,-3.17,9.29,1.52,1.44,0.57,0.46,188.19,39.75,-10.05,7
-3.6,-3.05,-3.6,-3.17,11.14,0.74,1.26,0.64,0.37,236.33,31.96,-9.24,7
-3.37,-2.54,-2.35,-3.53,11.37,0.43,1.13,0.56,0.28,225.21,27.2,-3.78,7
-4.74,-3.41,-3.25,-3.29,10.39,0.03,0.99,0.48,0.05,176.72,18.11,-5.18,7
-4.31,-2.07,-4.66,-3.29,10.0,0.0,0.83,0.34,0.0,161.33,17.08,10.7,7
-2.43,0.27,-4.07,-3.05,8.62,0.74,0.67,0.31,0.03,151.22,22.2,24.84,7
0.82,3.33,-4.94,-2.62,7.29,0.58,0.64,0.28,0.08,134.34,21.24,30.6,7
0.11,6.82,-4.74,-2.78,7.06,0.27,0.79,0.23,0.2,129.21,19.54,41.97,7
0.35,8.66,-5.41,-2.51,6.62,0.11,0.8,0.22,0.15,116.72,6.37,50.3,7
1.96,11.06,-3.68,-1.72,6.86,0.11,0.76,0.23,0.07,117.49,9.48,50.53,7
1.52,14.08,-3.49,-1.49,7.29,0.0,0.62,0.02,0.2,116.39,3.82,47.3,7
6.66,18.24,-4.98,-2.07,6.78,0.23,0.51,0.12,0.07,102.35,6.19,43.93,7
10.82,20.04,0.82,-1.72,6.74,0.58,0.51,0.1,0.1,86.1,12.96,26.78,7
14.35,20.04,-5.02,0.03,10.78,2.07,1.6,-1.0,0.37,113.31,-15.23,0.38,7
20.04,20.04,2.58,0.11,13.69,2.82,1.66,0.05,0.17,56.49,-2.12,34.27,7
20.04,20.04,5.45,-3.45,19.18,5.29,1.52,0.44,0.09,30.11,4.71,22.69,7
14.43,20.04,3.02,-3.68,16.59,2.9,1.34,0.76,0.26,-31.88,-2.51,-8.61,7
13.41,20.04,6.59,-10.78,12.23,4.86,1.68,0.59,0.08,-57.39,1.22,-19.88,7
10.82,20.04,6.15,-14.35,17.02,7.49,1.68,0.49,0.1,-105.68,-19.68,-20.43,7
