d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
6.0,9.53,1.33,-4.11,11.29,4.66,1.19,0.32,0.13,-10.13,-26.42,30.93,4
4.82,11.29,0.31,-2.51,11.96,4.7,1.12,0.31,0.17,26.15,-12.74,35.74,4
2.51,13.96,0.19,2.94,11.88,4.11,1.12,0.3,0.01,56.56,19.45,12.69,4
1.01,14.08,0.78,0.15,14.31,8.23,1.13,0.35,0.11,71.7,47.57,-20.97,4
1.37,13.76,1.21,0.19,13.45,7.64,1.24,0.35,0.16,58.42,43.51,-29.22,4
1.88,11.45,1.13,-6.51,12.23,4.55,1.03,0.28,0.09,26.96,21.83,-14.01,4
1.56,9.53,1.09,-6.59,8.7,3.68,0.92,0.2,0.09,21.18,19.56,-14.61,4
0.19,8.08,1.13,-3.72,7.1,3.25,0.84,0.14,0.11,38.21,28.02,-20.16,4
1.45,7.21,1.8,-4.23,7.37,2.82,0.86,0.12,0.11,47.07,32.11,-17.23,4
2.51,6.55,1.17,-2.82,6.98,2.54,0.78,0.13,0.18,35.04,21.44,-11.23,4
2.51,6.15,0.35,-1.8,6.78,2.58,0.76,0.17,0.28,16.16,9.69,0.79,4
1.52,6.51,0.03,-1.05,7.49,2.86,0.82,0.15,0.27,2.97,3.7,10.17,4
0.66,7.72,0.0,-1.01,8.55,3.25,0.91,0.16,0.26,-20.07,1.3,7.73,4
0.66,9.88,0.82,-1.96,9.57,3.53,1.22,0.18,0.23,-25.5,11.56,17.61,4
1.52,14.12,0.15,-2.74,15.8,9.49,1.49,0.55,0.16,-56.66,9.23,34.87,4
3.17,15.33,0.9,2.58,13.02,6.39,1.53,0.6,0.52,-47.4,11.27,32.72,4
1.45,14.43,2.07,-7.6,16.04,4.19,1.12,0.54,0.51,-15.07,5.91,21.7,4
1.01,10.23,2.74,-3.49,10.59,2.78,0.9,0.37,0.5,28.29,24.08,11.03,4
1.13,11.02,4.11,0.58,10.7,1.68,1.06,0.24,0.25,41.17,36.99,-8.03,4
0.9,11.33,3.37,0.03,10.27,1.72,0.84,0.49,0.1,20.1,20.97,-15.65,4
-2.54,8.15,1.8,0.62,7.49,1.09,0.7,0.48,0.07,0.39,2.47,-16.06,4
-1.09,5.88,1.09,-1.05,6.11,1.17,0.71,0.33,0.08,-7.52,-11.01,-9.33,4
-1.64,5.29,1.49,-1.6,5.57,1.76,0.79,0.17,0.18,-4.01,-8.88,0.5,4
0.78,5.68,2.47,-1.56,6.35,1.45,0.73,0.15,0.15,1.26,0.14,-1.03,4
0.74,7.33,3.6,-2.74,7.41,0.47,0.88,0.26,0.06,9.72,-5.54,4.5,4
-2.23,10.59,4.9,-2.82,9.88,1.41,1.25,0.16,0.0,11.62,-9.17,21.77,4
-1.96,13.02,5.13,-2.39,11.02,2.07,0.99,0.52,0.06,-16.51,-28.19,23.6,4
0.07,13.41,3.96,-2.19,11.76,2.0,1.06,0.52,0.01,-55.73,-51.85,19.32,4
0.62,13.29,2.51,-3.13,13.96,3.37,1.19,0.54,0.16,-71.32,-33.65,-5.46,4
-1.96,15.33,3.37,-5.02,15.88,4.78,1.27,0.42,0.36,-59.84,-9.53,-31.48,4
0.9,12.7,3.96,-4.43,14.2,3.8,1.22,0.34,0.34,-26.6,12.53,-33.63,4
0.11,9.96,3.09,-3.13,11.25,2.58,0.89,0.36,0.24,-11.76,9.95,-29.69,4
0.03,7.92,2.11,-1.96,10.04,2.86,0.76,0.51,0.14,-35.18,-3.56,-29.97,4
0.62,7.6,1.76,0.47,10.08,4.0,0.77,0.48,0.2,-52.89,-13.07,-31.52,4
0.31,6.86,1.72,0.86,9.13,3.53,0.71,0.39,0.29,-56.61,-22.05,-19.61,4
0.35,5.8,1.37,0.5,7.45,2.7,0.65,0.35,0.34,-41.09,-19.08,-4.83,4
1.37,5.13,1.17,0.11,5.76,1.52,0.65,0.24,0.32,-24.08,-7.14,-5.58,4
1.8,4.82,0.7,0.31,4.94,0.5,0.6,0.26,0.18,-19.42,-4.58,-9.14,4
2.54,6.82,0.5,0.94,6.43,1.33,0.81,0.4,0.02,-19.53,-15.65,-4.06,4
4.7,14.27,3.13,-1.72,11.02,3.56,1.77,0.52,0.08,1.3,-21.97,4.82,4
0.62,14.9,8.15,-1.41,19.41,4.15,1.99,0.18,0.24,24.36,0.89,-11.36,4
8.59,16.35,2.54,-3.76,15.41,3.88,1.16,0.39,0.33,-23.57,-45.07,7.97,4
5.45,9.41,0.66,-2.82,9.88,5.41,1.15,0.03,0.11,-15.02,-40.73,9.13,4
0.31,9.49,-2.07,-2.43,10.59,7.96,1.07,0.21,0.07,7.53,-1.06,2.05,4
0.5,8.43,0.35,-2.74,10.86,6.78,0.85,0.19,0.2,27.88,24.24,-17.62,4
2.94,7.37,0.19,-2.27,9.13,4.04,0.78,0.24,0.19,28.93,24.02,-2.08,4
