d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-15.65,-8.43,-12.47,-2.47,-8.51,-2.11,0.61,0.25,0.03,4.21,-8.47,8.39,6
-20.08,-8.43,-2.27,-13.21,-8.19,-2.31,0.47,0.35,0.06,-19.43,-18.08,11.79,6
-13.37,-6.78,-3.6,-16.47,-7.13,1.6,0.59,0.52,0.05,-35.7,-22.62,19.26,6
0.98,-8.11,-7.6,-12.9,-7.6,-3.13,1.28,0.57,0.18,-10.5,-13.61,25.85,6
3.33,-7.57,-7.72,-7.92,-7.8,-7.41,1.49,0.36,0.24,16.52,6.77,4.91,6
4.98,-9.49,-7.68,4.31,-10.78,-2.19,1.11,0.44,0.01,36.78,14.51,2.74,6
15.14,-9.33,0.7,15.61,-12.51,7.41,0.82,0.5,0.07,29.71,13.22,2.05,6
17.92,-9.53,4.0,0.39,-10.31,1.96,0.68,0.34,0.19,4.42,1.23,9.47,6
17.96,-8.31,-3.8,-2.27,-9.21,0.23,0.72,0.38,0.18,-21.6,-9.53,1.01,6
11.33,-6.04,-15.53,-8.08,-7.57,0.9,0.87,0.42,0.07,-46.85,-5.2,-19.8,6
-1.33,-6.27,-17.53,-14.12,-7.33,3.02,1.16,0.32,0.05,-41.55,4.91,-23.65,6
-20.08,-7.96,-7.21,-15.18,-7.06,1.37,1.06,0.49,0.14,-49.08,-21.67,2.56,6
-20.08,-7.53,-1.6,-8.98,-6.7,-3.84,0.83,0.52,0.16,-28.52,-28.01,15.53,6
-8.35,-7.72,-6.78,0.03,-9.13,-5.84,0.87,0.48,0.18,6.04,-9.59,17.92,6
3.25,-8.86,-7.8,11.76,-11.61,3.25,0.96,0.55,0.17,38.36,25.47,5.99,6
1.84,-10.19,-4.39,8.59,-7.72,4.39,1.21,0.41,0.05,41.38,36.04,-16.48,6
5.25,-9.17,-4.23,-5.13,-8.55,0.74,1.02,0.4,0.02,12.39,12.9,0.19,6
13.45,-9.72,0.62,-9.45,-8.19,-1.25,0.65,0.24,0.03,12.74,-9.3,13.56,6
16.16,-9.13,0.15,-18.55,-6.9,1.76,0.58,0.22,0.01,14.46,-4.43,23.04,6
18.59,-7.64,-3.88,-14.0,-5.57,1.01,0.65,0.44,0.1,11.55,7.16,20.52,6
13.49,-6.39,-9.17,-4.66,-6.31,-5.45,1.43,0.41,0.16,14.64,17.81,1.34,6
1.92,-7.13,-13.06,6.23,-8.98,-4.43,1.29,0.39,0.14,-17.76,11.23,-28.05,6
-19.8,-9.17,-10.08,19.73,-12.08,5.68,1.03,0.54,0.03,-34.91,-4.77,-27.93,6
-20.08,-10.0,-1.41,3.13,-10.78,0.47,0.94,0.42,0.06,-17.02,-14.43,-20.07,6
-10.31,-9.84,-4.43,-7.33,-9.96,0.82,0.75,0.22,0.13,2.38,-19.58,-6.28,6
0.03,-9.1,-5.72,-12.59,-8.0,-1.8,0.61,0.32,0.12,1.96,-8.23,-3.78,6
-1.49,-10.12,-3.17,-17.37,-6.94,0.11,0.81,0.81,0.05,4.4,3.23,13.48,6
1.49,-8.94,-4.78,-15.92,-5.29,0.86,1.59,0.41,0.01,33.75,18.73,4.21,6
5.68,-8.47,-3.92,-6.59,-6.19,-4.31,1.27,0.39,0.0,16.59,19.56,-4.87,6
11.14,-8.23,-1.52,1.6,-11.41,-4.35,0.87,0.41,0.01,2.33,0.86,0.6,6
16.51,-8.31,-1.41,12.27,-12.35,5.49,0.62,0.28,0.05,9.55,0.17,4.92,6
16.23,-7.25,-7.68,2.62,-8.62,0.58,0.5,0.25,0.07,4.03,-3.58,3.53,6
5.84,-4.47,-9.21,-4.98,-7.57,-4.23,0.52,0.36,0.09,-13.6,-7.41,4.73,6
-9.84,-6.08,-11.1,-12.35,-5.76,-3.56,0.91,0.43,0.2,-11.32,-2.0,15.59,6
-20.08,-9.53,-2.27,-15.49,-6.59,0.62,1.54,0.49,0.14,-14.4,0.45,6.54,6
-14.86,-5.84,-1.68,-13.41,-7.88,0.66,1.33,0.52,0.04,-48.71,-10.46,-10.49,6
-3.09,-7.68,-5.88,-8.11,-9.61,-4.86,1.07,0.48,0.05,-49.98,-16.85,-1.62,6
0.78,-10.51,-2.23,1.29,-11.29,-5.29,0.8,0.29,0.2,-27.26,-22.3,6.06,6
-1.17,-11.96,-4.0,9.68,-12.43,3.29,0.64,0.21,0.16,-9.15,-16.31,10.84,6
9.17,-10.51,-3.8,1.92,-9.06,4.43,0.56,0.35,0.03,15.33,3.85,9.04,6
9.84,-8.78,-1.84,-3.53,-7.6,2.23,0.67,0.63,0.06,29.66,11.84,10.91,6
14.78,-7.41,-2.66,-4.86,-5.68,-1.37,1.39,0.42,0.23,32.16,8.16,-6.73,6
16.55,-7.64,-4.9,-11.96,-6.66,1.25,1.37,0.32,0.11,39.03,21.51,-12.72,6
11.41,-6.11,-10.08,-15.76,-6.9,2.51,0.8,0.52,0.07,38.6,21.95,-5.34,6
0.54,-7.8,-11.72,-11.72,-8.43,2.11,0.68,0.38,0.16,25.0,1.33,4.01,6
-13.72,-9.53,-8.31,-5.64,-8.82,-4.7,0.72,0.32,0.17,3.04,-10.47,3.51,6
-20.08,-10.31,0.7,8.7,-11.65,-6.19,0.88,0.43,0.14,-26.72,-9.3,-12.39,6
-13.41,-7.68,-5.57,20.04,-11.88,6.66,1.11,0.38,0.19,-35.8,0.97,-25.97,6
-3.17,-7.25,-15.02,2.39,-8.31,-4.55,1.26,0.41,0.07,-19.63,3.4,-16.54,6
6.15,-7.76,-11.25,-5.09,-8.47,-10.59,1.08,0.51,0.04,-38.18,-18.3,1.98,6
14.2,-6.04,-4.9,-18.43,-8.23,-4.39,0.71,0.36,0.17,-30.85,-22.33,0.46,6
19.73,-7.72,2.39,-19.26,-7.02,-1.64,0.67,0.3,0.22,-21.55,-13.91,-5.21,6
15.88,-7.64,-2.7,-9.96,-6.08,-6.43,0.82,0.56,0.14,7.95,7.27,3.28,6
18.9,-6.7,-7.45,-7.92,-5.76,-8.9,1.22,0.63,0.04,38.68,21.04,7.95,6
13.33,-4.47,-13.06,0.9,-6.9,-6.04,1.18,0.5,0.08,30.65,18.79,0.45,6
-3.21,-4.94,-13.18,9.33,-10.66,0.03,1.02,0.31,0.05,6.43,8.85,-7.37,6
-20.08,-9.37,-3.6,10.59,-10.86,6.66,0.73,0.25,0.06,17.1,12.82,-9.51,6
-20.08,-7.49,-2.35,1.72,-9.33,1.05,0.52,0.33,0.0,18.88,3.51,2.14,6
-4.47,-9.96,-11.1,-2.15,-8.04,0.27,0.6,0.46,0.14,6.46,-17.97,23.98,6
4.35,-9.84,-7.8,-6.51,-6.27,-2.07,1.16,0.43,0.13,0.45,-14.97,34.45,6
3.64,-8.82,-9.72,-12.78,-6.98,0.11,1.33,0.45,0.01,-26.12,3.21,-3.73,6
17.41,-9.84,-5.29,-14.67,-7.49,0.66,1.08,0.42,0.03,-32.17,0.78,-24.17,6
20.04,-9.49,0.43,-13.88,-9.29,0.19,1.02,0.36,0.05,-21.73,5.69,-26.18,6
17.57,-8.9,-1.01,-7.68,-8.66,-5.92,0.78,0.3,0.05,-4.55,-5.16,-10.19,6
14.31,-7.8,-9.84,2.47,-9.41,-5.8,0.6,0.38,0.1,-8.63,-18.65,5.64,6
4.82,-6.47,-14.04,11.41,-10.66,1.96,0.74,0.62,0.18,-11.83,-19.15,16.96,6
-10.23,-7.13,-11.68,9.53,-8.66,5.53,1.22,0.54,0.19,11.6,-19.61,23.12,6
-20.08,-10.0,-2.66,-1.88,-7.17,-3.09,1.2,0.4,0.15,44.42,13.04,-11.61,6
-16.51,-7.64,-2.62,-4.55,-8.59,-5.6,1.05,0.48,0.0,39.97,31.65,-27.81,6
-3.29,-8.11,-10.98,-16.51,-9.45,-5.02,0.97,0.42,0.01,23.34,22.17,-14.54,6
4.04,-11.25,-8.55,-19.06,-9.02,0.66,0.63,0.38,0.03,2.41,0.75,8.82,6
6.82,-9.13,-4.19,-15.53,-7.45,0.9,0.58,0.32,0.09,-8.55,-14.31,14.31,6
14.27,-8.39,0.66,-9.25,-5.76,-6.55,0.84,0.34,0.11,-3.51,-7.43,11.58,6
15.88,-7.33,0.19,-1.68,-7.21,-9.17,1.25,0.45,0.12,2.55,11.43,-9.96,6
19.8,-7.57,-4.23,6.31,-8.9,-2.62,1.2,0.53,0.1,-18.22,8.28,-24.48,6
16.23,-6.47,-9.06,16.16,-11.8,5.21,1.12,0.54,0.07,-24.44,4.34,-25.01,6
2.62,-7.21,-14.51,4.04,-10.59,-1.64,0.96,0.5,0.02,-12.6,-4.88,-12.04,6
-16.12,-8.55,-10.78,-3.56,-10.86,-4.94,0.79,0.28,0.05,-1.54,-14.36,3.28,6
-20.08,-9.25,-1.21,-10.39,-8.08,-6.15,0.53,0.25,0.13,0.28,-14.31,3.96,6
-12.08,-8.27,-4.86,-17.33,-6.82,0.98,0.62,0.72,0.1,-19.7,-15.67,9.15,6
0.03,-8.11,-9.68,-13.37,-6.11,-1.33,1.19,0.67,0.11,-6.46,-11.69,20.05,6
2.7,-9.45,-8.35,-11.72,-5.96,-3.6,1.29,0.37,0.02,30.78,26.38,-10.56,6
5.13,-9.92,-8.27,-6.51,-6.82,-5.88,1.13,0.39,0.03,33.64,32.35,-24.33,6
14.43,-10.94,0.66,0.23,-10.12,-6.59,0.85,0.41,0.04,10.79,18.5,-16.88,6
12.0,-8.94,1.8,8.43,-11.45,-1.72,0.55,0.43,0.05,-9.59,-9.67,5.77,6
15.37,-8.7,-3.17,13.37,-10.59,6.66,0.51,0.24,0.07,-8.98,-31.72,17.85,6
11.68,-6.23,-8.9,4.11,-7.17,0.66,0.94,0.33,0.08,22.33,-22.27,35.76,6
5.84,-5.88,-10.0,-1.17,-6.08,-2.35,1.61,0.58,0.09,63.76,15.39,41.26,6
-7.96,-6.78,-8.74,-7.92,-5.6,-3.6,1.01,0.65,0.09,12.92,7.18,-3.49,6
-20.08,-10.78,0.94,-17.02,-9.21,-1.72,0.95,0.34,0.0,-32.37,-1.94,-28.17,6
-15.25,-6.82,0.54,-18.04,-10.12,1.56,0.75,0.33,0.02,-20.84,12.05,-44.21,6
-4.51,-9.84,-7.92,-10.86,-9.29,-1.64,0.57,0.36,0.03,-6.1,13.69,-10.61,6
2.31,-10.47,-8.59,-1.17,-9.64,-5.6,0.8,0.75,0.15,-8.22,-18.86,26.91,6
6.19,-9.45,-3.09,14.51,-12.27,3.84,1.48,0.24,0.3,10.84,-17.72,27.02,6
12.9,-8.7,1.17,3.41,-5.29,0.78,1.07,0.27,0.07,55.63,18.97,5.43,6
14.78,-8.78,2.58,-9.96,-5.53,-4.78,0.84,0.4,0.04,61.88,37.81,-6.19,6
18.24,-7.25,-5.09,-15.49,-5.88,-1.41,0.82,0.66,0.28,18.37,20.79,-2.51,6
18.24,-6.08,-9.68,-16.35,-6.78,0.98,0.96,0.69,0.25,-40.26,-19.65,3.2,6
11.21,-4.31,-11.49,-13.02,-8.27,-6.35,0.96,0.4,0.04,-56.15,-20.92,-16.06,6
-12.31,-7.21,-10.9,0.82,-9.68,-9.84,1.02,0.0,0.06,-14.6,-8.73,-24.43,6
-20.08,-7.53,-2.11,3.88,-10.27,-4.78,0.78,0.32,0.2,-15.76,-10.75,-6.17,6
-16.94,-8.43,0.62,10.31,-11.53,1.45,0.59,0.47,0.07,-11.9,-24.91,16.54,6
-9.49,-8.59,-6.35,9.68,-10.43,4.07,0.85,0.73,0.05,-10.26,-31.9,45.19,6
-1.29,-7.76,-5.96,2.31,-8.51,-3.49,1.4,0.48,0.22,1.31,-16.36,10.43,6
0.66,-9.84,-7.8,-6.35,-7.64,-6.31,0.89,0.45,0.16,12.65,17.24,-21.17,6
0.94,-11.41,-10.0,-11.06,-6.82,-8.08,0.87,0.51,0.13,14.07,30.41,-35.46,6
12.74,-10.39,-4.07,-20.08,-8.7,-1.8,0.87,0.5,0.01,9.51,24.18,-16.86,6
12.0,-8.04,1.56,-17.06,-8.27,-1.13,0.87,0.3,0.05,9.23,1.74,15.71,6
11.61,-9.57,0.58,-12.19,-6.62,-7.96,0.77,0.24,0.0,4.92,0.2,13.53,6
12.59,-7.06,-7.57,-4.74,-6.08,-7.88,0.83,0.41,0.1,8.9,4.24,9.86,6
9.57,-7.57,-11.02,1.84,-6.47,-3.49,1.08,0.62,0.19,-2.89,8.44,10.58,6
-1.76,-7.6,-11.41,11.25,-10.35,2.54,1.06,0.56,0.17,-32.04,0.58,-12.39,6
-20.08,-11.57,-4.43,9.61,-10.51,2.7,1.0,0.44,0.02,-32.59,-1.04,-34.77,6
-20.08,-9.57,0.43,3.41,-10.9,0.07,0.93,0.31,0.02,-3.25,9.08,-25.62,6
-6.08,-10.98,-13.61,0.19,-11.06,-2.58,0.83,0.39,0.06,2.84,-3.11,4.69,6
7.84,-9.41,-8.78,-10.94,-7.45,-1.56,0.82,0.5,0.0,-26.9,-29.34,29.05,6
11.96,-7.29,-3.41,-16.27,-7.45,1.76,0.89,0.57,0.22,-45.91,-40.52,30.18,6
17.88,-7.41,1.05,-17.37,-5.88,-2.9,1.12,0.4,0.19,-16.77,-20.48,18.55,6
19.29,-7.25,0.9,-8.55,-6.0,-6.11,0.96,0.46,0.23,26.99,12.58,-5.39,6
16.12,-7.29,-6.98,0.0,-8.62,-8.51,0.83,0.56,0.11,47.93,32.02,-26.81,6
7.6,-5.96,-12.55,11.57,-10.55,0.47,0.84,0.55,0.08,38.71,31.08,-24.28,6
-9.1,-6.78,-13.96,11.53,-9.8,7.1,0.88,0.32,0.0,6.88,8.12,-11.49,6
-20.08,-10.15,-6.04,0.54,-8.59,-1.49,0.67,0.27,0.03,0.31,-14.95,5.58,6
-17.69,-8.51,-1.92,-3.68,-7.72,-4.47,0.65,0.38,0.0,6.47,-16.7,18.4,6
-1.21,-10.35,-11.65,-9.29,-6.35,-4.04,1.07,0.6,0.13,15.0,0.38,34.34,6
5.17,-9.64,-7.64,-14.67,-6.86,0.62,1.54,0.53,0.02,0.77,6.6,18.47,6
5.37,-8.31,-4.51,-11.8,-8.78,0.35,1.02,0.56,0.09,-20.95,0.7,-6.97,6
