d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
20.04,6.62,0.58,-20.08,6.78,-2.7,1.39,0.48,0.05,30.33,0.15,5.3,1
20.04,5.84,4.66,-20.08,7.37,0.66,1.42,0.65,0.09,1.73,5.39,-5.21,1
20.04,6.39,6.62,-20.08,2.98,-1.09,1.16,0.56,0.01,-27.82,-24.23,15.73,1
20.04,2.94,-1.05,-14.43,0.27,-4.7,1.0,0.41,0.14,-42.73,-22.6,0.65,1
9.8,1.21,-8.39,-8.31,-3.02,-6.15,0.98,0.33,0.23,-29.18,-9.27,-19.33,1
5.76,-2.0,-11.17,-2.98,-3.29,-7.84,0.95,0.35,0.24,-4.72,6.14,-23.8,1
-5.09,-3.88,-14.0,1.96,-5.29,-9.96,0.78,0.5,0.11,0.75,7.47,-13.76,1
-9.41,-5.57,-12.47,9.21,-5.29,-10.82,0.72,0.49,0.1,2.86,-8.3,6.44,1
-9.92,-6.15,-12.27,10.23,-4.58,-9.84,0.84,0.34,0.2,-9.66,-13.13,8.33,1
-15.06,-6.39,-13.76,8.08,-2.43,-9.02,0.87,0.33,0.21,-3.82,0.24,-3.49,1
-10.74,-3.88,-9.76,7.88,-1.41,-8.98,0.79,0.44,0.18,8.62,9.06,-5.0,1
-11.41,-1.01,-8.74,12.67,-2.0,-10.43,0.73,0.42,0.16,14.71,4.3,0.39,1
-3.53,4.35,-6.74,11.45,2.19,-10.39,0.75,0.36,0.19,18.83,1.56,0.59,1
7.96,8.27,-7.8,-4.43,8.59,-7.96,0.8,0.39,0.23,32.97,8.34,-3.55,1
20.04,5.84,-4.47,-20.08,5.21,-6.19,0.86,0.36,0.23,52.09,24.41,-10.75,1
20.04,2.66,-1.37,-20.08,4.58,-2.35,1.15,0.55,0.08,47.38,6.05,6.42,1
20.04,1.41,2.43,-20.08,5.06,-3.02,1.52,0.58,0.14,18.17,8.47,4.06,1
