d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
9.29,-3.45,0.39,-9.41,-2.43,3.49,0.95,0.37,0.05,0.6,0.47,0.02,0
9.29,-3.56,0.5,-9.57,-2.43,3.41,0.94,0.36,0.07,0.57,0.06,0.36,0
9.49,-3.64,0.62,-9.61,-2.35,3.53,0.95,0.36,0.06,-1.34,0.34,-1.26,0
9.68,-3.56,0.43,-9.8,-2.39,3.53,0.95,0.35,0.06,-1.29,0.01,0.31,0
9.45,-3.49,0.54,-9.57,-2.31,3.56,0.95,0.37,0.06,0.92,0.53,0.14,0
9.21,-3.41,0.23,-9.21,-2.39,3.45,0.94,0.36,0.06,0.36,0.89,0.6,0
8.9,-3.41,0.43,-9.13,-2.31,3.33,0.95,0.37,0.07,0.75,0.32,2.57,0
9.13,-3.53,0.31,-9.33,-2.31,3.6,0.96,0.35,0.06,0.13,0.91,2.27,0
9.29,-3.56,0.27,-9.57,-2.31,3.49,0.95,0.35,0.06,0.05,0.37,1.25,0
9.8,-3.56,0.35,-9.68,-2.31,3.17,0.95,0.37,0.07,0.2,0.76,0.98,0
9.41,-3.56,0.5,-9.68,-2.31,3.56,0.95,0.37,0.07,-1.46,-1.88,1.37,0
9.41,-3.56,0.47,-9.64,-2.35,3.68,0.95,0.34,0.06,-1.07,-1.49,0.77,0
9.41,-3.41,0.31,-9.72,-2.31,3.8,0.95,0.34,0.05,0.69,0.61,0.33,0
9.33,-3.49,0.5,-9.53,-2.23,3.8,0.95,0.36,0.07,0.04,0.08,0.03,0
9.37,-3.37,0.54,-9.37,-2.23,3.72,0.95,0.36,0.07,0.33,0.65,0.97,0
9.41,-3.49,0.66,-9.37,-2.27,3.64,0.95,0.35,0.06,0.05,0.18,0.57,0
9.29,-3.37,0.5,-9.57,-2.35,3.49,0.95,0.36,0.06,0.24,0.14,0.12,0
9.49,-3.49,0.58,-9.72,-2.39,3.41,0.95,0.35,0.06,0.81,0.76,0.59,0
9.33,-3.45,0.47,-9.57,-2.39,3.37,0.95,0.36,0.07,0.53,0.63,0.16,0
9.49,-3.6,0.54,-9.57,-2.35,3.49,0.95,0.36,0.06,0.96,0.2,0.2,0
9.45,-3.45,0.35,-9.53,-2.35,3.64,0.95,0.35,0.06,0.46,0.4,0.04,0
9.41,-3.45,0.27,-9.61,-2.31,3.64,0.95,0.36,0.06,0.39,0.5,0.71,0
9.37,-3.25,0.35,-9.57,-2.23,3.37,0.95,0.36,0.07,0.52,0.56,0.69,0
9.41,-3.45,0.47,-9.45,-2.23,3.53,0.95,0.35,0.06,0.88,0.01,0.06,0
9.41,-3.45,0.7,-9.57,-2.27,3.64,0.95,0.35,0.06,1.07,0.07,0.05,0
9.45,-3.25,0.58,-9.53,-2.23,3.56,0.95,0.36,0.07,1.15,0.22,0.05,0
9.49,-3.49,0.66,-9.61,-2.35,3.56,0.95,0.35,0.06,0.78,0.6,0.65,0
9.45,-3.33,0.7,-9.61,-2.31,3.56,0.95,0.36,0.07,0.29,0.13,0.44,0
9.61,-3.49,0.31,-9.57,-2.31,3.49,0.94,0.35,0.06,0.43,0.06,0.27,0
9.41,-3.37,0.43,-9.57,-2.35,3.49,0.94,0.36,0.07,0.75,0.13,0.04,0
9.37,-3.41,0.11,-9.61,-2.35,3.53,0.95,0.36,0.07,0.29,0.37,0.12,0
