d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
5.06,-3.05,11.06,0.86,-2.58,2.62,0.78,0.21,0.04,-10.65,-3.56,-7.76,3
5.02,-6.9,5.64,-5.41,-5.96,8.66,0.76,0.22,0.08,-3.3,0.88,-4.31,3
7.53,-5.72,1.49,-7.29,-4.62,20.04,0.89,0.29,0.11,0.64,-2.61,6.19,3
6.39,0.43,5.29,-13.25,0.19,18.59,1.13,0.41,0.04,17.55,-2.68,8.59,3
4.58,-2.47,1.72,-7.25,0.9,15.8,1.26,0.49,0.0,15.26,-3.59,7.63,3
4.31,-6.43,-3.02,-7.06,-3.88,12.35,1.15,0.41,0.07,9.68,0.49,0.67,3
0.03,-6.86,0.62,-7.02,-3.68,6.47,0.87,0.26,0.08,5.47,12.85,-14.75,3
2.54,-3.13,6.31,-6.47,-5.09,3.09,0.71,0.28,0.07,-2.32,8.6,-14.88,3
4.35,0.9,11.84,-1.96,-4.7,2.86,0.74,0.27,0.04,-4.33,-4.77,-2.27,3
6.74,-1.6,11.17,-3.25,-4.11,0.7,0.89,0.29,0.01,0.8,-11.32,6.85,3
5.21,-1.64,10.59,-5.17,-2.54,2.23,1.12,0.31,0.0,4.83,-1.72,6.72,3
1.84,-1.45,11.72,-3.25,-2.86,5.13,1.29,0.34,0.13,15.72,6.25,3.34,3
4.31,-3.13,12.0,-3.05,-3.88,9.17,1.07,0.39,0.14,18.39,1.54,3.32,3
7.76,-3.6,10.51,2.82,-5.29,11.02,0.88,0.3,0.07,1.31,-4.43,-1.88,3
3.72,-4.0,9.53,-5.41,-3.45,11.65,0.78,0.23,0.0,-9.24,0.32,-9.87,3
5.92,-3.96,9.33,-13.57,-3.17,14.0,0.77,0.24,0.04,-8.47,-1.17,-11.14,3
7.17,-2.51,6.08,-3.45,-2.35,15.61,0.91,0.31,0.03,-3.57,-8.1,1.24,3
3.09,0.82,4.39,0.78,-1.88,17.02,1.1,0.41,0.08,0.38,-13.75,9.58,3
2.51,-1.88,2.15,-5.13,-2.27,14.9,1.22,0.45,0.08,2.93,-7.34,2.98,3
3.02,-4.39,0.62,-4.62,-3.33,10.63,1.09,0.37,0.06,11.84,5.09,-2.29,3
3.45,-5.17,2.31,-2.7,-4.47,8.7,0.94,0.34,0.07,3.69,11.69,-12.48,3
3.02,-2.82,9.33,-3.64,-5.37,4.62,0.81,0.26,0.09,-6.37,6.25,-9.65,3
2.54,-2.35,12.12,-5.25,-5.17,0.0,0.74,0.24,0.06,-12.35,0.86,-5.29,3
5.76,-1.96,13.8,-4.15,-3.21,1.37,0.82,0.33,0.02,-13.15,-8.09,-3.36,3
3.21,-3.17,14.51,-2.51,-2.94,2.94,1.03,0.33,0.01,-4.35,-4.34,-8.69,3
1.05,-5.29,9.53,0.47,-3.56,4.15,1.24,0.38,0.05,6.0,6.39,-10.35,3
7.29,-6.51,4.43,1.41,-3.56,16.78,1.19,0.46,0.04,0.92,6.32,-8.23,3
5.53,-4.35,4.07,-7.57,-2.07,20.04,0.93,0.36,0.05,-6.96,-4.18,0.17,3
0.78,-2.31,5.02,-5.45,0.98,19.53,0.74,0.29,0.0,-12.02,-3.65,-4.55,3
2.86,-3.8,1.09,-1.88,-2.9,15.25,0.69,0.31,0.01,-20.17,-5.48,-5.17,3
4.86,-3.92,0.82,-2.74,-3.88,10.47,0.9,0.38,0.02,-33.82,-13.59,8.79,3
1.01,-3.45,3.68,-4.15,-4.47,5.6,1.25,0.44,0.09,-29.69,-17.31,12.03,3
