d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
-1.92,-9.72,-14.9,-4.27,5.57,2.27,0.83,0.16,0.16,54.26,11.41,1.56,10
1.25,-9.21,-15.65,-5.8,4.27,2.19,0.91,0.14,0.01,63.08,11.6,-12.91,10
4.58,-7.49,-14.23,-5.21,4.7,3.49,0.73,0.14,0.12,91.87,26.94,-19.42,10
11.06,-3.96,-14.23,-2.47,4.74,4.55,0.51,0.18,0.1,107.37,49.92,-22.85,10
12.59,0.74,-12.51,0.39,5.09,5.25,0.4,0.38,0.03,78.1,36.02,-2.52,10
19.84,3.72,-3.17,1.29,7.33,5.76,0.89,0.64,0.41,52.97,0.51,17.64,10
20.04,0.74,7.29,0.54,11.88,6.27,1.82,0.55,0.56,95.27,-10.56,44.47,10
10.19,0.78,20.04,-3.45,15.02,6.11,1.28,0.72,0.23,151.78,26.72,28.7,10
2.47,-5.41,20.04,-4.11,14.27,5.09,1.2,0.74,0.08,151.55,40.64,3.59,10
-9.33,-5.53,19.41,-4.27,13.84,6.04,1.2,0.46,0.06,140.86,57.07,-36.52,10
-10.94,-5.33,10.74,-6.39,10.9,4.47,0.89,0.45,0.17,99.59,33.41,-33.82,10
-9.64,-4.11,0.62,-6.78,7.25,3.09,0.69,0.36,0.34,96.05,-1.04,-17.8,10
-11.06,-5.49,-8.31,-5.57,6.62,2.7,0.68,0.21,0.53,134.17,12.69,-36.27,10
-8.04,-8.27,-17.25,-5.37,7.21,2.11,0.55,0.37,0.62,180.7,57.22,-42.12,10
-1.76,-10.04,-20.08,-7.1,10.19,1.72,0.84,0.36,0.25,238.25,114.31,-12.17,10
6.86,-7.8,-19.96,-7.17,9.06,2.82,1.32,0.44,0.34,241.46,125.43,-42.63,10
17.92,-5.49,-11.65,-5.72,10.12,3.84,1.0,0.67,0.5,138.89,49.21,-33.45,10
20.04,-5.06,-2.98,-3.25,9.1,3.92,1.08,0.31,0.34,59.07,23.03,-18.83,10
20.04,-3.41,5.57,-3.02,6.43,4.19,1.03,0.27,0.03,50.55,11.18,-19.65,10
19.29,-1.56,12.86,-3.41,4.86,4.94,0.83,0.09,0.22,79.64,22.56,-24.39,10
8.59,0.19,14.82,-1.96,3.84,3.45,0.7,0.09,0.11,128.7,36.23,-25.98,10
-4.74,2.27,10.43,-1.84,2.15,2.51,0.38,0.2,0.19,162.95,55.72,-28.52,10
-9.53,0.58,5.33,-3.88,3.33,3.02,0.21,0.3,0.12,132.52,37.63,-8.2,10
-11.37,-6.08,-4.9,-6.55,8.27,3.56,1.07,0.83,0.46,70.5,-14.52,31.3,10
-18.24,-15.37,-15.45,-8.23,15.02,5.25,1.88,0.49,0.04,118.54,4.52,14.27,10
-2.7,-16.2,-20.08,-8.78,15.02,4.9,1.18,0.76,0.16,118.92,37.24,-13.64,10
12.0,-13.8,-19.73,-6.39,14.04,6.62,1.3,0.88,0.18,58.06,27.13,-22.85,10
18.31,-10.47,-15.84,-7.45,13.84,7.1,1.2,0.52,0.26,44.61,42.49,-19.86,10
20.04,-3.29,-4.82,-5.53,8.7,5.21,0.68,0.36,0.44,42.89,24.0,-11.14,10
20.04,3.6,9.72,-2.51,5.76,4.62,0.55,0.27,0.55,96.81,22.69,-16.0,10
14.78,4.74,20.04,0.11,5.02,3.64,0.37,0.29,0.59,143.3,33.66,-14.33,10
0.39,5.17,17.1,0.31,7.33,1.84,0.58,0.27,0.49,206.22,70.92,-24.83,10
-4.55,3.92,10.43,-3.33,9.61,1.68,0.92,0.58,0.12,228.43,127.68,-14.12,10
-8.08,1.6,6.51,-4.58,10.74,1.8,1.73,0.19,0.31,252.42,134.6,-46.52,10
-8.47,-1.29,1.09,-6.51,9.49,2.74,1.12,0.48,0.53,116.39,63.49,-61.71,10
-7.33,-3.53,-4.58,-6.19,5.76,2.47,0.74,0.11,0.27,77.84,4.09,-7.32,10
-9.68,-6.51,-8.39,-5.33,2.94,4.11,0.61,0.02,0.08,75.97,16.04,-16.52,10
-10.51,-9.17,-11.53,-3.96,2.31,4.62,0.29,0.11,0.19,75.22,24.7,-25.08,10
-4.58,-8.47,-17.02,-4.98,2.62,3.92,0.15,0.26,0.46,63.36,17.08,-11.14,10
-2.31,-10.63,-17.57,-5.68,8.43,6.08,1.1,1.19,0.9,74.91,30.09,52.3,10
0.23,-13.88,-19.22,-6.66,15.14,7.41,1.99,0.65,0.11,196.74,65.68,2.39,10
6.23,-12.63,-15.41,-6.51,13.65,5.8,1.15,0.82,0.15,170.58,71.92,-22.46,10
16.51,-8.39,-2.74,-3.68,13.65,5.64,1.12,0.86,0.0,84.81,41.4,-13.23,10
20.04,-5.02,5.17,-5.25,12.67,4.66,1.13,0.61,0.32,38.17,20.12,-19.34,10
20.04,-1.17,18.78,-4.78,9.25,3.49,0.83,0.42,0.54,48.19,14.02,-4.58,10
3.49,-1.84,17.57,-3.76,7.1,2.07,0.66,0.33,0.61,123.44,6.92,-9.2,10
-4.19,-2.0,10.47,-2.19,6.74,1.88,0.51,0.37,0.74,202.17,46.33,-25.88,10
-9.76,-2.03,3.45,-3.49,8.66,1.13,0.42,0.37,0.77,252.42,81.08,-29.73,10
-7.29,-3.17,-1.52,-5.72,10.04,0.86,1.0,0.8,0.13,252.42,160.07,-19.72,10
-7.6,-5.76,-7.02,-7.84,11.29,3.02,1.04,0.97,0.51,252.42,172.31,-61.94,10
-10.27,-9.53,-10.78,-6.74,9.96,3.56,1.13,0.58,0.62,177.67,86.37,-42.4,10
-3.56,-8.23,-13.69,-5.21,8.11,3.29,1.08,0.3,0.34,142.49,46.95,-9.45,10
0.86,-9.29,-17.29,-6.04,6.08,4.04,0.85,0.23,0.0,109.0,23.24,-11.51,10
2.27,-9.37,-19.1,-5.13,5.41,4.66,0.71,0.23,0.1,122.16,48.54,-33.76,10
7.8,-6.11,-19.65,-3.13,4.11,4.35,0.58,0.21,0.09,139.43,73.11,-36.17,10
12.31,-3.25,-12.86,-2.0,3.45,3.8,0.59,0.22,0.1,153.59,93.92,-33.59,10
16.86,0.03,-9.21,-1.76,4.07,4.39,0.44,0.35,0.0,121.92,77.73,-18.3,10
20.04,3.53,1.84,-1.09,7.53,3.8,0.55,0.6,0.19,99.94,41.85,28.21,10
13.65,1.52,16.9,-2.11,11.06,3.49,1.14,0.88,0.5,86.2,7.39,73.92,10
2.98,-2.58,18.24,-4.0,14.16,2.7,1.99,0.83,0.43,150.42,26.04,56.98,10
-5.06,-7.21,16.27,-6.39,16.71,2.9,1.3,0.85,0.15,199.97,68.56,-13.38,10
-5.49,-8.9,9.53,-11.25,13.57,1.05,0.94,0.67,0.07,174.84,70.58,-32.52,10
-8.19,-8.23,6.59,-10.12,9.33,1.17,0.69,0.49,0.01,138.3,60.42,-30.3,10
-8.62,-6.62,0.19,-8.31,7.41,2.15,0.6,0.38,0.19,121.83,46.67,-24.58,10
-11.65,-7.6,-8.08,-9.88,5.57,0.19,0.64,0.38,0.36,134.52,30.1,-14.04,10
-10.82,-8.11,-12.23,-9.92,6.51,0.43,1.19,0.28,0.13,196.61,58.92,0.68,10
-5.76,-7.8,-15.37,-9.49,7.13,2.43,1.25,0.35,0.1,222.36,89.17,-22.17,10
-3.6,-8.11,-17.96,-7.84,7.84,3.25,0.88,0.6,0.4,158.91,66.39,-21.43,10
-2.23,-8.47,-18.16,-5.64,8.04,4.94,0.85,0.37,0.46,107.78,34.27,-16.91,10
2.94,-7.88,-16.39,-5.02,6.47,4.94,0.8,0.33,0.15,51.46,2.86,-19.37,10
12.23,-3.64,-12.12,-4.58,5.37,5.57,0.9,0.2,0.13,77.91,25.33,-27.62,10
16.63,0.27,-5.37,-2.39,4.74,5.8,0.67,0.26,0.16,95.91,46.33,-19.01,10
17.29,0.15,4.23,0.54,3.8,5.49,0.59,0.26,0.21,123.39,47.49,-9.14,10
15.14,0.39,11.72,0.66,5.06,4.7,0.56,0.43,0.22,106.3,36.56,18.25,10
7.33,-1.56,16.98,-2.62,7.49,4.31,0.88,0.6,0.31,97.45,-1.86,48.35,10
-4.23,-3.53,16.43,-4.78,12.23,4.7,1.85,0.63,0.46,98.81,-7.39,64.23,10
-13.33,-5.8,11.61,-8.0,16.63,4.62,1.34,0.83,0.22,149.74,30.24,0.27,10
-10.08,-6.78,4.98,-9.41,13.65,3.96,1.13,0.72,0.24,134.66,44.28,-32.93,10
-15.84,-8.11,0.31,-7.17,11.45,4.43,1.19,0.54,0.21,111.83,37.27,-33.23,10
-11.02,-5.96,-5.13,-7.76,8.78,3.68,0.92,0.4,0.28,98.38,29.13,-27.36,10
-7.88,-6.04,-11.88,-7.41,5.96,3.29,0.67,0.29,0.46,120.22,16.62,-21.09,10
-3.68,-6.86,-13.84,-6.27,5.64,3.41,0.54,0.17,0.53,155.42,40.81,-28.55,10
3.25,-9.49,-16.74,-5.53,5.88,3.76,0.39,0.25,0.41,205.23,92.36,-43.91,10
11.21,-7.8,-14.7,-5.06,8.31,4.0,0.35,0.46,0.03,194.79,127.32,-38.85,10
18.43,-9.57,-7.8,-5.09,10.98,6.23,0.81,0.85,0.7,145.68,94.97,-3.25,10
20.04,-10.27,2.11,-3.76,11.96,6.11,1.99,0.34,0.12,148.13,92.94,-76.98,10
17.69,-6.31,10.19,-2.23,10.27,5.17,1.26,0.49,0.05,95.9,36.17,8.92,10
7.53,-5.53,16.82,-2.39,9.53,5.02,1.19,0.38,0.03,103.48,27.44,-4.45,10
0.74,-4.51,14.04,-1.01,7.57,4.55,1.09,0.23,0.04,119.06,50.82,-25.31,10
-5.49,-2.9,7.6,-1.25,4.51,2.78,0.54,0.14,0.09,123.52,57.31,-34.0,10
-6.51,-1.56,0.23,-2.47,0.5,1.88,0.19,0.01,0.06,107.43,48.73,-17.83,10
-5.17,0.74,-1.52,-2.51,1.6,2.51,0.02,0.12,0.09,112.49,27.4,8.56,10
-8.51,-2.39,-6.04,-4.94,7.92,4.62,0.65,0.99,0.59,61.43,-1.68,55.42,10
-13.02,-8.08,-14.51,-6.59,11.72,5.06,1.99,0.61,0.58,121.75,21.85,20.19,10
-7.25,-14.98,-15.84,-7.41,13.45,6.59,1.18,0.82,0.11,171.84,46.08,-32.81,10
1.01,-17.57,-17.14,-7.41,9.68,4.07,0.79,0.52,0.13,121.6,32.62,-22.98,10
7.33,-12.51,-13.53,-9.45,9.13,4.11,0.89,0.67,0.03,51.39,4.34,-16.39,10
19.37,-5.72,-9.13,-8.86,7.8,4.94,1.0,0.44,0.2,19.12,10.27,-26.17,10
20.04,0.98,-1.05,-6.27,6.78,5.41,0.78,0.56,0.49,41.88,0.01,-24.04,10
19.8,1.25,12.78,-3.88,7.13,5.17,0.7,0.62,0.71,110.56,21.47,-19.81,10
10.9,1.8,20.04,-2.58,9.02,4.04,0.67,0.6,0.62,182.02,50.75,-10.45,10
-3.41,1.45,18.16,-3.76,10.86,2.58,0.96,0.6,0.56,252.42,90.57,-11.58,10
-4.98,1.92,9.8,-4.51,13.02,2.62,1.17,0.53,0.1,252.42,152.24,-21.08,10
-9.45,-1.41,4.0,-5.09,12.43,3.21,1.06,0.68,0.23,252.42,142.16,-47.44,10
-9.17,-3.76,0.78,-5.72,8.74,2.66,0.81,0.35,0.46,170.06,59.34,-10.2,10
-7.92,-4.94,-6.08,-5.37,5.76,2.74,0.94,0.27,0.21,103.55,28.07,0.47,10
-4.35,-6.19,-8.7,-4.51,4.15,2.51,0.9,0.27,0.02,102.8,26.6,-14.26,10
-1.01,-5.53,-11.25,-4.78,3.68,2.47,0.79,0.18,0.14,116.47,47.63,-22.65,10
0.54,-7.1,-15.76,-5.13,3.8,3.17,0.66,0.15,0.15,138.49,73.85,-31.11,10
4.04,-11.21,-19.57,-4.82,3.88,3.09,0.51,0.15,0.09,114.58,77.05,-14.93,10
4.86,-7.45,-11.88,-4.35,4.47,4.0,0.43,0.4,0.23,80.55,46.99,9.44,10
6.7,-8.19,-11.84,-3.56,8.43,4.55,1.13,0.68,0.54,46.59,-9.07,48.82,10
14.86,-8.55,1.13,-4.15,14.39,5.06,1.95,0.61,0.23,127.72,20.94,1.84,10
18.24,-11.8,6.43,-6.94,16.27,4.66,1.17,0.75,0.18,157.26,51.02,-10.44,10
18.51,-8.11,20.04,-5.13,13.14,4.19,1.28,0.67,0.23,144.45,59.57,-22.94,10
5.53,-9.37,17.65,-4.0,13.37,3.68,1.08,0.54,0.25,142.58,65.64,-20.39,10
0.62,-5.64,9.88,-5.13,10.7,2.58,0.61,0.47,0.36,139.92,41.4,-19.85,10
-5.13,-3.88,2.74,-6.04,8.15,2.27,0.53,0.36,0.52,183.44,26.93,-14.74,10
-7.8,-3.84,0.35,-3.49,9.96,1.13,0.78,0.41,0.49,252.42,65.13,-26.1,10
-9.41,-5.84,-5.25,-4.35,10.7,0.7,1.16,0.59,0.17,252.42,124.13,-25.56,10
-12.31,-6.15,-9.33,-7.1,8.43,0.27,1.18,0.46,0.55,252.42,128.08,-77.66,10
-6.94,-4.7,-12.0,-7.29,7.96,0.7,0.91,0.15,0.4,156.59,64.6,-38.09,10
-2.51,-4.15,-15.88,-6.04,5.72,1.37,0.61,0.21,0.22,94.13,33.33,-16.81,10
-3.41,-6.0,-19.1,-5.17,3.64,2.66,0.54,0.24,0.02,103.94,36.5,-40.9,10
5.25,-6.0,-17.88,-2.47,2.54,3.56,0.37,0.08,0.22,101.5,56.33,-47.02,10
10.15,-2.54,-15.72,-1.33,3.02,3.33,0.37,0.13,0.4,115.04,64.06,-21.89,10
14.23,-1.01,-14.2,-2.19,8.04,4.35,0.53,0.93,0.25,123.34,37.44,30.55,10
20.04,2.31,-2.35,-3.05,10.9,5.02,1.78,0.85,0.42,135.65,11.89,49.28,10
14.08,0.03,7.57,-4.51,15.06,6.15,1.65,0.96,0.2,151.97,45.46,8.24,10
4.94,-3.05,16.55,-4.74,16.0,4.78,1.18,0.91,0.01,134.18,35.63,-14.22,10
2.94,-8.39,13.57,-7.45,11.33,3.84,1.19,0.64,0.1,116.42,31.47,-30.52,10
