d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
3.09,9.33,2.31,-1.88,9.37,4.82,0.98,0.31,0.04,7.85,2.81,1.51,0
3.09,9.37,2.39,-1.84,9.33,4.74,0.98,0.31,0.04,6.92,2.22,1.51,0
3.05,9.21,2.39,-1.88,9.17,4.7,0.97,0.31,0.03,5.1,2.53,1.8,0
2.66,9.1,2.35,-1.92,9.02,4.62,0.96,0.3,0.03,4.58,2.65,0.93,0
2.43,9.1,2.47,-1.96,9.02,4.66,0.97,0.3,0.04,4.49,2.45,1.14,0
2.19,9.21,2.47,-1.8,9.13,4.74,0.97,0.3,0.04,5.21,3.08,1.08,0
2.35,9.37,2.62,-1.76,9.17,4.82,0.98,0.3,0.04,4.52,3.54,0.17,0
2.51,9.41,2.54,-1.68,9.25,4.94,0.98,0.31,0.05,2.85,3.59,-1.27,0
2.47,9.29,2.47,-1.52,9.25,4.86,0.97,0.31,0.04,2.39,3.52,0.43,0
2.62,9.17,2.39,-1.56,9.06,4.9,0.97,0.31,0.05,3.1,2.47,1.43,0
2.54,9.17,2.35,-1.52,9.02,4.86,0.97,0.3,0.05,3.55,2.59,1.46,0
2.58,9.13,2.27,-1.56,9.02,4.78,0.97,0.31,0.04,2.55,2.97,0.17,0
2.58,9.21,2.31,-1.49,9.33,4.9,0.97,0.31,0.04,1.13,2.31,0.29,0
2.47,9.33,2.31,-1.45,9.17,5.02,0.98,0.31,0.04,1.36,1.73,0.43,0
2.35,9.29,2.31,-1.41,9.13,4.98,0.97,0.31,0.04,1.89,0.92,1.44,0
2.39,9.21,2.43,-1.45,9.02,5.02,0.97,0.31,0.05,1.82,0.48,1.19,0
2.43,9.1,2.51,-1.52,9.1,5.06,0.97,0.31,0.05,1.11,0.53,0.01,0
2.51,9.21,2.54,-1.6,9.21,5.06,0.98,0.31,0.05,0.39,0.11,0.23,0
2.62,9.21,2.54,-1.6,9.1,5.02,0.98,0.31,0.02,0.9,0.1,0.43,0
2.66,9.1,2.47,-1.72,9.06,4.94,0.96,0.31,0.04,1.35,0.01,0.89,0
