d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
7.92,7.84,20.04,-4.11,2.78,0.74,1.13,0.37,0.1,32.71,6.65,-6.97,8
2.47,4.78,14.82,-1.56,1.88,0.47,1.13,0.35,0.01,17.7,6.78,-22.07,8
4.35,4.43,7.21,0.62,1.45,11.02,0.89,0.38,0.02,-4.28,-2.05,-29.12,8
3.45,3.8,1.8,3.25,0.47,20.04,0.87,0.18,0.02,-7.55,-15.7,-14.27,8
3.64,3.96,-3.33,2.0,0.07,15.06,0.84,0.21,0.03,17.0,-10.56,11.2,8
2.07,3.29,-5.45,0.43,11.17,17.29,0.86,0.3,0.04,6.61,-6.75,29.08,8
0.78,2.39,-7.33,0.5,12.51,20.04,1.0,0.42,0.04,-26.05,-7.49,22.5,8
-2.9,1.17,-8.98,8.35,10.35,20.04,1.12,0.35,0.24,-48.4,-7.62,2.5,8
0.47,0.35,-12.39,4.78,8.55,20.04,1.09,0.4,0.3,-42.08,1.61,-11.71,8
10.82,0.11,-8.74,-1.17,5.8,19.06,1.07,0.33,0.15,3.55,7.24,-6.65,8
11.17,1.6,4.15,-4.55,6.94,16.74,0.91,0.29,0.05,33.83,17.7,-3.75,8
0.31,0.11,5.84,-5.72,5.8,12.47,0.8,0.27,0.05,18.67,21.77,-7.56,8
8.62,3.72,8.98,-2.0,5.88,8.86,0.77,0.3,0.12,-14.74,-3.23,-6.75,8
12.82,8.86,20.04,0.27,5.84,5.45,1.05,0.31,0.06,-16.36,-14.27,9.6,8
5.64,7.84,20.04,3.33,2.62,0.31,1.23,0.27,0.13,15.78,-6.39,18.47,8
7.21,8.35,20.04,0.31,-1.8,-2.19,1.0,0.3,0.04,37.46,5.92,10.66,8
7.53,10.23,20.04,-2.62,0.9,0.66,0.98,0.37,0.14,27.73,-5.58,-2.77,8
2.43,8.27,17.33,0.82,0.7,-1.21,1.03,0.38,0.01,8.49,-7.39,-19.27,8
1.8,6.15,15.57,-1.49,0.07,0.78,0.94,0.29,0.11,6.84,6.14,-19.61,8
3.33,4.47,10.27,-1.88,1.84,2.7,0.85,0.3,0.06,17.65,11.98,-10.98,8
2.11,3.92,5.13,0.11,1.92,7.41,0.83,0.29,0.0,12.71,1.51,0.15,8
3.72,4.11,1.84,-2.07,3.6,13.92,0.87,0.3,0.04,0.25,-6.37,4.82,8
3.92,3.88,-1.17,-3.49,3.05,14.31,1.0,0.39,0.03,-20.66,-8.0,8.62,8
2.31,3.09,-3.49,-5.13,7.64,17.1,1.18,0.45,0.07,-36.12,-9.45,11.19,8
-2.19,0.82,-6.15,3.21,8.94,20.04,1.14,0.38,0.13,-28.37,0.76,5.94,8
-1.49,0.27,-6.19,4.58,9.41,20.04,0.93,0.32,0.16,-14.03,5.8,2.47,8
2.86,-1.84,-8.98,4.86,8.43,20.04,0.85,0.3,0.15,1.65,9.4,-1.31,8
7.72,-1.88,-2.54,0.9,7.1,19.77,0.86,0.28,0.08,6.64,11.2,-3.48,8
7.53,0.82,3.09,-3.02,6.23,12.51,0.92,0.28,0.02,9.73,12.24,-1.91,8
0.19,0.27,5.84,-4.62,4.9,8.78,0.99,0.31,0.04,2.99,7.88,-2.32,8
6.78,3.64,13.84,-3.21,3.41,5.41,1.09,0.36,0.06,-1.51,1.14,0.11,8
8.86,6.55,20.04,3.25,2.82,3.29,1.17,0.38,0.01,3.39,-6.44,2.14,8
6.39,7.96,20.04,3.92,1.13,-1.37,1.03,0.36,0.01,16.26,-7.17,0.75,8
5.02,9.1,20.04,-6.27,0.11,-2.62,0.9,0.3,0.01,18.47,-2.23,-3.98,8
-3.09,8.08,20.04,-4.66,0.11,1.01,0.82,0.27,0.05,12.8,4.34,-14.75,8
-1.6,7.29,18.08,0.23,0.82,0.39,0.8,0.27,0.02,7.97,12.05,-16.7,8
-1.41,6.51,14.86,-1.56,0.39,0.0,0.85,0.29,0.02,13.3,19.17,-15.24,8
0.66,6.94,7.8,-1.76,3.29,7.13,1.02,0.43,0.01,10.32,6.25,-6.78,8
1.13,6.04,2.23,1.25,5.88,18.24,1.31,0.53,0.05,-4.84,-6.66,5.63,8
0.5,3.72,-4.86,0.31,4.78,19.69,1.13,0.42,0.0,0.76,-4.13,9.8,8
4.43,0.39,-9.13,-3.64,11.65,20.04,0.9,0.35,0.0,-4.35,-6.87,15.98,8
1.09,1.6,-2.15,4.11,10.35,20.04,0.78,0.29,0.06,-11.69,-1.95,8.96,8
2.74,2.82,-4.82,7.6,8.59,20.04,0.76,0.25,0.13,-13.78,7.6,5.92,8
1.76,1.25,-5.29,0.03,6.08,17.8,0.86,0.3,0.15,0.44,16.31,3.47,8
1.52,-1.45,-7.84,-5.49,4.19,11.21,1.06,0.34,0.0,13.34,11.06,5.73,8
7.57,-1.84,0.54,-4.55,2.43,8.7,1.2,0.3,0.13,14.23,0.72,-1.1,8
4.43,0.07,9.29,-5.21,2.54,5.37,1.17,0.36,0.12,4.96,-5.6,-1.52,8
8.9,3.56,18.43,1.17,1.25,3.13,0.99,0.34,0.01,-9.39,-7.81,2.62,8
12.74,6.19,20.04,7.53,1.25,4.19,0.88,0.29,0.08,-2.22,-17.53,2.95,8
10.19,7.92,20.04,1.64,0.86,0.5,0.79,0.27,0.11,15.29,-8.84,2.57,8
7.06,9.45,20.04,-5.92,0.47,-1.05,0.8,0.33,0.07,27.97,1.1,0.16,8
0.35,9.21,20.04,-4.86,-1.09,0.11,1.0,0.38,0.06,24.7,3.32,-8.52,8
0.43,7.6,16.82,-1.25,-1.05,-1.09,1.2,0.38,0.08,26.12,12.0,-13.97,8
0.86,5.33,11.76,-3.84,0.78,0.31,1.17,0.39,0.04,21.07,13.37,-6.88,8
1.01,4.11,5.41,-3.21,5.68,9.96,1.04,0.44,0.05,9.02,1.44,0.55,8
3.37,4.62,3.41,0.74,8.19,16.39,0.82,0.3,0.06,-12.6,0.91,2.32,8
2.35,4.47,-2.58,-4.27,8.59,16.94,0.77,0.22,0.03,-27.25,-8.72,4.69,8
1.05,1.45,-5.21,-4.94,11.57,20.04,0.77,0.27,0.07,-31.53,-5.26,13.57,8
0.66,4.11,-4.86,3.72,10.12,20.04,0.93,0.31,0.1,-32.89,5.04,18.47,8
0.43,0.23,-9.72,3.25,9.88,20.04,1.21,0.29,0.01,-26.39,6.14,14.35,8
2.27,0.86,-6.51,0.43,7.72,19.61,1.14,0.36,0.06,-9.51,5.41,0.67,8
5.92,0.07,-9.96,-1.88,6.39,14.23,1.04,0.36,0.01,-10.5,3.6,0.78,8
10.55,0.23,-1.09,-4.0,6.23,10.35,0.92,0.29,0.01,-25.42,3.97,-8.59,8
4.78,1.33,9.57,-4.66,5.13,5.37,0.77,0.27,0.02,-31.44,1.3,-11.12,8
11.57,4.23,11.8,-4.19,5.25,3.05,0.73,0.27,0.04,-26.68,-12.46,-2.71,8
12.19,7.57,20.04,0.07,2.58,0.39,0.93,0.32,0.19,-10.69,-21.86,8.47,8
9.02,9.33,20.04,2.15,0.62,-1.09,1.2,0.4,0.19,22.23,-3.46,6.83,8
6.39,8.59,20.04,0.27,0.11,-4.74,1.36,0.43,0.12,52.73,5.96,2.01,8
-3.17,7.68,20.04,-3.76,0.5,0.9,1.06,0.39,0.02,57.47,3.38,-11.48,8
-2.43,6.27,20.04,-4.7,0.39,0.54,0.86,0.29,0.01,43.4,4.14,-24.75,8
2.0,4.66,16.23,-2.27,0.94,3.64,0.78,0.18,0.06,36.54,15.4,-20.07,8
1.84,5.45,8.27,-2.23,3.33,8.59,0.73,0.26,0.07,25.06,17.24,-6.91,8
3.09,5.92,2.7,-2.66,6.51,10.15,0.9,0.4,0.11,9.78,-2.67,11.72,8
2.0,6.74,0.23,-7.06,11.65,15.69,1.15,0.35,0.18,-15.47,-10.7,16.27,8
1.96,5.53,-5.96,-6.82,11.06,20.04,1.26,0.36,0.23,-31.12,-7.44,18.73,8
1.68,5.06,-6.82,1.41,9.68,20.04,1.15,0.36,0.01,-44.7,-5.96,17.99,8
-2.54,-1.29,-15.8,-4.0,13.37,20.04,0.92,0.31,0.13,-46.96,-4.17,3.81,8
2.74,0.23,-6.74,0.62,10.74,20.04,0.76,0.3,0.22,-37.53,-1.54,-2.28,8
7.53,1.17,-4.55,0.35,7.25,16.55,0.74,0.25,0.15,-12.99,6.56,-3.62,8
9.06,-2.31,-3.72,-6.98,6.39,10.98,0.86,0.28,0.01,-7.53,14.31,-4.73,8
0.31,0.11,3.68,-7.13,7.53,7.06,0.94,0.33,0.07,-9.66,6.55,-8.62,8
11.41,4.04,7.53,-2.27,8.08,5.17,1.19,0.41,0.02,-19.61,-7.45,-5.82,8
13.65,8.0,18.47,2.94,4.98,2.03,1.33,0.48,0.12,-3.82,-8.11,0.48,8
14.82,8.51,20.04,0.78,3.6,0.19,1.07,0.35,0.07,17.64,-11.62,8.42,8
10.08,7.64,20.04,-3.84,0.98,-6.04,0.86,0.24,0.07,36.26,2.56,-4.94,8
5.68,9.41,20.04,-8.7,-3.29,0.86,0.68,0.21,0.02,39.91,12.63,-18.34,8
0.86,7.53,20.04,-2.11,0.54,0.39,0.81,0.26,0.02,34.79,15.71,-21.79,8
0.9,7.1,18.39,0.62,0.66,-1.13,1.07,0.34,0.11,33.13,20.27,-25.01,8
3.45,7.13,12.08,-3.37,2.07,5.37,1.02,0.4,0.2,20.29,8.63,-14.28,8
3.37,7.45,6.23,1.33,3.84,11.1,1.11,0.44,0.14,2.6,6.08,-4.61,8
3.96,7.49,3.29,0.82,3.68,14.63,1.11,0.47,0.02,-16.28,-2.26,-6.65,8
0.94,6.23,-4.27,-10.19,7.96,18.78,0.95,0.35,0.0,-17.4,-9.35,0.49,8
-2.19,4.04,-6.39,1.76,10.59,20.04,0.77,0.27,0.01,-9.64,-3.35,5.89,8
1.25,0.19,-11.49,4.9,9.21,20.04,0.71,0.27,0.0,-20.53,7.7,14.41,8
3.56,1.49,-5.13,5.53,10.04,20.04,0.87,0.4,0.15,-40.38,3.18,17.77,8
4.66,0.35,-6.62,1.8,8.15,16.47,1.31,0.47,0.19,-21.5,3.88,12.46,8
5.72,-1.6,-5.6,-1.52,6.08,11.17,1.17,0.37,0.04,21.97,-4.55,15.83,8
0.15,0.62,1.37,-3.17,5.17,8.78,1.02,0.37,0.09,19.73,10.63,9.29,8
2.54,0.82,10.27,0.35,3.72,6.23,0.79,0.28,0.18,-5.51,11.03,-3.29,8
7.1,4.31,18.08,3.8,2.07,1.01,0.77,0.24,0.06,-19.22,-12.9,-1.98,8
12.16,8.47,20.04,0.78,2.54,0.27,0.83,0.32,0.08,-1.2,-27.11,5.69,8
8.43,10.51,20.04,-5.02,1.01,-1.45,0.87,0.28,0.09,24.2,-19.45,7.63,8
2.23,8.31,20.04,-3.02,0.66,-2.74,0.96,0.31,0.01,42.29,-3.44,-9.78,8
-8.9,7.29,20.04,0.07,-1.25,-4.7,1.07,0.36,0.03,37.64,12.9,-23.33,8
-5.84,4.43,19.41,-2.07,0.15,-1.72,1.2,0.34,0.12,29.62,14.6,-16.71,8
-1.01,3.92,11.61,-3.13,2.39,5.37,1.13,0.41,0.16,12.23,-2.23,0.85,8
1.45,4.23,7.06,0.86,5.49,15.1,0.95,0.37,0.06,-4.82,-8.4,2.43,8
1.84,4.74,4.07,-7.6,7.76,14.63,0.85,0.35,0.01,-18.05,-11.54,6.75,8
