d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.66,9.25,0.82,3.49,-6.23,1.33,0.98,0.4,0.08,-146.57,-20.94,12.5,7
4.82,8.9,-1.33,5.68,-7.45,1.52,0.99,0.33,0.06,-142.03,-16.99,14.84,7
5.68,8.11,-1.37,5.53,-8.27,0.5,0.98,0.3,0.01,-134.18,-4.55,17.04,7
6.43,7.33,-1.52,4.11,-8.39,-1.6,0.95,0.29,0.12,-136.2,0.78,22.63,7
6.78,6.98,-1.52,3.84,-7.72,-2.78,0.96,0.36,0.2,-150.66,-6.0,30.82,7
6.7,6.9,-1.21,4.62,-6.31,-3.68,0.94,0.37,0.12,-175.83,-26.76,38.26,7
6.9,7.06,0.86,3.76,-4.51,-4.86,1.0,0.25,0.03,-173.39,-41.75,36.56,7
6.98,7.49,0.9,2.9,-2.78,-6.27,1.02,0.16,0.01,-170.1,-45.09,54.29,7
6.7,8.0,0.62,1.84,0.11,-6.39,1.06,0.32,0.0,-163.68,-62.98,73.94,7
6.59,7.96,0.66,0.66,2.66,-8.62,0.97,0.15,0.0,-141.91,-73.75,82.57,7
6.66,8.0,0.58,-6.39,6.11,-8.66,0.95,0.01,0.08,-144.96,-81.97,96.1,7
6.9,8.23,0.82,-13.14,8.11,-5.68,0.88,0.07,0.19,-136.42,-72.58,93.63,7
7.06,8.43,0.9,-17.73,10.0,0.66,0.86,0.2,0.32,-126.61,-74.55,92.53,7
6.74,8.74,0.86,-15.92,12.51,0.86,0.9,0.24,0.36,-102.4,-64.14,78.98,7
6.66,9.1,0.62,-10.66,14.94,2.66,0.86,0.38,0.52,-80.54,-51.91,69.85,7
7.1,9.76,0.11,-6.19,20.04,6.39,0.96,0.41,0.53,-59.11,-42.98,54.76,7
7.8,10.08,0.86,-5.6,20.04,6.9,0.98,0.44,0.58,-40.1,-32.93,45.57,7
7.29,10.12,1.25,-8.08,20.04,8.11,0.93,0.44,0.6,-25.66,-29.14,34.72,7
6.7,10.51,1.01,-5.41,20.04,8.47,0.9,0.49,0.72,-7.57,-20.42,23.73,7
5.8,9.92,0.58,0.66,20.04,6.74,1.13,0.34,-1.09,19.15,10.52,23.16,7
5.29,9.25,0.82,-2.43,17.88,5.33,0.78,0.53,0.71,53.07,18.37,-6.94,7
7.13,9.61,0.7,-4.9,17.53,3.17,0.77,0.51,0.64,78.46,26.17,-25.0,7
7.76,10.0,0.19,-3.88,15.18,2.58,0.86,0.48,0.58,98.23,31.89,-43.68,7
7.8,9.84,0.74,-2.43,11.37,2.23,0.89,0.35,0.47,122.02,43.58,-52.64,7
9.33,10.23,-1.56,-1.37,9.72,0.58,0.95,0.4,0.4,141.59,50.19,-56.36,7
9.49,10.55,-2.15,-1.56,9.8,0.23,1.0,0.35,0.29,165.55,53.09,-61.17,7
11.1,10.55,-2.62,-1.64,10.12,0.0,0.97,0.28,0.18,181.4,50.03,-67.14,7
11.84,10.47,-1.01,-1.49,10.23,0.58,0.89,0.23,0.07,193.02,47.49,-75.98,7
13.92,9.45,-1.01,0.86,10.0,0.82,0.82,0.13,0.04,199.54,52.49,-82.76,7
16.08,9.68,0.78,0.74,8.98,0.7,0.83,0.04,0.09,195.63,57.91,-79.16,7
16.47,9.92,0.98,-1.33,7.25,0.23,0.8,0.02,0.17,190.24,39.11,-83.82,7
15.33,8.94,2.43,-2.15,6.23,0.43,0.88,0.21,0.28,162.78,8.57,-73.06,7
15.88,8.19,1.21,-2.94,6.43,0.43,1.15,0.21,0.26,143.13,-7.65,-65.65,7
17.33,6.62,0.0,-3.41,6.78,0.78,1.2,0.26,0.21,134.16,2.13,-63.83,7
15.72,5.68,0.94,-4.19,6.82,1.64,0.98,0.32,0.18,114.9,4.05,-48.19,7
12.27,4.11,-1.17,-5.02,6.82,2.62,0.93,0.32,0.11,96.88,2.27,-41.72,7
7.68,2.51,-2.11,-4.55,6.9,3.37,0.98,0.3,0.09,92.94,8.12,-39.36,7
2.94,0.15,-2.23,-4.51,7.49,4.47,0.99,0.33,0.08,82.65,12.3,-29.79,7
1.8,-1.56,-2.23,-4.35,8.47,4.78,0.95,0.37,0.05,68.04,5.95,-20.48,7
0.9,-2.19,0.23,-4.15,9.13,5.53,0.91,0.36,0.01,64.33,3.41,-27.94,7
0.82,-3.02,1.13,-3.29,9.57,5.64,0.91,0.35,0.02,64.39,7.49,-32.92,7
-4.04,-3.05,2.03,-2.54,9.68,5.92,0.93,0.39,0.08,57.94,9.14,-25.37,7
-4.23,-3.6,2.47,-1.76,8.9,5.6,0.93,0.45,0.13,50.2,0.87,-16.51,7
-3.49,-4.15,2.74,-1.13,9.06,5.49,0.97,0.42,0.0,43.67,-8.35,-7.12,7
-4.0,-4.9,1.88,0.82,9.84,5.45,1.06,0.38,0.04,47.74,-12.07,0.49,7
-4.51,-6.04,0.27,-1.05,9.8,5.37,1.03,0.42,0.11,64.84,-17.5,2.76,7
-6.43,-6.62,0.15,-1.01,9.84,5.09,0.94,0.41,0.17,81.31,-20.39,10.14,7
