d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
8.82,8.62,2.86,-4.0,10.0,6.47,1.02,0.27,0.06,-86.61,-24.75,1.37,2
6.59,8.19,3.49,-4.98,11.41,7.41,1.04,0.24,0.0,-79.64,-19.71,0.98,2
7.29,8.31,1.84,-3.17,11.88,7.84,0.95,0.26,0.07,-86.6,-14.89,-2.21,2
7.29,7.92,0.78,-8.86,12.63,8.66,0.87,0.23,0.11,-90.57,-7.24,-15.64,2
6.27,8.51,0.35,-11.45,12.59,7.45,1.11,0.19,0.06,-111.26,-20.04,-25.07,2
5.06,8.86,0.47,-11.57,10.94,7.49,1.13,0.17,0.14,-92.74,-7.97,-12.91,2
4.78,8.9,0.43,-12.78,9.76,7.37,0.96,0.21,0.21,-93.93,-6.74,-10.85,2
5.92,9.1,0.0,-11.41,8.55,7.33,0.92,0.19,0.3,-113.73,-11.72,-19.81,2
6.04,9.21,0.03,-13.25,7.57,5.88,0.93,0.27,0.3,-137.82,-17.69,-25.05,2
4.86,8.74,0.11,-12.19,5.6,5.64,0.95,0.31,0.28,-158.53,-36.78,-23.21,2
4.47,8.62,0.03,-11.8,4.39,4.78,0.93,0.37,0.2,-165.02,-49.68,-12.98,2
4.7,8.39,0.98,-11.41,3.92,4.74,0.98,0.36,0.14,-177.08,-51.87,-8.24,2
5.13,8.39,0.7,-4.23,2.11,2.27,1.02,0.34,0.16,-176.52,-42.74,-11.33,2
6.9,8.43,0.62,-1.25,0.19,1.88,0.94,0.36,0.14,-184.89,-41.04,-14.72,2
7.29,7.88,0.11,-2.62,0.15,0.0,0.9,0.35,0.1,-176.05,-45.61,-18.14,2
6.7,8.08,0.07,0.66,0.82,-1.01,0.93,0.32,0.01,-162.51,-41.46,-23.31,2
6.59,7.72,0.15,1.68,-2.07,0.74,0.96,0.28,0.02,-141.54,-31.13,-24.99,2
7.06,7.17,0.15,0.15,-2.23,0.5,0.89,0.25,0.03,-120.34,-25.34,-18.49,2
7.45,6.39,0.11,1.33,-3.13,1.05,0.83,0.24,0.0,-100.39,-21.23,-22.75,2
7.64,6.27,0.39,1.49,-3.45,0.94,0.83,0.24,0.03,-97.07,-24.36,-25.38,2
7.06,6.31,0.62,0.11,-2.07,2.86,0.97,0.29,0.07,-93.5,-26.2,-26.67,2
