d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,target
4.82,7.8,0.0,-1.76,8.94,5.33,0.97,0.01,0.08,30.85,3.59,-20.39,4
5.02,8.04,0.03,-1.76,9.02,5.37,0.97,0.03,0.1,32.71,5.77,-21.2,4
5.49,8.43,0.15,-1.01,8.98,5.17,0.96,0.07,0.12,31.55,5.31,-23.99,4
5.6,8.59,0.7,0.19,8.98,5.45,0.97,0.04,0.11,29.78,7.95,-24.09,4
5.64,8.39,0.86,0.86,8.27,5.45,0.95,0.05,0.12,30.94,10.02,-22.94,4
5.25,8.51,0.98,0.39,7.96,5.49,0.94,0.05,0.14,32.86,11.5,-24.22,4
4.9,8.66,0.86,0.31,8.0,5.33,0.99,0.05,0.16,29.89,11.95,-23.86,4
4.07,9.61,0.9,-1.13,8.55,5.02,1.09,0.12,0.13,18.36,8.19,-19.92,4
3.72,10.27,0.62,-1.29,9.84,5.21,1.17,0.24,0.01,1.42,-4.67,-9.17,4
4.0,11.29,0.74,0.78,10.94,4.86,1.33,0.27,0.15,2.18,-20.2,6.08,4
4.23,11.21,1.64,-2.43,11.53,3.37,1.22,0.29,0.26,21.32,-7.02,6.85,4
4.07,10.82,2.39,-4.19,11.29,2.78,1.1,0.35,0.35,18.7,0.3,0.13,4
3.6,9.96,2.62,-4.19,10.31,2.78,1.08,0.38,0.45,11.72,-4.81,-4.58,4
2.74,10.08,2.74,-3.56,10.08,2.23,1.13,0.3,0.42,22.17,-9.68,2.2,4
2.47,10.78,3.92,-4.15,9.88,1.84,0.97,0.24,0.34,41.77,-6.45,5.69,4
0.47,9.61,5.64,-4.07,8.66,2.03,0.82,0.29,0.26,38.65,-4.11,-1.66,4
-3.41,8.11,5.72,-3.92,7.49,2.27,0.71,0.31,0.21,18.62,-11.36,-4.01,4
-1.64,7.25,3.8,-3.76,7.57,2.31,0.85,0.33,0.37,0.53,-11.97,-10.96,4
-1.13,7.64,2.19,-4.07,8.39,2.15,0.9,0.31,0.37,11.49,-4.06,-17.79,4
0.7,8.08,1.92,-4.47,8.94,2.19,0.93,0.29,0.33,26.3,-5.43,-12.94,4
2.7,9.17,2.27,-4.04,9.1,2.51,0.91,0.34,0.29,33.27,-6.03,-5.1,4
3.02,9.1,2.47,-3.64,9.13,2.54,0.91,0.32,0.23,17.94,-10.79,-2.15,4
1.96,8.9,2.19,-3.6,8.55,2.31,0.91,0.3,0.2,6.06,-18.56,2.75,4
1.41,9.25,2.07,-4.31,8.78,1.72,1.01,0.27,0.26,6.46,-12.68,4.64,4
2.19,9.72,2.54,-4.51,9.64,1.92,1.0,0.35,0.24,5.7,-10.48,6.83,4
1.92,9.96,3.25,-4.78,10.43,2.47,1.11,0.34,0.27,-5.83,-7.43,6.34,4
0.15,9.8,4.62,-4.58,11.21,2.94,1.01,0.32,0.23,-11.0,2.26,3.63,4
0.15,9.33,4.62,-3.92,10.43,2.94,0.94,0.35,0.23,-23.66,-1.62,2.99,4
1.41,8.98,4.15,-4.31,9.96,3.17,0.93,0.35,0.27,-36.96,-2.68,0.91,4
2.27,9.02,3.88,-2.19,9.53,5.21,0.92,0.33,0.3,-39.21,1.63,-3.2,4
2.23,8.7,3.68,-2.43,9.29,4.82,0.89,0.35,0.35,-34.6,5.59,-3.58,4
1.76,8.31,3.64,-3.37,8.74,3.45,0.9,0.35,0.36,-32.89,7.98,-3.9,4
1.25,8.15,3.88,-4.11,8.94,2.62,0.95,0.35,0.34,-34.73,12.76,-2.79,4
1.21,8.51,3.72,-4.51,9.13,2.03,0.92,0.36,0.34,-39.81,14.92,-3.59,4
1.92,9.25,3.6,-4.55,8.51,1.68,0.85,0.38,0.31,-46.66,10.92,-7.56,4
2.51,9.21,3.8,-4.19,8.47,1.92,0.84,0.39,0.31,-42.92,6.49,-11.92,4
2.35,8.11,3.53,-3.49,8.27,1.76,0.81,0.4,0.35,-40.99,3.2,-14.99,4
1.09,7.33,2.98,-3.05,8.98,1.88,0.99,0.37,0.33,-41.34,-5.75,-15.36,4
1.64,8.27,3.37,-2.62,10.43,2.03,1.31,0.33,0.19,-22.4,-6.7,-2.62,4
4.58,10.35,4.66,-2.94,11.41,3.02,1.3,0.32,0.02,-29.77,-17.0,14.31,4
5.02,10.78,3.84,-2.7,11.72,4.19,1.25,0.23,0.06,-43.02,-25.45,18.95,4
7.72,11.14,1.41,-2.19,11.41,4.86,1.31,0.16,0.19,-45.94,-14.25,12.88,4
7.88,10.04,0.66,-2.0,10.74,5.45,0.97,0.18,0.11,-56.53,-11.45,4.58,4
6.0,8.9,0.43,-1.01,9.25,5.92,0.98,0.09,0.01,-68.66,-22.49,3.51,4
4.39,7.17,0.66,0.0,8.39,5.84,0.99,0.12,0.08,-51.31,-14.9,4.88,4
4.86,6.98,0.58,0.78,8.08,5.06,0.91,0.12,0.1,-31.04,-9.75,8.76,4
5.6,6.94,0.03,1.05,7.92,4.62,0.91,0.05,0.02,-15.54,-1.08,12.69,4
5.37,7.25,0.5,2.58,8.27,5.06,0.87,0.07,0.14,-21.95,0.94,9.95,4
5.17,7.49,1.13,2.23,8.39,4.62,0.96,0.13,0.11,-36.05,-10.07,5.89,4
6.35,8.27,2.15,0.54,9.64,4.19,1.03,0.17,0.0,-40.16,-10.14,1.66,4
5.57,8.43,2.66,-1.49,9.88,4.51,0.97,0.16,0.05,-31.55,-2.04,3.51,4
5.88,7.92,2.03,-1.49,9.33,4.23,0.95,0.19,0.07,-18.49,7.21,3.67,4
5.45,7.53,1.41,0.98,8.94,4.04,0.98,0.22,0.05,-6.49,9.04,1.23,4
5.33,7.72,1.25,0.54,9.21,3.76,1.11,0.24,0.08,-9.11,2.08,7.14,4
5.06,8.7,1.25,0.66,10.23,4.23,1.13,0.27,0.07,-1.28,-3.77,12.76,4
5.96,9.53,1.64,0.66,10.31,4.55,1.1,0.19,0.04,5.66,-8.73,11.81,4
6.08,9.92,1.84,0.9,9.92,4.62,1.08,0.15,0.01,24.61,5.24,8.53,4
6.19,9.45,2.07,-2.11,9.84,4.43,0.97,0.19,0.02,27.49,10.21,0.32,4
5.37,8.82,2.31,0.19,10.04,6.35,0.96,0.13,0.05,23.88,5.42,-4.43,4
4.04,8.19,2.19,2.23,9.37,8.0,0.96,0.12,0.05,29.23,8.02,-5.66,4
4.0,7.41,1.92,1.01,8.7,7.17,0.93,0.11,0.05,30.54,6.92,-8.23,4
4.35,7.45,1.88,0.03,8.11,5.57,0.92,0.1,0.08,32.22,6.53,-12.81,4
4.58,7.64,1.72,-1.05,8.43,5.41,0.98,0.1,0.1,32.03,4.3,-16.3,4
5.09,8.35,1.41,-1.13,9.02,5.21,0.98,0.12,0.08,31.81,4.71,-15.97,4
5.25,8.35,1.09,0.58,9.06,5.13,0.97,0.09,0.1,28.52,4.21,-15.79,4
5.68,8.23,1.17,0.0,9.13,4.74,1.01,0.08,0.11,24.3,5.02,-13.33,4
5.06,8.27,1.09,0.35,9.29,4.78,1.08,0.12,0.14,28.0,11.87,-5.98,4
4.31,9.68,1.49,-1.88,10.27,4.78,1.13,0.2,0.07,18.59,11.66,2.43,4
3.84,10.39,1.68,-1.6,10.31,3.64,1.29,0.29,0.06,1.59,3.04,10.29,4
4.55,10.74,2.39,-2.07,10.19,2.54,1.16,0.29,0.19,4.04,0.07,21.46,4
4.78,10.43,2.51,-4.11,10.0,2.39,1.1,0.41,0.39,15.04,2.21,12.43,4
